,Concept_ID,cv,az
0,Auge::N,куҫ,göz
1,Ohr::N,хӑлха,qulaq
2,Nase::N,сӑмса,burun
3,Mund::N,ҫӑвар,ağız
4,Zahn::N,шӑл,diş
5,Zunge::N,чӗлхе,dil
6,Lippe::N,тута,dodaq
7,Wange::N,пит ҫӑмарти,yanaq
8,Gesicht::N,пит,üz
9,Gesicht::N,пит-куҫ,üz
10,Stirn::N,ҫамка,alın
11,Haar::N,ҫӳҫ,saç
12,Schnurrbart::N,усси,bığ
13,Bart::N,сухал,saqqal
14,Kinn::N,янах,çənə
15,Kiefer[Anatomie]::N,янах,çənə
16,Kehle::N,пыр,boğaz
17,Kehle::N,карланкӑ,boğaz
18,Hals::N,пыр,boyun
19,Genick::N,ӗнсе,ənsə
20,Kopf::N,пуҫ,baş
21,Rücken::N,ҫурӑм,bel
22,Nabel::N,кӑвапа,göbək
23,Busen::N,кӑкӑр,məmə
24,Brust::N,умӗ,döş
25,Schulter::N,хул пуҫҫи,çiyin
26,Arm::N,алӑ,qol
27,Ellenbogen::N,чавса,dirsək
28,Hand::N,алӑ сыппи,əl
29,Handfläche::N,ал лаппи,ovuc
30,Finger::N,пӳрне,barmaq
31,Fingernagel::N,чӗрне,barmaq dırnağı
32,Nagel[Anatomie]::N,чӗрне,dırnak
33,Zeh::N,пӳрне,ayaq barmağı
34,Fuß::N,ура лаппи,ayaq
35,Ferse::N,кӗле,daban
36,Knie::N,чӗркуҫҫи,diz
37,Oberschenkel::N,пӗҫӗ,bud
38,Bein::N,ура,qıç
39,Körper::N,ӳт,əndam
40,Körper::N,ӳт-пӳ,əndam
41,Haut::N,тир,dəri
42,Blut::N,юн,qan
43,Ader::N,вена,damar
44,Sehne::N,шӑнӑр,vətər
45,Knochen::N,шӑмӑ,sümük
46,Gehirn::N,миме,beyin
47,Herz::N,чӗре,ürək
48,Magen::N,хырӑмлӑх,mədə
49,Leber::N,пӗвер,qara ciyər
50,Atem::N,сывлав,nəfəs
51,Hunger::N,выҫлӑх,aclıq
52,Träne::N,куҫҫуль,göz yaşı
53,Geschmack::N,техӗм,tam
54,Geschmack::N,техӗм,ləzzət
55,Geruch::N,шӑршӑ,qoxu
56,Schlaf::N,ыйхӑ,yuxu
57,Traum::N,тӗлӗк,röya
58,Himmel::N,пӗлӗт,göy
59,Himmel::N,пӗлӗт,səma
60,Sonne::N,хӗвел,günəş
61,Mond::N,уйӑх,ay
62,Stern::N,ҫӑлтӑр,ulduz
63,Luft::N,сывлӑш,hava
64,Wind::N,ҫил,yel
65,Wind::N,ҫил,külək
66,Welle::N,хум,dalğa
67,Wasser::N,шыв,su
68,Wasser::N,шыв-шур,su
69,Stein::N,чул,daş
70,Boden::N,тӑпра,yer
71,Boden::N,тӑпра,zəmin
72,Erde::N,ҫӗр,yer torpaq
73,Staub::N,тусан,toz
74,Rauch::N,тӗтӗм,tüstü
75,Funke::N,хӗм,qığılcım
76,Feuer::N,вут,od
77,Feuer::N,ҫулӑм,od
78,Licht::N,ҫутӑ,işıq
79,Schatten::N,сулхӑн,kölgə
80,Wetter::N,ҫанталӑк,hava
81,Nebel::N,тӗтре,duman
82,Wolke::N,пӗлӗт,bulud
83,Regen::N,ҫумӑр,yağış
84,Regen::N,ҫумӑр,yağmur
85,Schnee::N,юр,qar
86,Eis::N,пӑр,buz
87,Frost::N,сивӗ,ayaz
88,Kälte::N,сивӗ,soyuq
89,Hitze::N,вӗри,coşğunluq
90,Hitze::N,шӑрӑх,coşğunluq
91,Raureif::N,пас,qırov
92,Regenbogen::N,асамат кӗперӗ,göy qurşağı
93,Donner::N,аслати,göy gurultusu
94,Strömung::N,юхӑ,axın
95,Tropfen::N,тумлам,damcı
96,Schaum::N,кӑпӑк,köpük
97,Schmutz::N,пылчӑк,çamır
98,See::N,кӳлӗ,göl
99,Sumpf::N,шур,bataqlıq
100,Sumpf::N,шурлӑх,bataqlıq
101,Moor::N,торфлӑ шурлӑх,bataqlıq
102,Wiese::N,улӑх,çəmən
103,Wiese::N,ҫаран,çəmən
104,Wald::N,вӑрман,meşə
105,Hügel::N,сӑрт,təpə
106,Hügel::N,тӗмеске,təpə
107,Anhöhe::N,сӑрт,təpə
108,Berg::N,ту,dağ
109,Gipfel::N,тӳпе,zirvə
110,Höhle::N,ҫӗр хӑвӑлӗ,mağara
111,Abhang::N,тӑвайкки,yamac
112,Quelle::N,ҫӑл куҫ,bulaq
113,Bach::N,пӗчӗк шыв,kiçik çay
114,Fluss::N,юхан шыв,çay
115,Ufer::N,ҫыран,kənar
116,Küste::N,тинӗс ҫыранӗ,sahil
117,Festland::N,тип ҫӗр,materik
118,Meer::N,тинӗс,dəniz
119,Bucht::N,тинӗс кукӑрӗ,körfəz
120,Insel::N,утрав,ada
121,Blume::N,чечек,çiçək
122,Gras::N,курӑк,ot
123,Wurzel::N,тымар,kök
124,Baum::N,йывӑҫ,ağac
125,Stamm::N,вулӑ,gövdə
126,Rinde::N,хуйӑр,qabıq
127,Ast::N,турат,şax
128,Zweig::N,турат,budaq
129,Blatt::N,ҫулҫӑ,yarpaq
130,Birke::N,хурӑн,tozağacı
131,Kiefer[Baum]::N,хыр,şam
132,Weide[Baum]::N,хӑва,söyüd
133,Tanne::N,чӑрӑш,küknar
134,Horn::N,мӑйрака,buynuz
135,Feder::N,тӗк,tük
136,Feder::N,тӗк,lələk
137,Fell::N,ҫӑм,xəz
138,Flügel::N,ҫунат,qanad
139,Klaue::N,чӗрне,pəncə
140,Kralle::N,ура,dırnaq
141,Schwanz::N,хӳре,quyruq
142,Ei::N,ҫӑмарта,yumurta
143,Nest::N,йӑва,yuva
144,Bau::N,йӗнӗ,yuva
145,Tier::N,выльӑх,heyvan
146,Herde::N,кӗтӳ,sürü
147,Kuh::N,ӗне,inək
148,Bulle::N,вӑкӑр,öküz
149,Pferd::N,лаша,at
150,Schaf::N,сурӑх,qoyun
151,Schwein::N,сысна,donuz
152,Hund::N,йытӑ,it
153,Hund::N,йытӑ,köpək
154,Katze::N,кушак,pişik
155,Bär::N,упа,ayı
156,Eichhörnchen::N,пакша,dələ
157,Elch::N,пӑши,sığın
158,Fuchs::N,тилӗ,tülkü
159,Hase::N,куян,dovşan
160,Hase::N,мулкач,dovşan
161,Maus::N,шӑши,siçan
162,Wolf::N,кашкӑр,qurd
163,Vogel::N,кайӑк,quş
164,Vogel::N,вӗҫен кайӑк,quş
165,Schwarm::N,ушкӑн,sürü
166,Huhn::N,чӑх,toyuq
167,Huhn::N,чӑхӑ,toyuq
168,Hahn::N,автан,xoruz
169,Gans::N,хур,qaz
170,Adler::N,ӑмӑрт кайӑк,qartal
171,Adler::N,ӑмӑрт кайӑк,qaraquş
172,Ente::N,кӑвакал,ördək
173,Eule::N,тӑмана,bayquş
174,Kranich::N,тӑрна,durna
175,Krähe::N,ула курак,qarğa
176,Kuckuck::N,куккук,ququ
177,Schwan::N,акӑш,qu quşu
178,Fisch::N,пулӑ,balıq
179,Barsch::N,уланкӑ,tar
180,Hecht::N,ҫӑрттан,durnabalığı
181,Schlange[Tier]::N,ҫӗлен,ilan
182,Wurm::N,ӑман,qurd
183,Spinne::N,эрешмен,hörümçək
184,Ameise::N,кӑткӑ,qarışqa
185,Laus::N,пыйтӑ,bit
186,Mücke::N,вӑрӑм туна,ağcaqanad
187,Fliege::N,шӑна,milçək
188,Schmetterling::N,лӗпӗш,kəpənək
189,Beere::N,ҫырла,gilə
190,Apfel::N,улма,alma
191,Apfel::N,пан улми,alma
192,Pilz::N,кӑмпа,göbələk
193,Zwiebel::N,сухан,soğan
194,Saat::N,вӑрӑ,əkin
195,Korn::N,тӗшӗ,taxıl
196,Korn::N,пӗрчӗ,taxıl
197,Heu::N,утӑ,quru ot
198,Schale::N,хупӑ,qabıq
199,Grube::N,шӑтӑк,çuxur
200,Falle::N,тапӑ,tələ
201,Falle::N,тапӑ,duzaq
202,Falle::N,капкӑн,tələ
