,Concept_ID,kl,tt
0,Auge::N,isi,күз
1,Ohr::N,siut,колак
2,Mund::N,paaq,авыз
3,Mund::N,paaq,тамак
4,Mund::N,qaneq,авыз
5,Mund::N,qaneq,тамак
6,Zahn::N,kigut,теш
7,Zunge::N,oqaq,тел
8,Lippe::N,qarloq,ирен
9,Wange::N,ersaq,яңак
10,Gesicht::N,kiinaq,йөз
11,Stirn::N,qaaq,маңгай
12,Haar::N,meqqoq,чәч
13,Bart::N,umik,сакал
14,Kinn::N,talloq,ияк
15,Kiefer[Anatomie]::N,alleroq,казналык
16,Kehle::N,malaq,тамак
17,Hals::N,qungaseq,бугаз
18,Genick::N,pukusuk,җилкә
19,Kopf::N,niaqoq,баш
20,Rücken::N,qimerlut,сырт
21,Bauch::N,naaq,корсак
22,Nabel::N,qalaseq,кендек
23,Busen::N,iviangeq,түш
24,Brust::N,iviangeq,имчәк
25,Brust::N,iviangeq,күкрәк
26,Schulter::N,ersik,иңбаш
27,Schulter::N,ersik,кулбаш
28,Schulter::N,assaqqoq,иңбаш
29,Schulter::N,assaqqoq,кулбаш
30,Arm::N,taleq,кул
31,Ellenbogen::N,ikusik,терсәк
32,Hand::N,assak,кул
33,Handfläche::N,itumak,уч
34,Finger::N,inuak,бармак
35,Fingernagel::N,kikiak,тырнак
36,Nagel[Anatomie]::N,kukik,тырнак
37,Zeh::N,isigak,бармак
38,Ferse::N,kimmik,үкчә
39,Knie::N,seeqqoq,тез
40,Oberschenkel::N,uppat,бот
41,Oberschenkel::N,quttoraq,бот
42,Bein::N,isigak,аяк
43,Körper::N,timi,тән
44,Körper::N,timi,җисем
45,Haut::N,mattak,тире
46,Blut::N,aak,кан
47,Ader::N,taqaq,тамыр
48,Sehne::N,ujalu,сеңер
49,Sehne::N,ujaloq,сеңер
50,Knochen::N,saanikut,сөяк
51,Gehirn::N,qarasaq,ми
52,Herz::N,uummat,йөрәк
53,Magen::N,aqajaroq,ашказаны
54,Leber::N,tinguk,бавыр
55,Atem::N,anerneq,сулыш
56,Hunger::N,kaanneq,ачлык
57,Träne::N,qia,яшь
58,Träne::N,qiak,яшь
59,Geschmack::N,qilanaartuut,тәм
60,Geschmack::N,qilanaartuut,зәвык
61,Geruch::N,tipi,ис
62,Geruch::N,tipik,ис
63,Traum::N,sinnattoq,төш
64,Traum::N,sinnattugaq,төш
65,Himmel::N,qilak,күк
66,Sonne::N,seqineq,кояш
67,Mond::N,qaammat,ай
68,Stern::N,ulloriaq,йолдыз
69,Luft::N,silaannaq,һава
70,Wind::N,anori,җил
71,Wind::N,anorsarik,җил
72,Welle::N,aalappaa,дулкын
73,Wasser::N,imeq,су
74,Stein::N,ujarak,таш
75,Boden::N,nateq,туфрак
76,Erde::N,issoq,җир
77,Staub::N,pujualanerit,тузан
78,Staub::N,pujoralanerit,тузан
79,Rauch::N,iseq,төтен
80,Rauch::N,pujoq,төтен
81,Funke::N,illoorneq,очкын
82,Feuer::N,inneq,ут
83,Licht::N,qaamaneq,якты
84,Schatten::N,tarraq,күләгә
85,Wetter::N,sila,һава
86,Nebel::N,pujoq,томан
87,Wolke::N,nuia,болыт
88,Regen::N,sialuk,яңгыр
89,Schnee::N,aput,кар
90,Eis::N,siku,боз
91,Frost::N,issi,суык
92,Frost::N,issi,салкын
93,Frost::N,issik,суык
94,Frost::N,issik,салкын
95,Kälte::N,issi,суык
96,Kälte::N,issi,салкын
97,Hitze::N,kianneq,эсселек
98,Hitze::N,kiassuseq,эсселек
99,Raureif::N,kaneq,бәс
