,Concept_ID,hy,lv
0,Auge::N,աչք,син
1,Auge::N,աչք,acs
2,Ohr::N,ականջ,пель
3,Ohr::N,ականջ,auss
4,Nase::N,քիթ,ныр
5,Nase::N,քիթ,deguns
6,Mund::N,բերան,вом
7,Mund::N,բերան,mute
8,Zahn::N,ատամ,пинь
9,Zahn::N,ատամ,zobs
10,Zunge::N,լեզու,кыв
11,Zunge::N,լեզու,mēle
12,Lippe::N,շրթունք,вом дор
13,Lippe::N,շրթունք,lūpa
14,Wange::N,այտ,бан
15,Wange::N,այտ,vaigs
16,Wange::N,թուշ,бан
17,Wange::N,թուշ,vaigs
18,Gesicht::N,դեմք,чужӧм
19,Gesicht::N,դեմք,seja
20,Gesicht::N,դեմք,ģīmis
21,Stirn::N,ճակատ,плеш
22,Stirn::N,ճակատ,кымӧс
23,Stirn::N,ճակատ,piere
24,Haar::N,մազ,си
25,Haar::N,մազ,юрси
26,Haar::N,մազ,mats
27,Schnurrbart::N,բեղ,ус
28,Schnurrbart::N,բեղ,пыртсим
29,Schnurrbart::N,բեղ,ūsas
30,Bart::N,մորուք,тош
31,Bart::N,մորուք,bārda
32,Kinn::N,կզակ,тшӧка
33,Kinn::N,կզակ,zods
34,Kinn::N,կզակ,smakrs
35,Kiefer[Anatomie]::N,ծնոտ,черлы
36,Kiefer[Anatomie]::N,ծնոտ,алака лы
37,Kiefer[Anatomie]::N,ծնոտ,вомкӧтш лы
38,Kiefer[Anatomie]::N,ծնոտ,žoklis
39,Kehle::N,կոկորդ,голя
40,Kehle::N,կոկորդ,rīkle
41,Hals::N,վիզ,сьылі
42,Hals::N,վիզ,kakls
43,Hals::N,պարանոց,сьылі
44,Hals::N,պարանոց,kakls
45,Genick::N,ծոծրակ,юрбӧр
46,Genick::N,ծոծրակ,балябӧж
47,Genick::N,ծոծրակ,sprands
48,Kopf::N,գլուխ,юр
49,Kopf::N,գլուխ,galva
50,Rücken::N,մեջք,мыш
51,Rücken::N,մեջք,mugura
52,Bauch::N,փոր,рушку
53,Bauch::N,փոր,vēders
54,Bauch::N,որովայն,рушку
55,Bauch::N,որովայն,vēders
56,Nabel::N,պորտ,гӧг
57,Nabel::N,պորտ,naba
58,Busen::N,ծոց,морӧс
59,Busen::N,ծոց,krūts
60,Brust::N,կուրծք,морӧс
61,Brust::N,կուրծք,krūts
62,Schulter::N,ուս,пельпом
63,Schulter::N,ուս,plecs
64,Arm::N,թեւ,ки
65,Arm::N,թեւ,roka
66,Arm::N,թեւ,delms
67,Arm::N,բազուկ,ки
68,Arm::N,բազուկ,roka
69,Arm::N,բազուկ,delms
70,Ellenbogen::N,արմունկ,гырддза
71,Ellenbogen::N,արմունկ,elkonis
72,Hand::N,ձեռք,ки
73,Hand::N,ձեռք,roka
74,Hand::N,ձեռք,plauksta
75,Handfläche::N,ափ,ки пыдӧс
76,Handfläche::N,ափ,delna
77,Handfläche::N,ափ,plauksta
78,Finger::N,մատ,чунь
79,Finger::N,մատ,pirksts
80,Fingernagel::N,եղունգ,гыж
81,Fingernagel::N,եղունգ,nags
82,Nagel[Anatomie]::N,եղունգ,гыж
83,Nagel[Anatomie]::N,եղունգ,nags
84,Zeh::N,ոտքի մատ,кок чунь
85,Zeh::N,ոտքի մատ,pirksts
86,Fuß::N,ոտք,кок
87,Fuß::N,ոտք,kāja
88,Ferse::N,գարշապար,кокбӧр
89,Ferse::N,գարշապար,papēdis
90,Knie::N,ծունկ,пидзӧс
91,Knie::N,ծունկ,celis
92,Oberschenkel::N,ազդր,лядьвей
93,Oberschenkel::N,ազդր,бек
94,Oberschenkel::N,ազդր,ciska
95,Oberschenkel::N,ազդր,augšstilbs
96,Bein::N,ոտք,кок
97,Bein::N,ոտք,kāja
98,Körper::N,մարմին,туша
99,Körper::N,մարմին,вывтыр
100,Körper::N,մարմին,miesa
101,Körper::N,մարմին,ķermenis
102,Haut::N,մաշկ,ку
103,Haut::N,մաշկ,āda
104,Blut::N,արյուն,вир
105,Blut::N,արյուն,asins
106,Ader::N,երակ,сӧн
107,Ader::N,երակ,asinsvads
108,Sehne::N,ջիղ,вез
109,Sehne::N,ջիղ,dzīsla
110,Sehne::N,ձգտան,вез
111,Sehne::N,ձգտան,dzīsla
112,Knochen::N,ոսկոր,лы
113,Knochen::N,ոսկոր,kauls
114,Gehirn::N,խելք,вем
115,Gehirn::N,խելք,smadzenes
116,Herz::N,սիրտ,сьӧлӧм
117,Herz::N,սիրտ,sirds
118,Magen::N,ստամոքս,кынӧм
119,Magen::N,ստամոքս,kuņģis
120,Leber::N,լյարդ,мус
121,Leber::N,լյարդ,aknas
122,Atem::N,շունչ,лов
123,Atem::N,շունչ,elpa
124,Hunger::N,քաղց,тшыг
125,Hunger::N,քաղց,bads
126,Hunger::N,քաղց,izsalkums
127,Träne::N,արտասուք,синва
128,Träne::N,արտասուք,asara
129,Geschmack::N,համ,кӧр
130,Geschmack::N,համ,чӧсмӧс
131,Geschmack::N,համ,garša
132,Geschmack::N,բուրմունք,кӧр
133,Geschmack::N,բուրմունք,чӧсмӧс
134,Geschmack::N,բուրմունք,garša
135,Geruch::N,հոտ,зын
136,Geruch::N,հոտ,дук
137,Geruch::N,հոտ,smaka
138,Geruch::N,բուրում,зын
139,Geruch::N,բուրում,дук
140,Geruch::N,բուրում,smaka
141,Schlaf::N,քուն,узьӧм
142,Schlaf::N,քուն,miegs
