,Concept_ID,ko,kk
0,Auge::N,눈,көз
1,Ohr::N,귀,құлақ
2,Nase::N,코,мұрын
3,Mund::N,입,ауыз
4,Zahn::N,이,тіс
5,Zunge::N,혀,тіл
6,Lippe::N,입술,ерін
7,Wange::N,뺨,ұрт
8,Gesicht::N,얼굴,бет-аузы
9,Stirn::N,이마,маңдай
10,Haar::N,털,қыл
11,Schnurrbart::N,윗수몀,мұрт
12,Schnurrbart::N,코밑수염,мұрт
13,Bart::N,수엄,сақал
14,Kinn::N,아래턱,иек
15,Kiefer[Anatomie]::N,턱,жақ
16,Kehle::N,인후,алқым
17,Hals::N,목,мойын
18,Genick::N,먹덜이,желке
19,Kopf::N,머리,кәллә
20,Rücken::N,든,арқа
21,Bauch::N,배,қарын
22,Nabel::N,배꼽,кіндік
23,Busen::N,가슴속,омырау
24,Brust::N,가슴,кеуде
25,Schulter::N,어깨,иық
26,Arm::N,팔,қол
27,Ellenbogen::N,팔쿰치,шынтақ
28,Hand::N,손,қол
29,Handfläche::N,손바닥,алақан
30,Finger::N,속가락,саусақ
31,Fingernagel::N,손톱,тырнақ
32,Nagel[Anatomie]::N,손톱,тырнақ
33,Zeh::N,발가락,тырнақ
34,Zeh::N,발가락,тұяқ
35,Fuß::N,발,аяқ-басы
36,Ferse::N,발꿈치,өкше
37,Ferse::N,발꿈치,өкшелік
38,Knie::N,무릎,тізе
39,Oberschenkel::N,허벅다리,жамбас
40,Bein::N,다리,аяқ
41,Körper::N,구간,дене
42,Haut::N,살갗,тері
43,Blut::N,피,қан
44,Ader::N,정맥,көктамыр
45,Ader::N,정맥,күретамыр
46,Sehne::N,현,сіңір
47,Knochen::N,뼈,жілік
48,Gehirn::N,뇌,ми
49,Gehirn::N,뇌수,ми
50,Herz::N,염통,жүрек
51,Magen::N,위,асқазан
52,Leber::N,간,бауыр
53,Atem::N,기식,леп
54,Hunger::N,공복,ашаршылық
55,Träne::N,눈물,жас
56,Geschmack::N,기호,дәм
57,Geschmack::N,기호,татым
58,Geschmack::N,기호,талғам
59,Geruch::N,냄새,иіс
60,Schlaf::N,수면,ұйқы
61,Schlaf::N,수면,ұйықтау
62,Traum::N,쿰,түс
63,Himmel::N,하늘,аспан
64,Himmel::N,하늘,көқ
65,Himmel::N,하늘,таңдай
66,Sonne::N,해,күн
67,Mond::N,달,ай
68,Stern::N,별,жұлдыз
69,Luft::N,동준,әуе
70,Luft::N,가스채,әуе
71,Wind::N,바람,жел
72,Welle::N,물결,толқын
73,Wasser::N,물,су
74,Stein::N,돌,тас
75,Boden::N,바닥,қыртыс
76,Erde::N,흙,топырақ
77,Staub::N,먼지,шаң
78,Rauch::N,연기,түтін
79,Funke::N,불티,ұшқын
80,Feuer::N,불,алау
81,Licht::N,불,шұғыла
