,Concept_ID,sl,kk
0,Auge::N,okó,көз
1,Ohr::N,uhó,құлақ
2,Nase::N,nós,мұрын
3,Mund::N,ústa,ауыз
4,Zahn::N,zób,тіс
5,Zunge::N,jêzik,тіл
6,Lippe::N,ústnica,ерін
7,Wange::N,líce,ұрт
8,Gesicht::N,oblíčje,бет-аузы
9,Stirn::N,čêlo,маңдай
10,Haar::N,lás,қыл
11,Schnurrbart::N,bŕki,мұрт
12,Bart::N,bráda,сақал
13,Kinn::N,bráda,иек
14,Kiefer[Anatomie]::N,čeljúst,жақ
15,Kehle::N,gŕlo,алқым
16,Hals::N,vrát,мойын
17,Genick::N,zatílnik,желке
18,Kopf::N,gláva,кәллә
19,Rücken::N,hrbèt,арқа
20,Bauch::N,trébuh,қарын
21,Nabel::N,pópek,кіндік
22,Busen::N,nédrja,омырау
23,Brust::N,pŕsi,кеуде
24,Schulter::N,ráma,иық
25,Schulter::N,plêče,иық
26,Arm::N,rôka,қол
27,Ellenbogen::N,komólec,шынтақ
28,Hand::N,rôka,қол
29,Handfläche::N,dlán,алақан
30,Finger::N,pŕst,саусақ
31,Fingernagel::N,nóht na rôki,тырнақ
32,Nagel[Anatomie]::N,nóht,тырнақ
33,Zeh::N,pŕst na nôgi,тырнақ
34,Zeh::N,pŕst na nôgi,тұяқ
35,Fuß::N,nôga,аяқ-басы
36,Ferse::N,pêta,өкше
37,Ferse::N,pêta,өкшелік
38,Knie::N,koléno,тізе
39,Oberschenkel::N,stêgno,жамбас
40,Bein::N,nôga,аяқ
41,Körper::N,teló,дене
42,Haut::N,kóža,тері
43,Blut::N,krí,қан
44,Ader::N,žíla,көктамыр
45,Ader::N,žíla,күретамыр
46,Sehne::N,kíta,сіңір
47,Knochen::N,kóst,жілік
48,Gehirn::N,možgáni,ми
49,Herz::N,srcé,жүрек
50,Magen::N,želódec,асқазан
51,Leber::N,jétra,бауыр
52,Atem::N,díh,леп
53,Hunger::N,glád,ашаршылық
54,Träne::N,sólza,жас
55,Geschmack::N,okús,дәм
56,Geschmack::N,okús,татым
57,Geschmack::N,okús,талғам
58,Geruch::N,vónj,иіс
59,Schlaf::N,sèn,ұйқы
60,Schlaf::N,sèn,ұйықтау
61,Schlaf::N,spánec,ұйқы
62,Schlaf::N,spánec,ұйықтау
63,Traum::N,sánje,түс
64,Himmel::N,nebó,аспан
65,Himmel::N,nebó,көқ
66,Himmel::N,nebó,таңдай
67,Sonne::N,sónce,күн
68,Mond::N,lúna,ай
69,Mond::N,mésec,ай
70,Stern::N,zvézda,жұлдыз
71,Luft::N,zràk,әуе
72,Wind::N,véter,жел
73,Welle::N,vál,толқын
74,Wasser::N,vôda,су
75,Stein::N,kámen,тас
76,Boden::N,tlà,қыртыс
77,Erde::N,pŕst,топырақ
78,Erde::N,zêmlja,топырақ
79,Staub::N,práh,шаң
80,Rauch::N,dìm,түтін
81,Funke::N,ískra,ұшқын
82,Feuer::N,ôgenj,алау
83,Licht::N,lúč,шұғыла
84,Schatten::N,sénca,көлеңке
85,Wetter::N,vrême,ауа райы
86,Nebel::N,meglà,тұман
87,Wolke::N,oblák,бұлт
88,Regen::N,dèž,жаңбыр
89,Schnee::N,snég,қар
90,Eis::N,léd,мұз
91,Frost::N,zmrzál,суық
92,Kälte::N,mràz,ызғар
93,Kälte::N,mràz,суықтық
94,Hitze::N,pripéka,аптап
95,Raureif::N,ívje,қырау
96,Raureif::N,slána,қырау
97,Regenbogen::N,mávrica,кемпірқосақ
98,Donner::N,gròm,күн күркіреу
99,Strömung::N,strúja,ағын
100,Tropfen::N,káplja,тамшы
101,Schaum::N,péna,көбік
102,Schmutz::N,nesnága,кір
103,See::N,jézero,көл
104,Sumpf::N,močvírje,саз
105,Moor::N,bárje,саз
106,Wiese::N,trávnik,шалғын
107,Wald::N,lés,орман
108,Wald::N,gòzd,орман
109,Hügel::N,brég,төбе
110,Hügel::N,brég,белес
