,Concept_ID,br,el
0,Auge::N,lagad,μάτι
1,Auge::N,lagad,οφθαλμός
2,Ohr::N,skouarn,αυτί
3,Nase::N,fri,μύτη
4,Mund::N,genoù,στόμα
5,Zahn::N,dant,δόντι
6,Zunge::N,teod,γλώσσα
7,Lippe::N,muzell,χείλος
8,Wange::N,chot,παρειά
9,Wange::N,chot,μάγουλο
10,Gesicht::N,dremm,πρόσωπο
11,Stirn::N,tal,μέτωπο
12,Haar::N,blev,μαλλιά
13,Schnurrbart::N,mourenn,μουστάκι
14,Bart::N,barv,γένια
15,Kinn::N,groñj,πιγούνι
16,Kiefer[Anatomie]::N,javed,σαγόνι
17,Kehle::N,gouzoug,λαρύγγι
18,Hals::N,gouzoug,λαιμός
19,Genick::N,choug,σβέρκος
20,Kopf::N,penn,κεφάλι
21,Rücken::N,kein,ράχη
22,Bauch::N,kof,κοιλιά
23,Nabel::N,begel,αφαλός
24,Busen::N,bronn,στήθος
25,Brust::N,bruched,στήθος
26,Schulter::N,skoaz,ώμος
27,Arm::N,brec'h,χέρι
28,Arm::N,brec'h,μπράτςο
29,Ellenbogen::N,ilin,αγκώνας
30,Hand::N,dorn,χέρι
31,Handfläche::N,palv,παλάμη
32,Finger::N,biz,δάχτυλο
33,Fingernagel::N,ivin,νύχι
34,Nagel[Anatomie]::N,ivin,νύχι
35,Zeh::N,biz-troad,δάχτυλο του ποδιού
36,Fuß::N,troad,πόδι
37,Ferse::N,seul,φτέρνα
38,Knie::N,glin,γόνατο
39,Oberschenkel::N,morzhed,μηρός
40,Bein::N,gar,πόδι
41,Körper::N,korf,σώμα
42,Körper::N,korf,κορμί
43,Haut::N,kroc'hen,πετσί
44,Blut::N,gwad,αίμα
45,Ader::N,gwazhi,φλέβα
46,Sehne::N,stir,νεύρο
47,Sehne::N,stir,τένοντας
48,Knochen::N,askorn,οστό
49,Knochen::N,askorn,κόκκαλο
50,Gehirn::N,empenn,μυαλό
51,Gehirn::N,empenn,εγκέφαλος
52,Herz::N,kalon,καρδιά
53,Magen::N,stomog,στομάχι
54,Leber::N,avu,ήπαρ
55,Leber::N,avu,συκωτί
56,Atem::N,anal,αναπνοή
57,Hunger::N,naon,πείνα
58,Träne::N,daer,δάκρυ
59,Geschmack::N,blaz,γεύση
60,Geruch::N,c'hwezh,οσμή
61,Geruch::N,c'hwezh,μυρωδία
62,Schlaf::N,kousked,ύπνος
63,Traum::N,hune,όνειρο
64,Himmel::N,oabl,ουρανός
65,Sonne::N,heol,ήλιος
66,Mond::N,loar,σελήνη
67,Mond::N,loar,φεγγάρι
68,Stern::N,steredenn,άστρο
69,Stern::N,steredenn,αστέρι
70,Luft::N,aer,αέρας
71,Wind::N,avel,αέρας
72,Wind::N,avel,άνεμος
73,Welle::N,houlenn,κύμα
74,Wasser::N,dour,νερό
75,Stein::N,maen,πέτρα
76,Boden::N,tachenn,χώμα
77,Erde::N,douar,γη
78,Staub::N,poultr,σκόνη
79,Rauch::N,moged,καπνός
80,Funke::N,ful,σπίθα
81,Funke::N,ful,σπινθήρας
82,Feuer::N,tan,φωτιά
83,Licht::N,gouloù,φως
84,Schatten::N,disheol,σκιά
85,Schatten::N,disheol,ίσκιος
86,Wetter::N,amzer,καιρός
87,Nebel::N,brumenn,ομίχλη
88,Wolke::N,koumoulenn,σύννεφο
89,Regen::N,glav,βροχή
90,Schnee::N,erc'h,χιόνι
91,Eis::N,skorn,πάγος
92,Frost::N,rev,παγωνία
93,Kälte::N,yen,κρύο
94,Kälte::N,yen,ψύχος
95,Hitze::N,tommder,ζέστη
96,Raureif::N,frim,πάχνη
97,Regenbogen::N,gwareg-ar-glav,ουράνιο τόξο
98,Donner::N,kurun,βροντή
99,Strömung::N,red,ρεύμα
100,Tropfen::N,bannac'h,στάλα
101,Tropfen::N,takenn,στάλα
102,Schaum::N,spoum,αφρός
103,Schmutz::N,fank,βρωμιά
104,See::N,lenn,λίμνη
105,Sumpf::N,gwern,βάλτος
106,Moor::N,taouarc'heg,έλος
107,Wiese::N,prad,λιβάδι
108,Wald::N,koad,δάσος
109,Hügel::N,torgenn,λόφος
110,Anhöhe::N,run,ύψωμα
111,Berg::N,menez,όρος
112,Berg::N,menez,βουνό
113,Gipfel::N,barr,κορυφή
114,Höhle::N,kav,σπηλιά
115,Abhang::N,naou,πλαγιά
116,Quelle::N,feunteun,πηγή
117,Quelle::N,feunteun,βρύση
118,Bach::N,gwazh,ρυάκι
119,Fluss::N,stêr,ποτάμι
120,Fluss::N,stêr,ποταμός
121,Ufer::N,ribl,όχθη
122,Küste::N,aod,ακτή
123,Küste::N,aod,ακρογιαλιά
124,Festland::N,douar,στεριά
125,Meer::N,mor,θάλασσα
126,Bucht::N,mor-bihan,κόλπος
127,Insel::N,enez,νησί
128,Insel::N,enez,νήσος
129,Blume::N,bleunienn,άνθος
130,Blume::N,bleunienn,λουλούδι
131,Gras::N,geot,χόρτο
132,Gras::N,geot,χορτάρι
133,Wurzel::N,gwrizienn,ρίζα
134,Baum::N,gwezenn,δέντρο
135,Stamm::N,kef,κορμός
136,Rinde::N,rusk,φλούδα
137,Ast::N,barr,κλαδί
138,Zweig::N,bod,κλαδί
139,Zweig::N,bod,κλάδος
140,Blatt::N,delienn,φύλλο
141,Birke::N,bezvenn,σημύδα
142,Kiefer[Baum]::N,pinenn,πεύκο
143,Weide[Baum]::N,halegenn,ιτιά
144,Tanne::N,sapenn,έλατο
145,Horn::N,korn,κέρας
146,Horn::N,korn,κέρατο
147,Feder::N,pluñv,φτερό
148,Fell::N,kreoñ,δέρμα
149,Fell::N,kreoñ,τομάρι
150,Flügel::N,askell,πτερύγιο
151,Klaue::N,skilf,κουλό
152,Kralle::N,skilf,νύχι
153,Schwanz::N,lost,ουρά
154,Ei::N,vi,αβγό
155,Nest::N,neizh,φωλιά
156,Bau::N,douarenn,φωλιά
157,Tier::N,loen,ζώο
158,Herde::N,tropell,κοπάδι
159,Kuh::N,buoc'h,αγελάδα
160,Bulle::N,tarv,ταύρος
161,Pferd::N,marc'h,άλογο
162,Schaf::N,dañvad,πρόβατο
163,Schwein::N,pemoc'h,γουρούνι
164,Hund::N,ki,σκυλί
165,Hund::N,ki,σκύλος
166,Katze::N,kazh,γάτα
167,Bär::N,arzh,άρκτος
168,Bär::N,arzh,αρκούδα
169,Eichhörnchen::N,gwiñver,βερβερίτσα
170,Elch::N,karv-dour,άλκη
171,Fuchs::N,louarn,αλεπού
172,Hase::N,gad,λαγός
173,Maus::N,logodenn,ποντικός
174,Wolf::N,bleiz,λύκος
175,Vogel::N,labous,πουλί
176,Schwarm::N,nijad,σμήνος
177,Huhn::N,yar,κότα
178,Huhn::N,yar,όρνιθα
179,Hahn::N,kilhog,πετεινός
180,Gans::N,gwazenn,χήνα
181,Adler::N,erer,αετός
182,Ente::N,houad,πάπια
183,Eule::N,toud,κουκουβάγια
184,Kranich::N,garan,γερανός
185,Krähe::N,bran,καρακάξα
186,Kuckuck::N,koukoug,κούκος
187,Schwan::N,alarc'h,κύκνος
188,Fisch::N,pesk,ψάρι
189,Barsch::N,brell,πέρκα
190,Hecht::N,beked,λούτσος
191,Schlange[Tier]::N,naer,φίδι
192,Wurm::N,preñv,σκουλήκι
193,Spinne::N,kevnidenn,αράχνη
194,Ameise::N,merion,μυρμήγκι
195,Laus::N,laouenn,ψείρα
196,Mücke::N,moustik,κουνούπι
197,Fliege::N,kelienenn,μύγα
198,Schmetterling::N,balafenn,πεταλούδα
199,Beere::N,hog,ρόγα
200,Apfel::N,aval,μήλο
201,Pilz::N,kabell-touseg,μανιτάρι
202,Zwiebel::N,ognonenn,κρεμμύδι
203,Saat::N,had,σπόρος
204,Korn::N,ed,σπυρί
205,Heu::N,foenn,σανός
206,Schale::N,peliadur,τσόφλι
207,Falle::N,pech,παγίδα
208,Schlinge::N,krouglas,θηλειά
209,Asche::N,ludu,στάχτη
210,Dreck::N,fank,βρωμιά
211,Eisen::N,houarn,σίδερο
212,Gold::N,aour,μάλαμα
213,Gold::N,aour,χρυσάφι
214,Silber::N,arc'hant,ασήμι
215,Silber::N,arc'hant,άργυρος
216,Kohle::N,glaou,κάρβουνο
217,Glas::N,gwer,γυαλί
218,Sand::N,traezh,άμμος
219,Mensch::N,den,άνθρωπος
220,Mann::N,den,άνδρας
221,Frau::N,maouez,γυναίκα
222,Kind::N,bugel,παιδί
223,Junge::N,paotr,αγόρι
224,Mädchen::N,plac'h,κοπέλα
225,Mädchen::N,plac'h,κορίτσι
226,Familie::N,familh,οικογένεια
227,Großvater::N,tad-kozh,παππούς
228,Großmutter::N,mamm-gozh,γιαγιά
229,Eltern::N,kerent,γονείς
230,Vater::N,tad,πατέρας
231,Mutter::N,mamm,μητέρα
232,Sohn::N,mab,γιος
233,Tochter::N,merc'h,κόρη
234,Bruder::N,breur,αδελφός
235,Schwester::N,c'hoar,αδελφή
236,Onkel::N,eontr,θείος
237,Tante::N,moereb,θεία
238,Ehemann::N,gwaz,σύζυγος
239,Ehefrau::N,gwreg,σύζυγος
240,Freude::N,levenez,χαρά
241,Gelächter::N,c'hoarzherezh,γέλια
242,Glück::N,chañs,ευτυχία
243,Kummer::N,doan,έγνοια
244,Wunsch::N,c'hoant,επιθυμία
245,Lust::N,c'hoant,όρεξη
246,Geist::N,spered,πνέυμα
247,Gedanke::N,soñj,σκέψη
248,Gedächtnis::N,eñvor,μνήμη
249,Verstand::N,skiant,νους
250,Sinn::N,ster,νόημα
251,Grund::N,kaoz,λόγος
252,Wahrheit::N,gwirionez,αλήθεια
253,Gespräch::N,kaozeadenn,συνομιλία
254,Märchen::N,kaoz korriganez,παραμύθι
255,Erzählung::N,kontadenn,διήγημα
256,Nachricht::N,keloù,είδηση
257,Neuigkeit::N,kelaouenn,νέο
258,Name::N,anv,όνομα
259,Rätsel::N,divinatez,αίνιγμα
260,Rede::N,diskour,λόγος
261,Rede::N,diskour,ομιλία
262,Sprache::N,yezh,γλώσσα
263,Stimme::N,mouezh,φωνή
264,Wort::N,ger,λέξη
265,Zeichen::N,sin,σημείο
266,Ruf::N,galv,κραυγή
267,Lärm::N,trouz,θόρυβος
268,Ton::N,ton,ήχος
269,Ton::N,ton,τόνος
270,Lied::N,kanaouenn,τραγούδι
271,Ruhe::N,sioulded,ησυχία
272,Leute::N,tud,κόσμος
273,Leute::N,tud,άνθρωποι
274,Volk::N,pobl,λαός
275,Arbeit::N,labour,εργασία
276,Gast::N,kouviad,επισκέπτης
277,Geschenk::N,prof,δώρο
278,Spiel::N,c'hoari,παιχνίδι
279,Gesellschaft::N,kompagnunezh,κοινωνία
280,Gesellschaft::N,kavandad,κοινωνία
281,Hilfe::N,sikour,βοήθεια
282,Freund::N,mignon,φίλος
283,Kamerad::N,kamarad,σύντροφος
284,Angelegenheit::N,afer,υπόθεση
285,Anzahl::N,niver,αριθμός
286,Art::N,sort,είδος
287,Stück::N,tamm,κομμάτι
288,Teil::N,pezh,μέρος
289,Hälfte::N,hanterenn,μισό
290,Kreis::N,kelc'h,κύκλος
291,Kreuz::N,kroaz,σταυρός
292,Linie::N,linenn,γραμμή
293,Strich::N,tenn,γραμμή
294,Abstand::N,distok,απόσταση
295,Entfernung::N,keid,απόσταση
296,Entfernung::N,kehid,απόσταση
297,Gegend::N,korn-bro,περιοχή
298,Gegend::N,korn-bro,τοποθεσία
299,Platz::N,plasenn,χώρος
300,Ort::N,lec'h,τόπος
301,Seite::N,tu,πλευρά
302,Mitte::N,kreiz,μέση
