,Concept_ID,fa,te
0,Auge::N,چشم,కన్ను
1,Ohr::N,گوش,చెవి
2,Nase::N,بینی,ముక్కు
3,Mund::N,دهان,నోరు
4,Zahn::N,دندان,పల్లు
5,Zunge::N,زبان,నాలుక
6,Lippe::N,لب,పెదవి
7,Wange::N,لپ,చెంప
8,Gesicht::N,رو,ముఖము
9,Gesicht::N,چهره,ముఖము
10,Stirn::N,پیشانی,నుదురు
11,Haar::N,مو,వెండ్రుక
12,Schnurrbart::N,سبیل,మీసము
13,Bart::N,ریش,గడ్డము
14,Kinn::N,چانه,గడ్డము
15,Kiefer[Anatomie]::N,فک,దౌడ
16,Kiefer[Anatomie]::N,آرواره,దౌడ
17,Kehle::N,حلق,గొంతు
18,Hals::N,گردن,మెడ
19,Genick::N,پشت گردن,మూపు
20,Kopf::N,سر,తల
21,Kopf::N,کله,తల
22,Rücken::N,پشت,వెన్ను
23,Bauch::N,شکم,కడుపు
24,Nabel::N,ناف,బొడ్డు
25,Busen::N,پستان,స్తనము
26,Brust::N,سینه,ఱొమ్ము
27,Schulter::N,دوش,భుజము
28,Schulter::N,شانه,భుజము
29,Arm::N,بازو,చేయి
30,Ellenbogen::N,آرنج,మోచేయి
31,Hand::N,دست,చేయి
32,Handfläche::N,کف دست,అరచేయు
33,Finger::N,انگشت,చేతిప్రేలు
34,Fingernagel::N,ناخن دست,గోరు
35,Nagel[Anatomie]::N,ناخن,గోరు
36,Zeh::N,انگشت پا,కాలిప్రేలు
37,Fuß::N,پا,అడుగు
38,Ferse::N,پاشنه,మడమ
39,Knie::N,زانو,మోకాలు
40,Oberschenkel::N,ران,తొడ
41,Bein::N,پا,కాలు
42,Bein::N,لنگ,కాలు
43,Körper::N,تن,కాయము
44,Körper::N,بدن,కాయము
45,Haut::N,پوست,చర్మము
46,Blut::N,خون,రక్తము
47,Ader::N,رگ,సిర
48,Sehne::N,زردپی,స్నాయువు
49,Knochen::N,استخوان,ఎముక
50,Gehirn::N,مخ,మెదడు
51,Gehirn::N,مغز,మెదడు
52,Herz::N,دل,హృదయము
53,Herz::N,قلب,హృదయము
54,Magen::N,معده,కడుపు
55,Leber::N,کبد,కాలేయము
56,Atem::N,نفس,ఉపిరి
57,Hunger::N,گرسنگی,ఆకలి
58,Träne::N,اشک,కన్నీటిచుక్క
59,Geschmack::N,مزه,రుచి
60,Geruch::N,بو,వాసన
61,Schlaf::N,خواب,నిద్ర
62,Traum::N,رؤیا,కల
63,Himmel::N,فلک,ఆకాశము
64,Himmel::N,آسمان,ఆకాశము
65,Sonne::N,آفتاب,సూర్యుడు
66,Sonne::N,خورشید,సూర్యుడు
67,Mond::N,ماه,చంద్రుడు
68,Stern::N,ستاره,నక్షత్రము
69,Luft::N,هوا,గాలి
70,Wind::N,باد,వీచుచున్నగాలి
71,Welle::N,موج,అల
72,Wasser::N,آب,నీరు
73,Stein::N,سنگ,ఱాయి
74,Boden::N,زمین,నేల
75,Erde::N,خاک,మన్ను
76,Erde::N,زمین,మన్ను
77,Staub::N,گرد,దుమ్ము
78,Staub::N,غبار,దుమ్ము
79,Rauch::N,دود,పొగ
80,Funke::N,جرقه,అగ్నికణము
81,Feuer::N,آتش,అగ్ని
82,Licht::N,نور,కాంతి
83,Licht::N,روشنی,కాంతి
84,Schatten::N,سایه,నీడ
85,Wetter::N,هوا,వాతావరణ స్థితి
86,Nebel::N,مه,పొగమంచు
87,Wolke::N,ابر,మేఘము
88,Regen::N,باران,వాన
89,Schnee::N,برف,హిమము
90,Eis::N,یخ,మంచుగడ్డ
91,Frost::N,یخبندان,పేరిన మంచు
92,Kälte::N,سرما,చలి
93,Hitze::N,گرما,వేడిమి
94,Hitze::N,حرارت,వేడిమి
95,Raureif::N,برف ریزه,మంచు
96,Regenbogen::N,رنگین‌کمان,ఇంద్రధనుస్సు
97,Donner::N,رعد,ఉరుము
98,Strömung::N,جریان,ప్రవాహము
99,Tropfen::N,قطره,చుక్క
100,Schaum::N,کف,నురుగు
101,Schmutz::N,گل,మైల
102,Schmutz::N,کثافت,మైల
103,See::N,دریاچه,సరస్సు
104,Sumpf::N,مرداب,చిత్తడినేల
105,Sumpf::N,باتلاق,చిత్తడినేల
106,Moor::N,باتلاق,చిత్తడినేల
107,Wiese::N,چمن,పచ్చిక బయలు
108,Wald::N,جنگل,అడవి
109,Hügel::N,تل,చివ్నకొండ
110,Hügel::N,تپه,చివ్నకొండ
111,Anhöhe::N,بلندی,కొండ
112,Berg::N,کوه,పర్వతము
113,Gipfel::N,قله,శిఖరము
114,Höhle::N,غار,గుహ
115,Abhang::N,سرازیری,ఏటవాలు
116,Quelle::N,چشمه,మూలము
117,Bach::N,نهر,కాలువ
118,Fluss::N,رود,నది
119,Ufer::N,ساحل,తీరము
120,Ufer::N,کرانه,తీరము
121,Küste::N,ساحل,తీరము
122,Festland::N,خشکی,భూమి
123,Meer::N,دریا,సముద్రము
124,Bucht::N,خلیج,మరుగు
125,Insel::N,جزیره,దీవి
126,Blume::N,گل,పుష్పము
127,Gras::N,علف,పచ్చగడ్డి
128,Wurzel::N,ریشه,వేరు
129,Baum::N,درخت,చెట్టు
130,Stamm::N,تنه,చెట్టుబోదె
131,Rinde::N,توژ,చెట్టుపట్ట
132,Rinde::N,پوست,చెట్టుపట్ట
133,Ast::N,شاخه,కొమ్మ
134,Zweig::N,شاخه,చివుకు
135,Blatt::N,برگ,ఆకు
136,Birke::N,غان,తరహా చెట్టు
137,Kiefer[Baum]::N,کاج,దేవదారు చెట్టు
138,Weide[Baum]::N,بید,జాతిచెట్టు
139,Tanne::N,صنوبر,దేవదారుచెట్టు
140,Horn::N,شاخ,కొమ్ము
141,Feder::N,پر,ఈక
142,Fell::N,خز,తోలు
143,Flügel::N,پر,ఱెక్క
144,Flügel::N,بال,ఱెక్క
145,Klaue::N,چنگ,వంకరగోరు
