,Concept_ID,fr,ps
0,Auge::N,œil,سترګه
1,Ohr::N,oreille,غوږ
2,Nase::N,nez,پوزه
3,Mund::N,bouche,خوله
4,Zahn::N,dent,غاښ
5,Zunge::N,langue,جبه
6,Lippe::N,lèvre,شونډه
7,Wange::N,joue,باړخو
8,Gesicht::N,face,مخ
9,Gesicht::N,visage,مخ
10,Stirn::N,front,تندی
11,Stirn::N,front,وچولی
12,Haar::N,cheveu,وېښته
13,Schnurrbart::N,moustache,برېت
14,Bart::N,barbe,ږیره
15,Kinn::N,menton,زنه
16,Kiefer[Anatomie]::N,mâchoire,جامه
17,Kehle::N,gorge,غاړه
18,Hals::N,cou,غاړه
19,Genick::N,nuque,ورمېږ
20,Kopf::N,tête,سر
21,Rücken::N,dos,شا
22,Bauch::N,ventre,نس
23,Bauch::N,ventre,ګېډه
24,Nabel::N,nombril,نوم
25,Busen::N,sein,تی
26,Brust::N,poitrine,سینه
27,Schulter::N,épaule,اوږه
28,Arm::N,bras,لاس
29,Ellenbogen::N,coude,څنګل
30,Hand::N,main,لاس
31,Handfläche::N,paume,ورغوی
32,Finger::N,doigt,ګوته
33,Fingernagel::N,ongle,نوک
34,Nagel[Anatomie]::N,ongle,نوک
35,Zeh::N,orteil,ګوته
36,Zeh::N,doigt de pied,ګوته
37,Fuß::N,pied,پښه
38,Ferse::N,talon,پونده
39,Knie::N,genou,زنګون
40,Oberschenkel::N,cuisse,پتون
41,Bein::N,jambe,پښه
42,Körper::N,corps,ځان
43,Haut::N,peau,پوټکی
44,Blut::N,sang,وینه
45,Ader::N,veine,رګ
46,Sehne::N,tendon,پله
47,Knochen::N,os,هډوکی
48,Gehirn::N,cerveau,ماغزه
49,Herz::N,cœur,زړه
50,Magen::N,estomac,معده
51,Leber::N,foie,ينه
52,Leber::N,foie,ځیګر
53,Atem::N,haleine,نفس
54,Hunger::N,faim,ولږه
55,Träne::N,larme,اوښکه
56,Geschmack::N,goût,مزه
57,Geschmack::N,goût,خوند
58,Geschmack::N,saveur,مزه
59,Geschmack::N,saveur,خوند
60,Geruch::N,odeur,بوی
61,Schlaf::N,sommeil,خوب
62,Traum::N,songe,خوب
63,Himmel::N,ciel,اسمان
64,Sonne::N,soleil,لمر
65,Mond::N,lune,سپوږمۍ
66,Stern::N,étoile,ستوری
67,Luft::N,air,هوا
68,Wind::N,vent,ورښ
69,Welle::N,vague,موج
