,Concept_ID,xal,kk
0,Auge::N,нүдн,көз
1,Ohr::N,чикн,құлақ
2,Nase::N,хамр,мұрын
3,Mund::N,амн,ауыз
4,Zahn::N,шүдн,тіс
5,Zunge::N,келн,тіл
6,Lippe::N,урл,ерін
7,Wange::N,халх,ұрт
8,Gesicht::N,нүр,бет-аузы
9,Stirn::N,маңна,маңдай
10,Haar::N,үсн,қыл
11,Schnurrbart::N,сахл,мұрт
12,Bart::N,сахл,сақал
13,Bart::N,өргнә сахл,сақал
14,Kinn::N,өргн,иек
15,Kiefer[Anatomie]::N,өргн,жақ
16,Kehle::N,хол,алқым
17,Hals::N,күзүн,мойын
18,Genick::N,гиҗг,желке
19,Kopf::N,толһа,кәллә
20,Rücken::N,нурһн,арқа
21,Bauch::N,гесн,қарын
22,Nabel::N,киисн,кіндік
23,Busen::N,көкн,омырау
24,Brust::N,чееҗ,кеуде
25,Schulter::N,ээм,иық
26,Arm::N,һар,қол
27,Ellenbogen::N,тоха,шынтақ
28,Hand::N,баһлцг,қол
29,Handfläche::N,альхн,алақан
30,Finger::N,хурһн,саусақ
31,Finger::N,һарин хурһн,саусақ
32,Fingernagel::N,хумсн,тырнақ
33,Nagel[Anatomie]::N,хумсн,тырнақ
34,Zeh::N,хурһн,тырнақ
35,Zeh::N,хурһн,тұяқ
36,Zeh::N,көлин хурһн,тырнақ
37,Zeh::N,көлин хурһн,тұяқ
38,Fuß::N,тавг,аяқ-басы
39,Ferse::N,өскә,өкше
40,Ferse::N,өскә,өкшелік
41,Knie::N,өвдг,тізе
42,Oberschenkel::N,һуй,жамбас
43,Bein::N,көл,аяқ
44,Körper::N,махмуд,дене
45,Haut::N,арсн,тері
46,Blut::N,цусн,қан
47,Ader::N,судцн,көктамыр
48,Ader::N,судцн,күретамыр
49,Sehne::N,шүрүсн,сіңір
50,Knochen::N,ясн,жілік
51,Gehirn::N,экн,ми
52,Herz::N,зүркн,жүрек
53,Magen::N,гесн,асқазан
54,Leber::N,элкн,бауыр
55,Atem::N,әмсхл,леп
56,Hunger::N,харһнлһн,ашаршылық
57,Träne::N,нульмсн,жас
58,Geschmack::N,амтн,дәм
59,Geschmack::N,амтн,татым
60,Geschmack::N,амтн,талғам
61,Geruch::N,үнр,иіс
62,Schlaf::N,нөр,ұйқы
63,Schlaf::N,нөр,ұйықтау
64,Traum::N,зүүдн,түс
65,Himmel::N,теңгр,аспан
66,Himmel::N,теңгр,көқ
67,Himmel::N,теңгр,таңдай
68,Sonne::N,нарн,күн
69,Mond::N,сар,ай
70,Stern::N,одн,жұлдыз
71,Luft::N,аһар,әуе
72,Wind::N,салькн,жел
73,Welle::N,дольган,толқын
74,Wasser::N,усн,су
75,Stein::N,чолун,тас
76,Boden::N,Һазр,қыртыс
77,Erde::N,Һазр,топырақ
78,Staub::N,тоосн,шаң
79,Rauch::N,утан,түтін
80,Funke::N,очн,ұшқын
81,Feuer::N,һал,алау
82,Licht::N,герл,шұғыла
83,Schatten::N,сүүдр,көлеңке
84,Wetter::N,теңгр,ауа райы
85,Nebel::N,будн,тұман
86,Wolke::N,үүлн,бұлт
87,Regen::N,хур,жаңбыр
88,Schnee::N,цасн,қар
89,Eis::N,мөсн,мұз
90,Frost::N,киитн,суық
91,Kälte::N,киитн,ызғар
92,Kälte::N,киитн,суықтық
93,Hitze::N,халун,аптап
94,Raureif::N,цаң,қырау
95,Raureif::N,кирү,қырау
96,Regenbogen::N,солңһ,кемпірқосақ
97,Donner::N,оһтрһун дун,күн күркіреу
98,Strömung::N,урсхл,ағын
99,Tropfen::N,дусал,тамшы
100,Schaum::N,көөсн,көбік
101,Schmutz::N,кир,кір
102,See::N,нур,көл
103,Sumpf::N,унул,саз
104,Moor::N,улм,саз
105,Wiese::N,хадлһн,шалғын
106,Wald::N,ө-модн,орман
107,Hügel::N,толһа,төбе
108,Hügel::N,толһа,белес
109,Hügel::N,толһа,белес-белес
110,Anhöhe::N,хамр,дөң
111,Anhöhe::N,хамр,адыр
112,Anhöhe::N,хамр,қырат
113,Berg::N,уул,тау
114,Gipfel::N,ора,төбе
115,Höhle::N,хадин көндә,үңгір
116,Abhang::N,ташу,бауыр
117,Quelle::N,булг,қайнар
118,Bach::N,һооҗур,жылға
119,Fluss::N,һол,өзен
120,Ufer::N,көвә,жиек
121,Küste::N,көвә,жиегі
122,Küste::N,көвә,жағалау
123,Küste::N,теңгсин көвә,жиегі
124,Küste::N,теңгсин көвә,жағалау
125,Festland::N,хүүрә һазр,құрылық
126,Meer::N,теңгс,теңіз
127,Bucht::N,цекә,шығанақ
128,Bucht::N,теңгсин цекә,шығанақ
129,Insel::N,арл,арал
130,Blume::N,цецг,гүл
131,Gras::N,ноһан,от
132,Wurzel::N,уңг,түбір
133,Baum::N,модн,ағаш
134,Baum::N,модн,дарақ
