,Concept_ID,kk,mdf
0,Auge::N,көз,сельме
1,Ohr::N,құлақ,пиле
2,Nase::N,мұрын,шалхка
3,Mund::N,ауыз,курга
4,Zahn::N,тіс,пей
5,Zunge::N,тіл,кяль
6,Lippe::N,ерін,търва́
7,Wange::N,ұрт,щёка
8,Gesicht::N,бет-аузы,шама
9,Stirn::N,маңдай,коня
10,Haar::N,қыл,шя́ярь
11,Schnurrbart::N,мұрт,уса́
12,Bart::N,сақал,сакал
13,Kinn::N,иек,ула
14,Kiefer[Anatomie]::N,жақ,саласка
15,Kehle::N,алқым,кълдома
16,Kehle::N,алқым,кърга́парь
17,Hals::N,мойын,сялдаз
18,Genick::N,желке,шовонь
19,Kopf::N,кәллә,пря
20,Rücken::N,арқа,копорь
21,Bauch::N,қарын,пеке
22,Nabel::N,кіндік,по́кон
23,Busen::N,омырау,потя
24,Brust::N,кеуде,мяште
25,Schulter::N,иық,лафту
26,Arm::N,қол,кядь
27,Ellenbogen::N,шынтақ,кенерьба́карь
28,Hand::N,қол,кядь
29,Handfläche::N,алақан,кядьлапш
30,Finger::N,саусақ,сур
31,Fingernagel::N,тырнақ,кенже
32,Nagel[Anatomie]::N,тырнақ,кенже
33,Zeh::N,тырнақ,пильгосу́р
34,Zeh::N,тұяқ,пильгосу́р
35,Fuß::N,аяқ-басы,пильге
36,Fuß::N,аяқ-басы,пильгелапа
37,Ferse::N,өкше,кочкяря
38,Ferse::N,өкшелік,кочкяря
39,Knie::N,тізе,эль
40,Knie::N,тізе,пълма́нжа
41,Oberschenkel::N,жамбас,пильгепукша
42,Bein::N,аяқ,пильге
43,Körper::N,дене,ро́нга
44,Körper::N,дене,по́нда
45,Haut::N,тері,киське
46,Blut::N,қан,вер
47,Ader::N,көктамыр,сан
48,Ader::N,көктамыр,верза́н
49,Ader::N,күретамыр,сан
50,Ader::N,күретамыр,верза́н
51,Sehne::N,сіңір,коське сан
52,Knochen::N,жілік,пакарь
53,Gehirn::N,ми,уй
54,Herz::N,жүрек,седи
55,Magen::N,асқазан,коткърдазь
56,Leber::N,бауыр,макса
57,Atem::N,леп,лекома
58,Atem::N,леп,ваймонь тарксема
59,Hunger::N,ашаршылық,вачеши
60,Träne::N,жас,сельмове́дь
61,Geschmack::N,дәм,таньф
62,Geschmack::N,татым,таньф
63,Geschmack::N,талғам,таньф
64,Geruch::N,иіс,шине
65,Schlaf::N,ұйқы,удома́
66,Schlaf::N,ұйықтау,удома́
67,Traum::N,түс,он
68,Himmel::N,аспан,менель
69,Himmel::N,көқ,менель
70,Himmel::N,таңдай,менель
71,Sonne::N,күн,ши
72,Mond::N,ай,ков
73,Stern::N,жұлдыз,тяште
74,Luft::N,әуе,кожф
75,Wind::N,жел,варма
76,Welle::N,толқын,тавла
77,Wasser::N,су,ведь
78,Stein::N,тас,кев
79,Boden::N,қыртыс,мода
80,Boden::N,қыртыс,потмакс
81,Erde::N,топырақ,мода
82,Erde::N,топырақ,мастор
83,Staub::N,шаң,пуль
84,Rauch::N,түтін,качам
85,Funke::N,ұшқын,ця́тка
86,Feuer::N,алау,тол
87,Licht::N,шұғыла,ва́лда
88,Schatten::N,көлеңке,цильф
89,Wetter::N,ауа райы,уша
90,Nebel::N,тұман,тума́н
91,Wolke::N,бұлт,ковол
92,Regen::N,жаңбыр,пизем
93,Schnee::N,қар,лов
94,Eis::N,мұз,эй
95,Frost::N,суық,ке́льме
96,Kälte::N,ызғар,якшама
97,Kälte::N,суықтық,якшама
98,Hitze::N,аптап,пси
99,Raureif::N,қырау,леш
100,Regenbogen::N,кемпірқосақ,а́тямъёнга
101,Donner::N,күн күркіреу,атям
102,Strömung::N,ағын,шудема́
103,Tropfen::N,тамшы,путькс
104,Tropfen::N,тамшы,пътняфкс
105,Schaum::N,көбік,шов
106,Schmutz::N,кір,ърда́з
107,See::N,көл,эрьхке
108,Sumpf::N,саз,шяй
109,Moor::N,саз,шяй
110,Wiese::N,шалғын,луга
111,Wald::N,орман,вирь
112,Hügel::N,төбе,губо́р
113,Hügel::N,төбе,пандоня
114,Hügel::N,белес,губо́р
115,Hügel::N,белес,пандоня
116,Hügel::N,белес-белес,губо́р
117,Hügel::N,белес-белес,пандоня
118,Anhöhe::N,дөң,губо́р
119,Anhöhe::N,адыр,губо́р
120,Anhöhe::N,қырат,губо́р
121,Berg::N,тау,панда
122,Gipfel::N,төбе,пря
123,Höhle::N,үңгір,у́нда
124,Abhang::N,бауыр,па́нда ша́ма
125,Quelle::N,қайнар,эшиня
126,Bach::N,жылға,шудерькс
127,Fluss::N,өзен,ляй
128,Ufer::N,жиек,търва́
129,Küste::N,жиегі,ляйтърва́
130,Küste::N,жағалау,ляйтърва́
131,Festland::N,құрылық,мода
132,Meer::N,теңіз,моря
133,Bucht::N,шығанақ,ведьуське
134,Insel::N,арал,цёнга
135,Blume::N,гүл,панчф
136,Gras::N,от,тише
137,Wurzel::N,түбір,юр
138,Wurzel::N,түбір,ункс
139,Baum::N,ағаш,шуфта
140,Baum::N,дарақ,шуфта
141,Stamm::N,сояу,ро́нга
142,Stamm::N,оқпан,ро́нга
143,Rinde::N,қабық,кер
144,Ast::N,бұтақ,морга
145,Zweig::N,шыбық,тарад
146,Blatt::N,жапырақ,лопа
147,Birke::N,қайың,ке́лу
148,Kiefer[Baum]::N,қарағай,пиче
149,Weide[Baum]::N,тал,каль
150,Tanne::N,шырша,куз
151,Horn::N,мүйіз,сюра
152,Feder::N,қаламұш,толга
153,Fell::N,тері,кедь
154,Flügel::N,қанат,паця
155,Klaue::N,тырнақ,кенже
156,Kralle::N,аяқ,кенже
157,Schwanz::N,құйрық,пула
158,Ei::N,жұмыртқа,ал
159,Nest::N,ұя,пиза
160,Bau::N,жатақ,пиза
161,Tier::N,айуан,жува́та
162,Tier::N,жануар,жува́та
163,Herde::N,пада,нал
164,Herde::N,пада,стада
165,Kuh::N,сиыр,скал
166,Kuh::N,сиыр,тракс
167,Bulle::N,өгіз,бука
168,Pferd::N,жылқы,лишме
169,Schaf::N,қой,уча́
170,Schwein::N,шошқа,тува
171,Hund::N,ит,пине
172,Katze::N,мысық,катоня
173,Katze::N,мысық,аваката
174,Bär::N,аю,офта
175,Eichhörnchen::N,тиін,ур
176,Elch::N,бұғы,ся́рда
177,Fuchs::N,түлкі,келазь
178,Hase::N,қоян,ну́мол
179,Maus::N,қаптесер,шеер
180,Wolf::N,бөрі,върьгаз
181,Wolf::N,қасқыр,върьгаз
182,Vogel::N,құс,нармонь
183,Schwarm::N,топ,ко́вол
184,Schwarm::N,топ,ме́швеле
185,Schwarm::N,үйір,ко́вол
186,Schwarm::N,үйір,ме́швеле
187,Huhn::N,тауық,сараз
188,Huhn::N,мекиен,сараз
189,Hahn::N,әтеш,а́тякш
190,Hahn::N,қораз,а́тякш
191,Gans::N,қаз,маци
192,Adler::N,бүркіт,куцькан
193,Ente::N,үйрек,яксярга
194,Eule::N,жапалақ,ко́рож
195,Kranich::N,тырна,ка́рга
196,Krähe::N,қарға,ва́рси
197,Kuckuck::N,көкек,ку́ку
198,Schwan::N,аққу,ло́ксти
199,Fisch::N,балық,кал
200,Barsch::N,алабұға,о́кунь
201,Hecht::N,шортан,щу́ка
202,Schlange[Tier]::N,жылан,куй
203,Wurm::N,шұбалшаң,сукс
204,Spinne::N,өрмекші,унжа́
