,Concept_ID,is,en
0,Auge::N,auga,eye
1,Ohr::N,eyra,ear
2,Nase::N,nef,nose
3,Mund::N,munnur,mouth
4,Zahn::N,tönn,tooth
5,Zunge::N,tunga,tongue
6,Lippe::N,vör,lip
7,Wange::N,kinn,cheek
8,Wange::N,vangi,cheek
9,Gesicht::N,andlit,face
10,Stirn::N,enni,forehead
11,Haar::N,hár,hair
12,Schnurrbart::N,yfirskegg,moustache
13,Bart::N,skegg,beard
14,Kinn::N,haka,chin
15,Kiefer[Anatomie]::N,kjálki,jaw
16,Kiefer[Anatomie]::N,skoltur,jaw
17,Kehle::N,kverk,throat
18,Hals::N,háls,neck
19,Genick::N,hnakki,nape
20,Kopf::N,höfuð,head
21,Rücken::N,hryggur,back
22,Rücken::N,hryggur,spine
23,Bauch::N,kviður,belly
24,Nabel::N,nafli,navel
25,Busen::N,barmur,bosom
26,Brust::N,brjóst,chest
27,Brust::N,brjóst,breast
28,Schulter::N,öxl,shoulder
29,Arm::N,armur,arm
30,Ellenbogen::N,olnbogi,elbow
31,Hand::N,hönd,hand
32,Handfläche::N,lófi,palm
33,Finger::N,fingur,finger
34,Fingernagel::N,fingurnögl,fingernail
35,Nagel[Anatomie]::N,nögl,nail
36,Zeh::N,tá,toe
37,Fuß::N,fótur,foot
38,Ferse::N,hæll,heel
39,Knie::N,kné,knee
40,Oberschenkel::N,læri,thigh
41,Bein::N,fótleggur,leg
42,Körper::N,búkur,body
43,Körper::N,líkami,body
44,Haut::N,húð,skin
45,Haut::N,skinn,skin
46,Blut::N,blóð,blood
47,Ader::N,æð,vein
48,Sehne::N,sin,sinew
49,Knochen::N,bein,bone
50,Gehirn::N,heili,brain
51,Herz::N,hjarta,heart
52,Magen::N,magi,stomach
53,Leber::N,lifur,liver
54,Atem::N,andi,breath
55,Atem::N,andardráttur,breath
56,Hunger::N,hungur,hunger
57,Träne::N,tár,tear
58,Geschmack::N,smekkur,flavour
59,Geschmack::N,smekkur,flavor
60,Geruch::N,lykt,odour
61,Geruch::N,lykt,odor
62,Schlaf::N,svefn,sleep
63,Traum::N,draumur,dream
64,Himmel::N,himinn,sky
65,Sonne::N,sól,sun
66,Mond::N,tungl,moon
67,Stern::N,stjarna,star
68,Luft::N,loft,air
69,Wind::N,vindur,wind
70,Welle::N,alda,wave
71,Welle::N,bylgja,wave
72,Wasser::N,vatn,water
73,Stein::N,steinn,stone
74,Boden::N,botn,soil
75,Boden::N,botn,ground
76,Erde::N,jörð,earth
77,Staub::N,ryk,dust
78,Staub::N,duft,dust
79,Rauch::N,reykur,smoke
80,Funke::N,neisti,spark
81,Feuer::N,eldur,fire
82,Licht::N,ljós,light
83,Schatten::N,skuggi,shadow
84,Wetter::N,veður,weather
85,Nebel::N,þoka,fog
86,Wolke::N,ský,cloud
87,Regen::N,regn,rain
88,Schnee::N,snjór,snow
89,Eis::N,ís,ice
90,Frost::N,frost,frost
91,Kälte::N,kuldi,chill
92,Hitze::N,hiti,heat
93,Raureif::N,hrím,hoarfrost
94,Regenbogen::N,regnbogi,rainbow
95,Donner::N,þruma,thunder
96,Strömung::N,straumur,current
97,Tropfen::N,dropi,drop
98,Schaum::N,froða,foam
99,Schmutz::N,óhreinindi,dirt
100,See::N,stöðuvatn,lake
101,Sumpf::N,fen,swamp
102,Moor::N,mýri,moor
103,Wiese::N,engi,meadow
104,Wald::N,skógur,forest
105,Hügel::N,hæð,hill
106,Hügel::N,hóll,hill
107,Anhöhe::N,hæð,elevation
108,Anhöhe::N,hóll,elevation
109,Berg::N,fell,mountain
110,Berg::N,fjall,mountain
111,Gipfel::N,tindur,summit
112,Höhle::N,hellir,cave
113,Abhang::N,hlíð,slope
114,Abhang::N,brekka,slope
115,Quelle::N,lind,source
116,Quelle::N,uppspretta,source
117,Bach::N,lækur,brook
118,Fluss::N,á,river
119,Fluss::N,fljót,river
120,Ufer::N,árbakki,shore
121,Ufer::N,sjávarbakki,shore
122,Küste::N,strönd,coast
123,Festland::N,meginland,land
124,Meer::N,haf,sea
125,Meer::N,sjór,sea
126,Bucht::N,vík,cove
127,Insel::N,eyja,island
128,Blume::N,blóm,flower
129,Gras::N,gras,grass
130,Wurzel::N,rót,root
131,Baum::N,tré,tree
132,Stamm::N,stofn,trunk
133,Rinde::N,börkur,bark
134,Ast::N,grein,limb
135,Zweig::N,angi,branch
136,Zweig::N,kvistur,branch
137,Blatt::N,blað,leaf
138,Birke::N,birki,birch
139,Kiefer[Baum]::N,fura,pine
140,Weide[Baum]::N,víðir,willow
141,Tanne::N,greni,fir
142,Horn::N,horn,horn
