,Concept_ID,lv,sk
0,Auge::N,син,oko
1,Auge::N,acs,oko
2,Ohr::N,пель,ucho
3,Ohr::N,auss,ucho
4,Nase::N,ныр,nos
5,Nase::N,deguns,nos
6,Mund::N,вом,ústa
7,Mund::N,mute,ústa
8,Zahn::N,пинь,zub
9,Zahn::N,zobs,zub
10,Zunge::N,кыв,jazyk
11,Zunge::N,mēle,jazyk
12,Lippe::N,вом дор,pera
13,Lippe::N,lūpa,pera
14,Wange::N,бан,líce
15,Wange::N,vaigs,líce
16,Gesicht::N,чужӧм,tvár
17,Gesicht::N,чужӧм,obličaj
18,Gesicht::N,seja,tvár
19,Gesicht::N,seja,obličaj
20,Gesicht::N,ģīmis,tvár
21,Gesicht::N,ģīmis,obličaj
22,Stirn::N,плеш,čelo
23,Stirn::N,кымӧс,čelo
24,Stirn::N,piere,čelo
25,Haar::N,си,vlas
26,Haar::N,юрси,vlas
27,Haar::N,mats,vlas
28,Schnurrbart::N,ус,fúzy
29,Schnurrbart::N,пыртсим,fúzy
30,Schnurrbart::N,ūsas,fúzy
31,Bart::N,тош,brada
32,Bart::N,bārda,brada
33,Kinn::N,тшӧка,brada
34,Kinn::N,zods,brada
35,Kinn::N,smakrs,brada
36,Kiefer[Anatomie]::N,черлы,čeľusť
37,Kiefer[Anatomie]::N,алака лы,čeľusť
38,Kiefer[Anatomie]::N,вомкӧтш лы,čeľusť
39,Kiefer[Anatomie]::N,žoklis,čeľusť
40,Kehle::N,голя,hrdlo
41,Kehle::N,rīkle,hrdlo
42,Hals::N,сьылі,krk
43,Hals::N,kakls,krk
44,Genick::N,юрбӧр,väzy
45,Genick::N,балябӧж,väzy
46,Genick::N,sprands,väzy
47,Kopf::N,юр,hlava
48,Kopf::N,galva,hlava
49,Rücken::N,мыш,chrbát
50,Rücken::N,mugura,chrbát
51,Bauch::N,рушку,brucho
52,Bauch::N,vēders,brucho
53,Nabel::N,гӧг,pupok
54,Nabel::N,naba,pupok
55,Busen::N,морӧс,prsia
56,Busen::N,krūts,prsia
57,Brust::N,морӧс,hruď
58,Brust::N,krūts,hruď
59,Schulter::N,пельпом,plece
60,Schulter::N,plecs,plece
61,Arm::N,ки,rameno
62,Arm::N,roka,rameno
63,Arm::N,delms,rameno
64,Ellenbogen::N,гырддза,lakeť
65,Ellenbogen::N,elkonis,lakeť
66,Hand::N,ки,ruka
67,Hand::N,roka,ruka
68,Hand::N,plauksta,ruka
69,Handfläche::N,ки пыдӧс,dlaň
70,Handfläche::N,delna,dlaň
71,Handfläche::N,plauksta,dlaň
72,Finger::N,чунь,prst
73,Finger::N,pirksts,prst
74,Fingernagel::N,гыж,necht
75,Fingernagel::N,nags,necht
76,Nagel[Anatomie]::N,гыж,necht
77,Nagel[Anatomie]::N,nags,necht
78,Zeh::N,кок чунь,prst na nohe
79,Zeh::N,pirksts,prst na nohe
80,Fuß::N,кок,noha
81,Fuß::N,kāja,noha
82,Ferse::N,кокбӧр,päta
83,Ferse::N,papēdis,päta
84,Knie::N,пидзӧс,koleno
85,Knie::N,celis,koleno
86,Oberschenkel::N,лядьвей,stehno
87,Oberschenkel::N,бек,stehno
88,Oberschenkel::N,ciska,stehno
89,Oberschenkel::N,augšstilbs,stehno
90,Bein::N,кок,noha
91,Bein::N,kāja,noha
92,Körper::N,туша,telo
93,Körper::N,вывтыр,telo
94,Körper::N,miesa,telo
95,Körper::N,ķermenis,telo
96,Haut::N,ку,koža
97,Haut::N,āda,koža
98,Blut::N,вир,krv
99,Blut::N,asins,krv
100,Ader::N,сӧн,žila
101,Ader::N,asinsvads,žila
102,Sehne::N,вез,šľacha
103,Sehne::N,dzīsla,šľacha
104,Knochen::N,лы,kosť
105,Knochen::N,kauls,kosť
106,Gehirn::N,вем,mozog
107,Gehirn::N,smadzenes,mozog
108,Herz::N,сьӧлӧм,srdce
109,Herz::N,sirds,srdce
110,Magen::N,кынӧм,žalúdok
111,Magen::N,kuņģis,žalúdok
112,Leber::N,мус,pečeň
113,Leber::N,aknas,pečeň
114,Atem::N,лов,dych
115,Atem::N,elpa,dych
116,Hunger::N,тшыг,hlad
117,Hunger::N,bads,hlad
118,Hunger::N,izsalkums,hlad
119,Träne::N,синва,slza
120,Träne::N,asara,slza
121,Geschmack::N,кӧр,chuť
122,Geschmack::N,чӧсмӧс,chuť
123,Geschmack::N,garša,chuť
124,Geruch::N,зын,pach
125,Geruch::N,дук,pach
126,Geruch::N,smaka,pach
127,Schlaf::N,узьӧм,spánok
128,Schlaf::N,miegs,spánok
129,Traum::N,вӧт,sen
130,Traum::N,вӧтасьӧм,sen
131,Traum::N,sapnis,sen
132,Himmel::N,енэж,nebo
133,Himmel::N,debess,nebo
134,Sonne::N,шонді,slnko
135,Sonne::N,saule,slnko
136,Mond::N,тӧлысь,mesiac
137,Mond::N,mēness,mesiac
138,Stern::N,кодзув,hviezda
139,Stern::N,zvaigzne,hviezda
140,Luft::N,сынӧд,vzduch
141,Luft::N,gaiss,vzduch
142,Wind::N,тӧв,vietor
143,Wind::N,vējš,vietor
144,Welle::N,гы,vlna
145,Welle::N,vilnis,vlna
146,Wasser::N,ва,voda
147,Wasser::N,ūdens,voda
148,Stein::N,из,kameň
149,Stein::N,akmens,kameň
150,Boden::N,му,zem
151,Boden::N,му,pôda
152,Boden::N,augsne,zem
153,Boden::N,augsne,pôda
154,Erde::N,му,zem
155,Erde::N,му-ва,zem
156,Erde::N,zeme,zem
157,Staub::N,бус,prach
158,Staub::N,putekļi,prach
159,Rauch::N,тшын,dym
160,Rauch::N,dūmi,dym
161,Funke::N,кинь,iskra
162,Funke::N,би кинь,iskra
163,Funke::N,dzirkstele,iskra
164,Feuer::N,би,oheň
165,Feuer::N,uguns,oheň
166,Licht::N,югӧр,svetlo
167,Licht::N,gaisma,svetlo
168,Schatten::N,вуджӧр,tieň
169,Schatten::N,ēna,tieň
170,Wetter::N,поводдя,počasie
171,Wetter::N,laiks,počasie
172,Nebel::N,ру,hmla
173,Nebel::N,онь,hmla
174,Nebel::N,migla,hmla
175,Wolke::N,кымӧр,oblak
176,Wolke::N,кымӧр,mračno
177,Wolke::N,mākonis,oblak
178,Wolke::N,mākonis,mračno
179,Regen::N,зэр,dážď
180,Regen::N,lietus,dážď
181,Schnee::N,лым,sneh
182,Schnee::N,sniegs,sneh
183,Eis::N,йи,ľad
184,Eis::N,ledus,ľad
185,Frost::N,кӧдзыд,mráz
186,Frost::N,sals,mráz
187,Kälte::N,кӧдзыд,zima
188,Kälte::N,кӧдзыд,chlad
189,Kälte::N,saltums,zima
190,Kälte::N,saltums,chlad
191,Kälte::N,aukstums,zima
192,Kälte::N,aukstums,chlad
193,Hitze::N,пӧсь,horúčava
194,Hitze::N,гожӧд,horúčava
195,Hitze::N,karstums,horúčava
196,Raureif::N,пуж,srieň
197,Raureif::N,пуж,inovať
198,Raureif::N,гыӧр,srieň
199,Raureif::N,гыӧр,inovať
200,Raureif::N,sarma,srieň
201,Raureif::N,sarma,inovať
202,Regenbogen::N,ӧшкамӧшка,dúha
203,Regenbogen::N,varavīksne,dúha
204,Donner::N,гым,hrom
205,Donner::N,pērkons,hrom
206,Strömung::N,ва ныр,prúdenie
207,Strömung::N,визувтӧм,prúdenie
208,Strömung::N,straume,prúdenie
209,Strömung::N,strāvojums,prúdenie
210,Tropfen::N,войт,kvapka
211,Tropfen::N,lāse,kvapka
212,Schaum::N,быг,pena
213,Schaum::N,быгзьӧм,pena
214,Schaum::N,putas,pena
215,Schmutz::N,няйт,špina
216,Schmutz::N,няйт,nečistota
217,Schmutz::N,dubļi,špina
218,Schmutz::N,dubļi,nečistota
219,See::N,ты,jazero
220,See::N,ezers,jazero
221,Sumpf::N,гыбад,bahno
222,Sumpf::N,кад,bahno
223,Sumpf::N,dumbrājs,bahno
224,Sumpf::N,staignājs,bahno
