,Concept_ID,mdf,te
0,Auge::N,сельме,కన్ను
1,Ohr::N,пиле,చెవి
2,Nase::N,шалхка,ముక్కు
3,Mund::N,курга,నోరు
4,Zahn::N,пей,పల్లు
5,Zunge::N,кяль,నాలుక
6,Lippe::N,търва́,పెదవి
7,Wange::N,щёка,చెంప
8,Gesicht::N,шама,ముఖము
9,Stirn::N,коня,నుదురు
10,Haar::N,шя́ярь,వెండ్రుక
11,Schnurrbart::N,уса́,మీసము
12,Bart::N,сакал,గడ్డము
13,Kinn::N,ула,గడ్డము
14,Kiefer[Anatomie]::N,саласка,దౌడ
15,Kehle::N,кълдома,గొంతు
16,Kehle::N,кърга́парь,గొంతు
17,Hals::N,сялдаз,మెడ
18,Genick::N,шовонь,మూపు
19,Kopf::N,пря,తల
20,Rücken::N,копорь,వెన్ను
21,Bauch::N,пеке,కడుపు
22,Nabel::N,по́кон,బొడ్డు
23,Busen::N,потя,స్తనము
24,Brust::N,мяште,ఱొమ్ము
25,Schulter::N,лафту,భుజము
26,Arm::N,кядь,చేయి
27,Ellenbogen::N,кенерьба́карь,మోచేయి
28,Hand::N,кядь,చేయి
29,Handfläche::N,кядьлапш,అరచేయు
30,Finger::N,сур,చేతిప్రేలు
31,Fingernagel::N,кенже,గోరు
32,Nagel[Anatomie]::N,кенже,గోరు
33,Zeh::N,пильгосу́р,కాలిప్రేలు
34,Fuß::N,пильге,అడుగు
35,Fuß::N,пильгелапа,అడుగు
36,Ferse::N,кочкяря,మడమ
37,Knie::N,эль,మోకాలు
38,Knie::N,пълма́нжа,మోకాలు
39,Oberschenkel::N,пильгепукша,తొడ
40,Bein::N,пильге,కాలు
41,Körper::N,ро́нга,కాయము
42,Körper::N,по́нда,కాయము
43,Haut::N,киське,చర్మము
44,Blut::N,вер,రక్తము
45,Ader::N,сан,సిర
46,Ader::N,верза́н,సిర
47,Sehne::N,коське сан,స్నాయువు
48,Knochen::N,пакарь,ఎముక
49,Gehirn::N,уй,మెదడు
50,Herz::N,седи,హృదయము
51,Magen::N,коткърдазь,కడుపు
52,Leber::N,макса,కాలేయము
53,Atem::N,лекома,ఉపిరి
54,Atem::N,ваймонь тарксема,ఉపిరి
55,Hunger::N,вачеши,ఆకలి
