,Concept_ID,el,es
0,Auge::N,μάτι,ojo
1,Auge::N,οφθαλμός,ojo
2,Ohr::N,αυτί,oreja
3,Nase::N,μύτη,nariz
4,Mund::N,στόμα,boca
5,Zahn::N,δόντι,diente
6,Zunge::N,γλώσσα,lengua
7,Lippe::N,χείλος,labio
8,Wange::N,παρειά,mejilla
9,Wange::N,μάγουλο,mejilla
10,Gesicht::N,πρόσωπο,cara
11,Stirn::N,μέτωπο,frente
12,Haar::N,μαλλιά,cabello
13,Schnurrbart::N,μουστάκι,bigote
14,Bart::N,γένια,barba
15,Kinn::N,πιγούνι,barbilla
16,Kiefer[Anatomie]::N,σαγόνι,mandíbula
17,Kehle::N,λαρύγγι,garganta
18,Hals::N,λαιμός,cuello
19,Genick::N,σβέρκος,nuca
20,Genick::N,σβέρκος,cerviz
21,Kopf::N,κεφάλι,cabeza
22,Rücken::N,ράχη,espalda
23,Bauch::N,κοιλιά,vientre
24,Nabel::N,αφαλός,ombligo
25,Busen::N,στήθος,pecho
26,Brust::N,στήθος,pecho
27,Schulter::N,ώμος,hombro
28,Arm::N,χέρι,brazo
29,Arm::N,μπράτςο,brazo
30,Ellenbogen::N,αγκώνας,codo
31,Hand::N,χέρι,mano
32,Handfläche::N,παλάμη,palma
33,Finger::N,δάχτυλο,dedo
34,Fingernagel::N,νύχι,uña
35,Nagel[Anatomie]::N,νύχι,uña
36,Zeh::N,δάχτυλο του ποδιού,dedo del pie
37,Fuß::N,πόδι,pie
38,Ferse::N,φτέρνα,talón
39,Knie::N,γόνατο,rodilla
40,Oberschenkel::N,μηρός,muslo
41,Bein::N,πόδι,pierna
42,Körper::N,σώμα,cuerpo
43,Körper::N,κορμί,cuerpo
44,Haut::N,πετσί,piel
45,Blut::N,αίμα,sangre
46,Ader::N,φλέβα,vena
47,Sehne::N,νεύρο,tendón
48,Sehne::N,τένοντας,tendón
49,Knochen::N,οστό,hueso
50,Knochen::N,κόκκαλο,hueso
51,Gehirn::N,μυαλό,cerebro
52,Gehirn::N,μυαλό,encéfalo
53,Gehirn::N,εγκέφαλος,cerebro
54,Gehirn::N,εγκέφαλος,encéfalo
55,Herz::N,καρδιά,corazón
56,Magen::N,στομάχι,estómago
57,Leber::N,ήπαρ,hígado
58,Leber::N,συκωτί,hígado
59,Atem::N,αναπνοή,aliento
60,Hunger::N,πείνα,hambre
61,Träne::N,δάκρυ,lágrima
62,Geschmack::N,γεύση,gusto
63,Geruch::N,οσμή,olor
64,Geruch::N,μυρωδία,olor
65,Schlaf::N,ύπνος,sueño
66,Traum::N,όνειρο,sueño
67,Traum::N,όνειρο,ensueño
68,Himmel::N,ουρανός,cielo
69,Sonne::N,ήλιος,sol
70,Mond::N,σελήνη,luna
71,Mond::N,φεγγάρι,luna
72,Stern::N,άστρο,estrella
73,Stern::N,αστέρι,estrella
74,Luft::N,αέρας,aire
75,Wind::N,αέρας,viento
76,Wind::N,άνεμος,viento
77,Welle::N,κύμα,ola
78,Welle::N,κύμα,onda
79,Wasser::N,νερό,agua
80,Stein::N,πέτρα,piedra
81,Boden::N,χώμα,suelo
82,Erde::N,γη,tierra
83,Staub::N,σκόνη,polvo
84,Rauch::N,καπνός,humo
85,Funke::N,σπίθα,chispa
86,Funke::N,σπινθήρας,chispa
87,Feuer::N,φωτιά,fuego
88,Licht::N,φως,luz
89,Schatten::N,σκιά,sombra
90,Schatten::N,ίσκιος,sombra
91,Wetter::N,καιρός,tiempo
92,Nebel::N,ομίχλη,niebla
93,Wolke::N,σύννεφο,nube
94,Regen::N,βροχή,lluvia
95,Schnee::N,χιόνι,nieve
96,Eis::N,πάγος,hielo
97,Frost::N,παγωνία,helada
98,Kälte::N,κρύο,frío
99,Kälte::N,ψύχος,frío
100,Hitze::N,ζέστη,calor
101,Raureif::N,πάχνη,escarcha
102,Regenbogen::N,ουράνιο τόξο,arco iris
103,Donner::N,βροντή,trueno
104,Strömung::N,ρεύμα,corriente
105,Tropfen::N,στάλα,gota
106,Schaum::N,αφρός,espuma
107,Schmutz::N,βρωμιά,suciedad
108,See::N,λίμνη,lago
109,Sumpf::N,βάλτος,pantano
110,Moor::N,έλος,turbera
111,Wiese::N,λιβάδι,prado
112,Wiese::N,λιβάδι,pradera
113,Wald::N,δάσος,bosque
114,Hügel::N,λόφος,colina
115,Anhöhe::N,ύψωμα,cerro
116,Berg::N,όρος,monte
117,Berg::N,όρος,montaña
118,Berg::N,βουνό,monte
119,Berg::N,βουνό,montaña
120,Gipfel::N,κορυφή,cima
121,Gipfel::N,κορυφή,cumbre
122,Höhle::N,σπηλιά,cueva
123,Höhle::N,σπηλιά,caverna
124,Abhang::N,πλαγιά,cuesta
125,Abhang::N,πλαγιά,declive
126,Quelle::N,πηγή,fuente
127,Quelle::N,πηγή,manantial
128,Quelle::N,βρύση,fuente
129,Quelle::N,βρύση,manantial
130,Bach::N,ρυάκι,arroyo
131,Fluss::N,ποτάμι,río
132,Fluss::N,ποταμός,río
133,Ufer::N,όχθη,orilla
134,Küste::N,ακτή,costa
135,Küste::N,ακρογιαλιά,costa
136,Festland::N,στεριά,tierra firme
137,Meer::N,θάλασσα,mar
138,Bucht::N,κόλπος,cala
139,Bucht::N,κόλπος,bahía
140,Insel::N,νησί,isla
141,Insel::N,νήσος,isla
142,Blume::N,άνθος,flor
143,Blume::N,λουλούδι,flor
144,Gras::N,χόρτο,hierba
145,Gras::N,χορτάρι,hierba
146,Wurzel::N,ρίζα,raíz
147,Baum::N,δέντρο,árbol
148,Stamm::N,κορμός,tronco
149,Rinde::N,φλούδα,corteza
150,Ast::N,κλαδί,rama
151,Zweig::N,κλαδί,ramo
152,Zweig::N,κλάδος,ramo
153,Blatt::N,φύλλο,hoja
154,Birke::N,σημύδα,abedul
155,Kiefer[Baum]::N,πεύκο,pino
156,Weide[Baum]::N,ιτιά,sauce
157,Tanne::N,έλατο,abeto
158,Horn::N,κέρας,asta
159,Horn::N,κέρας,cuerno
160,Horn::N,κέρατο,asta
161,Horn::N,κέρατο,cuerno
162,Feder::N,φτερό,pluma
163,Fell::N,δέρμα,piel
164,Fell::N,τομάρι,piel
165,Flügel::N,πτερύγιο,ala
166,Klaue::N,κουλό,garra
167,Kralle::N,νύχι,uña
168,Kralle::N,νύχι,garra
169,Schwanz::N,ουρά,cola
170,Ei::N,αβγό,huevo
171,Nest::N,φωλιά,nido
172,Bau::N,φωλιά,madriguera
173,Tier::N,ζώο,animal
174,Herde::N,κοπάδι,rebaño
175,Kuh::N,αγελάδα,vaca
176,Bulle::N,ταύρος,toro
177,Pferd::N,άλογο,caballo
178,Schaf::N,πρόβατο,oveja
179,Schwein::N,γουρούνι,cerdo
180,Hund::N,σκυλί,perro
181,Hund::N,σκύλος,perro
182,Katze::N,γάτα,gato
183,Bär::N,άρκτος,oso
184,Bär::N,αρκούδα,oso
185,Eichhörnchen::N,βερβερίτσα,ardilla
186,Elch::N,άλκη,alce
187,Fuchs::N,αλεπού,zorro
188,Hase::N,λαγός,liebre
189,Maus::N,ποντικός,ratón
190,Wolf::N,λύκος,lobo
191,Vogel::N,πουλί,ave
192,Vogel::N,πουλί,pájaro
193,Schwarm::N,σμήνος,bandada
194,Huhn::N,κότα,gallina
195,Huhn::N,όρνιθα,gallina
196,Hahn::N,πετεινός,gallo
197,Gans::N,χήνα,oca
198,Gans::N,χήνα,ganso
199,Adler::N,αετός,águila
200,Ente::N,πάπια,pato
201,Eule::N,κουκουβάγια,lechuza
202,Kranich::N,γερανός,grulla
203,Krähe::N,καρακάξα,corneja
204,Kuckuck::N,κούκος,cuco
205,Schwan::N,κύκνος,cisne
206,Fisch::N,ψάρι,pez
207,Barsch::N,πέρκα,perca
208,Hecht::N,λούτσος,lucio
209,Schlange[Tier]::N,φίδι,serpiente
210,Wurm::N,σκουλήκι,gusano
211,Spinne::N,αράχνη,araña
212,Ameise::N,μυρμήγκι,hormiga
213,Laus::N,ψείρα,piojo
214,Mücke::N,κουνούπι,mosquito
215,Fliege::N,μύγα,mosca
216,Schmetterling::N,πεταλούδα,mariposa
217,Beere::N,ρόγα,baya
218,Apfel::N,μήλο,manzana
219,Pilz::N,μανιτάρι,seta
220,Pilz::N,μανιτάρι,hongo
221,Zwiebel::N,κρεμμύδι,cebolla
222,Saat::N,σπόρος,siembra
