,Concept_ID,ku,sah
0,Auge::N,çav,харах
1,Ohr::N,guh,кулгаах
2,Nase::N,bêvil,мурун
3,Mund::N,dev,айах
4,Zahn::N,didan,тиис
5,Zunge::N,ziman,тыл
6,Lippe::N,lêv,уос
7,Wange::N,dêm,иэдэс
8,Wange::N,hinarik,иэдэс
9,Gesicht::N,rû,сирэй
10,Stirn::N,enî,сүүс
11,Haar::N,por,баттах
12,Schnurrbart::N,simbêl,уос бытыга
13,Bart::N,rih,сэҥийэ бытыга
14,Kinn::N,zenî,сэҥийэ
15,Kiefer[Anatomie]::N,arguşk,сыҥаах
16,Kehle::N,qirik,тамах
17,Kehle::N,qirik,күөмэй
18,Hals::N,stû,моой
19,Hals::N,qirik,моой
20,Genick::N,stû,кэтэх
21,Kopf::N,serî,бас
22,Rücken::N,pişt,көҕүс
23,Bauch::N,ûr,ис
24,Bauch::N,zik,ис
25,Nabel::N,navik,киин
26,Busen::N,sîng,эмиий
27,Brust::N,sîng,түөс
28,Schulter::N,mil,сарын
29,Arm::N,çepil,илии
30,Ellenbogen::N,enîşk,тоҕонох
31,Hand::N,dest,илии
32,Handfläche::N,kefadest,ытыс
33,Finger::N,tilî,тарбах
34,Fingernagel::N,neynuk,тыҥырах
35,Nagel[Anatomie]::N,bizmar,тыҥырах
36,Zeh::N,tilî linga,тарбах
37,Fuß::N,ling,уллуҥах
38,Ferse::N,pahnî,тилэх
39,Knie::N,kabok,тобук
40,Knie::N,kabok,дьилбэк
41,Oberschenkel::N,rahn,уллук
42,Oberschenkel::N,rahn,өттүк
43,Bein::N,çip,атах
44,Körper::N,laş,бэйэ
45,Körper::N,gowde,бэйэ
46,Haut::N,çerm,тирии
47,Blut::N,xwîn,хаан
48,Ader::N,reh,вена
49,Ader::N,reh,күөх_тымыр
50,Sehne::N,reh,иҥиир
51,Knochen::N,hestî,уҥуох
52,Knochen::N,hestî,уҥгуох
53,Gehirn::N,mêjî,мэйии
54,Herz::N,dil,сүрэх
55,Magen::N,navêş,куртах
56,Leber::N,kezeb,быар
57,Atem::N,hilm,тыын
58,Hunger::N,birçîtî,аас
59,Träne::N,hêstir,харах уута
60,Geschmack::N,tam,амтан
61,Geruch::N,bêhn,сыт
62,Schlaf::N,xew,утуйуу
63,Traum::N,xewn,түүл
64,Himmel::N,ezman,халлаан
65,Sonne::N,roj,күн
66,Mond::N,heyv,ый
67,Stern::N,stêrk,сулус
68,Luft::N,ba,салгын
69,Wind::N,ba,тыал
70,Welle::N,şewl,долгун
71,Welle::N,şewl,балхаан
72,Wasser::N,av,уу
73,Stein::N,kevir,таас
74,Boden::N,herd,сир
75,Erde::N,ax,буор
76,Staub::N,toz,быыл
77,Rauch::N,dû,буруо
78,Funke::N,çirûşk,кыым
79,Feuer::N,agir,уот
80,Licht::N,ronahî,уот
81,Schatten::N,sî,күлүк
82,Wetter::N,hewa,күн-дьыл
83,Nebel::N,mij,туман
84,Wolke::N,ewr,былыт
85,Regen::N,baran,самыыр
86,Schnee::N,berf,хаар
