,Concept_ID,cs,kv
188,Ameise::N,mravenec,кӧдзывкар
189,Laus::N,veš,ляпа той
190,Mücke::N,komár,ном
191,Fliege::N,moucha,гут
192,Schmetterling::N,motýl,бабыв
193,Beere::N,bobule,ягӧд
194,Apfel::N,jablko,яблоко
195,Pilz::N,houba,тшак
196,Zwiebel::N,cibule,грез
197,Saat::N,osivo,кӧдзыс
198,Korn::N,zrno,сю
199,Heu::N,seno,турун
200,Schale::N,slupka,кыш
201,Schale::N,slupka,киль
202,Schale::N,skořápka,кыш
203,Schale::N,skořápka,киль
204,Grube::N,jáma,яма
205,Falle::N,past,нальк
206,Falle::N,past,кляпча
207,Falle::N,léčka,нальк
208,Falle::N,léčka,кляпча
209,Schlinge::N,smyčka,лӧч
210,Spur::N,stopa,туй
211,Asche::N,popel,пӧим
212,Dreck::N,špína,нять
213,Eisen::N,železo,кӧрт
214,Gold::N,zlato,зарни
215,Silber::N,stříbro,язісь
216,Kohle::N,uhlí,шом
217,Kohle::N,uhlí,уголь
218,Glas::N,sklo,стекло
219,Lehm::N,jíl,сёй
220,Lehm::N,hlína,сёй
221,Sand::N,písek,лыа
222,Mensch::N,člověk,морт
223,Mann::N,muž,мужик
224,Frau::N,žena,инька
225,Kind::N,dítě,кага
226,Junge::N,hoch,зонка
227,Junge::N,chlapec,зонка
228,Mädchen::N,děvče,нывкаок
229,Familie::N,rodina,семья
230,Großvater::N,děd,дед
231,Großvater::N,dědeček,дед
232,Großmutter::N,babička,баб
233,Eltern::N,rodiče,ай-мам
234,Vater::N,otec,ай
235,Mutter::N,matka,мам
236,Sohn::N,syn,зон
237,Tochter::N,dcera,ныв
238,Bruder::N,bratr,вон
239,Schwester::N,sestra,сой
240,Onkel::N,strýc,дядь
241,Tante::N,teta,айӧлӧн сой
242,Tante::N,teta,ичинь
243,Ehemann::N,choť,жӧник
244,Ehemann::N,manžel,жӧник
245,Ehefrau::N,choť,инь
246,Ehefrau::N,manželka,инь
247,Freude::N,radost,гаж
248,Freude::N,radost,радъялӧм
249,Gelächter::N,smích,сералӧм
250,Glück::N,štěstí,мичлун
251,Kummer::N,žal,шог
252,Kummer::N,trápení,шог
253,Wunsch::N,přání,мӧдӧм
254,Wunsch::N,přání,охотитӧм
255,Lust::N,chuť,охота
256,Geist::N,duch,лов
257,Gedanke::N,myšlenka,дума
258,Gedächtnis::N,paměť,тӧдвыв
259,Verstand::N,rozum,вежӧр
260,Sinn::N,smysl,ылӧс
