,Concept_ID,lv,ru
0,Auge::N,син,глаз
1,Auge::N,acs,глаз
2,Ohr::N,пель,ухо
3,Ohr::N,auss,ухо
4,Nase::N,ныр,нос
5,Nase::N,deguns,нос
6,Mund::N,вом,рот
7,Mund::N,mute,рот
8,Zahn::N,пинь,зуб
9,Zahn::N,zobs,зуб
10,Zunge::N,кыв,язык
11,Zunge::N,mēle,язык
12,Lippe::N,вом дор,губа
13,Lippe::N,lūpa,губа
14,Wange::N,бан,щека
15,Wange::N,vaigs,щека
16,Gesicht::N,чужӧм,лицо
17,Gesicht::N,seja,лицо
18,Gesicht::N,ģīmis,лицо
19,Stirn::N,плеш,лоб
20,Stirn::N,кымӧс,лоб
21,Stirn::N,piere,лоб
22,Haar::N,си,волос
23,Haar::N,си,волосы
24,Haar::N,юрси,волос
25,Haar::N,юрси,волосы
26,Haar::N,mats,волос
27,Haar::N,mats,волосы
28,Schnurrbart::N,ус,ус
29,Schnurrbart::N,ус,усы
30,Schnurrbart::N,пыртсим,ус
31,Schnurrbart::N,пыртсим,усы
32,Schnurrbart::N,ūsas,ус
33,Schnurrbart::N,ūsas,усы
34,Bart::N,тош,борода
35,Bart::N,bārda,борода
36,Kinn::N,тшӧка,подбородок
37,Kinn::N,zods,подбородок
38,Kinn::N,smakrs,подбородок
39,Kiefer[Anatomie]::N,черлы,челюсть
40,Kiefer[Anatomie]::N,алака лы,челюсть
41,Kiefer[Anatomie]::N,вомкӧтш лы,челюсть
42,Kiefer[Anatomie]::N,žoklis,челюсть
43,Kehle::N,голя,горло
44,Kehle::N,rīkle,горло
45,Hals::N,сьылі,шея
46,Hals::N,kakls,шея
47,Genick::N,юрбӧр,затылок
48,Genick::N,балябӧж,затылок
49,Genick::N,sprands,затылок
50,Kopf::N,юр,голова
51,Kopf::N,galva,голова
52,Rücken::N,мыш,спина
53,Rücken::N,mugura,спина
54,Bauch::N,рушку,живот
55,Bauch::N,vēders,живот
56,Nabel::N,гӧг,пупок
57,Nabel::N,naba,пупок
58,Busen::N,морӧс,женская грудь
59,Busen::N,krūts,женская грудь
60,Brust::N,морӧс,грудь
61,Brust::N,krūts,грудь
62,Schulter::N,пельпом,плечо
63,Schulter::N,plecs,плечо
64,Arm::N,ки,рука
65,Arm::N,roka,рука
66,Arm::N,delms,рука
67,Ellenbogen::N,гырддза,локоть
68,Ellenbogen::N,elkonis,локоть
69,Hand::N,ки,кисть
70,Hand::N,roka,кисть
71,Hand::N,plauksta,кисть
72,Handfläche::N,ки пыдӧс,ладонь
73,Handfläche::N,delna,ладонь
74,Handfläche::N,plauksta,ладонь
75,Finger::N,чунь,палец
76,Finger::N,pirksts,палец
77,Fingernagel::N,гыж,ноготь
78,Fingernagel::N,nags,ноготь
79,Nagel[Anatomie]::N,гыж,ноготь
80,Nagel[Anatomie]::N,nags,ноготь
81,Zeh::N,кок чунь,палец
82,Zeh::N,pirksts,палец
83,Fuß::N,кок,ступня
84,Fuß::N,kāja,ступня
85,Ferse::N,кокбӧр,пята
86,Ferse::N,кокбӧр,пятка
87,Ferse::N,papēdis,пята
88,Ferse::N,papēdis,пятка
89,Knie::N,пидзӧс,колено
90,Knie::N,celis,колено
91,Oberschenkel::N,лядьвей,бедро
92,Oberschenkel::N,бек,бедро
93,Oberschenkel::N,ciska,бедро
94,Oberschenkel::N,augšstilbs,бедро
95,Bein::N,кок,нога
96,Bein::N,kāja,нога
97,Körper::N,туша,тело
98,Körper::N,вывтыр,тело
99,Körper::N,miesa,тело
100,Körper::N,ķermenis,тело
101,Haut::N,ку,кожа
102,Haut::N,āda,кожа
103,Blut::N,вир,кровь
104,Blut::N,asins,кровь
105,Ader::N,сӧн,вена
106,Ader::N,сӧн,сосуд
107,Ader::N,asinsvads,вена
108,Ader::N,asinsvads,сосуд
109,Sehne::N,вез,жила
110,Sehne::N,вез,тетива
111,Sehne::N,вез,сухожилие
112,Sehne::N,dzīsla,жила
113,Sehne::N,dzīsla,тетива
114,Sehne::N,dzīsla,сухожилие
115,Knochen::N,лы,кость
116,Knochen::N,kauls,кость
117,Gehirn::N,вем,мозг
118,Gehirn::N,smadzenes,мозг
119,Herz::N,сьӧлӧм,сердце
120,Herz::N,sirds,сердце
121,Magen::N,кынӧм,желудок
122,Magen::N,kuņģis,желудок
123,Leber::N,мус,печень
124,Leber::N,aknas,печень
125,Atem::N,лов,дух
126,Atem::N,лов,дыхание
127,Atem::N,elpa,дух
128,Atem::N,elpa,дыхание
129,Hunger::N,тшыг,голод
130,Hunger::N,bads,голод
131,Hunger::N,izsalkums,голод
132,Träne::N,синва,слеза
133,Träne::N,asara,слеза
134,Geschmack::N,кӧр,вкус
135,Geschmack::N,чӧсмӧс,вкус
136,Geschmack::N,garša,вкус
137,Geruch::N,зын,запах
138,Geruch::N,дук,запах
139,Geruch::N,smaka,запах
140,Schlaf::N,узьӧм,сон
141,Schlaf::N,miegs,сон
142,Traum::N,вӧт,сновидение
143,Traum::N,вӧтасьӧм,сновидение
144,Traum::N,sapnis,сновидение
145,Himmel::N,енэж,небо
146,Himmel::N,debess,небо
147,Sonne::N,шонді,солнце
148,Sonne::N,saule,солнце
149,Mond::N,тӧлысь,луна
150,Mond::N,mēness,луна
151,Stern::N,кодзув,звезда
152,Stern::N,zvaigzne,звезда
153,Luft::N,сынӧд,воздух
154,Luft::N,gaiss,воздух
155,Wind::N,тӧв,ветер
156,Wind::N,vējš,ветер
157,Welle::N,гы,волна
158,Welle::N,vilnis,волна
159,Wasser::N,ва,вода
160,Wasser::N,ūdens,вода
161,Stein::N,из,камень
162,Stein::N,akmens,камень
163,Boden::N,му,почва
164,Boden::N,augsne,почва
165,Erde::N,му,земля
166,Erde::N,му-ва,земля
167,Erde::N,zeme,земля
168,Staub::N,бус,пыль
169,Staub::N,putekļi,пыль
170,Rauch::N,тшын,дым
171,Rauch::N,dūmi,дым
172,Funke::N,кинь,искра
173,Funke::N,би кинь,искра
174,Funke::N,dzirkstele,искра
175,Feuer::N,би,огонь
176,Feuer::N,uguns,огонь
177,Licht::N,югӧр,свет
178,Licht::N,gaisma,свет
179,Schatten::N,вуджӧр,тень
180,Schatten::N,ēna,тень
181,Wetter::N,поводдя,погода
182,Wetter::N,laiks,погода
183,Nebel::N,ру,туман
184,Nebel::N,онь,туман
185,Nebel::N,migla,туман
186,Wolke::N,кымӧр,облако
187,Wolke::N,mākonis,облако
188,Regen::N,зэр,дождь
189,Regen::N,lietus,дождь
190,Schnee::N,лым,снег
191,Schnee::N,sniegs,снег
192,Eis::N,йи,лед
193,Eis::N,ledus,лед
194,Frost::N,кӧдзыд,мороз
195,Frost::N,sals,мороз
196,Kälte::N,кӧдзыд,холод
197,Kälte::N,saltums,холод
198,Kälte::N,aukstums,холод
199,Hitze::N,пӧсь,жара
200,Hitze::N,гожӧд,жара
201,Hitze::N,karstums,жара
202,Raureif::N,пуж,иней
203,Raureif::N,гыӧр,иней
204,Raureif::N,sarma,иней
205,Regenbogen::N,ӧшкамӧшка,радуга
206,Regenbogen::N,varavīksne,радуга
207,Donner::N,гым,гром
208,Donner::N,pērkons,гром
209,Strömung::N,ва ныр,течение
210,Strömung::N,визувтӧм,течение
211,Strömung::N,straume,течение
212,Strömung::N,strāvojums,течение
213,Tropfen::N,войт,капля
214,Tropfen::N,lāse,капля
215,Schaum::N,быг,пена
216,Schaum::N,быгзьӧм,пена
217,Schaum::N,putas,пена
218,Schmutz::N,няйт,грязь
219,Schmutz::N,dubļi,грязь
220,See::N,ты,озеро
221,See::N,ezers,озеро
222,Sumpf::N,гыбад,топь
223,Sumpf::N,кад,топь
