,Concept_ID,lv,ar
0,Auge::N,син,عين
1,Auge::N,acs,عين
2,Ohr::N,пель,أذن
3,Ohr::N,auss,أذن
4,Nase::N,ныр,أنف
5,Nase::N,deguns,أنف
6,Mund::N,вом,فم
7,Mund::N,mute,فم
8,Zahn::N,пинь,سن
9,Zahn::N,zobs,سن
10,Zunge::N,кыв,لسان
11,Zunge::N,mēle,لسان
12,Lippe::N,вом дор,شفة
13,Lippe::N,lūpa,شفة
14,Wange::N,бан,خد
15,Wange::N,бан,وجنة
16,Wange::N,vaigs,خد
17,Wange::N,vaigs,وجنة
18,Gesicht::N,чужӧм,وجه
19,Gesicht::N,seja,وجه
20,Gesicht::N,ģīmis,وجه
21,Stirn::N,плеш,جبين
22,Stirn::N,кымӧс,جبين
23,Stirn::N,piere,جبين
24,Haar::N,си,شعر
25,Haar::N,юрси,شعر
26,Haar::N,mats,شعر
27,Schnurrbart::N,ус,شارب
28,Schnurrbart::N,пыртсим,شارب
29,Schnurrbart::N,ūsas,شارب
30,Bart::N,тош,لحية
31,Bart::N,bārda,لحية
32,Kinn::N,тшӧка,ذقن
33,Kinn::N,zods,ذقن
34,Kinn::N,smakrs,ذقن
35,Kiefer[Anatomie]::N,черлы,فك
36,Kiefer[Anatomie]::N,алака лы,فك
37,Kiefer[Anatomie]::N,вомкӧтш лы,فك
38,Kiefer[Anatomie]::N,žoklis,فك
39,Kehle::N,голя,حلق
40,Kehle::N,rīkle,حلق
41,Hals::N,сьылі,عنق
42,Hals::N,сьылі,رقبة
43,Hals::N,kakls,عنق
44,Hals::N,kakls,رقبة
45,Genick::N,юрбӧр,قفا
46,Genick::N,балябӧж,قفا
47,Genick::N,sprands,قفا
48,Kopf::N,юр,رأس
49,Kopf::N,galva,رأس
50,Rücken::N,мыш,ظهر
51,Rücken::N,mugura,ظهر
52,Bauch::N,рушку,بطن
53,Bauch::N,vēders,بطن
54,Nabel::N,гӧг,سرة
55,Nabel::N,naba,سرة
56,Busen::N,морӧс,ثدي
57,Busen::N,krūts,ثدي
58,Brust::N,морӧс,صدر
59,Brust::N,krūts,صدر
60,Schulter::N,пельпом,كتف
61,Schulter::N,plecs,كتف
62,Arm::N,ки,ذراع
63,Arm::N,roka,ذراع
64,Arm::N,delms,ذراع
65,Ellenbogen::N,гырддза,كوع
66,Ellenbogen::N,elkonis,كوع
67,Hand::N,ки,يد
68,Hand::N,roka,يد
69,Hand::N,plauksta,يد
70,Handfläche::N,ки пыдӧс,كف
71,Handfläche::N,delna,كف
72,Handfläche::N,plauksta,كف
73,Finger::N,чунь,إصبع
74,Finger::N,pirksts,إصبع
75,Fingernagel::N,гыж,ظفر
76,Fingernagel::N,nags,ظفر
77,Nagel[Anatomie]::N,гыж,ظفر
78,Nagel[Anatomie]::N,nags,ظفر
79,Zeh::N,кок чунь,إصبع القدم
80,Zeh::N,pirksts,إصبع القدم
81,Fuß::N,кок,قدم
82,Fuß::N,kāja,قدم
83,Ferse::N,кокбӧр,كعب
84,Ferse::N,papēdis,كعب
85,Knie::N,пидзӧс,ركبة
86,Knie::N,celis,ركبة
87,Oberschenkel::N,лядьвей,فخذ
88,Oberschenkel::N,бек,فخذ
89,Oberschenkel::N,ciska,فخذ
90,Oberschenkel::N,augšstilbs,فخذ
91,Bein::N,кок,ساق
92,Bein::N,kāja,ساق
93,Körper::N,туша,جسم
94,Körper::N,вывтыр,جسم
95,Körper::N,miesa,جسم
96,Körper::N,ķermenis,جسم
97,Haut::N,ку,بشرة
98,Haut::N,āda,بشرة
99,Blut::N,вир,دم
100,Blut::N,asins,دم
101,Ader::N,сӧн,عرق
102,Ader::N,asinsvads,عرق
103,Sehne::N,вез,طنب
104,Sehne::N,dzīsla,طنب
105,Knochen::N,лы,عظم
106,Knochen::N,kauls,عظم
107,Gehirn::N,вем,دماغ
108,Gehirn::N,smadzenes,دماغ
109,Herz::N,сьӧлӧм,قلب
110,Herz::N,sirds,قلب
111,Magen::N,кынӧм,معدة
112,Magen::N,kuņģis,معدة
113,Leber::N,мус,كبد
114,Leber::N,aknas,كبد
115,Atem::N,лов,نفس
116,Atem::N,elpa,نفس
117,Hunger::N,тшыг,جوع
118,Hunger::N,bads,جوع
119,Hunger::N,izsalkums,جوع
120,Träne::N,синва,دمعة
121,Träne::N,asara,دمعة
122,Geschmack::N,кӧр,طعم
123,Geschmack::N,кӧр,مذاق
124,Geschmack::N,чӧсмӧс,طعم
125,Geschmack::N,чӧсмӧс,مذاق
126,Geschmack::N,garša,طعم
127,Geschmack::N,garša,مذاق
128,Geruch::N,зын,رائحة
129,Geruch::N,дук,رائحة
130,Geruch::N,smaka,رائحة
131,Schlaf::N,узьӧм,نوم
132,Schlaf::N,узьӧм,منام
133,Schlaf::N,miegs,نوم
134,Schlaf::N,miegs,منام
135,Traum::N,вӧт,حلم
136,Traum::N,вӧтасьӧм,حلم
137,Traum::N,sapnis,حلم
138,Himmel::N,енэж,سماء
139,Himmel::N,debess,سماء
140,Sonne::N,шонді,شمس
141,Sonne::N,saule,شمس
142,Mond::N,тӧлысь,قمر
143,Mond::N,mēness,قمر
144,Stern::N,кодзув,نجم
145,Stern::N,кодзув,كوكب
146,Stern::N,zvaigzne,نجم
147,Stern::N,zvaigzne,كوكب
148,Luft::N,сынӧд,هواء
149,Luft::N,gaiss,هواء
150,Wind::N,тӧв,ريح
151,Wind::N,vējš,ريح
152,Welle::N,гы,موجة
153,Welle::N,vilnis,موجة
154,Wasser::N,ва,ماء
155,Wasser::N,ūdens,ماء
156,Stein::N,из,حجر
157,Stein::N,akmens,حجر
158,Boden::N,му,تراب
159,Boden::N,augsne,تراب
160,Erde::N,му,أرض
161,Erde::N,му-ва,أرض
162,Erde::N,zeme,أرض
163,Staub::N,бус,غبار
164,Staub::N,putekļi,غبار
165,Rauch::N,тшын,دخان
166,Rauch::N,dūmi,دخان
167,Funke::N,кинь,شرارة
168,Funke::N,би кинь,شرارة
169,Funke::N,dzirkstele,شرارة
170,Feuer::N,би,نار
171,Feuer::N,uguns,نار
172,Licht::N,югӧр,نور
173,Licht::N,югӧр,ضوء
174,Licht::N,gaisma,نور
175,Licht::N,gaisma,ضوء
176,Schatten::N,вуджӧр,ظل
177,Schatten::N,вуджӧр,فيء
178,Schatten::N,ēna,ظل
179,Schatten::N,ēna,فيء
180,Wetter::N,поводдя,جو
181,Wetter::N,поводдя,طقس
182,Wetter::N,laiks,جو
183,Wetter::N,laiks,طقس
184,Nebel::N,ру,ضباب
185,Nebel::N,онь,ضباب
186,Nebel::N,migla,ضباب
187,Wolke::N,кымӧр,غيمة
188,Wolke::N,кымӧр,سحابة
189,Wolke::N,mākonis,غيمة
190,Wolke::N,mākonis,سحابة
191,Regen::N,зэр,مطر
192,Regen::N,lietus,مطر
193,Schnee::N,лым,ثلج
194,Schnee::N,sniegs,ثلج
195,Eis::N,йи,جليد
196,Eis::N,ledus,جليد
197,Frost::N,кӧдзыд,صقيع
198,Frost::N,sals,صقيع
199,Kälte::N,кӧдзыд,برد
200,Kälte::N,saltums,برد
201,Kälte::N,aukstums,برد
202,Hitze::N,пӧсь,حر
203,Hitze::N,пӧсь,حرارة
204,Hitze::N,гожӧд,حر
205,Hitze::N,гожӧд,حرارة
206,Hitze::N,karstums,حر
207,Hitze::N,karstums,حرارة
208,Raureif::N,пуж,صقيع
209,Raureif::N,гыӧр,صقيع
210,Raureif::N,sarma,صقيع
211,Regenbogen::N,ӧшкамӧшка,قوس قزح
212,Regenbogen::N,varavīksne,قوس قزح
213,Donner::N,гым,رعد
214,Donner::N,pērkons,رعد
215,Strömung::N,ва ныр,تيار
216,Strömung::N,визувтӧм,تيار
217,Strömung::N,straume,تيار
218,Strömung::N,strāvojums,تيار
219,Tropfen::N,войт,قطرة
220,Tropfen::N,lāse,قطرة
221,Schaum::N,быг,زبد
222,Schaum::N,быг,رغوة
223,Schaum::N,быгзьӧм,زبد
224,Schaum::N,быгзьӧм,رغوة
225,Schaum::N,putas,زبد
226,Schaum::N,putas,رغوة
227,Schmutz::N,няйт,وسخ
228,Schmutz::N,dubļi,وسخ
229,See::N,ты,بحيرة
230,See::N,ezers,بحيرة
231,Sumpf::N,гыбад,مستنقع
232,Sumpf::N,кад,مستنقع
233,Sumpf::N,dumbrājs,مستنقع
234,Sumpf::N,staignājs,مستنقع
235,Moor::N,нюр,مستنقع
236,Moor::N,purvs,مستنقع
237,Moor::N,muklājs,مستنقع
238,Wiese::N,видз,مرج
239,Wiese::N,pļava,مرج
240,Wald::N,вӧр,غابة
241,Wald::N,mežs,غابة
242,Hügel::N,дзиб,تل
243,Hügel::N,мыльк,تل
244,Hügel::N,нӧрыс,تل
245,Hügel::N,paugurs,تل
246,Anhöhe::N,мыльк,تل
247,Anhöhe::N,нӧрыс,تل
248,Anhöhe::N,paugurs,تل
249,Berg::N,чой,جبل
250,Berg::N,керӧс,جبل
251,Berg::N,kalns,جبل
252,Gipfel::N,чук,قمة
253,Gipfel::N,virsotne,قمة
254,Höhle::N,рудӧг,كهف
255,Höhle::N,ala,كهف
256,Abhang::N,ньывк,منحدر
257,Abhang::N,бокша,منحدر
258,Abhang::N,nogāze,منحدر
259,Quelle::N,ӧшмӧс,منبع
260,Quelle::N,avots,منبع
261,Bach::N,шор,مجرى
262,Bach::N,urga,مجرى
263,Bach::N,strauts,مجرى
264,Fluss::N,ю,نهر
265,Fluss::N,upe,نهر
266,Ufer::N,вадор,ضفة
267,Ufer::N,krasts,ضفة
268,Küste::N,вадор,ساحل
269,Küste::N,piekraste,ساحل
270,Festland::N,му,بر
271,Festland::N,sauszeme,بر
272,Meer::N,саридз,بحر
273,Meer::N,jūra,بحر
274,Bucht::N,куръя,خليج
275,Bucht::N,līcis,خليج
276,Insel::N,ді,جزيرة
277,Insel::N,sala,جزيرة
278,Blume::N,дзоридз,زهرة
279,Blume::N,puķe,زهرة
280,Blume::N,zieds,زهرة
281,Gras::N,турун,حشيش
282,Gras::N,zāle,حشيش
283,Wurzel::N,вуж,أصل
284,Wurzel::N,sakne,أصل
285,Baum::N,пу,شجرة
286,Baum::N,koks,شجرة
287,Stamm::N,пучер,جذع
288,Stamm::N,stumbrs,جذع
289,Rinde::N,кырсь,قشرة
290,Rinde::N,miza,قشرة
291,Ast::N,ув,فرع
292,Ast::N,zars,فرع
293,Zweig::N,вож,غصن
294,Zweig::N,nozare,غصن
295,Blatt::N,кор,ورقة
296,Blatt::N,lapa,ورقة
297,Birke::N,кыдз,قضبان
298,Birke::N,bērzs,قضبان
299,Kiefer[Baum]::N,пожӧм,صنوبرة
300,Kiefer[Baum]::N,priede,صنوبرة
301,Weide[Baum]::N,бадь,صفصاف
302,Weide[Baum]::N,kārkls,صفصاف
303,Tanne::N,коз,شوح
304,Tanne::N,коз,تبوب
305,Tanne::N,egle,شوح
306,Tanne::N,egle,تبوب
307,Horn::N,сюр,قرن
308,Horn::N,rags,قرن
309,Feder::N,гӧн,ريشة
310,Feder::N,тывборд,ريشة
311,Feder::N,spalva,ريشة
312,Fell::N,ку,فرو
313,Fell::N,āda,فرو
314,Flügel::N,борд,جناح
315,Flügel::N,spārns,جناح
316,Klaue::N,гыж,مخلب
317,Klaue::N,nags,مخلب
318,Kralle::N,гыж,مخلب
319,Kralle::N,nags,مخلب
320,Schwanz::N,бӧж,ذيل
321,Schwanz::N,ļipa,ذيل
322,Ei::N,кольк,بيض
323,Ei::N,ola,بيض
324,Nest::N,поз,عش
325,Nest::N,ligzda,عش
326,Bau::N,горс,جحر
327,Bau::N,пырмӧс,جحر
328,Bau::N,гу,جحر
329,Bau::N,ala,جحر
330,Tier::N,пемӧс,حيوان
331,Tier::N,dzīvnieks,حيوان
332,Herde::N,стада,قطيع
333,Herde::N,кельӧб,قطيع
334,Herde::N,ganāmpulks,قطيع
335,Kuh::N,мӧс,بقرة
336,Kuh::N,govs,بقرة
337,Bulle::N,ӧш,ثور
338,Bulle::N,bullis,ثور
339,Pferd::N,вӧв,خيل
340,Pferd::N,zirgs,خيل
341,Schaf::N,ыж,شاة
342,Schaf::N,aita,شاة
343,Schwein::N,порсь,خنزير
344,Schwein::N,cūka,خنزير
345,Hund::N,пон,كلب
346,Hund::N,suns,كلب
347,Katze::N,кань,قطة
348,Katze::N,kaķis,قطة
349,Bär::N,ош,دب
350,Bär::N,lācis,دب
351,Eichhörnchen::N,ур,سنجاب
352,Eichhörnchen::N,vāvere,سنجاب
353,Elch::N,йӧра,موظ
354,Elch::N,alnis,موظ
355,Fuchs::N,руч,ثعلب
356,Fuchs::N,lapsa,ثعلب
357,Hase::N,кӧч,أرنب
358,Hase::N,zaķis,أرنب
359,Maus::N,шыр,فأرة
360,Maus::N,pele,فأرة
361,Wolf::N,кӧин,ذئب
362,Wolf::N,vilks,ذئب
363,Vogel::N,кай,طير
364,Vogel::N,лэбач,طير
