,Concept_ID,hy,ko
0,Auge::N,աչք,눈
1,Ohr::N,ականջ,귀
2,Nase::N,քիթ,코
3,Mund::N,բերան,입
4,Zahn::N,ատամ,이
5,Zunge::N,լեզու,혀
6,Lippe::N,շրթունք,입술
7,Wange::N,այտ,뺨
8,Wange::N,թուշ,뺨
9,Gesicht::N,դեմք,얼굴
10,Stirn::N,ճակատ,이마
11,Haar::N,մազ,털
12,Schnurrbart::N,բեղ,윗수몀
13,Schnurrbart::N,բեղ,코밑수염
14,Bart::N,մորուք,수엄
15,Kinn::N,կզակ,아래턱
16,Kiefer[Anatomie]::N,ծնոտ,턱
17,Kehle::N,կոկորդ,인후
18,Hals::N,վիզ,목
19,Hals::N,պարանոց,목
20,Genick::N,ծոծրակ,먹덜이
21,Kopf::N,գլուխ,머리
22,Rücken::N,մեջք,든
23,Bauch::N,փոր,배
24,Bauch::N,որովայն,배
25,Nabel::N,պորտ,배꼽
26,Busen::N,ծոց,가슴속
27,Brust::N,կուրծք,가슴
28,Schulter::N,ուս,어깨
29,Arm::N,թեւ,팔
30,Arm::N,բազուկ,팔
31,Ellenbogen::N,արմունկ,팔쿰치
32,Hand::N,ձեռք,손
33,Handfläche::N,ափ,손바닥
34,Finger::N,մատ,속가락
35,Fingernagel::N,եղունգ,손톱
36,Nagel[Anatomie]::N,եղունգ,손톱
37,Zeh::N,ոտքի մատ,발가락
38,Fuß::N,ոտք,발
39,Ferse::N,գարշապար,발꿈치
40,Knie::N,ծունկ,무릎
41,Oberschenkel::N,ազդր,허벅다리
42,Bein::N,ոտք,다리
43,Körper::N,մարմին,구간
44,Haut::N,մաշկ,살갗
45,Blut::N,արյուն,피
46,Ader::N,երակ,정맥
47,Sehne::N,ջիղ,현
48,Sehne::N,ձգտան,현
49,Knochen::N,ոսկոր,뼈
50,Gehirn::N,խելք,뇌
51,Gehirn::N,խելք,뇌수
52,Herz::N,սիրտ,염통
53,Magen::N,ստամոքս,위
54,Leber::N,լյարդ,간
55,Atem::N,շունչ,기식
56,Hunger::N,քաղց,공복
57,Träne::N,արտասուք,눈물
58,Geschmack::N,համ,기호
59,Geschmack::N,բուրմունք,기호
60,Geruch::N,հոտ,냄새
61,Geruch::N,բուրում,냄새
62,Schlaf::N,քուն,수면
63,Traum::N,երազ,쿰
64,Himmel::N,երկինք,하늘
65,Sonne::N,արեւ,해
66,Mond::N,լուսին,달
67,Stern::N,աստղ,별
68,Luft::N,օդ,동준
69,Luft::N,օդ,가스채
70,Wind::N,քամի,바람
71,Welle::N,ալիք,물결
72,Wasser::N,ջուր,물
73,Stein::N,քար,돌
74,Boden::N,գետին,바닥
75,Erde::N,հող,흙
76,Staub::N,փոշի,먼지
77,Rauch::N,ծուխ,연기
78,Funke::N,կայծ,불티
79,Feuer::N,կրակ,불
80,Feuer::N,հրդեհ,불
81,Licht::N,լույս,불
82,Schatten::N,ստվեր,어스레함
83,Wetter::N,եղանակ,기상
84,Nebel::N,մեգ,안개
85,Nebel::N,մառախուղ,안개
86,Wolke::N,ամպ,구름
87,Regen::N,անձրև,비
88,Schnee::N,ձյուն,눈
89,Eis::N,սառույց,얼음
90,Frost::N,սառնամանիք,혹한
91,Kälte::N,դող,추위
92,Kälte::N,դող,차가움
93,Hitze::N,շոգ,고온
94,Hitze::N,շոգ,더위
95,Raureif::N,ցօղեղեամ,
96,Regenbogen::N,ծիածան,무지개
