,Concept_ID,pl,no
0,Auge::N,oko,øye
1,Ohr::N,ucho,øre
2,Nase::N,nos,nese
3,Mund::N,usta,munn
4,Zahn::N,ząb,tann
5,Zunge::N,język,tunge
6,Lippe::N,warga,leppe
7,Wange::N,policzek,kinn
8,Gesicht::N,twarz,fjes
9,Gesicht::N,twarz,ansikt
10,Stirn::N,czoło,panne
11,Haar::N,włos,hår
12,Haar::N,włosy,hår
13,Schnurrbart::N,wąsy,bart
14,Bart::N,broda,skjegg
15,Kinn::N,podbródek,hake
16,Kiefer[Anatomie]::N,czeluść,kjeve
17,Kehle::N,gardło,strupe
18,Hals::N,szyja,hals
19,Genick::N,kark,nakke
20,Kopf::N,głowa,hode
21,Rücken::N,plecy,rygg
22,Rücken::N,grzbiet,rygg
23,Bauch::N,brzuch,buk
24,Bauch::N,brzuch,mage
25,Nabel::N,pępek,navle
26,Busen::N,biust,barm
27,Brust::N,pierś,bryst
28,Schulter::N,bark,skulder
29,Schulter::N,ramię,skulder
30,Arm::N,ręka,arm
31,Arm::N,ramię,arm
32,Ellenbogen::N,łokieć,albue
33,Hand::N,dłoń,hånd
34,Handfläche::N,dłoń,håndflate
35,Finger::N,palec,finger
36,Fingernagel::N,paznokieć,fingernegl
37,Nagel[Anatomie]::N,paznokieć,negl
38,Zeh::N,palec,tå
39,Fuß::N,stopa,fot
40,Ferse::N,pięta,hæl
41,Knie::N,kolano,kne
42,Oberschenkel::N,udo,lår
43,Bein::N,noga,bein
44,Körper::N,ciało,kropp
45,Körper::N,ciało,legeme
46,Haut::N,skóra,hud
47,Haut::N,skóra,skinn
48,Blut::N,krew,blod
49,Ader::N,żyła,åre
50,Sehne::N,ścięgno,sene
51,Knochen::N,kość,bein
52,Knochen::N,kość,knokkel
53,Gehirn::N,mózg,hjerne
54,Herz::N,serce,hjerte
55,Magen::N,żołądek,mage
56,Leber::N,wątroba,lever
57,Atem::N,dech,pust
58,Atem::N,oddech,pust
59,Hunger::N,głód,sult
60,Träne::N,łza,tåre
61,Geschmack::N,smak,smak
62,Geruch::N,woń,lukt
63,Geruch::N,zapach,lukt
64,Schlaf::N,sen,søvn
65,Traum::N,sen,drøm
66,Himmel::N,niebo,himmel
67,Sonne::N,słońce,sol
68,Mond::N,księżyc,måne
69,Stern::N,gwiazda,stjerne
70,Luft::N,powietrze,luft
71,Wind::N,wiatr,vind
72,Welle::N,fala,bølge
73,Wasser::N,woda,vann
74,Stein::N,kamień,stein
75,Boden::N,grunt,bakke
76,Erde::N,ziemia,jord
77,Staub::N,pył,støv
78,Staub::N,kurz,støv
79,Rauch::N,dym,røyk
80,Funke::N,iskra,gnist
81,Feuer::N,ogień,ild
82,Licht::N,światło,lys
83,Schatten::N,cień,skygge
84,Wetter::N,pogoda,vær
85,Nebel::N,mgła,tåke
86,Wolke::N,obłok,sky
87,Wolke::N,chmura,sky
88,Regen::N,deszcz,regn
89,Schnee::N,śnieg,snø
90,Eis::N,lód,is
91,Frost::N,mróz,frost
92,Kälte::N,chłód,kulde
93,Hitze::N,gorąco,hete
94,Raureif::N,szron,rimfrost
95,Regenbogen::N,tęcza,regnbue
96,Donner::N,grzmot,torden
97,Strömung::N,nurt,strømning
98,Tropfen::N,kropla,dråpe
99,Schaum::N,piana,skum
100,Schmutz::N,brud,søl
101,Schmutz::N,brud,skitt
102,See::N,jezioro,sjø
103,Sumpf::N,bagno,sump
104,Sumpf::N,bagno,myrlende
105,Moor::N,bagno,myr
106,Moor::N,bagno,myrhei
107,Wiese::N,łąka,eng
108,Wald::N,las,skog
109,Hügel::N,pagórek,haug
110,Hügel::N,pagórek,bakke
111,Anhöhe::N,wzgórze,haug
112,Anhöhe::N,wzgórze,bakke
113,Berg::N,góra,berg
114,Berg::N,góra,fjell
115,Gipfel::N,szczyt,topp
116,Gipfel::N,wierzchołek,topp
117,Höhle::N,pieczara,hule
118,Abhang::N,stok,li
119,Abhang::N,stok,skråning
120,Abhang::N,zbocze,li
121,Abhang::N,zbocze,skråning
122,Quelle::N,zdrój,kilde
123,Quelle::N,źródło,kilde
124,Bach::N,potok,bekk
125,Bach::N,strumień,bekk
126,Fluss::N,rzeka,elv
127,Ufer::N,brzeg,bredd
128,Küste::N,wybrzeże,kyst
129,Festland::N,ląd,fastland
130,Meer::N,morze,hav
131,Bucht::N,zatoka,bukt
132,Insel::N,wyspa,øy
133,Blume::N,kwiat,blomst
134,Gras::N,trawa,gress
135,Wurzel::N,korzeń,rot
136,Baum::N,drzewo,tre
137,Stamm::N,pień,stamme
138,Rinde::N,kora,bark
139,Ast::N,gałąź,gren
140,Zweig::N,gałąź,kvist
141,Blatt::N,liść,blad
142,Birke::N,brzoza,bjørk
143,Kiefer[Baum]::N,sosna,furu
144,Weide[Baum]::N,wierzba,selje
145,Weide[Baum]::N,wierzba,piletre
146,Tanne::N,jodła,gran
147,Horn::N,róg,horn
148,Feder::N,pióro,fjær
149,Fell::N,futro,skinn
150,Flügel::N,skrzydło,vinge
151,Klaue::N,szpon,klauv
152,Kralle::N,pazur,klo
153,Schwanz::N,ogon,hale
154,Ei::N,jajko,egg
155,Nest::N,gniazdo,rede
156,Bau::N,nora,hi
157,Tier::N,zwierzę,dyr
158,Herde::N,stado,flokk
159,Herde::N,trzoda,flokk
160,Kuh::N,krowa,ku
161,Bulle::N,byk,tyr
162,Pferd::N,koń,hest
163,Schaf::N,owca,får
164,Schwein::N,świnia,gris
165,Hund::N,pies,hund
166,Katze::N,kot,katt
167,Katze::N,kotka,katt
168,Bär::N,niedźwiedż,bjørn
169,Eichhörnchen::N,wiewiórka,ekorn
170,Elch::N,łóś,elg
171,Fuchs::N,lis,rev
172,Hase::N,zając,hare
173,Maus::N,mysz,mus
174,Wolf::N,wilk,ulv
175,Wolf::N,wilk,varg
176,Vogel::N,ptak,fugl
177,Schwarm::N,stado,sverm
178,Huhn::N,kura,høne
179,Hahn::N,kogut,hane
180,Gans::N,gęś,gås
181,Adler::N,orzeł,ørn
182,Ente::N,kaczka,and
183,Eule::N,sowa,ugle
184,Kranich::N,żuraw,trane
185,Krähe::N,wrona,kråke
186,Kuckuck::N,kukułka,gjøk
187,Schwan::N,łabędż,svane
188,Fisch::N,ryba,fisk
189,Barsch::N,okoń,abbor
190,Hecht::N,szczupak,gjedde
191,Schlange[Tier]::N,wąż,orm
192,Schlange[Tier]::N,wąż,slange
193,Schlange[Tier]::N,żmija,orm
194,Schlange[Tier]::N,żmija,slange
195,Wurm::N,robak,orm
196,Wurm::N,robak,mark
197,Spinne::N,pająk,edderkopp
198,Ameise::N,mrówka,maur
199,Laus::N,wesz,lus
200,Mücke::N,komar,mygg
201,Fliege::N,mucha,flue
202,Schmetterling::N,motyl,sommerfugl
203,Beere::N,jagoda,bær
204,Apfel::N,jabłko,eple
205,Pilz::N,grzyb,sopp
206,Zwiebel::N,cebula,løk
207,Saat::N,siew,sæd
208,Korn::N,ziarno,korn
209,Heu::N,siano,høy
210,Schale::N,łupina,skall
211,Grube::N,dół,grop
212,Grube::N,jama,grop
213,Falle::N,pułapka,felle
214,Schlinge::N,sidła,snare
215,Spur::N,ślad,spor
216,Asche::N,popiół,aske
217,Dreck::N,brud,møkk
218,Dreck::N,brud,skitt
219,Eisen::N,żelazo,jern
220,Gold::N,złoto,gull
221,Silber::N,srebro,sølv
222,Kohle::N,węgiel,kol
223,Kohle::N,węgiel,kull
224,Glas::N,szkło,glass
225,Lehm::N,glina,leire
226,Sand::N,piasek,sand
227,Mensch::N,człowiek,menneske
228,Mann::N,mężczyzna,mann
229,Frau::N,kobieta,kvinne
230,Kind::N,dziecko,barn
231,Junge::N,chłopak,gutt
232,Junge::N,chłopiec,gutt
233,Mädchen::N,dziewczynka,pike
234,Mädchen::N,dziewczynka,jente
235,Familie::N,rodzina,familie
236,Großvater::N,dziadek,bestefar
237,Großmutter::N,babka,bestemor
238,Eltern::N,rodzice,foreldre
239,Vater::N,ojciec,far
240,Mutter::N,matka,mor
241,Sohn::N,syn,sønn
242,Tochter::N,córka,datter
243,Bruder::N,brat,bror
244,Schwester::N,siostra,søster
245,Onkel::N,wuj,onkel
246,Onkel::N,stryj,onkel
247,Tante::N,ciotka,tante
248,Ehemann::N,mąż,ektemann
249,Ehefrau::N,żona,hustru
250,Freude::N,radość,glede
251,Gelächter::N,śmiech,latter
252,Glück::N,szczęście,lykke
253,Kummer::N,zmartwienie,sorg
254,Wunsch::N,życzenie,ønske
255,Lust::N,chęć,lyst
256,Lust::N,ochota,lyst
257,Geist::N,duch,ånd
258,Gedanke::N,myśl,tanke
259,Gedächtnis::N,pamięć,minne
