,Concept_ID,eu,de
0,Auge::N,begi,Auge
1,Ohr::N,belarri,Ohr
2,Nase::N,sudur,Nase
3,Mund::N,aho,Mund
4,Zahn::N,hortz,Zahn
5,Zunge::N,mihi,Zunge
6,Lippe::N,ezpain,Lippe
7,Wange::N,masail,Wange
8,Gesicht::N,aurpegi,Gesicht
9,Stirn::N,bekoki,Stirn
10,Haar::N,ile,Haar
11,Haar::N,bilo,Haar
12,Schnurrbart::N,bibote,Schnurrbart
13,Schnurrbart::N,sudurpeko,Schnurrbart
14,Bart::N,bizar,Bart
15,Kinn::N,kokots,Kinn
16,Kiefer[Anatomie]::N,masailezur,Kiefer
17,Kehle::N,eztarri,Kehle
18,Hals::N,sama,Hals
19,Genick::N,garondo,Genick
20,Kopf::N,buru,Kopf
21,Rücken::N,bizkar,Rücken
22,Bauch::N,sabel,Bauch
23,Nabel::N,zilbor,Nabel
24,Busen::N,titi,Busen
25,Busen::N,ugatz,Busen
26,Brust::N,bular,Brust
27,Schulter::N,besaburu,Schulter
28,Arm::N,beso,Arm
29,Ellenbogen::N,ukondo,Ellenbogen
30,Hand::N,esku,Hand
31,Handfläche::N,ahur,Handfläche
32,Finger::N,hatz,Finger
33,Fingernagel::N,azazkal,Fingernagel
34,Nagel[Anatomie]::N,azazkal,Nagel
35,Zeh::N,behatz,Zeh
36,Fuß::N,oin,Fuß
37,Ferse::N,orpo,Ferse
38,Ferse::N,oinburu,Ferse
39,Knie::N,belaun,Knie
40,Oberschenkel::N,izter,Oberschenkel
41,Bein::N,zango,Bein
42,Körper::N,soin,Körper
43,Haut::N,azal,Haut
44,Blut::N,odol,Blut
45,Ader::N,zain,Ader
46,Sehne::N,gihar-zain,Sehne
47,Knochen::N,hezur,Knochen
48,Gehirn::N,garun,Gehirn
49,Gehirn::N,burmuin,Gehirn
50,Herz::N,bihotz,Herz
51,Magen::N,urdail,Magen
52,Leber::N,gibel,Leber
53,Atem::N,hats,Atem
54,Atem::N,arnasa,Atem
55,Hunger::N,gose,Hunger
56,Träne::N,malko,Träne
