,Concept_ID,cs,ce
0,Auge::N,oko,бӏаьрг
1,Ohr::N,ucho,лерг
2,Nase::N,nos,мара
3,Mund::N,pusa,бага
4,Zahn::N,zub,церг
5,Zunge::N,jazyk,мотт
6,Lippe::N,ret,балда
7,Wange::N,tvář,бесни
8,Gesicht::N,obličej,юьхь
9,Stirn::N,čelo,хьаж
10,Haar::N,vlas,мас
11,Haar::N,vlasy,мас
12,Schnurrbart::N,kníry,мекх
13,Bart::N,vousy,маж
14,Kinn::N,brada,чӏениг
15,Kiefer[Anatomie]::N,čelist,мочхал
16,Kehle::N,hrdlo,къамкъарг
17,Hals::N,krk,ворта
18,Genick::N,týl,кӏесаркӏаг
19,Kopf::N,hlava,корта
20,Rücken::N,záda,букъ
21,Rücken::N,hřbet,букъ
22,Bauch::N,břicho,кийра
23,Nabel::N,pupek,цӏонга
24,Busen::N,ňadra,зударийн накха
25,Brust::N,prsa,накха
26,Schulter::N,plece,белш
27,Schulter::N,rameno,белш
28,Arm::N,ruka,пхьарс
29,Ellenbogen::N,loket,пхьаьрсан гола
30,Hand::N,ruka,куьг
31,Handfläche::N,dlaň,кераюкъ
32,Finger::N,prst,пӏелг
33,Fingernagel::N,nehet,мӏара
34,Nagel[Anatomie]::N,nehet,мӏара
35,Zeh::N,prst u nohy,кога пӏелг
36,Fuß::N,noha,ког
37,Ferse::N,pata,кӏажа
38,Knie::N,koleno,гола
39,Oberschenkel::N,stehno,варе
40,Bein::N,noha,ког
41,Körper::N,tělo,хӏума
42,Haut::N,kůže,чкъор
43,Blut::N,krev,цӏий
44,Ader::N,céva,пха
45,Sehne::N,šlacha,хьорзам
46,Knochen::N,kost,даьӏахк
47,Gehirn::N,mozek,хье
48,Herz::N,srdce,дог
49,Magen::N,žaludek,зорх
50,Leber::N,játra,доӏах
51,Atem::N,dech,садеӏар
52,Hunger::N,hlad,мацалла
53,Träne::N,slza,бӏаьрхи
54,Geschmack::N,vkus,чам
55,Geruch::N,vůně,хьожа
56,Geruch::N,zápach,хьожа
57,Schlaf::N,spánek,наб
58,Traum::N,sen,гӏан
59,Himmel::N,nebe,стигал
60,Sonne::N,slunce,малх
61,Mond::N,měsíc,бутт
62,Stern::N,hvězda,седа
63,Luft::N,vzduch,xӏаваъ
64,Wind::N,vítr,мох
65,Welle::N,vlna,тулгӏе
66,Wasser::N,voda,хи
67,Stein::N,kámen,тӏулг
68,Boden::N,půda,цӏенкъа
69,Erde::N,země,латта
70,Staub::N,prach,чан
71,Rauch::N,dým,кӏур
72,Rauch::N,kouř,кӏур
73,Funke::N,jiskra,суй
74,Feuer::N,oheň,цӏе
75,Licht::N,světlo,серло
76,Schatten::N,stín,ӏиндагӏ
77,Wetter::N,počasí,хенан хӏоттам
78,Nebel::N,mlha,дохк
79,Wolke::N,mrak,марха
80,Wolke::N,oblak,марха
81,Regen::N,déšť,догӏа
82,Schnee::N,sníh,ло
83,Eis::N,led,ша
84,Frost::N,mráz,шело
85,Kälte::N,chlad,шело
86,Hitze::N,horko,йовхо
87,Raureif::N,jinovatka,йис
88,Regenbogen::N,duha,стелаӏад
89,Donner::N,hrom,ткъес
90,Strömung::N,proudění,дӏаэхар
91,Strömung::N,proudění,дӏасалелар
92,Tropfen::N,kapka,тӏадам
93,Schaum::N,pěna,чопа
94,Schmutz::N,špína,хатт
95,See::N,jezero,ӏам
96,Sumpf::N,močál,уьшал
97,Sumpf::N,bažina,уьшал
98,Moor::N,bažina,уьшал
99,Moor::N,slatina,уьшал
100,Wiese::N,louka,бай
101,Wald::N,les,хьун
102,Hügel::N,kopec,гу
103,Hügel::N,kopec,шу
104,Hügel::N,kopec,барз
105,Anhöhe::N,pahorek,акъари
106,Berg::N,hora,лам
107,Gipfel::N,vrchol,бохь
108,Höhle::N,jeskyně,хьех
109,Abhang::N,svah,басе
110,Abhang::N,stráň,басе
111,Quelle::N,pramen,шовда
112,Bach::N,potok,татол
113,Fluss::N,řeka,хи
114,Ufer::N,břeh,хийист
115,Küste::N,pobřeží,йист
116,Festland::N,souš,латта
117,Festland::N,pevnina,латта
118,Meer::N,moře,xӏорд
119,Bucht::N,záliv,чож
120,Bucht::N,zátoka,чож
121,Insel::N,ostrov,гӏайре
122,Blume::N,květina,зезаг
123,Gras::N,tráva,буц
124,Wurzel::N,kořen,орам
125,Baum::N,strom,дитт
126,Stamm::N,kmen,гӏад
127,Stamm::N,kmen,тайпа
128,Rinde::N,kůra,кевстиг
129,Ast::N,větev,га
130,Zweig::N,větev,га
131,Blatt::N,lupen,гӏа
132,Birke::N,bříza,дакх
133,Kiefer[Baum]::N,sosna,бага
134,Kiefer[Baum]::N,borovice,бага
135,Weide[Baum]::N,vrba,дак
136,Tanne::N,jedle,база
137,Horn::N,roh,маӏа
138,Feder::N,pero,пелаг
139,Fell::N,srst,цӏока
140,Flügel::N,křídlo,тӏам
141,Klaue::N,dráp,мӏара
142,Klaue::N,pazneht,мӏара
143,Kralle::N,dráp,тlод
144,Schwanz::N,ocas,цӏога
145,Ei::N,vejce,xӏoa
146,Nest::N,hnízdo,бен
147,Bau::N,nora,lуьрг
148,Tier::N,zvíře,дийнат
149,Herde::N,stádo,жа
150,Kuh::N,kráva,етт
151,Bulle::N,býk,сту
152,Pferd::N,kůň,говр
153,Schaf::N,ovce,жий
154,Schaf::N,ovce,уьстагӏ
155,Schwein::N,vepř,хьакха
156,Schwein::N,prase,хьакха
157,Hund::N,pes,жӏаьла
158,Katze::N,kočka,цициг
159,Bär::N,medvěd,ча
160,Eichhörnchen::N,veverka,тарсал
161,Elch::N,los,сай
162,Fuchs::N,liška,цхьогал
163,Hase::N,zajíc,пхьагал
164,Maus::N,myš,дахка
165,Wolf::N,vlk,борз
166,Vogel::N,pták,олхазар
167,Schwarm::N,roj,
168,Schwarm::N,hejno,
169,Huhn::N,kuře,котам
170,Huhn::N,slepice,котам
171,Hahn::N,kohout,нӏаьна
172,Hahn::N,kohout,боргӏал
173,Gans::N,husa,гӏаз
174,Adler::N,orel,aьрзу
175,Ente::N,kachna,бад
176,Eule::N,sova,бухӏа
177,Kranich::N,jeřáb,гӏаргӏули
178,Krähe::N,vrána,къиг
179,Kuckuck::N,kukačka,aттйокх
180,Schwan::N,labuť,гӏургӏаз
181,Fisch::N,ryba,чӏара
182,Barsch::N,okoun,окунь
183,Hecht::N,štika,гӏазкхийн чӏара
184,Schlange[Tier]::N,had,лаьхьа
185,Wurm::N,červ,нӏаьна
186,Spinne::N,pavouk,гезг
187,Ameise::N,mravenec,зингат
188,Laus::N,veš,меза
189,Laus::N,veš,гӏениг
190,Mücke::N,komár,чуьрк
191,Fliege::N,moucha,моза
192,Schmetterling::N,motýl,полла
193,Beere::N,bobule,цӏазам
194,Apfel::N,jablko,ӏаж
195,Pilz::N,houba,жӏаьлин нускал
196,Zwiebel::N,cibule,xох
197,Saat::N,osivo,чlу
198,Korn::N,zrno,буьртиг
199,Heu::N,seno,йол
200,Schale::N,slupka,пардо
201,Schale::N,skořápka,пардо
202,Grube::N,jáma,ор
203,Falle::N,past,кӏело
204,Falle::N,léčka,кӏело
205,Schlinge::N,smyčka,
206,Spur::N,stopa,лар
207,Asche::N,popel,чим
208,Dreck::N,špína,мода
209,Eisen::N,železo,эчиг
210,Gold::N,zlato,деши
211,Silber::N,stříbro,дети
212,Kohle::N,uhlí,кӏора
213,Glas::N,sklo,aнгали
214,Lehm::N,jíl,поппар
215,Lehm::N,hlína,поппар
216,Sand::N,písek,гӏум
217,Mensch::N,člověk,адам
218,Mann::N,muž,майра
219,Frau::N,žena,зуда
220,Kind::N,dítě,бер
221,Junge::N,hoch,жимха
222,Junge::N,chlapec,жимха
223,Mädchen::N,děvče,жима йоӏ
224,Familie::N,rodina,доьзал
225,Großvater::N,děd,ненада
226,Großvater::N,dědeček,ненада
227,Großmutter::N,babička,денана
228,Eltern::N,rodiče,да-нана
229,Vater::N,otec,да
230,Mutter::N,matka,нана
231,Sohn::N,syn,кӏант
232,Tochter::N,dcera,йоӏ
233,Bruder::N,bratr,ваша
234,Schwester::N,sestra,йиша
235,Onkel::N,strýc,деваша
236,Tante::N,teta,дейиша
237,Ehemann::N,choť,майра
238,Ehemann::N,manžel,майра
239,Ehefrau::N,choť,зуда
240,Ehefrau::N,manželka,зуда
241,Freude::N,radost,самукъа
242,Freude::N,radost,хазахетар
243,Gelächter::N,smích,белам
244,Glück::N,štěstí,ирс
245,Kummer::N,žal,бала
246,Kummer::N,trápení,бала
247,Wunsch::N,přání,лаам
248,Lust::N,chuť,лаам
249,Geist::N,duch,са
250,Gedanke::N,myšlenka,ойла
251,Gedächtnis::N,paměť,диццадалар
252,Verstand::N,rozum,хьекъал
253,Sinn::N,smysl,маьӏна
254,Grund::N,důvod,бахьана
255,Wahrheit::N,pravda,бакъдерг
256,Gespräch::N,rozhovor,къамел
257,Märchen::N,pohádka,туьйра
258,Erzählung::N,povídka,дийцар
259,Nachricht::N,zpráva,хаам
260,Neuigkeit::N,novina,керланиг
261,Neuigkeit::N,novinka,керланиг
262,Name::N,jméno,цӏе
263,Rätsel::N,hádanka,хӏетал-метал
264,Rede::N,řeč,къамел
265,Rede::N,proslov,къамел
266,Sprache::N,řeč,мотт
267,Sprache::N,jazyk,мотт
268,Stimme::N,hlas,aз
