,Concept_ID,pl,sq
0,Auge::N,oko,sy
1,Ohr::N,ucho,vesh
2,Nase::N,nos,hundë
3,Mund::N,usta,gojë
4,Zahn::N,ząb,dhëmb
5,Zunge::N,język,gjuhë
6,Lippe::N,warga,buzë
7,Wange::N,policzek,faqe
8,Wange::N,policzek,mollëz
9,Gesicht::N,twarz,fytyrë
10,Stirn::N,czoło,ballë
11,Haar::N,włos,flokë
12,Haar::N,włosy,flokë
13,Schnurrbart::N,wąsy,mustaqe
14,Bart::N,broda,mjekër
15,Kinn::N,podbródek,mjekër
16,Kiefer[Anatomie]::N,czeluść,nofull
17,Kehle::N,gardło,fyt
18,Kehle::N,gardło,grykë
19,Hals::N,szyja,qafë
20,Genick::N,kark,arrëz
21,Kopf::N,głowa,kokë
22,Rücken::N,plecy,kurriz
23,Rücken::N,grzbiet,kurriz
24,Bauch::N,brzuch,bark
25,Nabel::N,pępek,kërthizë
26,Busen::N,biust,gji
27,Brust::N,pierś,gjoks
28,Brust::N,pierś,kraharor
29,Schulter::N,bark,sup
30,Schulter::N,bark,krah
31,Schulter::N,ramię,sup
32,Schulter::N,ramię,krah
33,Arm::N,ręka,krah
34,Arm::N,ramię,krah
35,Ellenbogen::N,łokieć,bërryl
36,Hand::N,dłoń,dorë
37,Handfläche::N,dłoń,pëllëmbë
38,Finger::N,palec,gisht
39,Fingernagel::N,paznokieć,thua
40,Nagel[Anatomie]::N,paznokieć,thua
41,Zeh::N,palec,gisht i këmbës
42,Fuß::N,stopa,këmbë
43,Ferse::N,pięta,thembër
44,Knie::N,kolano,gju
45,Oberschenkel::N,udo,kofshë
46,Bein::N,noga,këmbë
47,Körper::N,ciało,trup
48,Haut::N,skóra,lëkurë
49,Blut::N,krew,gjak
50,Ader::N,żyła,venë
51,Sehne::N,ścięgno,dell
52,Knochen::N,kość,asht
53,Knochen::N,kość,kockë
54,Gehirn::N,mózg,tru
55,Herz::N,serce,zemër
56,Magen::N,żołądek,stomak
57,Leber::N,wątroba,mëlçi
58,Atem::N,dech,frymë
59,Atem::N,oddech,frymë
60,Hunger::N,głód,uri
61,Träne::N,łza,lot
62,Geschmack::N,smak,shije
63,Geruch::N,woń,erë
64,Geruch::N,zapach,erë
65,Schlaf::N,sen,gjumë
66,Traum::N,sen,ëndërr
67,Himmel::N,niebo,qiell
68,Sonne::N,słońce,diell
69,Mond::N,księżyc,hënë
70,Stern::N,gwiazda,yll
71,Luft::N,powietrze,ajër
72,Wind::N,wiatr,erë
73,Welle::N,fala,valë
74,Welle::N,fala,dallgë
75,Wasser::N,woda,ujë
76,Stein::N,kamień,gur
77,Boden::N,grunt,tokë
78,Boden::N,grunt,truall
79,Erde::N,ziemia,dhe
80,Erde::N,ziemia,baltë
81,Staub::N,pył,pluhur
82,Staub::N,kurz,pluhur
83,Rauch::N,dym,tym
84,Funke::N,iskra,xixë
85,Funke::N,iskra,shkëndijë
86,Feuer::N,ogień,zjarr
87,Licht::N,światło,dritë
88,Schatten::N,cień,hije
89,Wetter::N,pogoda,mot
90,Nebel::N,mgła,mjegull
91,Wolke::N,obłok,re
92,Wolke::N,chmura,re
93,Regen::N,deszcz,shi
94,Schnee::N,śnieg,borë
95,Eis::N,lód,akull
96,Frost::N,mróz,ngricë
97,Kälte::N,chłód,të ftohtë
98,Hitze::N,gorąco,vapë
99,Hitze::N,gorąco,nxehtësi
100,Raureif::N,szron,cikmë
101,Regenbogen::N,tęcza,ylber
102,Donner::N,grzmot,gjëmim
103,Donner::N,grzmot,bubullimë
104,Strömung::N,nurt,rrymë
105,Tropfen::N,kropla,pikë
106,Schaum::N,piana,shkumë
107,Schmutz::N,brud,baltë
108,See::N,jezioro,liqen
109,Sumpf::N,bagno,batak
110,Moor::N,bagno,kënetë
111,Wiese::N,łąka,livadh
112,Wald::N,las,pyll
113,Hügel::N,pagórek,kodër
114,Anhöhe::N,wzgórze,bregore
115,Berg::N,góra,mal
116,Gipfel::N,szczyt,kulm
117,Gipfel::N,wierzchołek,kulm
118,Höhle::N,pieczara,shpellë
119,Höhle::N,pieczara,zgafelle
120,Abhang::N,stok,shpat
121,Abhang::N,stok,tatëpjetë
122,Abhang::N,zbocze,shpat
123,Abhang::N,zbocze,tatëpjetë
124,Quelle::N,zdrój,krua
125,Quelle::N,zdrój,burim
126,Quelle::N,źródło,krua
127,Quelle::N,źródło,burim
128,Bach::N,potok,virua
129,Bach::N,strumień,virua
130,Fluss::N,rzeka,lumë
131,Ufer::N,brzeg,breg
132,Küste::N,wybrzeże,anëdet
133,Küste::N,wybrzeże,bregdet
134,Festland::N,ląd,kontinent
135,Meer::N,morze,det
136,Bucht::N,zatoka,gji deti
137,Insel::N,wyspa,ishull
138,Insel::N,wyspa,ujdhesë
139,Blume::N,kwiat,lule
140,Gras::N,trawa,bar
141,Wurzel::N,korzeń,rrënjë
142,Baum::N,drzewo,pemë
143,Stamm::N,pień,trung
144,Rinde::N,kora,lëvore
145,Ast::N,gałąź,degë
146,Zweig::N,gałąź,bisk
147,Blatt::N,liść,fletë
148,Blatt::N,liść,gjethe
149,Birke::N,brzoza,mështekën
150,Kiefer[Baum]::N,sosna,pishë
151,Weide[Baum]::N,wierzba,shelg
152,Tanne::N,jodła,bredh
153,Horn::N,róg,bri
154,Feder::N,pióro,pupël
155,Fell::N,futro,lëkurë
156,Flügel::N,skrzydło,krah
157,Flügel::N,skrzydło,fletë
158,Klaue::N,szpon,kthetër
159,Kralle::N,pazur,thua
160,Kralle::N,pazur,kthetër
161,Schwanz::N,ogon,bisht
162,Ei::N,jajko,vezë
163,Nest::N,gniazdo,fole
164,Bau::N,nora,strofkë
165,Tier::N,zwierzę,kafshë
166,Herde::N,stado,kope
167,Herde::N,stado,grigjë
168,Herde::N,trzoda,kope
169,Herde::N,trzoda,grigjë
170,Kuh::N,krowa,lopë
171,Bulle::N,byk,dem
172,Pferd::N,koń,kalë
173,Schaf::N,owca,dele
174,Schwein::N,świnia,derr
175,Hund::N,pies,qen
176,Katze::N,kot,mace
177,Katze::N,kotka,mace
178,Bär::N,niedźwiedż,ari
179,Eichhörnchen::N,wiewiórka,ketër
180,Elch::N,łóś,dre brilopatë
181,Fuchs::N,lis,dhelpër
182,Hase::N,zając,lepur
183,Maus::N,mysz,mi
184,Wolf::N,wilk,ujk
185,Vogel::N,ptak,zog
186,Vogel::N,ptak,shpend
187,Schwarm::N,stado,luzmë
188,Huhn::N,kura,pulë
189,Hahn::N,kogut,gjel
190,Hahn::N,kogut,këndes
191,Gans::N,gęś,patë
192,Adler::N,orzeł,shqiponjë
193,Ente::N,kaczka,rosë
194,Eule::N,sowa,buf
195,Kranich::N,żuraw,lejlek
196,Kranich::N,żuraw,kurrillë
197,Krähe::N,wrona,sorrë
198,Kuckuck::N,kukułka,qyqe
199,Schwan::N,łabędż,mjellmë
200,Fisch::N,ryba,peshk
201,Barsch::N,okoń,purtekë
202,Hecht::N,szczupak,mlysh
203,Schlange[Tier]::N,wąż,gjarpër
204,Schlange[Tier]::N,żmija,gjarpër
205,Wurm::N,robak,krimb
206,Spinne::N,pająk,marimangë
207,Ameise::N,mrówka,thnegël
208,Ameise::N,mrówka,milingonë
209,Laus::N,wesz,morr
210,Mücke::N,komar,kunup
211,Mücke::N,komar,mushkonjë
