,Concept_ID,sk,ba
0,Auge::N,oko,күҙ
1,Ohr::N,ucho,ҡолаҡ
2,Nase::N,nos,танау
3,Mund::N,ústa,ауыҙ
4,Zahn::N,zub,теш
5,Zunge::N,jazyk,тел
6,Lippe::N,pera,ирен
7,Wange::N,líce,яцаҡтар
8,Gesicht::N,tvár,бит
9,Gesicht::N,obličaj,бит
10,Stirn::N,čelo,маңлай
11,Haar::N,vlas,сәс
12,Schnurrbart::N,fúzy,мылтыҡ
13,Bart::N,brada,һаҡал
14,Kinn::N,brada,эйэк
15,Kiefer[Anatomie]::N,čeľusť,яңаҡ һөйәге
16,Kehle::N,hrdlo,тамаҡ
17,Hals::N,krk,муйын
18,Genick::N,väzy,соңҡа
19,Kopf::N,hlava,баш
20,Rücken::N,chrbát,арҡа
21,Bauch::N,brucho,ҡорһаҡ
22,Nabel::N,pupok,кендек
23,Busen::N,prsia,күкрәк
24,Brust::N,hruď,түш
25,Schulter::N,plece,яурын
26,Arm::N,rameno,ҡул
27,Ellenbogen::N,lakeť,терһәк
28,Hand::N,ruka,ҡул
29,Hand::N,ruka,ҡул суғы
30,Handfläche::N,dlaň,ус төбө
31,Finger::N,prst,бармаҡ
32,Fingernagel::N,necht,тырнаҡ
33,Nagel[Anatomie]::N,necht,тырнаҡ
34,Zeh::N,prst na nohe,бармаҡ
35,Fuß::N,noha,табан
36,Ferse::N,päta,үксә
37,Knie::N,koleno,тубыҡ
38,Oberschenkel::N,stehno,сандыр
39,Bein::N,noha,аяҡ
40,Körper::N,telo,тән
41,Haut::N,koža,тире
42,Blut::N,krv,ҡан
43,Ader::N,žila,тамыр
44,Sehne::N,šľacha,һеңер
45,Sehne::N,šľacha,тарамыш
46,Knochen::N,kosť,һойәк
47,Gehirn::N,mozog,мейе
48,Herz::N,srdce,йорәк
49,Magen::N,žalúdok,ашҡаҙан
50,Leber::N,pečeň,бауыр
51,Atem::N,dych,һулыш
52,Hunger::N,hlad,аслыҡ
53,Träne::N,slza,күҙ иәше
54,Geschmack::N,chuť,тәм
55,Geruch::N,pach,еҫ
56,Schlaf::N,spánok,йоҡлау
57,Traum::N,sen,төш
58,Himmel::N,nebo,күк
59,Sonne::N,slnko,ҡояш
60,Mond::N,mesiac,ай
61,Stern::N,hviezda,йондоҙ
62,Luft::N,vzduch,һауа
63,Wind::N,vietor,ел
64,Welle::N,vlna,тулҡын
65,Wasser::N,voda,һыу
66,Stein::N,kameň,таш
67,Boden::N,zem,тупраҡ
68,Boden::N,pôda,тупраҡ
69,Erde::N,zem,балсҡ
70,Staub::N,prach,туҙан
71,Rauch::N,dym,төтөн
72,Funke::N,iskra,осҡон
73,Feuer::N,oheň,ут
74,Licht::N,svetlo,яҡтылыҡ
75,Schatten::N,tieň,күләгә
76,Wetter::N,počasie,һауа торошо
77,Nebel::N,hmla,төман
78,Wolke::N,oblak,болот
79,Wolke::N,mračno,болот
80,Regen::N,dážď,ямғыр
81,Schnee::N,sneh,ҡар
82,Eis::N,ľad,боҙ
83,Frost::N,mráz,һалҡын
84,Kälte::N,zima,һыуыҡ
85,Kälte::N,chlad,һыуыҡ
86,Hitze::N,horúčava,томра
87,Hitze::N,horúčava,эҫелек
88,Raureif::N,srieň,ҡырау
89,Raureif::N,inovať,ҡырау
90,Regenbogen::N,dúha,йәйғор
91,Donner::N,hrom,күк күкрәү
92,Strömung::N,prúdenie,ағым
93,Tropfen::N,kvapka,тамсы
94,Schaum::N,pena,күбек
95,Schmutz::N,špina,батҡаҡ
96,Schmutz::N,nečistota,батҡаҡ
97,See::N,jazero,күл
98,Sumpf::N,bahno,һаҙлык
99,Moor::N,močiar,һаҙ
100,Wiese::N,lúka,болон
101,Wald::N,les,урман
102,Wald::N,hora,урман
103,Hügel::N,vŕšok,түбә
104,Anhöhe::N,výšina,түбә
105,Anhöhe::N,výšina,ҡалҡыулыҡ
106,Anhöhe::N,vyvýšenina,түбә
107,Anhöhe::N,vyvýšenina,ҡалҡыулыҡ
108,Berg::N,hora,тау
109,Gipfel::N,vrchol,түбә
110,Höhle::N,jaskyňa,мәмерйә
111,Abhang::N,úbočie,ипкен
112,Quelle::N,prameň,шишмә
113,Bach::N,potok,шишмә
114,Fluss::N,rieka,йылға
115,Ufer::N,breh,яр
116,Küste::N,pobrežie,яр буйы
117,Festland::N,pevnina,ҡоро ер
118,Meer::N,more,диңгез
119,Bucht::N,záliv,бухта
120,Bucht::N,zátoka,бухта
121,Insel::N,ostrov,үтрау
122,Blume::N,kvet,сәскә
123,Blume::N,kvetina,сәскә
124,Gras::N,tráva,үлән
125,Wurzel::N,koreň,тамыр
126,Baum::N,strom,ағас
127,Stamm::N,kmeň,олон
128,Stamm::N,kmeň,көбәк
129,Rinde::N,kôra,ҡабыҡ
130,Ast::N,konár,ботаҡ
131,Zweig::N,vetva,ботаҡ
132,Zweig::N,vetva,тармаҡ
133,Blatt::N,list,япраҡ
134,Birke::N,breza,ҡайын
135,Kiefer[Baum]::N,sosna,ҡарғай
136,Kiefer[Baum]::N,borovica,ҡарғай
137,Weide[Baum]::N,vŕba,тал
138,Tanne::N,jedľa,шыршы
139,Horn::N,roh,мөғөҙ
140,Feder::N,pero,ҡауырһын
141,Fell::N,koža,тире
142,Fell::N,kožušina,тире
143,Flügel::N,krídlo,ҡанат
144,Klaue::N,paznecht,тырнаҡ
145,Kralle::N,pazúr,аяҡ
146,Schwanz::N,chvost,ҡойроҡ
147,Ei::N,vajce,йомортҡа
148,Ei::N,vajíčko,йомортҡа
149,Nest::N,hniezdo,оя
150,Bau::N,nora,оң
151,Tier::N,zviera,жайуан
152,Tier::N,zviera,йыртҡыс
153,Herde::N,stádo,көтөү
154,Kuh::N,krava,һыйыр
155,Bulle::N,býk,үгеҙ
156,Pferd::N,kôň,ат
157,Schaf::N,ovca,һарыҡ
158,Schwein::N,sviňa,сусҡа
159,Hund::N,pes,эт
160,Katze::N,mačka,бесәй
161,Bär::N,medveď,айыу
162,Eichhörnchen::N,veverička,тейен
163,Elch::N,los,мышы
164,Fuchs::N,líška,төлкө
165,Hase::N,zajac,ҡуян
166,Maus::N,myš,сысҡан
167,Wolf::N,vlk,бүре
168,Vogel::N,vták,ҡош
169,Schwarm::N,roj,көтөү
170,Huhn::N,kurča,тауыҡ
171,Huhn::N,sliepka,тауыҡ
172,Hahn::N,kohút,әтәс
173,Gans::N,hus,ҡаҙ
174,Adler::N,orol,бөркөт
175,Ente::N,kačka,өйрәк
176,Ente::N,kačica,өйрәк
177,Eule::N,sova,өкө
178,Eule::N,sova,ябалаҡ
179,Kranich::N,žeriav,торна
180,Krähe::N,vrana,ҡарға
181,Kuckuck::N,kukučka,кәкүк
182,Schwan::N,labuť,аҡҡош
183,Fisch::N,ryba,балыҡ
184,Barsch::N,ostriež,алабуға
185,Hecht::N,šťuka,суртан
186,Schlange[Tier]::N,had,йылан
187,Wurm::N,červ,селяүсен
188,Spinne::N,pavúk,үрмәксе
189,Ameise::N,mravec,ҡырмыҫҡа
190,Laus::N,voš,бет
191,Mücke::N,komár,серәкәй
192,Fliege::N,mucha,себен
193,Schmetterling::N,motýľ,күбәләк
194,Beere::N,bobuľa,еләк
195,Apfel::N,jablko,алма
196,Pilz::N,hríb,бәшмәк
197,Zwiebel::N,cibuľa,һуган
198,Saat::N,osivo,орлоҡ
199,Korn::N,zrno,иген
200,Heu::N,seno,бесән
201,Schale::N,šupa,ҡабыҡ
202,Schale::N,škrupina,ҡабыҡ
203,Grube::N,jama,соҡор
204,Falle::N,pasca,тоҙак
205,Falle::N,pasca,ҡапҡан
206,Falle::N,klepec,тоҙак
207,Falle::N,klepec,ҡапҡан
208,Schlinge::N,slučka,тоҙак
209,Spur::N,stopa,әҫер
210,Asche::N,popol,көл
211,Dreck::N,kal,батҡаҡ
212,Dreck::N,blato,батҡаҡ
213,Eisen::N,železo,тимер
214,Gold::N,zlato,алтын
215,Silber::N,striebro,көмөш
216,Kohle::N,uhlie,күмер
217,Glas::N,sklo,быяла
218,Lehm::N,íl,балсыҡ
219,Lehm::N,hlina,балсыҡ
220,Sand::N,piesok,ҡом
221,Mensch::N,človek,кеше
222,Mann::N,muž,ир
223,Mann::N,chlap,ир
224,Frau::N,žena,ҡатын
225,Kind::N,dieťa,бала
226,Junge::N,chlapec,малай
227,Mädchen::N,dievka,ҡыҙ
228,Mädchen::N,dievka,ҡыҙыҡай
229,Familie::N,rodina,ғаилә
230,Großvater::N,dedo,олатай
231,Großvater::N,starý otec,олатай
232,Großmutter::N,babička,әбәй
233,Großmutter::N,stará mať,әбәй
234,Eltern::N,rodičia,ата-әсә
235,Vater::N,otec,атай
236,Mutter::N,mať,әсә
237,Mutter::N,matka,әсә
238,Sohn::N,syn,ул
239,Tochter::N,dcéra,ҡыҙ
240,Bruder::N,brat,агай
241,Schwester::N,sestra,алай
242,Schwester::N,sestra,һеңле
243,Onkel::N,ujo,ағай
244,Onkel::N,strýko,ағай
245,Tante::N,teta,апай
246,Tante::N,tetka,апай
247,Ehemann::N,muž,ир
248,Ehemann::N,manžel,ир
249,Ehefrau::N,žena,ҡатын
250,Ehefrau::N,manželka,ҡатын
251,Freude::N,radosť,шатлыҡ
252,Freude::N,radosť,ҡыуаныс
253,Gelächter::N,smiech,көлөү
254,Glück::N,šťastie,бәхет
255,Kummer::N,žiaľ,ҡайғы
256,Kummer::N,zármutok,ҡайғы
257,Wunsch::N,prianie,теләк
258,Lust::N,chuť,әүәҫлек
259,Geist::N,duch,аң
260,Geist::N,duch,рух
261,Gedanke::N,myšlienka,уй
262,Gedanke::N,myšlienka,фекер
263,Gedächtnis::N,pamäť,хәтер
264,Verstand::N,rozum,аҡыл
265,Sinn::N,zmysel,мәғәня
266,Grund::N,dôvod,сәбәп
267,Grund::N,príčina,сәбәп
268,Wahrheit::N,pravda,дөрөҫлөк
269,Gespräch::N,reč,әңгәмә
270,Gespräch::N,rozhovor,әңгәмә
271,Märchen::N,rozprávka,әкиәт
272,Erzählung::N,poviedka,хикәйә
273,Nachricht::N,správa,хәбәр
274,Neuigkeit::N,novinka,яңылыҡ
275,Name::N,meno,исем
276,Rätsel::N,záhada,йомаҡ
277,Rätsel::N,hádanka,йомаҡ
278,Rede::N,reč,телмәр
279,Sprache::N,reč,тел
280,Sprache::N,reč,телмәр
281,Sprache::N,jazyk,тел
282,Sprache::N,jazyk,телмәр
283,Stimme::N,hlas,тауыш
284,Wort::N,slovo,һүҙ
285,Zeichen::N,znak,билдә
286,Ruf::N,volanie,саҡырыу
287,Ruf::N,zavolanie,саҡырыу
288,Lärm::N,hluk,шаулау
289,Lärm::N,hurhaj,шаулау
290,Laut::N,zvuk,тауыш
291,Ton::N,tón,яңғырау
