,Concept_ID,mdf,uk
0,Auge::N,сельме,око
1,Ohr::N,пиле,вухо
2,Nase::N,шалхка,ніс
3,Mund::N,курга,рот
4,Zahn::N,пей,зуб
5,Zunge::N,кяль,язик
6,Lippe::N,търва́,губа
7,Wange::N,щёка,щока
8,Gesicht::N,шама,обличчя
9,Stirn::N,коня,лоб
10,Haar::N,шя́ярь,волосся
11,Schnurrbart::N,уса́,вуса
12,Bart::N,сакал,борода
13,Kinn::N,ула,підборіддя
14,Kiefer[Anatomie]::N,саласка,щелепа
15,Kehle::N,кълдома,горло
16,Kehle::N,кърга́парь,горло
17,Hals::N,сялдаз,шия
18,Genick::N,шовонь,потилиця
19,Kopf::N,пря,голова
20,Rücken::N,копорь,спина
21,Bauch::N,пеке,живіт
22,Nabel::N,по́кон,пупок
23,Busen::N,потя,груди
24,Brust::N,мяште,груди
25,Schulter::N,лафту,плече
26,Arm::N,кядь,рука
27,Ellenbogen::N,кенерьба́карь,лікоть
28,Hand::N,кядь,рука
29,Handfläche::N,кядьлапш,долоня
30,Finger::N,сур,палець
31,Fingernagel::N,кенже,ніготь
32,Nagel[Anatomie]::N,кенже,ніготь
33,Zeh::N,пильгосу́р,палець на нозі
34,Fuß::N,пильге,нога
35,Fuß::N,пильгелапа,нога
36,Ferse::N,кочкяря,п’ятка
37,Knie::N,эль,коліно
38,Knie::N,пълма́нжа,коліно
39,Oberschenkel::N,пильгепукша,стегно
40,Bein::N,пильге,нога
41,Körper::N,ро́нга,тіло
42,Körper::N,по́нда,тіло
43,Haut::N,киське,шкіра
44,Blut::N,вер,кров
45,Ader::N,сан,вена
46,Ader::N,верза́н,вена
47,Sehne::N,коське сан,сухожилля
48,Knochen::N,пакарь,кістка
49,Gehirn::N,уй,мозок
50,Herz::N,седи,серце
51,Magen::N,коткърдазь,шлунок
52,Leber::N,макса,печінка
53,Atem::N,лекома,дихання
54,Atem::N,ваймонь тарксема,дихання
55,Hunger::N,вачеши,голод
56,Träne::N,сельмове́дь,сльоза
57,Geschmack::N,таньф,смак
58,Geruch::N,шине,запах
59,Schlaf::N,удома́,сон
60,Schlaf::N,удома́,сплячка
61,Traum::N,он,сон
62,Himmel::N,менель,небо
63,Sonne::N,ши,сонце
64,Mond::N,ков,місяць
65,Stern::N,тяште,зірка
66,Luft::N,кожф,повітря
67,Wind::N,варма,вітер
68,Welle::N,тавла,хвиля
69,Wasser::N,ведь,вода
70,Stein::N,кев,камінь
71,Boden::N,мода,ґрунт
72,Boden::N,потмакс,ґрунт
73,Erde::N,мода,земля
74,Erde::N,мастор,земля
75,Staub::N,пуль,пил
76,Rauch::N,качам,дим
77,Funke::N,ця́тка,іскра
78,Feuer::N,тол,вогонь
79,Licht::N,ва́лда,світло
80,Schatten::N,цильф,тінь
81,Wetter::N,уша,погода
82,Nebel::N,тума́н,туман
83,Wolke::N,ковол,хмара
84,Regen::N,пизем,дощ
85,Schnee::N,лов,сніг
86,Eis::N,эй,лід
87,Frost::N,ке́льме,мороз
88,Kälte::N,якшама,холод
89,Hitze::N,пси,жар
90,Raureif::N,леш,іній
91,Regenbogen::N,а́тямъёнга,райдуга
