,Concept_ID,pl,ko
0,Auge::N,oko,눈
1,Ohr::N,ucho,귀
2,Nase::N,nos,코
3,Mund::N,usta,입
4,Zahn::N,ząb,이
5,Zunge::N,język,혀
6,Lippe::N,warga,입술
7,Wange::N,policzek,뺨
8,Gesicht::N,twarz,얼굴
9,Stirn::N,czoło,이마
10,Haar::N,włos,털
11,Haar::N,włosy,털
12,Schnurrbart::N,wąsy,윗수몀
13,Schnurrbart::N,wąsy,코밑수염
14,Bart::N,broda,수엄
15,Kinn::N,podbródek,아래턱
16,Kiefer[Anatomie]::N,czeluść,턱
17,Kehle::N,gardło,인후
18,Hals::N,szyja,목
19,Genick::N,kark,먹덜이
20,Kopf::N,głowa,머리
21,Rücken::N,plecy,든
22,Rücken::N,grzbiet,든
23,Bauch::N,brzuch,배
24,Nabel::N,pępek,배꼽
25,Busen::N,biust,가슴속
26,Brust::N,pierś,가슴
27,Schulter::N,bark,어깨
28,Schulter::N,ramię,어깨
29,Arm::N,ręka,팔
30,Arm::N,ramię,팔
31,Ellenbogen::N,łokieć,팔쿰치
32,Hand::N,dłoń,손
33,Handfläche::N,dłoń,손바닥
34,Finger::N,palec,속가락
35,Fingernagel::N,paznokieć,손톱
36,Nagel[Anatomie]::N,paznokieć,손톱
37,Zeh::N,palec,발가락
38,Fuß::N,stopa,발
39,Ferse::N,pięta,발꿈치
40,Knie::N,kolano,무릎
41,Oberschenkel::N,udo,허벅다리
42,Bein::N,noga,다리
43,Körper::N,ciało,구간
44,Haut::N,skóra,살갗
45,Blut::N,krew,피
46,Ader::N,żyła,정맥
47,Sehne::N,ścięgno,현
48,Knochen::N,kość,뼈
49,Gehirn::N,mózg,뇌
50,Gehirn::N,mózg,뇌수
51,Herz::N,serce,염통
52,Magen::N,żołądek,위
53,Leber::N,wątroba,간
54,Atem::N,dech,기식
55,Atem::N,oddech,기식
56,Hunger::N,głód,공복
57,Träne::N,łza,눈물
58,Geschmack::N,smak,기호
59,Geruch::N,woń,냄새
60,Geruch::N,zapach,냄새
61,Schlaf::N,sen,수면
62,Traum::N,sen,쿰
63,Himmel::N,niebo,하늘
64,Sonne::N,słońce,해
65,Mond::N,księżyc,달
66,Stern::N,gwiazda,별
67,Luft::N,powietrze,동준
68,Luft::N,powietrze,가스채
69,Wind::N,wiatr,바람
70,Welle::N,fala,물결
