,Concept_ID,udm,sk
0,Auge::N,син,oko
1,Ohr::N,пель,ucho
2,Nase::N,ныр,nos
3,Mund::N,ым,ústa
4,Zahn::N,пинь,zub
5,Zunge::N,кыл,jazyk
6,Lippe::N,ымдур,pera
7,Wange::N,бам,líce
8,Gesicht::N,ымныр,tvár
9,Gesicht::N,ымныр,obličaj
10,Stirn::N,кымес,čelo
11,Haar::N,йырси,vlas
12,Schnurrbart::N,мыйык,fúzy
13,Bart::N,туш,brada
14,Kinn::N,ангес,brada
15,Kiefer[Anatomie]::N,ан,čeľusť
16,Kiefer[Anatomie]::N,анлы,čeľusť
17,Kehle::N,гульым,hrdlo
18,Hals::N,чырты,krk
19,Genick::N,йырбер,väzy
20,Kopf::N,йыр,hlava
21,Rücken::N,мыш,chrbát
22,Bauch::N,кӧт,brucho
23,Nabel::N,гогы,pupok
24,Busen::N,ноны,prsia
25,Brust::N,мӧля,hruď
26,Schulter::N,пельпум,plece
27,Arm::N,суй,rameno
28,Ellenbogen::N,гырпум,lakeť
29,Hand::N,ки,ruka
30,Handfläche::N,ки пыдэс,dlaň
31,Handfläche::N,кырым пыдэс,dlaň
32,Finger::N,чиньы,prst
33,Fingernagel::N,гижы,necht
34,Fingernagel::N,гиждӥнь,necht
35,Nagel[Anatomie]::N,гижы,necht
36,Zeh::N,пыдчиньы,prst na nohe
37,Fuß::N,пыд,noha
38,Ferse::N,пыдбер,päta
39,Knie::N,пыдес,koleno
40,Oberschenkel::N,макес,stehno
41,Bein::N,пыд,noha
42,Körper::N,мугор,telo
43,Körper::N,вылтыр,telo
44,Haut::N,ку,koža
45,Blut::N,вир,krv
46,Ader::N,вирсэр,žila
47,Sehne::N,вуж,šľacha
48,Knochen::N,лы,kosť
49,Gehirn::N,вим,mozog
50,Herz::N,сюлэм,srdce
51,Magen::N,ӝуш,žalúdok
52,Leber::N,мус,pečeň
53,Atem::N,лул,dych
54,Atem::N,шокан,dych
55,Hunger::N,кӧтсюман,hlad
56,Träne::N,синкыли,slza
57,Geschmack::N,шӧм,chuť
58,Geruch::N,зын,pach
59,Schlaf::N,вӧт,spánok
60,Traum::N,уйвӧт,sen
61,Himmel::N,ин,nebo
62,Sonne::N,шунды,slnko
63,Mond::N,толэзь,mesiac
64,Stern::N,кизили,hviezda
65,Luft::N,омыр,vzduch
66,Wind::N,тӧл,vietor
67,Welle::N,тулкым,vlna
68,Wasser::N,ву,voda
69,Stein::N,из,kameň
70,Boden::N,музъем,zem
71,Boden::N,музъем,pôda
72,Erde::N,му,zem
73,Staub::N,пыль,prach
74,Rauch::N,ӵын,dym
75,Funke::N,гизьы,iskra
76,Feuer::N,тыл,oheň
77,Licht::N,тыл,svetlo
78,Schatten::N,вужер,tieň
79,Wetter::N,куазь,počasie
80,Nebel::N,бус,hmla
81,Wolke::N,пилем,oblak
82,Wolke::N,пилем,mračno
83,Regen::N,зор,dážď
84,Schnee::N,лымы,sneh
85,Eis::N,йӧ,ľad
86,Frost::N,кезьыт,mráz
87,Kälte::N,кезьыт,zima
88,Kälte::N,кезьыт,chlad
89,Hitze::N,пӧсь,horúčava
90,Raureif::N,гӧр,srieň
91,Raureif::N,гӧр,inovať
92,Regenbogen::N,вуюись,dúha
93,Donner::N,гудыри,hrom
94,Strömung::N,бызён,prúdenie
95,Tropfen::N,шапык,kvapka
96,Schaum::N,шукы,pena
97,Schmutz::N,нӧд,špina
98,Schmutz::N,нӧд,nečistota
99,Schmutz::N,дэри,špina
100,Schmutz::N,дэри,nečistota
101,See::N,ты,jazero
102,Sumpf::N,нюр,bahno
103,Moor::N,нюр,močiar
104,Wiese::N,возь,lúka
105,Wiese::N,возьвыл,lúka
106,Wald::N,сик,les
107,Wald::N,сик,hora
108,Wald::N,нюлэс,les
109,Wald::N,нюлэс,hora
110,Hügel::N,выр,vŕšok
111,Hügel::N,вырйыл,vŕšok
112,Anhöhe::N,выр,výšina
113,Anhöhe::N,выр,vyvýšenina
114,Anhöhe::N,вырйыл,výšina
115,Anhöhe::N,вырйыл,vyvýšenina
116,Berg::N,гурезь,hora
117,Gipfel::N,йыл,vrchol
118,Höhle::N,гу,jaskyňa
119,Abhang::N,бам,úbočie
120,Quelle::N,ошмес,prameň
121,Bach::N,пичи шур,potok
122,Fluss::N,шур,rieka
123,Ufer::N,ярдур,breh
124,Küste::N,вудур,pobrežie
125,Festland::N,мувыр,pevnina
126,Meer::N,зарезь,more
127,Bucht::N,вукож,záliv
128,Bucht::N,вукож,zátoka
129,Insel::N,вумуӵ,ostrov
130,Insel::N,шормуӵ,ostrov
131,Blume::N,сяська,kvet
132,Blume::N,сяська,kvetina
133,Gras::N,турын,tráva
134,Wurzel::N,выжы,koreň
135,Baum::N,пу,strom
136,Stamm::N,модос,kmeň
137,Rinde::N,сул,kôra
138,Ast::N,ул,konár
139,Zweig::N,вай,vetva
140,Blatt::N,куар,list
141,Birke::N,кызьпу,breza
142,Kiefer[Baum]::N,пужым,sosna
143,Kiefer[Baum]::N,пужым,borovica
144,Weide[Baum]::N,бадьпу,vŕba
145,Tanne::N,кыз,jedľa
146,Horn::N,сюр,roh
147,Feder::N,тылы,pero
148,Fell::N,ку,koža
149,Fell::N,ку,kožušina
150,Flügel::N,бурд,krídlo
151,Klaue::N,гижы,paznecht
152,Kralle::N,пыд,pazúr
