,Concept_ID,mhr,ja
0,Auge::N,шинча́,目
1,Ohr::N,пы́лыш,耳
2,Nase::N,нер,鼻
3,Mund::N,умша́,口
4,Zahn::N,пӱй,歯
5,Zunge::N,йы́лме,舌
6,Lippe::N,тӱ́рвӧ,唇
7,Wange::N,шӱ́ргӧ,頬
8,Gesicht::N,чури́й,顔
9,Stirn::N,саҥга́,額
10,Haar::N,ӱп,髪
11,Schnurrbart::N,ӧ́рыш,口髭
12,Bart::N,понда́ш,髭
13,Kinn::N,оҥыла́ш,顎
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,顎
15,Kiefer[Anatomie]::N,пӱйората́,顎
16,Kehle::N,лога́р,喉
17,Hals::N,шӱй,首
18,Genick::N,шӱйло́дыш,首
19,Kopf::N,вуй,頭
20,Rücken::N,туп,背中
21,Bauch::N,мӱ́шкыр,腹
22,Bauch::N,мӱ́шкыр,お腹
23,Nabel::N,кы́лымде,へそ
24,Busen::N,чы́зе,乳房
25,Brust::N,оҥ,胸
26,Schulter::N,ва́че,肩
27,Arm::N,кид,腕
28,Ellenbogen::N,кынерву́й,肘
29,Hand::N,кид,手
30,Hand::N,копа́,手
31,Handfläche::N,со́во,手のひら
32,Finger::N,парня́,指
33,Fingernagel::N,кидкӱ́ч,爪
34,Fingernagel::N,парнягӱ́ч,爪
35,Nagel[Anatomie]::N,кӱч,爪
36,Zeh::N,йолварня́,足の指
37,Fuß::N,йол,足
38,Fuß::N,йолкопа́,足
39,Ferse::N,тага́н,かかと
40,Knie::N,пулву́й,膝
41,Oberschenkel::N,э́рде,上腿
42,Bein::N,йол,足
43,Körper::N,кап,体
44,Haut::N,кова́ште,皮膚
45,Blut::N,вӱр,血
46,Ader::N,шӧн,血管
47,Sehne::N,шӧн,腱
48,Sehne::N,кӱсе́н,腱
49,Knochen::N,лу,骨
50,Gehirn::N,вем,脳
51,Gehirn::N,вуйве́м,脳
52,Herz::N,шӱм,心
53,Herz::N,шӱм,心臓
54,Magen::N,пага́р,胃
55,Leber::N,мокш,肝臓
56,Atem::N,шӱ́лыш,息
57,Atem::N,шӱ́лыш,呼吸
58,Hunger::N,шужыма́ш,空腹
59,Träne::N,шинчавӱ́д,涙
60,Geschmack::N,там,味
61,Geruch::N,пуш,匂い
62,Schlaf::N,о́мо,睡眠
63,Traum::N,йӱдо́мо,夢
64,Himmel::N,кава́,空
65,Sonne::N,ке́че,太陽
66,Mond::N,ты́лзе,月
67,Stern::N,шӱ́дыр,星
68,Luft::N,юж,空気
69,Wind::N,марде́ж,風
70,Welle::N,то́лкын,波
71,Wasser::N,вӱд,水
72,Stein::N,кӱ,石
73,Boden::N,рок,土地
74,Erde::N,мла́нде,土
75,Staub::N,пура́к,埃
76,Rauch::N,шикш,煙
77,Funke::N,сеске́м,火花
78,Funke::N,тулйы́п,火花
79,Feuer::N,тул,火
80,Licht::N,со́то,光
81,Schatten::N,ӱ́мыл,陰
82,Wetter::N,иге́че,天気
83,Nebel::N,тӱтыра́,霧
84,Wolke::N,пыл,雲
85,Regen::N,йӱр,雨
86,Schnee::N,лум,雪
87,Eis::N,ий,氷
88,Frost::N,чатлама́,霜
89,Kälte::N,йӱ́штӧ,寒さ
90,Hitze::N,шо́кшо,暑さ
91,Raureif::N,пӧрш,霧氷
92,Raureif::N,по́кшым,霧氷
93,Regenbogen::N,шонанпы́л,虹
94,Donner::N,кӱ́дырчӧ,雷
95,Strömung::N,йо́гын,流れ
96,Tropfen::N,чӱча́лтыш,滴
97,Schaum::N,шоҥ,泡
98,Schmutz::N,лавыра́,汚れ
99,See::N,ер,湖
100,Sumpf::N,лӱ́кӧ,沼
101,Moor::N,куп,湿原
102,Wiese::N,о́лык,草原
103,Wald::N,чодыра́,森
104,Hügel::N,арка́,丘
105,Anhöhe::N,тӧва́,高み
106,Anhöhe::N,кӱкшака́,高み
107,Berg::N,ку́рык,山
108,Gipfel::N,чаҥга́,頂上
109,Gipfel::N,курыкву́й,頂上
110,Höhle::N,пеще́р,洞窟
