,Concept_ID,mdf,es
0,Auge::N,сельме,ojo
1,Ohr::N,пиле,oreja
2,Nase::N,шалхка,nariz
3,Mund::N,курга,boca
4,Zahn::N,пей,diente
5,Zunge::N,кяль,lengua
6,Lippe::N,търва́,labio
7,Wange::N,щёка,mejilla
8,Gesicht::N,шама,cara
9,Stirn::N,коня,frente
10,Haar::N,шя́ярь,cabello
11,Schnurrbart::N,уса́,bigote
12,Bart::N,сакал,barba
13,Kinn::N,ула,barbilla
14,Kiefer[Anatomie]::N,саласка,mandíbula
15,Kehle::N,кълдома,garganta
16,Kehle::N,кърга́парь,garganta
17,Hals::N,сялдаз,cuello
18,Genick::N,шовонь,nuca
19,Genick::N,шовонь,cerviz
20,Kopf::N,пря,cabeza
21,Rücken::N,копорь,espalda
22,Bauch::N,пеке,vientre
23,Nabel::N,по́кон,ombligo
24,Busen::N,потя,pecho
25,Brust::N,мяште,pecho
26,Schulter::N,лафту,hombro
27,Arm::N,кядь,brazo
28,Ellenbogen::N,кенерьба́карь,codo
29,Hand::N,кядь,mano
30,Handfläche::N,кядьлапш,palma
31,Finger::N,сур,dedo
32,Fingernagel::N,кенже,uña
33,Nagel[Anatomie]::N,кенже,uña
34,Zeh::N,пильгосу́р,dedo del pie
35,Fuß::N,пильге,pie
36,Fuß::N,пильгелапа,pie
37,Ferse::N,кочкяря,talón
38,Knie::N,эль,rodilla
39,Knie::N,пълма́нжа,rodilla
40,Oberschenkel::N,пильгепукша,muslo
41,Bein::N,пильге,pierna
42,Körper::N,ро́нга,cuerpo
43,Körper::N,по́нда,cuerpo
44,Haut::N,киське,piel
45,Blut::N,вер,sangre
46,Ader::N,сан,vena
47,Ader::N,верза́н,vena
48,Sehne::N,коське сан,tendón
49,Knochen::N,пакарь,hueso
50,Gehirn::N,уй,cerebro
51,Gehirn::N,уй,encéfalo
52,Herz::N,седи,corazón
53,Magen::N,коткърдазь,estómago
54,Leber::N,макса,hígado
55,Atem::N,лекома,aliento
56,Atem::N,ваймонь тарксема,aliento
57,Hunger::N,вачеши,hambre
58,Träne::N,сельмове́дь,lágrima
59,Geschmack::N,таньф,gusto
60,Geruch::N,шине,olor
61,Schlaf::N,удома́,sueño
62,Traum::N,он,sueño
63,Traum::N,он,ensueño
64,Himmel::N,менель,cielo
65,Sonne::N,ши,sol
66,Mond::N,ков,luna
67,Stern::N,тяште,estrella
68,Luft::N,кожф,aire
69,Wind::N,варма,viento
70,Welle::N,тавла,ola
71,Welle::N,тавла,onda
72,Wasser::N,ведь,agua
73,Stein::N,кев,piedra
74,Boden::N,мода,suelo
75,Boden::N,потмакс,suelo
76,Erde::N,мода,tierra
77,Erde::N,мастор,tierra
78,Staub::N,пуль,polvo
79,Rauch::N,качам,humo
80,Funke::N,ця́тка,chispa
81,Feuer::N,тол,fuego
82,Licht::N,ва́лда,luz
83,Schatten::N,цильф,sombra
84,Wetter::N,уша,tiempo
85,Nebel::N,тума́н,niebla
86,Wolke::N,ковол,nube
87,Regen::N,пизем,lluvia
88,Schnee::N,лов,nieve
89,Eis::N,эй,hielo
90,Frost::N,ке́льме,helada
91,Kälte::N,якшама,frío
92,Hitze::N,пси,calor
93,Raureif::N,леш,escarcha
94,Regenbogen::N,а́тямъёнга,arco iris
95,Donner::N,атям,trueno
96,Strömung::N,шудема́,corriente
97,Tropfen::N,путькс,gota
98,Tropfen::N,пътняфкс,gota
99,Schaum::N,шов,espuma
100,Schmutz::N,ърда́з,suciedad
101,See::N,эрьхке,lago
102,Sumpf::N,шяй,pantano
103,Moor::N,шяй,turbera
104,Wiese::N,луга,prado
105,Wiese::N,луга,pradera
106,Wald::N,вирь,bosque
107,Hügel::N,губо́р,colina
108,Hügel::N,пандоня,colina
109,Anhöhe::N,губо́р,cerro
110,Berg::N,панда,monte
