,Concept_ID,ta,tr
0,Auge::N,கண்,göz
1,Ohr::N,காது,kulak
2,Nase::N,மூக்கு,burun
3,Mund::N,வாய்,ağız
4,Zahn::N,பல்,diş
5,Zunge::N,நாக்கு,dil
6,Lippe::N,உதடு,dudak
7,Wange::N,கன்னம்,yanak
8,Gesicht::N,முகம்,yüz
9,Stirn::N,முன்னெற்றி,alın
10,Haar::N,முடி,saç
11,Schnurrbart::N,மீசை,bıyık
12,Bart::N,தாடி,sakal
13,Kinn::N,கீழதாடை,çene
14,Kiefer[Anatomie]::N,தாடை,çene
15,Kehle::N,தொண்டை,boğaz
16,Hals::N,கழுத்து,boyun
17,Hals::N,கழுத்து,gerdan
18,Genick::N,கழுத்து,ense
19,Kopf::N,தலை,baş
20,Kopf::N,தலை,kafa
21,Rücken::N,முதுகு,arka
22,Bauch::N,வயிறு,karın
23,Nabel::N,தொப்புள்,göbek
24,Busen::N,மார்பகம்,koyun
25,Brust::N, மார்பு,göğüs
26,Schulter::N,தோள்பட்டை,omuz
27,Arm::N,கரம்,kol
28,Ellenbogen::N,முழங்கை,dirsek
29,Hand::N,கை,el
30,Handfläche::N,உள்ளங்கை,avuç
31,Handfläche::N,உள்ளங்கை,el ayası
32,Finger::N,விரல்,parmak
33,Fingernagel::N,விரல் நகம்,el tırnağı
34,Nagel[Anatomie]::N,நகம்,tırnak
35,Zeh::N,கால்விரல்,ayak parmağı
36,Fuß::N,கால்,ayak
37,Ferse::N,குதிகால்,topuk
38,Knie::N,முழங்கால்,diz
39,Oberschenkel::N,தொடை,uyluk
40,Bein::N,கால்,bacak
41,Körper::N,உடல்,vücut
42,Haut::N,சருமம்,cilt
43,Blut::N,இரத்தம்,kan
44,Ader::N,நாளம்,damar
45,Sehne::N,தசைநார்,kiriş
46,Knochen::N,எலுமபு,kemik
47,Gehirn::N,மூனை,beyin
48,Herz::N,இதயம,kalp
49,Herz::N,இதயம,yürek
50,Magen::N,வயிறு,mide
51,Leber::N,கல்லீரல்,karaciğer
52,Atem::N,மூச்சு,nefes
53,Hunger::N,பசி,açlık
54,Träne::N,கண்ணீர்,gözyaşı
55,Geschmack::N,நறுமணம்,tat
56,Geschmack::N,நறுமணம்,lezzet
57,Geruch::N,துர்நாற்றம்,koku
58,Schlaf::N,தூக்கம்,uyku
59,Traum::N,கனவு,düş
60,Traum::N,கனவு,rüya
61,Himmel::N,வானம்,gök
62,Sonne::N,சூரியன்,güneş
63,Mond::N,சந்திரன்,ay
