,Concept_ID,tr,la
0,Auge::N,göz,oculus
1,Ohr::N,kulak,auris
2,Nase::N,burun,nasus
3,Mund::N,ağız,os
4,Zahn::N,diş,dens
5,Zunge::N,dil,lingua
6,Lippe::N,dudak,labrum
7,Wange::N,yanak,gena
8,Gesicht::N,yüz,vultus
9,Stirn::N,alın,frons
10,Haar::N,saç,capillus
11,Schnurrbart::N,bıyık,barba labri superioris
12,Bart::N,sakal,barba
13,Kinn::N,çene,mentum
14,Kiefer[Anatomie]::N,çene,mala
15,Kehle::N,boğaz,iugulums
16,Hals::N,boyun,collum
17,Hals::N,gerdan,collum
18,Genick::N,ense,cervices
19,Kopf::N,baş,caput
20,Kopf::N,kafa,caput
21,Rücken::N,arka,tergum
22,Bauch::N,karın,venter
23,Nabel::N,göbek,umbilicus
24,Busen::N,koyun,sinus
25,Brust::N,göğüs,pectus
26,Schulter::N,omuz,umerus
27,Arm::N,kol,bracchium
28,Ellenbogen::N,dirsek,cubitum
29,Hand::N,el,manus
30,Handfläche::N,avuç,palma
31,Handfläche::N,el ayası,palma
32,Finger::N,parmak,digitus
33,Fingernagel::N,el tırnağı,unguiculus
34,Nagel[Anatomie]::N,tırnak,unguis
35,Zeh::N,ayak parmağı,digitus
36,Fuß::N,ayak,pes
37,Ferse::N,topuk,calx
38,Knie::N,diz,genu
39,Oberschenkel::N,uyluk,femur
40,Bein::N,bacak,crus
41,Körper::N,vücut,corpus
42,Haut::N,cilt,cutis
43,Haut::N,cilt,pellis
44,Blut::N,kan,sanguis
45,Ader::N,damar,vena
46,Sehne::N,kiriş,nervus
47,Knochen::N,kemik,os
48,Gehirn::N,beyin,cerebrum
49,Herz::N,kalp,cor
50,Herz::N,kalp,animus
51,Herz::N,yürek,cor
52,Herz::N,yürek,animus
53,Magen::N,mide,stomachus
54,Leber::N,karaciğer,iecur
55,Atem::N,nefes,spiritus
56,Hunger::N,açlık,fames
57,Träne::N,gözyaşı,lacrima
58,Geschmack::N,tat,sapor
59,Geschmack::N,tat,gustus
60,Geschmack::N,lezzet,sapor
61,Geschmack::N,lezzet,gustus
62,Geruch::N,koku,odor
63,Schlaf::N,uyku,somnus
64,Traum::N,düş,somnium
65,Traum::N,rüya,somnium
66,Himmel::N,gök,caelum
67,Sonne::N,güneş,sol
68,Mond::N,ay,luna
69,Stern::N,yıldız,sidus
70,Stern::N,yıldız,stella
71,Luft::N,hava,aer
72,Wind::N,yel,ventus
73,Wind::N,rüzgâr,ventus
74,Welle::N,dalga,unda
75,Wasser::N,su,aqua
76,Stein::N,taş,lapis
77,Boden::N,yer,solum
78,Boden::N,zemin,solum
79,Erde::N,toprak,terra
80,Staub::N,toz,pulvis
81,Rauch::N,duman,fumus
82,Funke::N,kıvılcım,scintilla
83,Feuer::N,ateş,ignis
84,Licht::N,ışık,lux
85,Licht::N,ışık,lumen
86,Schatten::N,gölge,umbra
87,Wetter::N,hava,caelum
88,Wetter::N,hava,tempestas
