,Concept_ID,fr,ta
0,Auge::N,œil,கண்
1,Ohr::N,oreille,காது
2,Nase::N,nez,மூக்கு
3,Mund::N,bouche,வாய்
4,Zahn::N,dent,பல்
5,Zunge::N,langue,நாக்கு
6,Lippe::N,lèvre,உதடு
7,Wange::N,joue,கன்னம்
8,Gesicht::N,face,முகம்
9,Gesicht::N,visage,முகம்
10,Stirn::N,front,முன்னெற்றி
11,Haar::N,cheveu,முடி
12,Schnurrbart::N,moustache,மீசை
13,Bart::N,barbe,தாடி
14,Kinn::N,menton,கீழதாடை
15,Kiefer[Anatomie]::N,mâchoire,தாடை
16,Kehle::N,gorge,தொண்டை
17,Hals::N,cou,கழுத்து
18,Genick::N,nuque,கழுத்து
19,Kopf::N,tête,தலை
20,Rücken::N,dos,முதுகு
21,Bauch::N,ventre,வயிறு
22,Nabel::N,nombril,தொப்புள்
23,Busen::N,sein,மார்பகம்
24,Brust::N,poitrine, மார்பு
25,Schulter::N,épaule,தோள்பட்டை
26,Arm::N,bras,கரம்
27,Ellenbogen::N,coude,முழங்கை
28,Hand::N,main,கை
29,Handfläche::N,paume,உள்ளங்கை
30,Finger::N,doigt,விரல்
31,Fingernagel::N,ongle,விரல் நகம்
32,Nagel[Anatomie]::N,ongle,நகம்
33,Zeh::N,orteil,கால்விரல்
34,Zeh::N,doigt de pied,கால்விரல்
35,Fuß::N,pied,கால்
36,Ferse::N,talon,குதிகால்
37,Knie::N,genou,முழங்கால்
38,Oberschenkel::N,cuisse,தொடை
39,Bein::N,jambe,கால்
40,Körper::N,corps,உடல்
41,Haut::N,peau,சருமம்
42,Blut::N,sang,இரத்தம்
43,Ader::N,veine,நாளம்
44,Sehne::N,tendon,தசைநார்
45,Knochen::N,os,எலுமபு
46,Gehirn::N,cerveau,மூனை
47,Herz::N,cœur,இதயம
48,Magen::N,estomac,வயிறு
49,Leber::N,foie,கல்லீரல்
50,Atem::N,haleine,மூச்சு
51,Hunger::N,faim,பசி
52,Träne::N,larme,கண்ணீர்
53,Geschmack::N,goût,நறுமணம்
54,Geschmack::N,saveur,நறுமணம்
55,Geruch::N,odeur,துர்நாற்றம்
56,Schlaf::N,sommeil,தூக்கம்
57,Traum::N,songe,கனவு
58,Himmel::N,ciel,வானம்
59,Sonne::N,soleil,சூரியன்
60,Mond::N,lune,சந்திரன்
61,Stern::N,étoile,நட்சத்திரம்
62,Luft::N,air,காறறு
63,Wind::N,vent,காற்று
64,Welle::N,vague,அலை
65,Wasser::N,eau,நீர்
66,Stein::N,pierre,கல்
67,Boden::N,sol,தரை
68,Boden::N,terrain,தரை
69,Erde::N,terre,மண்
70,Staub::N,poussière,தூசி
71,Rauch::N,fumée,புகை
72,Funke::N,étincelle,தீப்பொறி
73,Feuer::N,feu,தீ
74,Licht::N,lumière,வெளிச்சம்
75,Schatten::N,ombre,நிழல்
76,Wetter::N,temps,வானிலை
77,Nebel::N,brume,பனிமூட்டம்
78,Nebel::N,brouillard,பனிமூட்டம்
79,Wolke::N,nuage,மேகம்
80,Regen::N,pluie,மழை
81,Schnee::N,neige,உறைபனி
82,Eis::N,glace,பனிக்கட்டி
83,Frost::N,gel,உறைபனி
84,Frost::N,gelée,உறைபனி
85,Kälte::N,froid,குளிர்ந்த
86,Hitze::N,chaleur,சூடு
87,Raureif::N,givre,உறைபனி வெண்திரை
