,Concept_ID,ce,ml
0,Auge::N,бӏаьрг,കണ്ണ്
1,Ohr::N,лерг,ചെവി
2,Nase::N,мара,മൂക്ക്
3,Mund::N,бага,വായ
4,Zahn::N,церг,പല്ല്
5,Zunge::N,мотт,നാക്ക്
6,Lippe::N,балда,ചുണ്ട്
7,Wange::N,бесни,കവിൾത്തടം
8,Gesicht::N,юьхь,മുഖം
9,Stirn::N,хьаж,നെറ്റി
10,Haar::N,мас,തലമുടി
11,Schnurrbart::N,мекх,മീശ
12,Bart::N,маж,താടിരോമം
13,Kinn::N,чӏениг,താടി
14,Kiefer[Anatomie]::N,мочхал,താടിയെല്ല്
15,Kehle::N,къамкъарг,കണ്ഠനാളം
16,Hals::N,ворта,കഴുത്ത്
17,Genick::N,кӏесаркӏаг,പിടലി
18,Kopf::N,корта,തല
19,Rücken::N,букъ,മുതുക്
20,Bauch::N,кийра,നയറ്
21,Nabel::N,цӏонга,നാഭി
22,Busen::N,зударийн накха,സ്തനം
23,Brust::N,накха,സ്തനം
24,Schulter::N,белш,തോൾ
25,Arm::N,пхьарс,കൈ
26,Ellenbogen::N,пхьаьрсан гола,കൈമുട്ട്
27,Hand::N,куьг,കൈ
28,Handfläche::N,кераюкъ,ഉള്ളം കൈ
29,Finger::N,пӏелг,വിരൽ
30,Fingernagel::N,мӏара,നഖം
31,Nagel[Anatomie]::N,мӏара,നഖം
32,Zeh::N,кога пӏелг,കാൽവിരൽ
33,Fuß::N,ког,കാൽപ്പാദം
34,Ferse::N,кӏажа,ഉപ്പൂറ്റി
35,Knie::N,гола,കാൽമുട്ട്
36,Oberschenkel::N,варе,തുട
37,Bein::N,ког,കാൽ
38,Körper::N,хӏума,ശരീരം
39,Haut::N,чкъор,ചർമ്മം
40,Blut::N,цӏий,രക്തം
41,Ader::N,пха,ഞരമ്പ്
42,Sehne::N,хьорзам,സ്നായു
43,Knochen::N,даьӏахк,അസ്ഥി
44,Gehirn::N,хье,തലച്ചോറ്
45,Herz::N,дог,ഹൃദയം
46,Magen::N,зорх,വയർ
47,Leber::N,доӏах,കരൾ
48,Atem::N,садеӏар,ശ്വാസം
49,Hunger::N,мацалла,വിശപ്പ്
50,Träne::N,бӏаьрхи,കണ്ണീർ
51,Geschmack::N,чам,രുചി
52,Geruch::N,хьожа,ഗന്ധം
53,Schlaf::N,наб,ഉറകും
54,Traum::N,гӏан,സ്വപ്നം
55,Himmel::N,стигал,ആകാശം
56,Sonne::N,малх,സൂര്യൻ
57,Mond::N,бутт,ചന്ദ്രൻ
58,Stern::N,седа,നക്ഷത്രം
59,Luft::N,xӏаваъ,കാറ്റ്
60,Wind::N,мох,കാറ്റ്
61,Welle::N,тулгӏе,തിരമാല
62,Wasser::N,хи,വെള്ളം
63,Stein::N,тӏулг,ശില
64,Stein::N,тӏулг,കല്ല്
65,Boden::N,цӏенкъа,തറ
66,Boden::N,цӏенкъа,നിലം
67,Erde::N,латта,മണ്ണ്
