,Concept_ID,myv,se
0,Auge::N,сельме,tjelmie
1,Auge::N,сельме,tjalmme
2,Auge::N,сельме,čalbmi
3,Auge::N,сельме,čalme
4,Auge::N,сельме,čâ´lmm
5,Auge::N,сельме,ча̄лльм
6,Ohr::N,пиле,bieljie
7,Ohr::N,пиле,biellje
8,Ohr::N,пиле,beallji
9,Ohr::N,пиле,pelji
10,Ohr::N,пиле,pe´llj
11,Ohr::N,пиле,пе̄лльй
12,Nase::N,судо,njuenie
13,Nase::N,судо,njunnje
14,Nase::N,судо,njunni
15,Nase::N,судо,njuṇe
16,Nase::N,судо,njuu´nn
17,Nase::N,судо,нюннҍ
18,Mund::N,курго,njaelmie
19,Mund::N,курго,njálmme
20,Mund::N,курго,njálbmi
21,Mund::N,курго,njälmi
22,Mund::N,курго,njä´lmm
23,Mund::N,курго,ня̄лльм
24,Zahn::N,пей,baenie
25,Zahn::N,пей,bádne
26,Zahn::N,пей,bátni
27,Zahn::N,пей,pääṇi
28,Zahn::N,пей,pää´nn
29,Zahn::N,пей,па̄ннҍ
30,Zunge::N,кель,njoektjeme
31,Zunge::N,кель,njuovtjav
32,Zunge::N,кель,njuovčča
33,Zunge::N,кель,njuovčâ
34,Zunge::N,кель,njuhččâm
35,Zunge::N,кель,нюхчем
36,Lippe::N,турва,bangseme
37,Lippe::N,турва,njálmmerabdda
38,Lippe::N,турва,bavssa
39,Lippe::N,турва,poovsâ
40,Lippe::N,турва,põõus
41,Lippe::N,турва,пэ̄кс
42,Wange::N,чамабока,skiehrie
43,Wange::N,чамабока,nierra
44,Wange::N,чамабока,muohtu
45,Wange::N,чамабока,nieṛâ
46,Wange::N,чамабока,njiõrr
47,Wange::N,чамабока,нӣрр
48,Wange::N,чамаумарь,skiehrie
49,Wange::N,чамаумарь,nierra
50,Wange::N,чамаумарь,muohtu
51,Wange::N,чамаумарь,nieṛâ
52,Wange::N,чамаумарь,njiõrr
53,Wange::N,чамаумарь,нӣрр
54,Gesicht::N,чама,ååredæjja
55,Gesicht::N,чама,muohto
56,Gesicht::N,чама,muođut
57,Gesicht::N,чама,ámadadju
58,Gesicht::N,чама,muáđuh
59,Gesicht::N,чама,muâđ
60,Gesicht::N,чама,ка̄ссв
61,Stirn::N,коня,gaalloe
62,Stirn::N,коня,gállo
63,Stirn::N,коня,gállu
64,Stirn::N,коня,kállu
65,Stirn::N,коня,käll
66,Stirn::N,коня,вуэххьц
67,Haar::N,черь,voepte
68,Haar::N,черь,vuoppta
69,Haar::N,черь,vuokta
70,Haar::N,черь,vuop'tâ
71,Haar::N,черь,vuõpt
72,Haar::N,черь,вӯппт
73,Schnurrbart::N,ус,bijjie-skaavtjoe
74,Schnurrbart::N,ус,njunjevuolskávttjá
75,Schnurrbart::N,ус,seamu
76,Schnurrbart::N,ус,siämu
77,Schnurrbart::N,ус,ää´bben
78,Schnurrbart::N,ус,о̄а̄бпан
79,Schnurrbart::N,муюк,bijjie-skaavtjoe
80,Schnurrbart::N,муюк,njunjevuolskávttjá
81,Schnurrbart::N,муюк,seamu
82,Schnurrbart::N,муюк,siämu
83,Schnurrbart::N,муюк,ää´bben
84,Schnurrbart::N,муюк,о̄а̄бпан
85,Bart::N,сакал,skaavtja
86,Bart::N,сакал,skaavtjoe
87,Bart::N,сакал,skávttjá
88,Bart::N,сакал,seamu
89,Bart::N,сакал,siämu
90,Bart::N,сакал,seäm
91,Bart::N,сакал,ся̄м
92,Kinn::N,уло,gaejpie
93,Kinn::N,уло,gájbbe
94,Kinn::N,уло,gáibi
95,Kinn::N,уло,käibi
96,Kinn::N,уло,käi´bb
97,Kinn::N,уло,ка̄ййп
98,Kiefer[Anatomie]::N,пейпакар,gaejpie
99,Kiefer[Anatomie]::N,пейпакар,oalol
100,Kiefer[Anatomie]::N,пейпакар,oaloldákte
101,Kiefer[Anatomie]::N,пейпакар,gáibi
102,Kiefer[Anatomie]::N,пейпакар,uá'lultähti
103,Kiefer[Anatomie]::N,пейпакар,vuâl'lõš
104,Kiefer[Anatomie]::N,пейпакар,вуаллнешш
105,Kiefer[Anatomie]::N,пейловажа,gaejpie
106,Kiefer[Anatomie]::N,пейловажа,oalol
107,Kiefer[Anatomie]::N,пейловажа,oaloldákte
108,Kiefer[Anatomie]::N,пейловажа,gáibi
109,Kiefer[Anatomie]::N,пейловажа,uá'lultähti
110,Kiefer[Anatomie]::N,пейловажа,vuâl'lõš
111,Kiefer[Anatomie]::N,пейловажа,вуаллнешш
112,Kehle::N,кирьгапарь,gealoe
113,Kehle::N,кирьгапарь,tjåttå
114,Kehle::N,кирьгапарь,njiello
115,Kehle::N,кирьгапарь,čotta
116,Kehle::N,кирьгапарь,čuudâ
117,Kehle::N,кирьгапарь,čoodd
