,Concept_ID,lt,ab
0,Auge::N,akis,ала
1,Ohr::N,ausis,алымҳа
2,Nase::N,nosis,аҧынҵа
3,Mund::N,burna,аҧышə
4,Zahn::N,dantis,ахаҧыц
5,Zunge::N,liežuvis,абз
6,Lippe::N,lūpa,ақьышə
7,Wange::N,žandas,аӡамҩа
8,Wange::N,skruostas,аӡамҩа
9,Gesicht::N,veidas,аҿы
10,Stirn::N,kakta,алахь
11,Haar::N,plaukai,ахəыц
12,Schnurrbart::N,ūsai,аҧаҵа
13,Bart::N,barzda,ажакьа
14,Kinn::N,smakras,ацламкəыгə
15,Kiefer[Anatomie]::N,žandikaulis,ацламҳəа
16,Kehle::N,gerklė,ахəда
17,Hals::N,kaklas,ахəда
18,Genick::N,sprandas,ахəдаџьал
19,Kopf::N,galva,ахы
20,Rücken::N,nugara,азқəа
21,Bauch::N,pilvas,амгəа
22,Nabel::N,bamba,аҷапан
23,Busen::N,krūtinė,агəыҧҳəы
24,Brust::N,krūtis,агəышҧы
25,Schulter::N,petys,ажəҩахыр
26,Arm::N,ranka,амахəар
27,Ellenbogen::N,alkūnė,амашьхəылҵ
28,Hand::N,ranka,анапы
29,Hand::N,plaštaka,анапы
30,Handfläche::N,delnas,анапсаргəыҵа
31,Handfläche::N,plaštaka,анапсаргəыҵа
32,Finger::N,pirštas,анацəа
33,Fingernagel::N,nagas,анапхыц
34,Nagel[Anatomie]::N,nagas,ашьапхыц
35,Zeh::N,pirštas,ашьацəа
36,Fuß::N,pėda,ашьапсыргəыҵа
37,Ferse::N,kulnas,ашьхəа
38,Knie::N,kelis,ашьамхы
39,Oberschenkel::N,kulšis,ауаҭəа
40,Oberschenkel::N,šlaunis,ауаҭəа
41,Bein::N,koja,ашьапы
42,Körper::N,kūnas,ацəеижь
43,Haut::N,oda,ацəа
44,Blut::N,kraujas,ашьа
45,Ader::N,kraujagyslė,ада
46,Sehne::N,sausgyslė,адаш
47,Knochen::N,kaulas,абаҩ
48,Gehirn::N,smegenys,ахшлыбаҩ
49,Gehirn::N,smegenys,ахшыбаҩ
50,Herz::N,širdis,агəы
51,Magen::N,skrandis,аца
52,Magen::N,skrandis,ацар
53,Leber::N,kepenys,агəаҵəа
54,Atem::N,kvapas,аҧсыҧлагаҩгара
55,Hunger::N,badas,амла
56,Hunger::N,alkis,амла
57,Träne::N,ašara,алабжыш
58,Geschmack::N,skonis,агьама
59,Geruch::N,kvapas,афҩы
60,Schlaf::N,miegas,ацəа
61,Traum::N,sapnas,аҧхыӡ
62,Himmel::N,dangus,ажəҩан
63,Sonne::N,saulė,амра
64,Mond::N,mėnulis,амза
65,Stern::N,žvaigždė,аеҵəа
66,Luft::N,oras,аҳаир
67,Wind::N,vėjas,аҧша
68,Welle::N,banga,ацəқəырҧа
69,Welle::N,vilnis,ацəқəырҧа
70,Wasser::N,vanduo,аӡы
71,Stein::N,akmuo,ахаҳə
72,Boden::N,žemė,адгьыл
73,Boden::N,dugnas,адгьыл
74,Erde::N,žemė,адгьыл
75,Staub::N,dulkės,асаба
76,Rauch::N,dūmai,алҩа
77,Funke::N,kibirkštis,акəиц
78,Funke::N,kibirkštis,ацҧхь
79,Feuer::N,ugnis,амца
80,Licht::N,šviesa,алашара
81,Schatten::N,paūksmė,ашəшьыра
82,Wetter::N,oras,амш
83,Nebel::N,migla,анаҟəа
84,Nebel::N,rūkas,анаҟəа
85,Wolke::N,debesis,аҧсҭҳəа
86,Regen::N,lietus,ақəа
87,Schnee::N,sniegas,асы
88,Eis::N,ledas,аҵаа
89,Frost::N,šalna,аҵаа
90,Kälte::N,šaltis,ахьҭа
91,Hitze::N,karštis,ашоура
92,Raureif::N,šerkšnas,аҵааҧшқа
93,Regenbogen::N,vaivorykštė,ацəаҟəа
94,Donner::N,perkūnas,адыд
95,Donner::N,griaustinis,адыд
96,Strömung::N,tėkmė,аиасра
97,Strömung::N,tėkmė,амҩасра
98,Tropfen::N,lašas,ацəыкəбар
99,Schaum::N,putos,ашəах
100,Schmutz::N,purvas,алымт
101,See::N,ežeras,аӡиа
102,Sumpf::N,klampynė,аӡмах
103,Sumpf::N,liūnas,аӡмах
104,Moor::N,pelkė,
105,Wiese::N,pieva,адəы
106,Wald::N,miškas,абна
107,Hügel::N,kalva,ахəы
108,Anhöhe::N,kauburys,аҳаракыра
109,Berg::N,kalnas,ашьха
110,Gipfel::N,viršūnė,ацəқəа
111,Höhle::N,ola,аҳаҧы
112,Abhang::N,šlaitas,анаара
113,Abhang::N,nuokalnė,анаара
114,Quelle::N,versmė,аҵҵырҭа
115,Quelle::N,šaltinis,аҵҵырҭа
116,Bach::N,upelis,акəараҷҷа
117,Fluss::N,upė,аӡиас
118,Ufer::N,krantas,ахықə
119,Küste::N,pajūris,ахықə
120,Festland::N,sausuma,абарра
121,Meer::N,jūra,амшын
122,Bucht::N,įlanka,аӡбжьахала
123,Bucht::N,užutekis,аӡбжьахала
124,Insel::N,sala,адгьылбжьаха
125,Blume::N,gėlė,ашəҭ
126,Gras::N,žolė,аҳасакьын
127,Wurzel::N,šaknis,адац
128,Baum::N,medis,аҵла
129,Stamm::N,kamienas,ашьапы
130,Rinde::N,žievė,ацəа
131,Ast::N,šaka,амахə
132,Ast::N,šaka,амахəҭа
133,Zweig::N,šakelė,амахə
134,Zweig::N,šakelė,амахəҭа
135,Blatt::N,lapas,абҕьы
136,Birke::N,beržas,аҵааҵла
137,Kiefer[Baum]::N,pušis,амза
138,Weide[Baum]::N,karklas,аҧслыш
139,Tanne::N,eglė,аҧсаӡ
140,Tanne::N,kėnis,аҧсаӡ
141,Horn::N,ragas,атəыҩа
142,Feder::N,plunksna,ахӡы
143,Fell::N,kailis,ацəа
144,Flügel::N,sparnas,амҵəыжəа
145,Klaue::N,kanopa,ашьапхыц
146,Kralle::N,nagas,
147,Schwanz::N,uodega,аҵыхəа
148,Ei::N,kiaušinis,акəтаӷь
149,Nest::N,gūžta,аҭра
150,Nest::N,gūžta,аҵысҭра
151,Nest::N,lizdas,аҭра
152,Nest::N,lizdas,аҵысҭра
153,Bau::N,ola,аҭыҩра
154,Tier::N,gyvūnas,аҧстəы
155,Tier::N,gyvūnas,агыгшəыг
156,Herde::N,banda,агəарҭа
157,Herde::N,kaimenė,агəарҭа
158,Kuh::N,karvė,ажə
159,Bulle::N,bulius,ацə
160,Pferd::N,arklys,аҽы
161,Schaf::N,avis,ауаса
162,Schwein::N,kiaulė,аҳəа
163,Hund::N,šuo,ала
164,Katze::N,katė,ацгəы
165,Bär::N,lokys,амшə
166,Eichhörnchen::N,voveraitė,аеш
167,Elch::N,briedis,аҽаҩа
168,Fuchs::N,lapė,абгахəыҷы
169,Hase::N,kiškas,ажьа
170,Maus::N,pelė,аҳəынаҧ
171,Wolf::N,vilkas,абгаду
172,Vogel::N,paukštis,аҧсаатə
173,Schwarm::N,spiečius,
174,Huhn::N,višta,акəты
175,Hahn::N,gaidys,арбаҕь
176,Gans::N,žąsis,аҟыз
177,Adler::N,erelis,ауарба
178,Ente::N,antis,акəата
179,Eule::N,pelėda,аты
180,Kranich::N,gervė,апҟа
181,Krähe::N,varna,аҟəараан
182,Kuckuck::N,gegužė,акəыкəу
183,Schwan::N,gulbė,агьад
184,Fisch::N,žuvis,аҧсыӡ
185,Barsch::N,ešerys,ацəыбла
186,Hecht::N,lydeka,ахиаала
187,Schlange[Tier]::N,gyvatė,амаҭ
188,Wurm::N,kirmėlė,ахəа
189,Wurm::N,kirmėlė,ахəац
190,Spinne::N,voras,абызкаҭаҳа
191,Ameise::N,skruzdė,ашышкамс
192,Laus::N,utėlė,аҵа
193,Mücke::N,uodas,акəыбры
194,Fliege::N,musė,амҵ
195,Schmetterling::N,drugys,аҧарҧалыкь
196,Schmetterling::N,peteliškė,аҧарҧалыкь
197,Beere::N,uoga,аргуц
198,Apfel::N,obuolys,аҵəа
199,Pilz::N,grybas,акəкəбаа
200,Zwiebel::N,svogūnas,аџьымшьы
201,Zwiebel::N,svogūnas,аџьымшьхы
202,Saat::N,sėkla,ажəла
203,Korn::N,grūdai,арыц
204,Heu::N,šienas,аҭəа
205,Schale::N,žievelė,ацəа
206,Grube::N,duobė,ажра
207,Grube::N,duobė,атыша
208,Falle::N,pinklės,арыҧҟьа
209,Falle::N,žabangai,арыҧҟьа
210,Schlinge::N,kilpa,аҟəараҟəантə
211,Spur::N,vėžė,ашьҭа
212,Spur::N,pėdos,ашьҭа
213,Spur::N,pėdsakas,ашьҭа
214,Asche::N,pelenai,ахəа
215,Dreck::N,purvas,аҳəынҵəа
216,Dreck::N,purvas,аҟьамсар
217,Eisen::N,geležis,аиха
218,Gold::N,auksas,ахьы
219,Silber::N,sidabras,аразны
220,Kohle::N,anglis,арацəа
221,Glas::N,stiklas,асаркьа
222,Lehm::N,molis,анышəаҧшь
223,Sand::N,smėlis,аҧслымӡ
224,Mensch::N,žmogus,ауаҩы
225,Mann::N,vyras,ахаҵа
226,Mann::N,vyriškis,ахаҵа
227,Frau::N,moteris,аҧҳəыс
228,Kind::N,vaikas,ахəыҷы
229,Junge::N,vaikinas,аҷкəын
230,Junge::N,vaikinas,ахаҵарҧыс
231,Junge::N,berniukas,аҷкəын
232,Junge::N,berniukas,ахаҵарҧыс
233,Mädchen::N,mergytė,аӡӷаб
234,Mädchen::N,mergaitė,аӡӷаб
235,Familie::N,šeima,аҭаацəа
236,Großvater::N,senelis,абду
237,Großmutter::N,senelė,анду
238,Eltern::N,tėvai,ани аби
239,Vater::N,tėvas,аб
