,Concept_ID,mdf,az
0,Auge::N,сельме,göz
1,Ohr::N,пиле,qulaq
2,Nase::N,шалхка,burun
3,Mund::N,курга,ağız
4,Zahn::N,пей,diş
5,Zunge::N,кяль,dil
6,Lippe::N,търва́,dodaq
7,Wange::N,щёка,yanaq
8,Gesicht::N,шама,üz
9,Stirn::N,коня,alın
10,Haar::N,шя́ярь,saç
11,Schnurrbart::N,уса́,bığ
12,Bart::N,сакал,saqqal
13,Kinn::N,ула,çənə
14,Kiefer[Anatomie]::N,саласка,çənə
15,Kehle::N,кълдома,boğaz
16,Kehle::N,кърга́парь,boğaz
17,Hals::N,сялдаз,boyun
18,Genick::N,шовонь,ənsə
19,Kopf::N,пря,baş
20,Rücken::N,копорь,bel
21,Bauch::N,пеке,qarın
22,Nabel::N,по́кон,göbək
23,Busen::N,потя,məmə
24,Brust::N,мяште,döş
25,Schulter::N,лафту,çiyin
26,Arm::N,кядь,qol
27,Ellenbogen::N,кенерьба́карь,dirsək
28,Hand::N,кядь,əl
29,Handfläche::N,кядьлапш,ovuc
30,Finger::N,сур,barmaq
31,Fingernagel::N,кенже,barmaq dırnağı
32,Nagel[Anatomie]::N,кенже,dırnak
33,Zeh::N,пильгосу́р,ayaq barmağı
34,Fuß::N,пильге,ayaq
35,Fuß::N,пильгелапа,ayaq
36,Ferse::N,кочкяря,daban
37,Knie::N,эль,diz
38,Knie::N,пълма́нжа,diz
39,Oberschenkel::N,пильгепукша,bud
40,Bein::N,пильге,qıç
41,Körper::N,ро́нга,əndam
42,Körper::N,по́нда,əndam
43,Haut::N,киське,dəri
44,Blut::N,вер,qan
45,Ader::N,сан,damar
46,Ader::N,верза́н,damar
47,Sehne::N,коське сан,vətər
48,Knochen::N,пакарь,sümük
49,Gehirn::N,уй,beyin
50,Herz::N,седи,ürək
51,Magen::N,коткърдазь,mədə
52,Leber::N,макса,qara ciyər
53,Atem::N,лекома,nəfəs
54,Atem::N,ваймонь тарксема,nəfəs
55,Hunger::N,вачеши,aclıq
56,Träne::N,сельмове́дь,göz yaşı
57,Geschmack::N,таньф,tam
58,Geschmack::N,таньф,ləzzət
59,Geruch::N,шине,qoxu
60,Schlaf::N,удома́,yuxu
61,Traum::N,он,röya
62,Himmel::N,менель,göy
63,Himmel::N,менель,səma
64,Sonne::N,ши,günəş
65,Mond::N,ков,ay
66,Stern::N,тяште,ulduz
67,Luft::N,кожф,hava
68,Wind::N,варма,yel
69,Wind::N,варма,külək
70,Welle::N,тавла,dalğa
71,Wasser::N,ведь,su
72,Stein::N,кев,daş
73,Boden::N,мода,yer
74,Boden::N,мода,zəmin
75,Boden::N,потмакс,yer
76,Boden::N,потмакс,zəmin
77,Erde::N,мода,yer torpaq
78,Erde::N,мастор,yer torpaq
79,Staub::N,пуль,toz
80,Rauch::N,качам,tüstü
81,Funke::N,ця́тка,qığılcım
82,Feuer::N,тол,od
83,Licht::N,ва́лда,işıq
84,Schatten::N,цильф,kölgə
85,Wetter::N,уша,hava
86,Nebel::N,тума́н,duman
87,Wolke::N,ковол,bulud
88,Regen::N,пизем,yağış
89,Regen::N,пизем,yağmur
90,Schnee::N,лов,qar
91,Eis::N,эй,buz
92,Frost::N,ке́льме,ayaz
93,Kälte::N,якшама,soyuq
94,Hitze::N,пси,coşğunluq
95,Raureif::N,леш,qırov
96,Regenbogen::N,а́тямъёнга,göy qurşağı
97,Donner::N,атям,göy gurultusu
98,Strömung::N,шудема́,axın
99,Tropfen::N,путькс,damcı
100,Tropfen::N,пътняфкс,damcı
101,Schaum::N,шов,köpük
102,Schmutz::N,ърда́з,çamır
103,See::N,эрьхке,göl
104,Sumpf::N,шяй,bataqlıq
105,Moor::N,шяй,bataqlıq
106,Wiese::N,луга,çəmən
107,Wald::N,вирь,meşə
108,Hügel::N,губо́р,təpə
109,Hügel::N,пандоня,təpə
110,Anhöhe::N,губо́р,təpə
111,Berg::N,панда,dağ
112,Gipfel::N,пря,zirvə
113,Höhle::N,у́нда,mağara
114,Abhang::N,па́нда ша́ма,yamac
115,Quelle::N,эшиня,bulaq
116,Bach::N,шудерькс,kiçik çay
117,Fluss::N,ляй,çay
118,Ufer::N,търва́,kənar
119,Küste::N,ляйтърва́,sahil
120,Festland::N,мода,materik
121,Meer::N,моря,dəniz
122,Bucht::N,ведьуське,körfəz
123,Insel::N,цёнга,ada
124,Blume::N,панчф,çiçək
125,Gras::N,тише,ot
126,Wurzel::N,юр,kök
127,Wurzel::N,ункс,kök
128,Baum::N,шуфта,ağac
129,Stamm::N,ро́нга,gövdə
130,Rinde::N,кер,qabıq
131,Ast::N,морга,şax
132,Zweig::N,тарад,budaq
133,Blatt::N,лопа,yarpaq
134,Birke::N,ке́лу,tozağacı
135,Kiefer[Baum]::N,пиче,şam
136,Weide[Baum]::N,каль,söyüd
137,Tanne::N,куз,küknar
138,Horn::N,сюра,buynuz
139,Feder::N,толга,tük
140,Feder::N,толга,lələk
141,Fell::N,кедь,xəz
142,Flügel::N,паця,qanad
143,Klaue::N,кенже,pəncə
144,Kralle::N,кенже,dırnaq
145,Schwanz::N,пула,quyruq
146,Ei::N,ал,yumurta
147,Nest::N,пиза,yuva
148,Bau::N,пиза,yuva
149,Tier::N,жува́та,heyvan
150,Herde::N,нал,sürü
151,Herde::N,стада,sürü
152,Kuh::N,скал,inək
153,Kuh::N,тракс,inək
154,Bulle::N,бука,öküz
155,Pferd::N,лишме,at
156,Schaf::N,уча́,qoyun
157,Schwein::N,тува,donuz
158,Hund::N,пине,it
159,Hund::N,пине,köpək
160,Katze::N,катоня,pişik
161,Katze::N,аваката,pişik
162,Bär::N,офта,ayı
163,Eichhörnchen::N,ур,dələ
164,Elch::N,ся́рда,sığın
165,Fuchs::N,келазь,tülkü
166,Hase::N,ну́мол,dovşan
167,Maus::N,шеер,siçan
168,Wolf::N,върьгаз,qurd
169,Vogel::N,нармонь,quş
170,Schwarm::N,ко́вол,sürü
171,Schwarm::N,ме́швеле,sürü
172,Huhn::N,сараз,toyuq
173,Hahn::N,а́тякш,xoruz
174,Gans::N,маци,qaz
175,Adler::N,куцькан,qartal
176,Adler::N,куцькан,qaraquş
177,Ente::N,яксярга,ördək
178,Eule::N,ко́рож,bayquş
179,Kranich::N,ка́рга,durna
180,Krähe::N,ва́рси,qarğa
181,Kuckuck::N,ку́ку,ququ
182,Schwan::N,ло́ксти,qu quşu
183,Fisch::N,кал,balıq
184,Barsch::N,о́кунь,tar
185,Hecht::N,щу́ка,durnabalığı
186,Schlange[Tier]::N,куй,ilan
187,Wurm::N,сукс,qurd
188,Spinne::N,унжа́,hörümçək
189,Ameise::N,панжам,qarışqa
190,Laus::N,си,bit
191,Mücke::N,ся́ське,ağcaqanad
192,Fliege::N,кару,milçək
193,Schmetterling::N,ме́лав,kəpənək
194,Beere::N,и́мож,gilə
195,Apfel::N,марь,alma
196,Pilz::N,панга,göbələk
197,Zwiebel::N,шурьхкя́,soğan
198,Saat::N,видьмот,əkin
199,Korn::N,сёра,taxıl
200,Heu::N,тише,quru ot
201,Schale::N,кедь,qabıq
202,Grube::N,лотка,çuxur
203,Falle::N,туфкс,tələ
204,Falle::N,туфкс,duzaq
205,Falle::N,кунда́ма,tələ
206,Falle::N,кунда́ма,duzaq
207,Schlinge::N,килькш,ilmək
208,Spur::N,пильгоки́,iz
209,Asche::N,кулу,kül
210,Dreck::N,ърда́з,kir
211,Eisen::N,кшни,dəmir
212,Gold::N,ока,altun
213,Gold::N,золота,altun
214,Silber::N,сия́,gümüş
215,Kohle::N,седь,kömür
216,Kohle::N,седьвальмя,kömür
217,Glas::N,кля́нцек,şüşə
218,Lehm::N,сёвонь,gil
219,Lehm::N,сёвонь,palçıq
220,Sand::N,шува́р,qum
221,Mensch::N,ломань,adam
222,Mensch::N,ломань,insan
223,Mann::N,аля,kişi
224,Mann::N,цёраломань,kişi
225,Frau::N,ава,qadın
226,Kind::N,идь,uşaq
227,Kind::N,шаба,uşaq
228,Junge::N,цёраня,oğlan
229,Mädchen::N,стирня́,qız
230,Familie::N,тнал,ailə
231,Familie::N,семья,ailə
232,Großvater::N,атя,baba
233,Großvater::N,щя́тя,baba
234,Großmutter::N,баба,nənə
235,Eltern::N,тя́дят-а́лят,valideyn
236,Vater::N,аля,ata
237,Mutter::N,ава,ana
238,Mutter::N,тядя,ana
239,Sohn::N,цёра,oğul
240,Tochter::N,стирь,qız
241,Bruder::N,дуган,qardaş
242,Bruder::N,пяльне,qardaş
243,Schwester::N,ака,bacı
244,Schwester::N,сазор,bacı
245,Onkel::N,оця,əmi
246,Onkel::N,оця,dayı
247,Onkel::N,патя,əmi
248,Onkel::N,патя,dayı
249,Onkel::N,щеня́,əmi
250,Onkel::N,щеня́,dayı
251,Tante::N,ака,bibi
252,Tante::N,щака,bibi
253,Ehemann::N,мирде,ər
254,Ehefrau::N,ърьвя́,arvad
255,Freude::N,ке́нярдема,nəşə
256,Freude::N,ке́нярдема,sevinc
257,Gelächter::N,рахсема,gülüş
258,Gelächter::N,рахсема,qəhqəhə
259,Glück::N,паваз,səadət
260,Glück::N,паваз,xoşbəxtlik
261,Kummer::N,ризф,qəm
262,Kummer::N,ризф,kədər
263,Kummer::N,пичефкс,qəm
264,Kummer::N,пичефкс,kədər
265,Wunsch::N,мяль,arzu
266,Wunsch::N,таколдома,arzu
267,Lust::N,таколдома,həvəs
268,Geist::N,вайме,ruh
269,Gedanke::N,мяль,fikir
270,Gedanke::N,мяль,düşüncə
271,Gedächtnis::N,прявий,xatir
272,Gedächtnis::N,прявий,hafizə
273,Verstand::N,прявий,ağıl
274,Sinn::N,ён,məna
275,Grund::N,туфта́л,səbəb
276,Wahrheit::N,ви́де,haqq
277,Wahrheit::N,ви́де,doğruluq
278,Wahrheit::N,видеши́,haqq
279,Wahrheit::N,видеши́,doğruluq
280,Gespräch::N,корхтама,söhbət
281,Gespräch::N,корхтама,qonuşma
282,Märchen::N,ёфкс,nağıl
283,Erzählung::N,азкс,hekayə
284,Nachricht::N,куля́,xəbər
285,Neuigkeit::N,куля́,xəbər
286,Neuigkeit::N,куля́,yenilik
287,Name::N,лем,ad
288,Rätsel::N,со́дама ёфкс,tapmaca
289,Rede::N,вал,nitq
290,Rede::N,корхтама,nitq
291,Sprache::N,кяль,dil
292,Stimme::N,вайгяль,səs
293,Wort::N,вал,söz
294,Wort::N,вал,kəlmə
295,Zeichen::N,тя́ште,nişan
296,Zeichen::N,тя́штькс,nişan
297,Ruf::N,тердема,çığırtı
298,Lärm::N,гайф,gurultu
299,Lärm::N,жалакодома,gurultu
300,Laut::N,вайгяль,səs
301,Ton::N,вайгяль,ton
302,Lied::N,мора,mahnı
303,Ruhe::N,сетьме,sakitlik
304,Leute::N,ломатть,xalq
305,Volk::N,наро́д,millət
306,Arbeit::N,тев,iş
307,Arbeit::N,тев,əmək
308,Gast::N,и́нжи,qonaq
309,Gast::N,и́нжи,müsafir
310,Gast::N,ко́нак,qonaq
311,Gast::N,ко́нак,müsafir
312,Geschenk::N,казне,hədiyyə
313,Spiel::N,налхкома,oyun
314,Spiel::N,налхкома,tamaşa
315,Spiel::N,налхксема,oyun
316,Spiel::N,налхксема,tamaşa
317,Gesellschaft::N,кружок,cəmiyyet
318,Hilfe::N,лездома,kömək
319,Hilfe::N,лездома,yardım
320,Freund::N,я́лга,dost
321,Kamerad::N,я́лга,yoldaş
322,Angelegenheit::N,тев,iş
323,Anzahl::N,лувкс,say
324,Art::N,вид,çeşid
325,Stück::N,пакш,dənə
326,Stück::N,пакш,parça
327,Teil::N,часть,qisim
328,Teil::N,пялькс,qisim
329,Hälfte::N,пяле,yarım
330,Kreis::N,шаркс,dairə
331,Kreuz::N,крёз,xaç
332,Linie::N,межа,xətt
333,Linie::N,китькс,xətt
334,Strich::N,межа,cızıq
335,Abstand::N,ётка,məsafə
336,Entfernung::N,ётка,məsafə
337,Entfernung::N,ётка,uzaqlıq
338,Gegend::N,ва́ста,bölgə
339,Gegend::N,перьфпя́ль,bölgə
340,Platz::N,ва́ста,yer
341,Ort::N,ва́ста,yer
342,Seite::N,пяле,yan
343,Seite::N,пяле,tərəf
344,Mitte::N,кучка́,orta
345,Gegenstand::N,веща,şey
346,Sache::N,тев,şey
347,Sache::N,веща,şey
348,Rand::N,пе,kənar
349,Kante::N,и́рдез,tiyə
350,Kante::N,и́рдез,kənar
351,Ecke::N,ужа,bucaq
352,Spitze::N,пря,uc
353,Ende::N,пе,son
354,Ende::N,пе,axır
355,Loch::N,варя,deşik
356,Winkel::N,ужа,guşə
357,Muster::N,сёрма,ülgü
358,Größe::N,серь,böyüklük
359,Länge::N,кува́лма,uzunluq
360,Höhe::N,серь,yüksəklik
361,Gewicht::N,сталма,çəki
362,Gewicht::N,сталма,ağırlıq
363,Menge::N,лувкс,miqdar
364,Haufen::N,мар,yığın
365,Reihe::N,ряд,səf
366,Reihe::N,ряд,sıra
367,Boot::N,венеж,qayıq
368,Ruder::N,миле,kürək
369,Schlitten::N,ну́рда,kirşə
370,Ski::N,сокс,xizək
371,Lagerfeuer::N,то́лмар,düşərgə tonqalı
372,Last::N,канкс,yük
373,Last::N,сталма,yük
374,Gang::N,молема,yeriş
375,Schritt::N,аськолкс,addım
376,Norden::N,якшама шире,şimal
377,Süden::N,ля́мбе ши́ре,cənub
378,Westen::N,ши валгома шире,qərb
379,Osten::N,шинь стяма шире,şərq
380,Holz::N,вирь,ağac
381,Holz::N,вирь,taxta
382,Holz::N,шуфта,ağac
383,Holz::N,шуфта,taxta
384,Brett::N,лавця,taxta
385,Platte::N,плита́,lövhə
386,Stütze::N,неже,dayaq
387,Stütze::N,неже,dəstək
388,Stange::N,олга,şüvül
389,Stock::N,байдек,dəyənək
390,Stab::N,олгоня,əsa
391,Stab::N,олгоня,şüvül
392,Rohr::N,турама,boru
393,Rohr::N,турама,truba
394,Haus::N,куд,ev
395,Heim::N,куд,ev
396,Ofen::N,пянакуд,peç
397,Ofen::N,пянакуд,soba
398,Fußboden::N,кия́кс,döşəmə
399,Tisch::N,шра,masa
400,Tisch::N,моркш,masa
401,Stuhl::N,стул,stul
402,Wiege::N,нюря́м,beşik
403,Bett::N,ацам,yataq
404,Regal::N,лавцяланга,rəf
405,Kiste::N,парга,yeşik
406,Kiste::N,парга,sandıq
407,Fenster::N,валмья,pəncərə
408,Tür::N,кенкш,qapı
409,Tor::N,ортат,darvaza
410,Zaun::N,перяфкс,çəpər
411,Dach::N,кудпря,dam
412,Leiter::N,куцема,nərdivan
413,Besen::N,тяльме,süpürgə
414,Spaten::N,ка́йме,kürək
415,Schaufel::N,ко́поня,kürək
416,Schaufel::N,ця́рдом,kürək
417,Gabel::N,ця́нгоня,çəngəl
418,Löffel::N,куцю,qaşıq
419,Messer::N,пеель,bıçaq
420,Nagel::N,эска,mıx
421,Haken::N,кя́чказ,çəngəl
422,Griff::N,недь,qulp
423,Griff::N,недь,tutacaq
424,Griff::N,кунда́мка,qulp
425,Griff::N,кунда́мка,tutacaq
426,Schloss::N,замо́к,qıfıl
427,Bild::N,карти́на,rəsm
428,Figur::N,ронга-понда,şəkil
429,Figur::N,ронга-понда,heykəl
430,Puppe::N,ня́ка,kukla
431,Puppe::N,ня́ка,gəlincik
432,Beutel::N,кяскав,kisə
433,Beutel::N,кяскав,torba
434,Bündel::N,кярьме,bağlama
435,Tasche::N,кошяльня,çanta
436,Eimer::N,ве́дарка,vedrə
437,Eimer::N,ве́дарка,çəllək
438,Deckel::N,тавадкс,qapaq
439,Deckel::N,вельхкс,qapaq
440,Geschirr::N,кядьге,qab-qazan
441,Sack::N,кяскав,çuval
442,Tasse::N,ша́ваня,fincan
443,Topf::N,кавозь,qazan
444,Kessel::N,сргавозь,qazan
445,Essen::N,ярхцама,yemək
446,Nahrung::N,ярхцампяль,qida
447,Speise::N,ярхцама,xörək
448,Fleisch::N,пал,ət
449,Fleisch::N,сиволь,ət
450,Getreide::N,сёра,taxıl
451,Brei::N,ям,aş
452,Brei::N,ям,sıyıq
453,Brot::N,кши,çörək
454,Scheibe::N,кочам,dilim
455,Fett::N,куя́,yağ
456,Butter::N,вай,kərə yağı
457,Öl::N,вай,yağ
458,Salz::N,сал,duz
459,Suppe::N,шонгарям,şorba
460,Suppe::N,коршампяль,şorba
461,Honig::N,медь,bal
462,Milch::N,лофца,süd
463,Tee::N,чай,çay
464,Leder::N,кедь,dəri
465,Wolle::N,пона,yun
466,Stoff::N,котф,qumaş
467,Nadel::N,салмокс,iynə
468,Faden::N,сюре,sap
469,Knopf::N,пуня,düymə
470,Knoten::N,сюлма,düyün
471,Farbe::N,архтомбяль,boya
472,Kleidung::N,щам,geyim
473,Hemd::N,па́нар,köynək
474,Kragen::N,сиве,yaxa
475,Ärmel::N,ожа,qol
476,Hose::N,понкст,şalvar
477,Gürtel::N,каркс,kəmər
478,Mütze::N,вазь,şapka
479,Schuh::N,башма́к,tufli
480,Schuh::N,башма́к,ayaqqabı
481,Stiefel::N,кя́ме,çəkmə
482,Ring::N,суркс,üzük
483,Band::N,керькс,lent
484,Band::N,лента,lent
485,Kamm::N,сюрьхцем,daraq
486,Spiegel::N,ванома,güzgü
487,Riemen::N,шнань каркс,qayış
488,Schnur::N,пикс,ip
489,Schnur::N,карькскя,ip
490,Leine::N,вядьме,kəmsik
491,Decke::N,вельхкс,ədyal
492,Decke::N,вельхкс,yorğan
493,Kissen::N,тоду,yastıq
494,Tuch::N,руця́,şarf
495,Tuch::N,руця́,kaşne
496,Handtuch::N,на́рдама,dəsmal
497,Kraft::N,вий,güc
498,Stärke::N,вииши,qüvvət
