,Concept_ID,mhr,pl
0,Auge::N,шинча́,oko
1,Ohr::N,пы́лыш,ucho
2,Nase::N,нер,nos
3,Mund::N,умша́,usta
4,Zahn::N,пӱй,ząb
5,Zunge::N,йы́лме,język
6,Lippe::N,тӱ́рвӧ,warga
7,Wange::N,шӱ́ргӧ,policzek
8,Gesicht::N,чури́й,twarz
9,Stirn::N,саҥга́,czoło
10,Haar::N,ӱп,włos
11,Haar::N,ӱп,włosy
12,Schnurrbart::N,ӧ́рыш,wąsy
13,Bart::N,понда́ш,broda
14,Kinn::N,оҥыла́ш,podbródek
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,czeluść
16,Kiefer[Anatomie]::N,пӱйората́,czeluść
17,Kehle::N,лога́р,gardło
18,Hals::N,шӱй,szyja
19,Genick::N,шӱйло́дыш,kark
20,Kopf::N,вуй,głowa
21,Rücken::N,туп,plecy
22,Rücken::N,туп,grzbiet
23,Bauch::N,мӱ́шкыр,brzuch
24,Nabel::N,кы́лымде,pępek
25,Busen::N,чы́зе,biust
26,Brust::N,оҥ,pierś
27,Schulter::N,ва́че,bark
28,Schulter::N,ва́че,ramię
29,Arm::N,кид,ręka
30,Arm::N,кид,ramię
31,Ellenbogen::N,кынерву́й,łokieć
32,Hand::N,кид,dłoń
33,Hand::N,копа́,dłoń
34,Handfläche::N,со́во,dłoń
35,Finger::N,парня́,palec
36,Fingernagel::N,кидкӱ́ч,paznokieć
37,Fingernagel::N,парнягӱ́ч,paznokieć
38,Nagel[Anatomie]::N,кӱч,paznokieć
39,Zeh::N,йолварня́,palec
40,Fuß::N,йол,stopa
41,Fuß::N,йолкопа́,stopa
42,Ferse::N,тага́н,pięta
43,Knie::N,пулву́й,kolano
44,Oberschenkel::N,э́рде,udo
45,Bein::N,йол,noga
46,Körper::N,кап,ciało
47,Haut::N,кова́ште,skóra
48,Blut::N,вӱр,krew
49,Ader::N,шӧн,żyła
50,Sehne::N,шӧн,ścięgno
51,Sehne::N,кӱсе́н,ścięgno
52,Knochen::N,лу,kość
53,Gehirn::N,вем,mózg
54,Gehirn::N,вуйве́м,mózg
55,Herz::N,шӱм,serce
56,Magen::N,пага́р,żołądek
57,Leber::N,мокш,wątroba
58,Atem::N,шӱ́лыш,dech
59,Atem::N,шӱ́лыш,oddech
60,Hunger::N,шужыма́ш,głód
61,Träne::N,шинчавӱ́д,łza
62,Geschmack::N,там,smak
