,Concept_ID,ka,ga
0,Auge::N,თვალი,súil
1,Ohr::N,ყური,cluas
2,Nase::N,ცხვირი,soc
3,Mund::N,პირი,béal
4,Zahn::N,კბილი,fiacail
5,Zunge::N,ენა,teanga
6,Lippe::N,ბაგე,liopa
7,Wange::N,ლოყა,grua
8,Wange::N,ლოყა,leiceann
9,Gesicht::N,სახე,éadan
10,Gesicht::N,სახე,aghaidh
11,Stirn::N,შუბლი,baithis
12,Stirn::N,შუბლი,clár éadain
13,Haar::N,თმა,gruaig
14,Schnurrbart::N,ულვაში,croiméal
15,Bart::N,წვერი,féasóg
16,Kinn::N,ნიკაპი,smig
17,Kiefer[Anatomie]::N,ყბა,giall
18,Kehle::N,ყელი,scornach
19,Hals::N,ყელი,muinéal
20,Hals::N,კისერი,muinéal
21,Genick::N,კეფა,baic
22,Kopf::N,თავი,ceann
23,Rücken::N,ზურგი,droim
24,Bauch::N,მუცელი,bolg
25,Nabel::N,ჭიპი,imleacán
26,Busen::N,ძუძუ,cíoch
27,Brust::N,მკერდი,brollach
28,Schulter::N,მხარი,gualainn
29,Schulter::N,მკლავი,gualainn
30,Arm::N,ხელი,lámh
31,Ellenbogen::N,იდაყვი,uillinn
32,Hand::N,ხელი,lámh
33,Handfläche::N,ნები,bos
34,Handfläche::N,ხელისგული,bos
35,Finger::N,თითი,méar
36,Fingernagel::N,ფრჩხილი,ionga
37,Nagel[Anatomie]::N,ფრჩხილი,ionga
38,Zeh::N,ფეხის თითი,ladhar
39,Fuß::N,ტერფი,cos
40,Fuß::N,ტერფი,troigh
41,Fuß::N,ფეხისგული,cos
42,Fuß::N,ფეხისგული,troigh
43,Ferse::N,ქუსლი,sáil
44,Knie::N,მუხლი,glúin
45,Oberschenkel::N,ბარძაყი,ceathrú
46,Bein::N,ფეხი,cos
47,Körper::N,ტანი,corp
48,Körper::N,ტანი,colainn
49,Körper::N,სხეული,corp
50,Körper::N,სხეული,colainn
51,Haut::N,კანი,cneas
52,Haut::N,კანი,craiceann
53,Blut::N,სისხლი,fuil
54,Ader::N,ძარღვი,
55,Sehne::N,მყესი,teannán
56,Sehne::N,მყესი,féitheog
57,Knochen::N,ძვალი,cnámh
58,Gehirn::N,ტვინი,inchinn
59,Herz::N,გული,croí
60,Magen::N,კუჭი,bolg
61,Magen::N,კუჭი,goile
62,Leber::N,ღვიძლი,ae
63,Atem::N,სუნთქვა,anáil
64,Hunger::N,შიმშილი,ocras
65,Träne::N,ცრემლი,deoir
66,Geschmack::N,გემო,blas
67,Geruch::N,სუნი,boladh
68,Schlaf::N,ძილი,suan
69,Schlaf::N,ძილი,codladh
70,Traum::N,სიზმარი,taibhreamh
71,Himmel::N,ცა,spéir
72,Sonne::N,მზე,grian
73,Mond::N,მთვარე,ré
74,Mond::N,მთვარე,gealach
75,Stern::N,ვარსკვლავი,rinn
76,Stern::N,ვარსკვლავი,réalta
77,Luft::N,ჰაერი,aer
78,Wind::N,ქარი,gaoth
79,Welle::N,ტალღა,tonn
80,Wasser::N,წყალი,uisce
81,Stein::N,ქვა,cloch
82,Boden::N,მიწა,talamh
83,Erde::N,ნიადაგი,cré
84,Erde::N,ნიადაგი,ithir
85,Staub::N,მტვერი,dusta
86,Staub::N,მტვერი,deannach
87,Rauch::N,ბოლი,toit
88,Rauch::N,ბოლი,deatach
89,Rauch::N,კვამლი,toit
90,Rauch::N,კვამლი,deatach
91,Funke::N,ნაკვესი,drithle
92,Feuer::N,ცეცხლი,tine
93,Licht::N,შუქი,solas
94,Licht::N,სინათლე,solas
95,Schatten::N,ლანდი,scáth
96,Schatten::N,ჩრდილი,scáth
97,Wetter::N,ამინდი,aimsir
98,Nebel::N,ნისლი,ceo
99,Wolke::N,ღრუბელი,néal
100,Wolke::N,ღრუბელი,scamall
101,Regen::N,წვიმა,báisteach
102,Regen::N,წვიმა,fearthainn
103,Schnee::N,თოვლი,sneachta
104,Eis::N,თოში,oighear
105,Eis::N,ყინული,oighear
106,Frost::N,ყინვა,sioc
107,Kälte::N,სიცივე,fuacht
108,Hitze::N,სიცხე,teas
109,Hitze::N,სიცხე,teocht
110,Raureif::N,ჭირხლი,sioc bán
111,Raureif::N,თრთვილი,sioc bán
112,Regenbogen::N,ცისარტყელა,stua ceatha
113,Regenbogen::N,ცისარტყელა,bogha báistí
114,Donner::N,ქუხილი,toirneach
115,Strömung::N,დინება,sruth
116,Tropfen::N,წვეთი,deoir
117,Schaum::N,ქაფი,cúr
118,Schaum::N,დორბლი,cúr
119,Schmutz::N,ჭუჭყი,salachar
120,Schmutz::N,ტალახი,salachar
121,See::N,ტბა,loch
122,Sumpf::N,ჭაობი,portach
123,Moor::N,ტორფნარი,caorán
124,Moor::N,ტორფნარი,móinteán
125,Wiese::N,ველი,cluain
126,Wiese::N,ველი,móinéar
