,Concept_ID,lbe,et
0,Auge::N,я,silm
1,Ohr::N,вичӏи,kõrv
2,Nase::N,май,nina
3,Mund::N,кьацӏ,suu
4,Zahn::N,ккарччи,hammas
5,Zunge::N,маз,keel
6,Lippe::N,мурччи,huul
7,Wange::N,чӏав,põsk
8,Gesicht::N,лажин,nägu
9,Stirn::N,ненттабакӏ,otsmik
10,Haar::N,чӏара,juus
11,Schnurrbart::N,ссирссилтту,vurrud
12,Schnurrbart::N,ссирссилтту,vuntsid
13,Bart::N,чӏири,habe
14,Kinn::N,лунттубакӏ,lõug
15,Kiefer[Anatomie]::N,ххинчулул,lõualuu
16,Kehle::N,кьакьари,kõri
17,Hals::N,ссурссу,kael
18,Genick::N,махъабакӏ,kukal
19,Kopf::N,бакӏ,pea
20,Rücken::N,ттиликӏ,selg
21,Bauch::N,лякьа,kõht
22,Nabel::N,цӏумуккутӏ,naba
23,Busen::N,ккукку,rind
24,Brust::N,хъазам,rind
25,Schulter::N,хъачӏ,õlg
26,Arm::N,ка,käsivars
27,Ellenbogen::N,ссюрхъ,küünarnukk
28,Hand::N,бартка,käsi
29,Handfläche::N,хъат,pihk
30,Handfläche::N,битӏянхъ,pihk
31,Finger::N,кӏисса,sõrm
32,Fingernagel::N,михь,küüs
33,Nagel[Anatomie]::N,михь,küüs
34,Zeh::N,кӏисса,varvas
35,Fuß::N,чӏанччан,jalg
36,Ferse::N,никъа,kand
37,Knie::N,ник,põlv
38,Oberschenkel::N,жира,reis
39,Bein::N,ччан,jalg
40,Körper::N,чурх,ihu
41,Körper::N,чурх,keha
42,Haut::N,бурчу,nahk
43,Blut::N,оь,veri
44,Ader::N,тунну,veen
45,Sehne::N,хьхьа,kõõlus
46,Knochen::N,ттаркӏ,luu
47,Gehirn::N,ня,aju
48,Herz::N,дакӏ,süda
49,Herz::N,къюкӏ,süda
50,Magen::N,лякьа,magu
51,Atem::N,ссихӏ ласаву,hingeõhk
52,Atem::N,ссихӏ ласаву,hingamine
53,Atem::N,ссихӏ бигьаву,hingeõhk
54,Atem::N,ссихӏ бигьаву,hingamine
55,Hunger::N,ккаши,nälg
56,Träne::N,макь,pisar
57,Geschmack::N,тӏин,maitse
58,Geschmack::N,тӏааьн,maitse
59,Geruch::N,кьанкь,lõhn
60,Schlaf::N,шану,uni
61,Traum::N,макӏру,unenägu
62,Himmel::N,ссав,taevas
63,Sonne::N,баргъ,päike
64,Mond::N,барз,kuu
65,Stern::N,цӏуку,täht
66,Luft::N,гьава,õhk
67,Wind::N,марч,tuul
68,Welle::N,щатӏи,laine
69,Wasser::N,щин,vesi
70,Stein::N,чару,kivi
71,Boden::N,аьрщи,maa
72,Boden::N,аьрщи,pinnas
73,Erde::N,аьрщи,maa
74,Staub::N,ххит,põrm
75,Rauch::N,пуркӏу,suits
76,Funke::N,пиягь,säde
77,Feuer::N,цӏу,tuli
78,Licht::N,чани,valgus
79,Schatten::N,ххют,vari
80,Wetter::N,гьава,ilm
81,Nebel::N,шархь ттурлу,udu
82,Wolke::N,ттурлу,pilv
83,Regen::N,гъарал,sadu
84,Schnee::N,марххала,lumi
85,Eis::N,микӏ,jää
86,Frost::N,дяркъу,pakane
87,Frost::N,замгьар,pakane
88,Kälte::N,дяркъу,külm
89,Kälte::N,дяркъу,külmus
90,Hitze::N,кӏиришиву,kuumus
91,Hitze::N,кӏиришиву,palavus
92,Raureif::N,сил,härmatis
93,Raureif::N,бурса,härmatis
94,Regenbogen::N,ссурул ккуртта,vikerkaar
95,Donner::N,къув,kõu
96,Donner::N,къув,müristamine
97,Strömung::N,экьинанаву,voolus
98,Strömung::N,экьинанаву,jõevool
99,Tropfen::N,кӏунтӏ,tilk
100,Schaum::N,хьама,vaht
101,Schmutz::N,кьяркьи,pori
102,Schmutz::N,кьяркьи,mustus
103,See::N,бяр,järv
104,Sumpf::N,кунцӏа,soo
105,Wiese::N,кьан,aas
106,Wiese::N,кьан,nurm
107,Wald::N,вацӏа,mets
108,Hügel::N,бакӏу,küngas
109,Berg::N,зунтту,mägi
110,Gipfel::N,мицӏ,mäetipp
111,Höhle::N,нух,koobas
112,Abhang::N,сун,nõlvak
113,Quelle::N,дайдихьу,allikas
114,Quelle::N,бакӏ,allikas
115,Bach::N,чӏрир нех,oja
116,Fluss::N,нех,jõgi
117,Ufer::N,зума,kallas
118,Küste::N,зумаинхалу,rannik
119,Küste::N,зуманицӏалу,rannik
120,Festland::N,кьири,mander
121,Festland::N,кьири,maismaa
122,Meer::N,хьхьири,meri
123,Insel::N,жазира,saar
124,Blume::N,тӏутӏи,lill
125,Gras::N,уртту,rohi
126,Wurzel::N,мархха,juur
127,Baum::N,мурхь,puu
128,Stamm::N,ттарцӏ,tüvi
129,Rinde::N,ккамара,koor
130,Ast::N,матӏи,oks
131,Zweig::N,къяртта,oks
132,Blatt::N,чӏапӏи,leht
133,Birke::N,кӏялахӏи,kask
134,Birke::N,кӏялахӏилул мурхь,kask
135,Kiefer[Baum]::N,ттар,mänd
136,Kiefer[Baum]::N,ттарлил мурхь,mänd
137,Weide[Baum]::N,щавщи,paju
138,Tanne::N,ттарлил мурхь,nulg
139,Horn::N,хъи,sarv
140,Feder::N,лелуххул тӏиму,sulg
141,Fell::N,бурчу,karvkate
142,Fell::N,бурчу,karusnahk
143,Flügel::N,хъа,tiib
144,Flügel::N,хъа,tiivik
145,Flügel::N,ххурупӏайрал тӏиму,tiib
146,Flügel::N,ххурупӏайрал тӏиму,tiivik
147,Klaue::N,михь,küüs
148,Kralle::N,ххяппа,küünis
149,Schwanz::N,магъ,saba
150,Ei::N,ккунук,muna
151,Nest::N,кюру,pesa
152,Bau::N,цукъуккутӏ,urg
153,Tier::N,хӏайван,loom
154,Herde::N,газу,kari
155,Kuh::N,оьл,lehm
156,Bulle::N,ниц,pull
157,Pferd::N,чу,hobune
158,Schaf::N,тта,lammas
159,Schwein::N,дунгъуз,siga
160,Hund::N,ккаччи,koer
161,Katze::N,ччиту,kass
162,Bär::N,цуша,karu
163,Eichhörnchen::N,бюрхттукку,orav
