,Concept_ID,vep,sah
0,Auge::N,sil'm,харах
1,Ohr::N,korv,кулгаах
2,Nase::N,nena,мурун
3,Mund::N,su,айах
4,Zahn::N,pi,тиис
5,Zahn::N,hambaz,тиис
6,Zunge::N,kel',тыл
7,Lippe::N,hul',уос
8,Wange::N,modpolišk,иэдэс
9,Gesicht::N,mod,сирэй
10,Stirn::N,oc,сүүс
11,Haar::N,tuk,баттах
12,Haar::N,hibuz,баттах
13,Schnurrbart::N,habinod,уос бытыга
14,Bart::N,bard,сэҥийэ бытыга
15,Kinn::N,löug,сэҥийэ
16,Kiefer[Anatomie]::N,hambazlu,сыҥаах
17,Kehle::N,kurk,тамах
18,Kehle::N,kurk,күөмэй
19,Hals::N,kagl,моой
20,Genick::N,tagarai,кэтэх
21,Kopf::N,pä,бас
22,Rücken::N,sel'g,көҕүс
23,Bauch::N,vac,ис
24,Bauch::N,koht,ис
25,Nabel::N,naba,киин
26,Busen::N,niža,эмиий
27,Brust::N,rind,түөс
28,Schulter::N,oug,сарын
29,Arm::N,käzi,илии
30,Ellenbogen::N,künambruz,тоҕонох
31,Hand::N,käzi,илии
32,Hand::N,käzitera,илии
33,Handfläche::N,kämen,ытыс
34,Finger::N,sor'm,тарбах
35,Fingernagel::N,künz',тыҥырах
36,Nagel[Anatomie]::N,künz',тыҥырах
37,Zeh::N,barbaz,тарбах
38,Fuß::N,jaug,уллуҥах
39,Ferse::N,kand,тилэх
40,Knie::N,komb,тобук
41,Knie::N,komb,дьилбэк
42,Knie::N,pol'v,тобук
43,Knie::N,pol'v,дьилбэк
44,Oberschenkel::N,riiže,уллук
45,Oberschenkel::N,riiže,өттүк
46,Bein::N,jaug,атах
47,Körper::N,hibj,бэйэ
48,Haut::N,nahk,тирии
49,Blut::N,čak,хаан
50,Blut::N,veri,хаан
51,Ader::N,son',вена
52,Ader::N,son',күөх_тымыр
53,Sehne::N,jände,иҥиир
54,Knochen::N,lu,уҥуох
55,Knochen::N,lu,уҥгуох
56,Gehirn::N,aivod,мэйии
57,Herz::N,südäin,сүрэх
58,Magen::N,südäikoht,куртах
59,Leber::N,maks,быар
60,Atem::N,hengaiduz,тыын
61,Hunger::N,näl'g,аас
62,Träne::N,kündal',харах уута
63,Geschmack::N,magu,амтан
64,Geruch::N,haju,сыт
65,Schlaf::N,uni,утуйуу
66,Traum::N,unikuva,түүл
67,Himmel::N,taivaz,халлаан
68,Sonne::N,päiväine,күн
69,Mond::N,kudmaine,ый
70,Stern::N,tähtaz,сулус
71,Luft::N,il'm,салгын
72,Wind::N,döl,тыал
73,Wind::N,tullei,тыал
74,Welle::N,ald,долгун
75,Welle::N,ald,балхаан
76,Welle::N,laineh,долгун
77,Welle::N,laineh,балхаан
78,Wasser::N,vezi,уу
79,Stein::N,kivi,таас
80,Boden::N,ma,сир
81,Boden::N,pohj,сир
82,Erde::N,ma,буор
83,Staub::N,pölü,быыл
84,Rauch::N,savu,буруо
85,Funke::N,kibin,кыым
86,Feuer::N,lämoi,уот
87,Licht::N,vauktuz,уот
88,Schatten::N,pil'vez,күлүк
