,Concept_ID,ga,br
0,Auge::N,súil,lagad
1,Ohr::N,cluas,skouarn
2,Nase::N,soc,fri
3,Mund::N,béal,genoù
4,Zahn::N,fiacail,dant
5,Zunge::N,teanga,teod
6,Lippe::N,liopa,muzell
7,Wange::N,grua,chot
8,Wange::N,leiceann,chot
9,Gesicht::N,éadan,dremm
10,Gesicht::N,aghaidh,dremm
11,Stirn::N,baithis,tal
12,Stirn::N,clár éadain,tal
13,Haar::N,gruaig,blev
14,Schnurrbart::N,croiméal,mourenn
15,Bart::N,féasóg,barv
16,Kinn::N,smig,groñj
17,Kiefer[Anatomie]::N,giall,javed
18,Kehle::N,scornach,gouzoug
19,Hals::N,muinéal,gouzoug
20,Genick::N,baic,choug
21,Kopf::N,ceann,penn
22,Rücken::N,droim,kein
23,Bauch::N,bolg,kof
24,Nabel::N,imleacán,begel
25,Busen::N,cíoch,bronn
26,Brust::N,brollach,bruched
27,Schulter::N,gualainn,skoaz
28,Arm::N,lámh,brec'h
29,Ellenbogen::N,uillinn,ilin
30,Hand::N,lámh,dorn
31,Handfläche::N,bos,palv
32,Finger::N,méar,biz
33,Fingernagel::N,ionga,ivin
34,Nagel[Anatomie]::N,ionga,ivin
35,Zeh::N,ladhar,biz-troad
36,Fuß::N,cos,troad
37,Fuß::N,troigh,troad
38,Ferse::N,sáil,seul
39,Knie::N,glúin,glin
40,Oberschenkel::N,ceathrú,morzhed
41,Bein::N,cos,gar
42,Körper::N,corp,korf
43,Körper::N,colainn,korf
44,Haut::N,cneas,kroc'hen
45,Haut::N,craiceann,kroc'hen
46,Blut::N,fuil,gwad
47,Sehne::N,teannán,stir
48,Sehne::N,féitheog,stir
49,Knochen::N,cnámh,askorn
50,Gehirn::N,inchinn,empenn
51,Herz::N,croí,kalon
52,Magen::N,bolg,stomog
53,Magen::N,goile,stomog
54,Leber::N,ae,avu
55,Atem::N,anáil,anal
56,Hunger::N,ocras,naon
57,Träne::N,deoir,daer
58,Geschmack::N,blas,blaz
59,Geruch::N,boladh,c'hwezh
60,Schlaf::N,suan,kousked
61,Schlaf::N,codladh,kousked
62,Traum::N,taibhreamh,hune
63,Himmel::N,spéir,oabl
64,Sonne::N,grian,heol
65,Mond::N,ré,loar
66,Mond::N,gealach,loar
67,Stern::N,rinn,steredenn
68,Stern::N,réalta,steredenn
69,Luft::N,aer,aer
70,Wind::N,gaoth,avel
71,Welle::N,tonn,houlenn
72,Wasser::N,uisce,dour
73,Stein::N,cloch,maen
74,Boden::N,talamh,tachenn
75,Erde::N,cré,douar
76,Erde::N,ithir,douar
77,Staub::N,dusta,poultr
78,Staub::N,deannach,poultr
79,Rauch::N,toit,moged
80,Rauch::N,deatach,moged
81,Funke::N,drithle,ful
82,Feuer::N,tine,tan
83,Licht::N,solas,gouloù
84,Schatten::N,scáth,disheol
85,Wetter::N,aimsir,amzer
86,Nebel::N,ceo,brumenn
87,Wolke::N,néal,koumoulenn
88,Wolke::N,scamall,koumoulenn
89,Regen::N,báisteach,glav
90,Regen::N,fearthainn,glav
91,Schnee::N,sneachta,erc'h
92,Eis::N,oighear,skorn
93,Frost::N,sioc,rev
94,Kälte::N,fuacht,yen
95,Hitze::N,teas,tommder
96,Hitze::N,teocht,tommder
97,Raureif::N,sioc bán,frim
98,Regenbogen::N,stua ceatha,gwareg-ar-glav
99,Regenbogen::N,bogha báistí,gwareg-ar-glav
100,Donner::N,toirneach,kurun
101,Strömung::N,sruth,red
102,Tropfen::N,deoir,bannac'h
103,Tropfen::N,deoir,takenn
104,Schaum::N,cúr,spoum
105,Schmutz::N,salachar,fank
106,See::N,loch,lenn
107,Sumpf::N,portach,gwern
108,Moor::N,caorán,taouarc'heg
109,Moor::N,móinteán,taouarc'heg
110,Wiese::N,cluain,prad
111,Wiese::N,móinéar,prad
112,Wald::N,coill,koad
113,Wald::N,foraois,koad
114,Hügel::N,ard,torgenn
115,Anhöhe::N,ard,run
116,Anhöhe::N,ardán,run
117,Berg::N,sliabh,menez
118,Gipfel::N,barr,barr
119,Gipfel::N,mullach,barr
120,Höhle::N,uaimh,kav
121,Höhle::N,pluais,kav
122,Abhang::N,fána,naou
123,Quelle::N,foinse,feunteun
124,Bach::N,sruthán,gwazh
125,Fluss::N,abhainn,stêr
126,Ufer::N,bruach,ribl
127,Küste::N,cósta,aod
128,Küste::N,cladach,aod
129,Festland::N,míntír,douar
130,Meer::N,muir,mor
131,Meer::N,farraige,mor
132,Bucht::N,bá,mor-bihan
133,Bucht::N,cuan,mor-bihan
134,Insel::N,inis,enez
135,Insel::N,oileán,enez
136,Blume::N,bláth,bleunienn
137,Gras::N,féar,geot
138,Wurzel::N,rúta,gwrizienn
139,Wurzel::N,fréamh,gwrizienn
140,Baum::N,crann,gwezenn
141,Stamm::N,stoc,kef
142,Stamm::N,tamhan,kef
143,Rinde::N,coirt,rusk
144,Rinde::N,craiceann,rusk
145,Ast::N,géag,barr
146,Zweig::N,géag,bod
147,Zweig::N,craobh,bod
148,Blatt::N,duille,delienn
149,Blatt::N,duilleog,delienn
150,Birke::N,beith,bezvenn
151,Birke::N,crann beithe,bezvenn
152,Kiefer[Baum]::N,péine,pinenn
153,Weide[Baum]::N,saileach,halegenn
154,Tanne::N,giúis,sapenn
155,Horn::N,adharc,korn
156,Feder::N,cleite,pluñv
157,Fell::N,clúmh,kreoñ
158,Flügel::N,eite,askell
159,Flügel::N,sciathán,askell
160,Klaue::N,crúb,skilf
161,Klaue::N,crobh,skilf
162,Kralle::N,crobh,skilf
163,Schwanz::N,eireaball,lost
164,Ei::N,ubh,vi
165,Nest::N,nead,neizh
166,Bau::N,brocais,douarenn
167,Tier::N,ainmhí,loen
168,Tier::N,beithíoch,loen
169,Herde::N,tréad,tropell
170,Kuh::N,bó,buoc'h
171,Bulle::N,tarbh,tarv
172,Pferd::N,each,marc'h
173,Pferd::N,capall,marc'h
174,Schaf::N,caora,dañvad
175,Schwein::N,muc,pemoc'h
176,Hund::N,madra,ki
177,Katze::N,cat,kazh
178,Bär::N,béar,arzh
179,Eichhörnchen::N,iora,gwiñver
180,Elch::N,eilc,karv-dour
181,Fuchs::N,sionnach,louarn
182,Fuchs::N,madra rua,louarn
183,Hase::N,giorria,gad
184,Maus::N,luch,logodenn
185,Wolf::N,mac tíre,bleiz
186,Vogel::N,éan,labous
187,Schwarm::N,saithe,nijad
188,Huhn::N,cearc,yar
189,Hahn::N,coileach,kilhog
190,Gans::N,gé,gwazenn
191,Adler::N,iolar,erer
192,Ente::N,lacha,houad
193,Eule::N,ulchabhán,toud
194,Kranich::N,grús,garan
195,Krähe::N,caróg,bran
196,Krähe::N,préachán,bran
197,Kuckuck::N,cuach,koukoug
198,Schwan::N,eala,alarc'h
199,Fisch::N,iasc,pesk
200,Barsch::N,péirse,brell
201,Hecht::N,liús,beked
202,Schlange[Tier]::N,nathair,naer
203,Wurm::N,péist,preñv
204,Spinne::N,damhán alla,kevnidenn
205,Ameise::N,seangán,merion
206,Laus::N,míol,laouenn
207,Mücke::N,muiscít,moustik
208,Mücke::N,corrmhíol,moustik
209,Fliege::N,cuil,kelienenn
210,Fliege::N,cuileog,kelienenn
211,Schmetterling::N,féileacán,balafenn
212,Beere::N,caor,hog
213,Apfel::N,úll,aval
214,Pilz::N,beacán,kabell-touseg
215,Pilz::N,muisiriún,kabell-touseg
216,Zwiebel::N,oinniún,ognonenn
217,Saat::N,síol,had
218,Korn::N,gráinne,ed
219,Heu::N,féar,foenn
220,Schale::N,scaimh,peliadur
221,Grube::N,poll,
222,Falle::N,gaiste,pech
223,Schlinge::N,sealán,krouglas
224,Spur::N,rian,
225,Asche::N,luaith,ludu
226,Dreck::N,salachar,fank
227,Eisen::N,iarann,houarn
228,Gold::N,ór,aour
229,Silber::N,airgead,arc'hant
230,Kohle::N,gual,glaou
231,Glas::N,gloine,gwer
232,Lehm::N,cré,
233,Sand::N,gaineamh,traezh
234,Mensch::N,duine,den
235,Mann::N,fear,den
236,Frau::N,bean,maouez
237,Kind::N,gasúr,bugel
238,Kind::N,páiste,bugel
239,Junge::N,buachaill,paotr
240,Mädchen::N,cailín,plac'h
241,Familie::N,teaghlach,familh
242,Familie::N,comhluadar,familh
243,Großvater::N,seanathair,tad-kozh
244,Großmutter::N,seanmháthair,mamm-gozh
245,Eltern::N,tuismitheoirí,kerent
246,Vater::N,athair,tad
247,Mutter::N,máthair,mamm
248,Sohn::N,mac,mab
249,Tochter::N,iníon,merc'h
250,Bruder::N,deartháir,breur
251,Schwester::N,deirfiúr,c'hoar
252,Onkel::N,uncail,eontr
253,Tante::N,aintín,moereb
254,Ehemann::N,fear céile,gwaz
255,Ehefrau::N,bean chéile,gwreg
256,Freude::N,áthas,levenez
257,Gelächter::N,gáire,c'hoarzherezh
258,Glück::N,séan,chañs
259,Glück::N,sonas,chañs
260,Kummer::N,brón,doan
261,Kummer::N,buairt,doan
262,Wunsch::N,guí,c'hoant
263,Wunsch::N,achainí,c'hoant
264,Lust::N,fonn,c'hoant
265,Geist::N,meon,spered
266,Geist::N,spiorad,spered
267,Gedanke::N,smaoineamh,soñj
268,Gedächtnis::N,cuimhne,eñvor
269,Verstand::N,ciall,skiant
270,Verstand::N,intinn,skiant
271,Sinn::N,brí,ster
272,Sinn::N,ciall,ster
273,Grund::N,fáth,kaoz
274,Wahrheit::N,fírinne,gwirionez
275,Gespräch::N,comhrá,kaozeadenn
276,Märchen::N,scéal,kaoz korriganez
277,Erzählung::N,scéal,kontadenn
278,Nachricht::N,teachtaireacht,keloù
279,Neuigkeit::N,scéala,kelaouenn
280,Name::N,ainm,anv
281,Rätsel::N,tomhas,divinatez
282,Rede::N,óráid,diskour
283,Rede::N,aitheasc,diskour
284,Sprache::N,teanga,yezh
285,Stimme::N,guth,mouezh
286,Wort::N,focal,ger
287,Zeichen::N,comhartha,sin
288,Ruf::N,glaoch,galv
289,Lärm::N,torann,trouz
290,Laut::N,fuaim,
291,Ton::N,ton,ton
292,Lied::N,amhrán,kanaouenn
293,Ruhe::N,suaimhneas,sioulded
294,Leute::N,muintir,tud
295,Volk::N,pobal,pobl
296,Arbeit::N,obair,labour
297,Gast::N,aoi,kouviad
298,Geschenk::N,féirín,prof
299,Geschenk::N,bronntanas,prof
300,Spiel::N,cluiche,c'hoari
301,Gesellschaft::N,comhluadar,kompagnunezh
302,Gesellschaft::N,comhluadar,kavandad
303,Hilfe::N,cúnamh,sikour
304,Hilfe::N,cabhair,sikour
305,Freund::N,cara,mignon
306,Kamerad::N,comrádaí,kamarad
307,Angelegenheit::N,ábhar,afer
308,Anzahl::N,líon,niver
309,Art::N,sórt,sort
310,Art::N,saghas,sort
311,Stück::N,píosa,tamm
312,Teil::N,cuid,pezh
313,Teil::N,páirt,pezh
314,Hälfte::N,leath,hanterenn
315,Kreis::N,ciorcal,kelc'h
316,Kreuz::N,cros,kroaz
317,Linie::N,líne,linenn
318,Strich::N,stríoc,tenn
319,Abstand::N,achar,distok
320,Entfernung::N,fad,keid
321,Entfernung::N,fad,kehid
322,Gegend::N,ceantar,korn-bro
323,Platz::N,áit,plasenn
324,Platz::N,spás,plasenn
325,Ort::N,áit,lec'h
326,Seite::N,taobh,tu
327,Mitte::N,lár,kreiz
328,Gegenstand::N,ball,tra
329,Gegenstand::N,ábhar,tra
330,Sache::N,ní,tra
331,Sache::N,rud,tra
332,Rand::N,imeall,kantenn
333,Rand::N,ciumhais,kantenn
334,Kante::N,corr,kantenn
335,Kante::N,colbha,kantenn
336,Ecke::N,coirnéal,korn
337,Spitze::N,gob,begell
338,Spitze::N,barr,begell
339,Ende::N,ceann,dibenn
340,Ende::N,foirceann,dibenn
341,Loch::N,poll,toull
