,Concept_ID,pl,ps
0,Auge::N,oko,سترګه
1,Ohr::N,ucho,غوږ
2,Nase::N,nos,پوزه
3,Mund::N,usta,خوله
4,Zahn::N,ząb,غاښ
5,Zunge::N,język,جبه
6,Lippe::N,warga,شونډه
7,Wange::N,policzek,باړخو
8,Gesicht::N,twarz,مخ
9,Stirn::N,czoło,تندی
10,Stirn::N,czoło,وچولی
11,Haar::N,włos,وېښته
12,Haar::N,włosy,وېښته
13,Schnurrbart::N,wąsy,برېت
14,Bart::N,broda,ږیره
15,Kinn::N,podbródek,زنه
16,Kiefer[Anatomie]::N,czeluść,جامه
17,Kehle::N,gardło,غاړه
18,Hals::N,szyja,غاړه
19,Genick::N,kark,ورمېږ
20,Kopf::N,głowa,سر
21,Rücken::N,plecy,شا
22,Rücken::N,grzbiet,شا
23,Bauch::N,brzuch,نس
24,Bauch::N,brzuch,ګېډه
25,Nabel::N,pępek,نوم
26,Busen::N,biust,تی
27,Brust::N,pierś,سینه
28,Schulter::N,bark,اوږه
29,Schulter::N,ramię,اوږه
30,Arm::N,ręka,لاس
31,Arm::N,ramię,لاس
32,Ellenbogen::N,łokieć,څنګل
33,Hand::N,dłoń,لاس
34,Handfläche::N,dłoń,ورغوی
35,Finger::N,palec,ګوته
36,Fingernagel::N,paznokieć,نوک
37,Nagel[Anatomie]::N,paznokieć,نوک
38,Zeh::N,palec,ګوته
39,Fuß::N,stopa,پښه
40,Ferse::N,pięta,پونده
41,Knie::N,kolano,زنګون
42,Oberschenkel::N,udo,پتون
43,Bein::N,noga,پښه
44,Körper::N,ciało,ځان
45,Haut::N,skóra,پوټکی
46,Blut::N,krew,وینه
47,Ader::N,żyła,رګ
48,Sehne::N,ścięgno,پله
49,Knochen::N,kość,هډوکی
50,Gehirn::N,mózg,ماغزه
51,Herz::N,serce,زړه
52,Magen::N,żołądek,معده
53,Leber::N,wątroba,ينه
54,Leber::N,wątroba,ځیګر
55,Atem::N,dech,نفس
56,Atem::N,oddech,نفس
57,Hunger::N,głód,ولږه
58,Träne::N,łza,اوښکه
59,Geschmack::N,smak,مزه
60,Geschmack::N,smak,خوند
61,Geruch::N,woń,بوی
62,Geruch::N,zapach,بوی
63,Schlaf::N,sen,خوب
64,Traum::N,sen,خوب
65,Himmel::N,niebo,اسمان
66,Sonne::N,słońce,لمر
67,Mond::N,księżyc,سپوږمۍ
68,Stern::N,gwiazda,ستوری
69,Luft::N,powietrze,هوا
70,Wind::N,wiatr,ورښ
71,Welle::N,fala,موج
72,Wasser::N,woda,اوبه
73,Stein::N,kamień,ډبره
74,Boden::N,grunt,مځکه
75,Erde::N,ziemia,خاوره
76,Staub::N,pył,ګرد
77,Staub::N,pył,خاوره
78,Staub::N,kurz,ګرد
79,Staub::N,kurz,خاوره
80,Rauch::N,dym,دود
81,Rauch::N,dym,لوګی
82,Funke::N,iskra,سپرغۍ
83,Feuer::N,ogień,اور
84,Licht::N,światło,رڼا
85,Schatten::N,cień,سیوری
86,Wetter::N,pogoda,هوا
87,Nebel::N,mgła,لړه
88,Wolke::N,obłok,ورېځ
89,Wolke::N,chmura,ورېځ
90,Regen::N,deszcz,وریا
91,Regen::N,deszcz,باران
92,Schnee::N,śnieg,واوره
93,Eis::N,lód,یخ
94,Eis::N,lód,کنګل
95,Frost::N,mróz,یخ
96,Kälte::N,chłód,ساړه
97,Hitze::N,gorąco,تودوخي
98,Raureif::N,szron,سپینه پرخه
99,Regenbogen::N,tęcza,بوډۍ ټال
100,Regenbogen::N,tęcza,سره زرغونه
101,Donner::N,grzmot,تالنده
102,Strömung::N,nurt,بهېدنه
