,Concept_ID,et,ka
0,Auge::N,silm,თვალი
1,Ohr::N,kõrv,ყური
2,Nase::N,nina,ცხვირი
3,Mund::N,suu,პირი
4,Zahn::N,hammas,კბილი
5,Zunge::N,keel,ენა
6,Lippe::N,huul,ბაგე
7,Wange::N,põsk,ლოყა
8,Gesicht::N,nägu,სახე
9,Stirn::N,otsmik,შუბლი
10,Haar::N,juus,თმა
11,Schnurrbart::N,vurrud,ულვაში
12,Schnurrbart::N,vuntsid,ულვაში
13,Bart::N,habe,წვერი
14,Kinn::N,lõug,ნიკაპი
15,Kiefer[Anatomie]::N,lõualuu,ყბა
16,Kehle::N,kõri,ყელი
17,Hals::N,kael,ყელი
18,Hals::N,kael,კისერი
19,Genick::N,kukal,კეფა
20,Kopf::N,pea,თავი
21,Rücken::N,selg,ზურგი
22,Bauch::N,kõht,მუცელი
23,Nabel::N,naba,ჭიპი
24,Busen::N,rind,ძუძუ
25,Brust::N,rind,მკერდი
26,Schulter::N,õlg,მხარი
27,Schulter::N,õlg,მკლავი
28,Arm::N,käsivars,ხელი
29,Ellenbogen::N,küünarnukk,იდაყვი
30,Hand::N,käsi,ხელი
31,Handfläche::N,pihk,ნები
32,Handfläche::N,pihk,ხელისგული
33,Finger::N,sõrm,თითი
34,Fingernagel::N,küüs,ფრჩხილი
35,Nagel[Anatomie]::N,küüs,ფრჩხილი
36,Zeh::N,varvas,ფეხის თითი
37,Fuß::N,jalg,ტერფი
38,Fuß::N,jalg,ფეხისგული
39,Ferse::N,kand,ქუსლი
40,Knie::N,põlv,მუხლი
41,Oberschenkel::N,reis,ბარძაყი
42,Bein::N,jalg,ფეხი
43,Körper::N,ihu,ტანი
44,Körper::N,ihu,სხეული
45,Körper::N,keha,ტანი
46,Körper::N,keha,სხეული
47,Haut::N,nahk,კანი
48,Blut::N,veri,სისხლი
49,Ader::N,veen,ძარღვი
50,Sehne::N,kõõlus,მყესი
51,Knochen::N,luu,ძვალი
52,Gehirn::N,aju,ტვინი
53,Herz::N,süda,გული
54,Magen::N,magu,კუჭი
55,Leber::N,maks,ღვიძლი
56,Atem::N,hingeõhk,სუნთქვა
57,Atem::N,hingamine,სუნთქვა
58,Hunger::N,nälg,შიმშილი
59,Träne::N,pisar,ცრემლი
60,Geschmack::N,maitse,გემო
61,Geruch::N,lõhn,სუნი
62,Schlaf::N,uni,ძილი
63,Traum::N,unenägu,სიზმარი
64,Himmel::N,taevas,ცა
65,Sonne::N,päike,მზე
66,Mond::N,kuu,მთვარე
67,Stern::N,täht,ვარსკვლავი
68,Luft::N,õhk,ჰაერი
69,Wind::N,tuul,ქარი
70,Welle::N,laine,ტალღა
71,Wasser::N,vesi,წყალი
72,Stein::N,kivi,ქვა
73,Boden::N,maa,მიწა
74,Boden::N,pinnas,მიწა
75,Erde::N,maa,ნიადაგი
76,Staub::N,põrm,მტვერი
77,Rauch::N,suits,ბოლი
78,Rauch::N,suits,კვამლი
79,Funke::N,säde,ნაკვესი
80,Feuer::N,tuli,ცეცხლი
81,Licht::N,valgus,შუქი
82,Licht::N,valgus,სინათლე
83,Schatten::N,vari,ლანდი
84,Schatten::N,vari,ჩრდილი
85,Wetter::N,ilm,ამინდი
86,Nebel::N,udu,ნისლი
87,Wolke::N,pilv,ღრუბელი
88,Regen::N,sadu,წვიმა
89,Schnee::N,lumi,თოვლი
90,Eis::N,jää,თოში
91,Eis::N,jää,ყინული
92,Frost::N,pakane,ყინვა
93,Kälte::N,külm,სიცივე
94,Kälte::N,külmus,სიცივე
95,Hitze::N,kuumus,სიცხე
96,Hitze::N,palavus,სიცხე
97,Raureif::N,härmatis,ჭირხლი
98,Raureif::N,härmatis,თრთვილი
99,Regenbogen::N,vikerkaar,ცისარტყელა
100,Donner::N,kõu,ქუხილი
101,Donner::N,müristamine,ქუხილი
102,Strömung::N,voolus,დინება
103,Strömung::N,jõevool,დინება
104,Tropfen::N,tilk,წვეთი
105,Schaum::N,vaht,ქაფი
106,Schaum::N,vaht,დორბლი
107,Schmutz::N,pori,ჭუჭყი
108,Schmutz::N,pori,ტალახი
109,Schmutz::N,mustus,ჭუჭყი
110,Schmutz::N,mustus,ტალახი
111,See::N,järv,ტბა
112,Sumpf::N,soo,ჭაობი
113,Moor::N,raba,ტორფნარი
114,Wiese::N,aas,ველი
115,Wiese::N,aas,მდელო
116,Wiese::N,nurm,ველი
117,Wiese::N,nurm,მდელო
118,Wald::N,mets,ტყე
119,Hügel::N,küngas,ბორცვი
120,Anhöhe::N,küngas,მაღლობი
121,Berg::N,mägi,მთა
122,Gipfel::N,mäetipp,მწვერვალი
123,Höhle::N,koobas,მღვიმე
124,Höhle::N,koobas,გამოქვებული
125,Abhang::N,nõlvak,ფერდობი
126,Quelle::N,allikas,წყარო
127,Quelle::N,allikas,სათავე
128,Bach::N,oja,რუ
129,Bach::N,oja,ნაკადული
130,Fluss::N,jõgi,მდინარე
131,Ufer::N,kallas,კიდე
132,Ufer::N,kallas,ნაპირი
133,Küste::N,rannik,ნაპირი
134,Festland::N,mander,ხმელეთი
135,Festland::N,maismaa,ხმელეთი
136,Meer::N,meri,ზღვა
137,Bucht::N,laht,ყურე
138,Insel::N,saar,კუნძული
139,Blume::N,lill,ყვავილი
140,Gras::N,rohi,ბალახი
141,Wurzel::N,juur,ძირი
142,Wurzel::N,juur,ფესვი
143,Baum::N,puu,ხე
144,Stamm::N,tüvi,ტანი
145,Rinde::N,koor,ქერქი
146,Ast::N,oks,ტოტი
147,Zweig::N,oks,შტო
148,Blatt::N,leht,ფოთოლი
