,Concept_ID,he,ab
0,Auge::N,עין,ала
1,Ohr::N,אזן,алымҳа
2,Nase::N,אף,аҧынҵа
3,Nase::N,חטם,аҧынҵа
4,Mund::N,פה,аҧышə
5,Zahn::N,שן,ахаҧыц
6,Zunge::N,לשון,абз
7,Lippe::N,שפה,ақьышə
8,Wange::N,לחי,аӡамҩа
9,Gesicht::N,פנים,аҿы
10,Stirn::N,מצח,алахь
11,Haar::N,שערה,ахəыц
12,Schnurrbart::N,שפם,аҧаҵа
13,Bart::N,זקן,ажакьа
14,Kinn::N,סנטר,ацламкəыгə
15,Kiefer[Anatomie]::N,לסת,ацламҳəа
16,Kehle::N,גרון,ахəда
17,Hals::N,צואר,ахəда
18,Genick::N,ערף,ахəдаџьал
19,Kopf::N,ראש,ахы
20,Rücken::N,גב,азқəа
21,Bauch::N,בטן,амгəа
22,Nabel::N,טבור,аҷапан
23,Busen::N,שד,агəыҧҳəы
24,Brust::N,חזה,агəышҧы
25,Schulter::N,כתף,ажəҩахыр
26,Arm::N,זרוע,амахəар
27,Ellenbogen::N,מרפק,амашьхəылҵ
28,Hand::N,יד,анапы
29,Handfläche::N,כף יד,анапсаргəыҵа
30,Finger::N,אצבע,анацəа
31,Fingernagel::N,צפרן,анапхыц
32,Nagel[Anatomie]::N,צפרן,ашьапхыц
33,Zeh::N,אצבע,ашьацəа
34,Fuß::N,רגל,ашьапсыргəыҵа
35,Ferse::N,עקב,ашьхəа
36,Knie::N,ברך,ашьамхы
37,Oberschenkel::N,ירך,ауаҭəа
38,Bein::N,רגל,ашьапы
39,Körper::N,גוף,ацəеижь
40,Haut::N,עור,ацəа
41,Blut::N,דם,ашьа
42,Ader::N,וריד,ада
43,Sehne::N,גיד,адаш
44,Knochen::N,עצם,абаҩ
45,Gehirn::N,מוח,ахшлыбаҩ
46,Gehirn::N,מוח,ахшыбаҩ
47,Herz::N,לב,агəы
48,Magen::N,קבה,аца
49,Magen::N,קבה,ацар
50,Leber::N,כבד,агəаҵəа
51,Atem::N,נשימה,аҧсыҧлагаҩгара
52,Hunger::N,רעב,амла
53,Träne::N,דמעה,алабжыш
54,Geschmack::N,טעם,агьама
55,Geruch::N,ריח,афҩы
56,Schlaf::N,שנה,ацəа
57,Traum::N,חלום,аҧхыӡ
58,Himmel::N,שמים,ажəҩан
59,Sonne::N,שמש,амра
60,Mond::N,ירח,амза
61,Stern::N,כוכב,аеҵəа
62,Luft::N,אויר,аҳаир
63,Wind::N,רוח,аҧша
64,Welle::N,גל,ацəқəырҧа
65,Wasser::N,מים,аӡы
66,Stein::N,אבן,ахаҳə
67,Boden::N,קרקע,адгьыл
68,Erde::N,אדמה,адгьыл
69,Staub::N,אבק,асаба
70,Rauch::N,עשן,алҩа
71,Funke::N,ניצוץ,акəиц
72,Funke::N,ניצוץ,ацҧхь
73,Feuer::N,אש,амца
74,Licht::N,אור,алашара
75,Schatten::N,צל,ашəшьыра
76,Wetter::N,מזג אויר,амш
77,Nebel::N,ערפל,анаҟəа
78,Wolke::N,ענן,аҧсҭҳəа
79,Regen::N,גשם,ақəа
80,Schnee::N,שלג,асы
81,Eis::N,קרח,аҵаа
82,Frost::N,צנה,аҵаа
83,Kälte::N,קר,ахьҭа
84,Hitze::N,חם,ашоура
85,Raureif::N,כפור,аҵааҧшқа
86,Regenbogen::N,קשת,ацəаҟəа
87,Donner::N,רעם,адыд
88,Strömung::N,זרימה,аиасра
89,Strömung::N,זרימה,амҩасра
90,Tropfen::N,טפה,ацəыкəбар
91,Schaum::N,קצף,ашəах
92,Schmutz::N,לכלוך,алымт
93,See::N,אגם,аӡиа
94,Sumpf::N,בצה,аӡмах
95,Moor::N,בצה,
96,Wiese::N,מרעה,адəы
97,Wald::N,יער,абна
98,Hügel::N,תל,ахəы
99,Anhöhe::N,מעלה,аҳаракыра
100,Berg::N,הר,ашьха
101,Gipfel::N,פסגה,ацəқəа
102,Höhle::N,מערה,аҳаҧы
103,Abhang::N,מדרון,анаара
104,Abhang::N,שפוע,анаара
105,Quelle::N,מעין,аҵҵырҭа
106,Bach::N,נחל,акəараҷҷа
107,Fluss::N,נהר,аӡиас
108,Ufer::N,גדה,ахықə
109,Küste::N,חוף,ахықə
110,Festland::N,יבשה,абарра
111,Meer::N,ים,амшын
112,Bucht::N,מפרץ,аӡбжьахала
113,Insel::N,אי,адгьылбжьаха
114,Blume::N,פרח,ашəҭ
115,Gras::N,דשא,аҳасакьын
116,Wurzel::N,שרש,адац
117,Baum::N,עץ,аҵла
118,Stamm::N,גזע,ашьапы
