,Concept_ID,uz,sq
0,Auge::N,ko'z,sy
1,Ohr::N,quloq,vesh
2,Nase::N,burun,hundë
3,Mund::N,og'iz,gojë
4,Zahn::N,tish,dhëmb
5,Zunge::N,til,gjuhë
6,Lippe::N,dudoq,buzë
7,Wange::N,bet,faqe
8,Wange::N,bet,mollëz
9,Gesicht::N,yuz,fytyrë
10,Stirn::N,manglay,ballë
11,Haar::N,soch,flokë
12,Schnurrbart::N,mo'ylov,mustaqe
13,Bart::N,soqol,mjekër
14,Kinn::N,ängak,mjekër
15,Kiefer[Anatomie]::N,iyak,nofull
16,Kehle::N,bo'g'iz,fyt
17,Kehle::N,bo'g'iz,grykë
18,Hals::N,bo'yin,qafë
19,Genick::N,gardan,arrëz
20,Kopf::N,bosh,kokë
21,Rücken::N,orqa,kurriz
22,Bauch::N,qorin,bark
23,Nabel::N,kindik,kërthizë
24,Busen::N,ämchak,gji
25,Brust::N,ko'krak,gjoks
26,Brust::N,ko'krak,kraharor
27,Schulter::N,elka,sup
28,Schulter::N,elka,krah
29,Arm::N,bilak,krah
30,Ellenbogen::N,tirsak,bërryl
31,Hand::N,qo'l,dorë
32,Handfläche::N,kaft,pëllëmbë
33,Finger::N,barmoq,gisht
34,Fingernagel::N,tirnoq,thua
35,Nagel[Anatomie]::N,tirnoq,thua
36,Zeh::N,oyoq barmog'i,gisht i këmbës
37,Fuß::N,oyoq,këmbë
38,Ferse::N,tovon,thembër
39,Knie::N,tiz,gju
40,Oberschenkel::N,son,kofshë
41,Bein::N,oyoq,këmbë
42,Körper::N,badna,trup
43,Haut::N,teri,lëkurë
44,Blut::N,qon,gjak
45,Ader::N,qon tomir,venë
46,Sehne::N,tomir,dell
47,Knochen::N,suyak,asht
48,Knochen::N,suyak,kockë
49,Gehirn::N,miya,tru
50,Herz::N,qalb,zemër
51,Magen::N,oshqozon,stomak
52,Leber::N,bag'ir,mëlçi
53,Atem::N,dam,frymë
54,Hunger::N,ochlik,uri
55,Träne::N,yosh,lot
56,Geschmack::N,tam,shije
57,Geruch::N,jid,erë
58,Schlaf::N,uyqu,gjumë
59,Traum::N,tush,ëndërr
60,Himmel::N,osmon,qiell
61,Sonne::N,quyosh,diell
62,Mond::N,oy,hënë
63,Stern::N,yulduz,yll
64,Luft::N,havo,ajër
65,Wind::N,el,erë
66,Welle::N,to'lqin,valë
67,Welle::N,to'lqin,dallgë
68,Wasser::N,suv,ujë
69,Stein::N,tosh,gur
70,Boden::N,tuproq,tokë
71,Boden::N,tuproq,truall
72,Erde::N,er,dhe
73,Erde::N,er,baltë
74,Staub::N,chang,pluhur
75,Rauch::N,tutun,tym
76,Funke::N,yalt,xixë
77,Funke::N,yalt,shkëndijë
78,Feuer::N,o't,zjarr
79,Licht::N,yorug',dritë
80,Schatten::N,soya,hije
81,Wetter::N,havo,mot
82,Nebel::N,tuman,mjegull
83,Wolke::N,bulut,re
84,Regen::N,yomg'ir,shi
85,Schnee::N,qor,borë
86,Eis::N,muz,akull
87,Frost::N,ajoz,ngricë
88,Kälte::N,ajoz,të ftohtë
89,Hitze::N,issiq,vapë
90,Hitze::N,issiq,nxehtësi
91,Raureif::N,qirov,cikmë
92,Regenbogen::N,kamalak,ylber
93,Donner::N,guldur,gjëmim
94,Donner::N,guldur,bubullimë
95,Strömung::N,oqim,rrymë
96,Tropfen::N,tomchi,pikë
97,Schaum::N,ko'pik,shkumë
98,Schmutz::N,gard,baltë
99,See::N,ko'l,liqen
100,Sumpf::N,botqoq,batak
101,Moor::N,qir-adir,kënetë
102,Wiese::N,o'tzor,livadh
103,Wald::N,o'rmon,pyll
104,Hügel::N,tepa,kodër
105,Anhöhe::N,adir,bregore
106,Berg::N,tog',mal
107,Gipfel::N,cho'qqi,kulm
108,Höhle::N,kavak,shpellë
109,Höhle::N,kavak,zgafelle
110,Abhang::N,to'sh,shpat
111,Abhang::N,to'sh,tatëpjetë
112,Quelle::N,buloq,krua
113,Quelle::N,buloq,burim
114,Bach::N,o'zan,virua
115,Fluss::N,daryo,lumë
116,Ufer::N,sohil,breg
117,Küste::N,qirg'oq,anëdet
118,Küste::N,qirg'oq,bregdet
119,Festland::N,materik,kontinent
120,Meer::N,dengiz,det
121,Bucht::N,qo'ltiq,gji deti
122,Insel::N,orol,ishull
123,Insel::N,orol,ujdhesë
124,Blume::N,gul,lule
125,Gras::N,sabza,bar
126,Wurzel::N,tub,rrënjë
127,Wurzel::N,tomir,rrënjë
128,Baum::N,daraxt,pemë
129,Stamm::N,o'simta,trung
130,Rinde::N,qobiq,lëvore
131,Ast::N,shox,degë
132,Zweig::N,butoq,bisk
133,Blatt::N,barg,fletë
134,Blatt::N,barg,gjethe
135,Birke::N,qayin,mështekën
136,Kiefer[Baum]::N,qarag'ay,pishë
137,Weide[Baum]::N,shum,shelg
138,Tanne::N,archa,bredh
139,Horn::N,mugiz,bri
140,Feder::N,par,pupël
141,Fell::N,mo'yna,lëkurë
142,Flügel::N,qanot,krah
143,Flügel::N,qanot,fletë
144,Klaue::N,tirnoq,kthetër
145,Kralle::N,tirnoq,thua
146,Kralle::N,tirnoq,kthetër
147,Schwanz::N,quyruq,bisht
148,Ei::N,tuxum,vezë
149,Nest::N,oshyon,fole
150,Bau::N,o'pqon,strofkë
151,Tier::N,hayvon,kafshë
152,Herde::N,gala,kope
153,Herde::N,gala,grigjë
154,Kuh::N,inak,lopë
155,Bulle::N,ho'kiz,dem
156,Pferd::N,ot,kalë
157,Schaf::N,qo'y,dele
158,Schwein::N,cho'chqa,derr
159,Hund::N,it,qen
160,Katze::N,mushuk,mace
161,Bär::N,ayiq,ari
162,Eichhörnchen::N,tiyin,ketër
163,Elch::N,los,dre brilopatë
164,Fuchs::N,tulki,dhelpër
165,Hase::N,kuyon,lepur
166,Maus::N,sichqon,mi
167,Wolf::N,bo'ri,ujk
168,Vogel::N,qush,zog
169,Vogel::N,qush,shpend
170,Schwarm::N,to'da,luzmë
171,Huhn::N,tovuq,pulë
172,Hahn::N,xo'roz,gjel
173,Hahn::N,xo'roz,këndes
174,Gans::N,g'oz,patë
175,Adler::N,burgut,shqiponjë
176,Ente::N,o'rdak,rosë
177,Eule::N,boyo'g'li,buf
178,Kranich::N,turna,lejlek
179,Kranich::N,turna,kurrillë
180,Krähe::N,qarg'a,sorrë
181,Kuckuck::N,kakku,qyqe
182,Schwan::N,oqkush,mjellmë
183,Fisch::N,baliq,peshk
184,Barsch::N,olabug'a,purtekë
185,Hecht::N,cho'rtan,mlysh
186,Schlange[Tier]::N,ilon,gjarpër
187,Wurm::N,qurt,krimb
188,Spinne::N,o'rgimchak,marimangë
189,Ameise::N,chumoli,thnegël
190,Ameise::N,chumoli,milingonë
191,Laus::N,bit,morr
192,Mücke::N,chivin,kunup
193,Mücke::N,chivin,mushkonjë
194,Fliege::N,pashsha,mizë
195,Schmetterling::N,kapalak,flutur
196,Beere::N,meva,frutë
197,Beere::N,meva,manaferrë
