,Concept_ID,az,sah
0,Auge::N,göz,харах
1,Ohr::N,qulaq,кулгаах
2,Nase::N,burun,мурун
3,Mund::N,ağız,айах
4,Zahn::N,diş,тиис
5,Zunge::N,dil,тыл
6,Lippe::N,dodaq,уос
7,Wange::N,yanaq,иэдэс
8,Gesicht::N,üz,сирэй
9,Stirn::N,alın,сүүс
10,Haar::N,saç,баттах
11,Schnurrbart::N,bığ,уос бытыга
12,Bart::N,saqqal,сэҥийэ бытыга
13,Kinn::N,çənə,сэҥийэ
14,Kiefer[Anatomie]::N,çənə,сыҥаах
15,Kehle::N,boğaz,тамах
16,Kehle::N,boğaz,күөмэй
17,Hals::N,boyun,моой
18,Genick::N,ənsə,кэтэх
19,Kopf::N,baş,бас
20,Rücken::N,bel,көҕүс
21,Bauch::N,qarın,ис
22,Nabel::N,göbək,киин
23,Busen::N,məmə,эмиий
24,Brust::N,döş,түөс
25,Schulter::N,çiyin,сарын
26,Arm::N,qol,илии
27,Ellenbogen::N,dirsək,тоҕонох
28,Hand::N,əl,илии
29,Handfläche::N,ovuc,ытыс
30,Finger::N,barmaq,тарбах
31,Fingernagel::N,barmaq dırnağı,тыҥырах
32,Nagel[Anatomie]::N,dırnak,тыҥырах
33,Zeh::N,ayaq barmağı,тарбах
34,Fuß::N,ayaq,уллуҥах
35,Ferse::N,daban,тилэх
36,Knie::N,diz,тобук
37,Knie::N,diz,дьилбэк
38,Oberschenkel::N,bud,уллук
39,Oberschenkel::N,bud,өттүк
40,Bein::N,qıç,атах
41,Körper::N,əndam,бэйэ
42,Haut::N,dəri,тирии
43,Blut::N,qan,хаан
44,Ader::N,damar,вена
45,Ader::N,damar,күөх_тымыр
46,Sehne::N,vətər,иҥиир
47,Knochen::N,sümük,уҥуох
48,Knochen::N,sümük,уҥгуох
49,Gehirn::N,beyin,мэйии
50,Herz::N,ürək,сүрэх
51,Magen::N,mədə,куртах
52,Leber::N,qara ciyər,быар
53,Atem::N,nəfəs,тыын
54,Hunger::N,aclıq,аас
55,Träne::N,göz yaşı,харах уута
56,Geschmack::N,tam,амтан
57,Geschmack::N,ləzzət,амтан
58,Geruch::N,qoxu,сыт
59,Schlaf::N,yuxu,утуйуу
60,Traum::N,röya,түүл
61,Himmel::N,göy,халлаан
62,Himmel::N,səma,халлаан
63,Sonne::N,günəş,күн
64,Mond::N,ay,ый
65,Stern::N,ulduz,сулус
66,Luft::N,hava,салгын
67,Wind::N,yel,тыал
68,Wind::N,külək,тыал
69,Welle::N,dalğa,долгун
70,Welle::N,dalğa,балхаан
71,Wasser::N,su,уу
72,Stein::N,daş,таас
73,Boden::N,yer,сир
74,Boden::N,zəmin,сир
75,Erde::N,yer torpaq,буор
76,Staub::N,toz,быыл
77,Rauch::N,tüstü,буруо
78,Funke::N,qığılcım,кыым
79,Feuer::N,od,уот
80,Licht::N,işıq,уот
81,Schatten::N,kölgə,күлүк
82,Wetter::N,hava,күн-дьыл
83,Nebel::N,duman,туман
84,Wolke::N,bulud,былыт
85,Regen::N,yağış,самыыр
86,Regen::N,yağmur,самыыр
87,Schnee::N,qar,хаар
88,Eis::N,buz,муус
89,Frost::N,ayaz,тымныы
90,Kälte::N,soyuq,тымныы
91,Hitze::N,coşğunluq,куйаас
92,Raureif::N,qırov,кырыа
93,Regenbogen::N,göy qurşağı,кустук
94,Donner::N,göy gurultusu,этиҥ
95,Strömung::N,axın,сүүрүк
96,Tropfen::N,damcı,таммах
97,Tropfen::N,damcı,хааппыла
98,Schaum::N,köpük,күүгэн
99,Schmutz::N,çamır,кир
100,See::N,göl,күөл
101,Sumpf::N,bataqlıq,бадараан
102,Moor::N,bataqlıq,дьэбэрэ
103,Wiese::N,çəmən,ходуһа
104,Wald::N,meşə,ойуур
105,Hügel::N,təpə,булгунньах
106,Anhöhe::N,təpə,үрдэл
107,Berg::N,dağ,хайа
108,Gipfel::N,zirvə,чыпчаал
109,Höhle::N,mağara,хайа_хаспаҕа
110,Höhle::N,mağara,көҥүс
111,Abhang::N,yamac,эниэ
112,Quelle::N,bulaq,дьүүктэ
113,Bach::N,kiçik çay,үрүйэ
114,Fluss::N,çay,өрүс
115,Ufer::N,kənar,биэрэк
116,Küste::N,sahil,кытыл
117,Festland::N,materik,кураанах сир
118,Meer::N,dəniz,муора
119,Bucht::N,körfəz,хомо
120,Bucht::N,körfəz,бухта
121,Insel::N,ada,арыы
122,Blume::N,çiçək,сибэкки
123,Gras::N,ot,от
124,Wurzel::N,kök,силис
125,Baum::N,ağac,мас
126,Stamm::N,gövdə,умнас
127,Rinde::N,qabıq,хатырык
128,Ast::N,şax,мутук
129,Zweig::N,budaq,лабаа
130,Blatt::N,yarpaq,сэбирдэх
131,Birke::N,tozağacı,хатыҥ
132,Kiefer[Baum]::N,şam,бэс
133,Weide[Baum]::N,söyüd,үөт
134,Weide[Baum]::N,söyüd,талах
135,Tanne::N,küknar,харыйа
