,Concept_ID,myv,bg
0,Auge::N,сельме,око
1,Ohr::N,пиле,ухо
2,Nase::N,судо,нос
3,Mund::N,курго,уста
4,Zahn::N,пей,зъб
5,Zunge::N,кель,език
6,Lippe::N,турва,устна
7,Wange::N,чамабока,буза
8,Wange::N,чамаумарь,буза
9,Gesicht::N,чама,лице
10,Gesicht::N,чама,образ
11,Stirn::N,коня,чело
12,Haar::N,черь,коса
13,Haar::N,черь,косъм
14,Schnurrbart::N,ус,мустаци
15,Schnurrbart::N,муюк,мустаци
16,Bart::N,сакал,брада
17,Kinn::N,уло,брада
18,Kinn::N,уло,брадичка
19,Kiefer[Anatomie]::N,пейпакар,челюст
20,Kiefer[Anatomie]::N,пейловажа,челюст
21,Kehle::N,кирьгапарь,гърло
22,Hals::N,кирьга,врат
23,Genick::N,човонь,тил
24,Kopf::N,пря,глава
25,Rücken::N,копорь,гръб
26,Bauch::N,пеке,корем
27,Nabel::N,почо,пъп
28,Busen::N,поте,бозка
29,Brust::N,меште,гръд
30,Schulter::N,лавтов,рамо
31,Schulter::N,лавтов,плещи
32,Arm::N,кедь,ръка
33,Ellenbogen::N,кенерепакарь,лакът
34,Hand::N,кедь,ръка
35,Hand::N,кедь,китка
36,Handfläche::N,кедькуншка,длан
37,Handfläche::N,кедьлапушка,длан
38,Finger::N,сур,пръст
39,Fingernagel::N,кенже,нокът
40,Nagel[Anatomie]::N,кенже,нокът
41,Zeh::N,пильге сур,пръст на крак
42,Fuß::N,пильге,крак
43,Fuß::N,пильге,нога
44,Ferse::N,кочкаря,пета
45,Knie::N,эле,коляно
46,Knie::N,эзне,коляно
47,Knie::N,кумажа,коляно
48,Oberschenkel::N,качо,бедро
49,Bein::N,пильге,крак
50,Bein::N,пильге,нога
51,Körper::N,рунго,тяло
52,Haut::N,киське,кожа
53,Blut::N,верь,кръв
54,Ader::N,сан,вена
55,Ader::N,сан,артерия
56,Sehne::N,коське сан,жила
57,Sehne::N,коське сан,сухожилие
58,Knochen::N,пакарь,кост
59,Gehirn::N,удем,мозък
60,Herz::N,седей,сърце
61,Magen::N,пеке,стомах
62,Leber::N,максо,черен дроб
63,Atem::N,лексема,дишане
64,Atem::N,оймень таргсема,дишане
65,Hunger::N,вачочи,глад
66,Träne::N,селведь,сълза
67,Geschmack::N,тансть,вкус
68,Geruch::N,чине,миризма
69,Schlaf::N,удома,сън
70,Traum::N,он,сън
71,Himmel::N,менель,небе
72,Sonne::N,чи,слънце
73,Mond::N,ков,луна
74,Mond::N,ков,месец
75,Stern::N,теште,звезда
76,Luft::N,кошт,въздух
77,Wind::N,варма,вятър
78,Welle::N,толкун,вълна
79,Wasser::N,ведь,вода
80,Stein::N,кев,камък
81,Boden::N,мода,земя
82,Boden::N,мода,почва
83,Erde::N,мастор,земя
84,Erde::N,мастор,почва
85,Staub::N,пуль,прах
86,Rauch::N,качамо,дим
87,Rauch::N,качамо,пушек
88,Funke::N,сятко,искра
89,Feuer::N,тол,огън
90,Licht::N,валдо,светлина
91,Schatten::N,сулей,сянка
92,Schatten::N,сулейкс,сянка
93,Wetter::N,ушо,време
94,Nebel::N,сув,мъгла
95,Wolke::N,пель,облак
96,Regen::N,пиземс,дъжд
97,Schnee::N,лов,сняг
98,Eis::N,эй,лед
99,Frost::N,кельме,мраз
100,Kälte::N,якшамо,студ
101,Hitze::N,пси,жега
102,Hitze::N,пси,горещина
103,Raureif::N,лекш,скреж
104,Raureif::N,лекш,слана
105,Regenbogen::N,пурьгинечирьке,дъга
106,Regenbogen::N,пурьгинеёнкс,дъга
107,Donner::N,пурьгине,гръм
108,Strömung::N,чудема,течение
109,Strömung::N,чудевкс,течение
110,Tropfen::N,петнявкс,капка
111,Schaum::N,чов,пяна
112,Schmutz::N,рудаз,кал
113,Schmutz::N,рудаз,мръсотия
114,See::N,эрьке,езеро
115,Sumpf::N,чей,блато
116,Moor::N,чей,мочурище
117,Wiese::N,луга,ливада
118,Wald::N,вирь,гора
119,Hügel::N,губорь,рид
120,Hügel::N,губорь,хълм
121,Hügel::N,пандыне,рид
122,Hügel::N,пандыне,хълм
123,Anhöhe::N,губорь,могила
124,Anhöhe::N,губорь,възвишение
