,Concept_ID,lv,fr
0,Auge::N,син,œil
1,Auge::N,acs,œil
2,Ohr::N,пель,oreille
3,Ohr::N,auss,oreille
4,Nase::N,ныр,nez
5,Nase::N,deguns,nez
6,Mund::N,вом,bouche
7,Mund::N,mute,bouche
8,Zahn::N,пинь,dent
9,Zahn::N,zobs,dent
10,Zunge::N,кыв,langue
11,Zunge::N,mēle,langue
12,Lippe::N,вом дор,lèvre
13,Lippe::N,lūpa,lèvre
14,Wange::N,бан,joue
15,Wange::N,vaigs,joue
16,Gesicht::N,чужӧм,face
17,Gesicht::N,чужӧм,visage
18,Gesicht::N,seja,face
19,Gesicht::N,seja,visage
20,Gesicht::N,ģīmis,face
21,Gesicht::N,ģīmis,visage
22,Stirn::N,плеш,front
23,Stirn::N,кымӧс,front
24,Stirn::N,piere,front
25,Haar::N,си,cheveu
26,Haar::N,юрси,cheveu
27,Haar::N,mats,cheveu
28,Schnurrbart::N,ус,moustache
29,Schnurrbart::N,пыртсим,moustache
30,Schnurrbart::N,ūsas,moustache
31,Bart::N,тош,barbe
32,Bart::N,bārda,barbe
33,Kinn::N,тшӧка,menton
34,Kinn::N,zods,menton
35,Kinn::N,smakrs,menton
36,Kiefer[Anatomie]::N,черлы,mâchoire
37,Kiefer[Anatomie]::N,алака лы,mâchoire
38,Kiefer[Anatomie]::N,вомкӧтш лы,mâchoire
39,Kiefer[Anatomie]::N,žoklis,mâchoire
40,Kehle::N,голя,gorge
41,Kehle::N,rīkle,gorge
42,Hals::N,сьылі,cou
43,Hals::N,kakls,cou
44,Genick::N,юрбӧр,nuque
45,Genick::N,балябӧж,nuque
46,Genick::N,sprands,nuque
47,Kopf::N,юр,tête
48,Kopf::N,galva,tête
49,Rücken::N,мыш,dos
50,Rücken::N,mugura,dos
51,Bauch::N,рушку,ventre
52,Bauch::N,vēders,ventre
53,Nabel::N,гӧг,nombril
54,Nabel::N,naba,nombril
55,Busen::N,морӧс,sein
56,Busen::N,krūts,sein
57,Brust::N,морӧс,poitrine
58,Brust::N,krūts,poitrine
59,Schulter::N,пельпом,épaule
60,Schulter::N,plecs,épaule
61,Arm::N,ки,bras
62,Arm::N,roka,bras
63,Arm::N,delms,bras
64,Ellenbogen::N,гырддза,coude
65,Ellenbogen::N,elkonis,coude
66,Hand::N,ки,main
67,Hand::N,roka,main
68,Hand::N,plauksta,main
69,Handfläche::N,ки пыдӧс,paume
70,Handfläche::N,delna,paume
71,Handfläche::N,plauksta,paume
72,Finger::N,чунь,doigt
73,Finger::N,pirksts,doigt
74,Fingernagel::N,гыж,ongle
75,Fingernagel::N,nags,ongle
76,Nagel[Anatomie]::N,гыж,ongle
77,Nagel[Anatomie]::N,nags,ongle
78,Zeh::N,кок чунь,orteil
79,Zeh::N,кок чунь,doigt de pied
80,Zeh::N,pirksts,orteil
81,Zeh::N,pirksts,doigt de pied
82,Fuß::N,кок,pied
83,Fuß::N,kāja,pied
84,Ferse::N,кокбӧр,talon
85,Ferse::N,papēdis,talon
86,Knie::N,пидзӧс,genou
87,Knie::N,celis,genou
88,Oberschenkel::N,лядьвей,cuisse
89,Oberschenkel::N,бек,cuisse
90,Oberschenkel::N,ciska,cuisse
91,Oberschenkel::N,augšstilbs,cuisse
92,Bein::N,кок,jambe
93,Bein::N,kāja,jambe
94,Körper::N,туша,corps
95,Körper::N,вывтыр,corps
96,Körper::N,miesa,corps
97,Körper::N,ķermenis,corps
98,Haut::N,ку,peau
99,Haut::N,āda,peau
100,Blut::N,вир,sang
101,Blut::N,asins,sang
102,Ader::N,сӧн,veine
103,Ader::N,asinsvads,veine
104,Sehne::N,вез,tendon
105,Sehne::N,dzīsla,tendon
106,Knochen::N,лы,os
107,Knochen::N,kauls,os
108,Gehirn::N,вем,cerveau
109,Gehirn::N,smadzenes,cerveau
110,Herz::N,сьӧлӧм,cœur
111,Herz::N,sirds,cœur
112,Magen::N,кынӧм,estomac
113,Magen::N,kuņģis,estomac
114,Leber::N,мус,foie
115,Leber::N,aknas,foie
116,Atem::N,лов,haleine
117,Atem::N,elpa,haleine
118,Hunger::N,тшыг,faim
119,Hunger::N,bads,faim
120,Hunger::N,izsalkums,faim
121,Träne::N,синва,larme
122,Träne::N,asara,larme
123,Geschmack::N,кӧр,goût
124,Geschmack::N,кӧр,saveur
125,Geschmack::N,чӧсмӧс,goût
126,Geschmack::N,чӧсмӧс,saveur
127,Geschmack::N,garša,goût
128,Geschmack::N,garša,saveur
129,Geruch::N,зын,odeur
130,Geruch::N,дук,odeur
131,Geruch::N,smaka,odeur
132,Schlaf::N,узьӧм,sommeil
133,Schlaf::N,miegs,sommeil
134,Traum::N,вӧт,songe
135,Traum::N,вӧтасьӧм,songe
136,Traum::N,sapnis,songe
137,Himmel::N,енэж,ciel
138,Himmel::N,debess,ciel
139,Sonne::N,шонді,soleil
140,Sonne::N,saule,soleil
141,Mond::N,тӧлысь,lune
142,Mond::N,mēness,lune
143,Stern::N,кодзув,étoile
144,Stern::N,zvaigzne,étoile
145,Luft::N,сынӧд,air
146,Luft::N,gaiss,air
147,Wind::N,тӧв,vent
148,Wind::N,vējš,vent
149,Welle::N,гы,vague
150,Welle::N,vilnis,vague
151,Wasser::N,ва,eau
