,Concept_ID,ar,hi
0,Auge::N,عين,आँख
1,Auge::N,عين,चक्षु
2,Ohr::N,أذن,कान
3,Ohr::N,أذن,कर्ण
4,Nase::N,أنف,नाक
5,Nase::N,أنف,नासा
6,Mund::N,فم,मुख
7,Mund::N,فم,मुँह
8,Zahn::N,سن,दंत
9,Zahn::N,سن,दाँत
10,Zunge::N,لسان,जीभ
11,Zunge::N,لسان,ज़बान
12,Zunge::N,لسان,जिह्वा
13,Lippe::N,شفة,ओंठ
14,Lippe::N,شفة,होंठ
15,Wange::N,خد,गाल
16,Wange::N,خد,कपोल
17,Wange::N,وجنة,गाल
18,Wange::N,وجنة,कपोल
19,Gesicht::N,وجه,मुँह
20,Gesicht::N,وجه,चेहरा
21,Stirn::N,جبين,माथा
22,Stirn::N,جبين,मस्तक
23,Haar::N,شعر,बाल
24,Schnurrbart::N,شارب,मूँछें
25,Bart::N,لحية,दाढ़ी
26,Kinn::N,ذقن,चिबुक
27,Kiefer[Anatomie]::N,فك,जबड़ा
28,Kehle::N,حلق,गला
29,Hals::N,عنق,गला
30,Hals::N,عنق,गरदन
31,Hals::N,رقبة,गला
32,Hals::N,رقبة,गरदन
33,Genick::N,قفا,गरदन
34,Genick::N,قفا,ग्रीवा
35,Kopf::N,رأس,सिर
36,Kopf::N,رأس,शीर्ष
37,Rücken::N,ظهر,पीठ
38,Bauch::N,بطن,उदर
39,Nabel::N,سرة,नाभि
40,Nabel::N,سرة,ढोंढी
41,Busen::N,ثدي,कुच
42,Busen::N,ثدي,स्तन
43,Brust::N,صدر,वक्ष
44,Schulter::N,كتف,कंधा
45,Schulter::N,كتف,स्कंध
46,Arm::N,ذراع,बाँह
47,Arm::N,ذراع,बाज़ू
48,Ellenbogen::N,كوع,कुहनी
49,Hand::N,يد,हाथ
50,Hand::N,يد,हस्त
51,Handfläche::N,كف,हथेली
52,Finger::N,إصبع,उँगली
53,Finger::N,إصبع,अँगुली
54,Fingernagel::N,ظفر,नख
55,Fingernagel::N,ظفر,नाख़ून
56,Nagel[Anatomie]::N,ظفر,नख
57,Nagel[Anatomie]::N,ظفر,नाख़ून
58,Zeh::N,إصبع القدم,उँगली
59,Zeh::N,إصبع القدم,पाँव की उँगली
60,Fuß::N,قدم,चरण
61,Fuß::N,قدم,पाँव
62,Ferse::N,كعب,एड़ी
63,Knie::N,ركبة,जानु
64,Knie::N,ركبة,घुटना
65,Oberschenkel::N,فخذ,उरु
66,Bein::N,ساق,टाँग
67,Körper::N,جسم,तन
68,Körper::N,جسم,देह
69,Körper::N,جسم,शरीर
70,Haut::N,بشرة,चर्म
71,Haut::N,بشرة,त्वचा
72,Blut::N,دم,लहू
73,Blut::N,دم,ख़ून
74,Ader::N,عرق,रग
75,Ader::N,عرق,शिरा
76,Sehne::N,طنب,कंडरा
77,Sehne::N,طنب,स्नायु
78,Knochen::N,عظم,अस्थि
79,Gehirn::N,دماغ,दिमाग़
80,Gehirn::N,دماغ,मस्तिष्क
81,Herz::N,قلب,दिल
82,Herz::N,قلب,हृदय
83,Magen::N,معدة,मेदा
84,Magen::N,معدة,अमाशय
85,Leber::N,كبد,जिगर
86,Leber::N,كبد,यकृत्
87,Atem::N,نفس,दम
88,Atem::N,نفس,साँस
89,Atem::N,نفس,श्वास
90,Hunger::N,جوع,भूख
91,Hunger::N,جوع,क्षुधा
92,Träne::N,دمعة,आँसू
93,Träne::N,دمعة,अश्रु
94,Geschmack::N,طعم,स्वाद
95,Geschmack::N,طعم,ज़ायक़ा
96,Geschmack::N,مذاق,स्वाद
97,Geschmack::N,مذاق,ज़ायक़ा
98,Geruch::N,رائحة,बू
99,Geruch::N,رائحة,गंध
100,Schlaf::N,نوم,नींद
101,Schlaf::N,نوم,निद्रा
102,Schlaf::N,منام,नींद
103,Schlaf::N,منام,निद्रा
104,Traum::N,حلم,सपना
105,Traum::N,حلم,स्वप्न
106,Himmel::N,سماء,आकाश
107,Himmel::N,سماء,आसमान
108,Sonne::N,شمس,रवि
109,Sonne::N,شمس,सूरज
110,Sonne::N,شمس,सूर्य
111,Mond::N,قمر,चाँद
112,Mond::N,قمر,चंद्र
113,Stern::N,نجم,तारा
114,Stern::N,نجم,सितारा
115,Stern::N,كوكب,तारा
116,Stern::N,كوكب,सितारा
117,Luft::N,هواء,हवा
118,Luft::N,هواء,वायु
119,Wind::N,ريح,पाद
120,Welle::N,موجة,लहर
121,Welle::N,موجة,तरंग
122,Wasser::N,ماء,जल
123,Wasser::N,ماء,पानी
124,Stein::N,حجر,पत्थर
125,Boden::N,تراب,मिट्टी
126,Erde::N,أرض,भूमि
127,Erde::N,أرض,ज़मीन
128,Staub::N,غبار,धूल
129,Rauch::N,دخان,धूआँ
130,Rauch::N,دخان,धुम्र
131,Funke::N,شرارة,चिनगारी
132,Funke::N,شرارة,स्फुलिंग
133,Feuer::N,نار,आग
134,Feuer::N,نار,आतिश
135,Feuer::N,نار,अग्नि
136,Licht::N,نور,रोशनी
137,Licht::N,نور,प्रकाश
138,Licht::N,ضوء,रोशनी
139,Licht::N,ضوء,प्रकाश
140,Schatten::N,ظل,छाया
141,Schatten::N,ظل,परछाई
142,Schatten::N,فيء,छाया
143,Schatten::N,فيء,परछाई
144,Wetter::N,جو,ऋतु
145,Wetter::N,جو,मौसम
146,Wetter::N,طقس,ऋतु
147,Wetter::N,طقس,मौसम
148,Nebel::N,ضباب,धुँध
149,Nebel::N,ضباب,कुहरा
150,Wolke::N,غيمة,मेघ
151,Wolke::N,غيمة,अभ्र
152,Wolke::N,سحابة,मेघ
153,Wolke::N,سحابة,अभ्र
154,Regen::N,مطر,मेंह
155,Regen::N,مطر,बारिश
156,Schnee::N,ثلج,हिम
157,Schnee::N,ثلج,बर्फ़
158,Eis::N,جليد,हिम
159,Eis::N,جليد,बर्फ़
160,Frost::N,صقيع,ठंड
161,Kälte::N,برد,सर्दी
162,Kälte::N,برد,शीतलता
163,Hitze::N,حر,ताप
164,Hitze::N,حر,गरमी
165,Hitze::N,حرارة,ताप
166,Hitze::N,حرارة,गरमी
167,Raureif::N,صقيع,पाला
168,Regenbogen::N,قوس قزح,इंद्र-धनुष
169,Donner::N,رعد,गरज
170,Donner::N,رعد,मेघ-गर्जन
171,Strömung::N,تيار,बहाव
172,Strömung::N,تيار,प्रवाह
173,Tropfen::N,قطرة,बूँद
174,Schaum::N,زبد,झाग
175,Schaum::N,رغوة,झाग
176,Schmutz::N,وسخ,गंद
177,Schmutz::N,وسخ,कीचड़
178,See::N,بحيرة,झील
179,See::N,بحيرة,सरोवर
180,Sumpf::N,مستنقع,दलदल
181,Sumpf::N,مستنقع,धँसान
182,Moor::N,مستنقع,झाबर
183,Moor::N,مستنقع,धँसान
184,Wiese::N,مرج,घास-स्थल
185,Wald::N,غابة,जंगल
186,Hügel::N,تل,टीला
187,Hügel::N,تل,पहाड़
188,Anhöhe::N,تل,टीला
189,Anhöhe::N,تل,पहाड़ी
190,Berg::N,جبل,पहाड़
191,Gipfel::N,قمة,शिखर
192,Höhle::N,كهف,गुहा
193,Höhle::N,كهف,गुफ़ा
194,Abhang::N,منحدر,ढाल
195,Abhang::N,منحدر,ढलान
196,Quelle::N,منبع,चश्मा
197,Bach::N,مجرى,सोता
198,Bach::N,مجرى,नदिका
199,Fluss::N,نهر,नदी
200,Fluss::N,نهر,सरिता
201,Ufer::N,ضفة,तट
202,Ufer::N,ضفة,किनारा
203,Küste::N,ساحل,समुद्र-तट
204,Festland::N,بر,महाद्वीप
205,Meer::N,بحر,सागर
206,Meer::N,بحر,समुद्र
207,Bucht::N,خليج,खाड़ी
208,Insel::N,جزيرة,टापू
209,Insel::N,جزيرة,द्वीप
210,Blume::N,زهرة,फूल
211,Blume::N,زهرة,पुष्प
212,Gras::N,حشيش,घास
213,Wurzel::N,أصل,मूल
214,Baum::N,شجرة,पेड़
215,Baum::N,شجرة,वृक्ष
216,Stamm::N,جذع,धड़
217,Rinde::N,قشرة,छाल
218,Rinde::N,قشرة,वल्कल
219,Ast::N,فرع,डाल
220,Ast::N,فرع,शाखा
221,Zweig::N,غصن,टहनी
222,Blatt::N,ورقة,पत्र
223,Blatt::N,ورقة,पत्ता
224,Birke::N,قضبان,भूर्ज
225,Kiefer[Baum]::N,صنوبرة,पाइन-वृक्ष
226,Weide[Baum]::N,صفصاف,बेंत
227,Tanne::N,شوح,फ़र
228,Tanne::N,تبوب,फ़र
229,Horn::N,قرن,सींग
230,Horn::N,قرن,विषाण
231,Feder::N,ريشة,पर
232,Feder::N,ريشة,पंख
233,Fell::N,فرو,खाल
234,Fell::N,فرو,पशु-चर्म
235,Flügel::N,جناح,पंख
236,Flügel::N,جناح,डैना
237,Klaue::N,مخلب,पंजा
238,Kralle::N,مخلب,पंजा
239,Kralle::N,مخلب,नाख़ून
240,Schwanz::N,ذيل,पूँछ
241,Ei::N,بيض,अंडा
242,Nest::N,عش,नीड़
243,Nest::N,عش,घोंसला
244,Bau::N,جحر,बिल
245,Bau::N,جحر,माँद
246,Tier::N,حيوان,पशु
247,Tier::N,حيوان,जानवर
248,Herde::N,قطيع,गल्ला
249,Kuh::N,بقرة,गौ
250,Kuh::N,بقرة,गाय
251,Bulle::N,ثور,साँड़
252,Pferd::N,خيل,अश्व
253,Pferd::N,خيل,घोड़ा
254,Schaf::N,شاة,भेड़
255,Schwein::N,خنزير,शूकर
256,Hund::N,كلب,श्वान
257,Hund::N,كلب,कुत्ता
258,Katze::N,قطة,बिल्ली
259,Bär::N,دب,रीछ
260,Bär::N,دب,भालू
261,Eichhörnchen::N,سنجاب,गिलहरी
262,Elch::N,موظ,एल्क
263,Fuchs::N,ثعلب,लोमड़ी
264,Hase::N,أرنب,खरहा
265,Hase::N,أرنب,ख़रगोश
266,Maus::N,فأرة,मूष
267,Maus::N,فأرة,चूहा
268,Wolf::N,ذئب,वृक
269,Wolf::N,ذئب,भेड़िया
270,Vogel::N,طير,पक्षी
271,Vogel::N,طير,चिड़िया
272,Schwarm::N,سرب,झुंड
273,Huhn::N,دجاجة,मुर्ग़ी
274,Hahn::N,ديك,मुर्ग़ा
275,Gans::N,وزة,हंस
276,Gans::N,وزة,हंसिनी
277,Adler::N,نسر,उक़ाब
278,Ente::N,بطة,बतख़
279,Ente::N,بطة,बत्तक
280,Eule::N,بوم,उल्लू
281,Kranich::N,كركي,सारस
282,Kranich::N,كركي,क्रौंंच
283,Krähe::N,غراب,काक
284,Kuckuck::N,وقواق,कोयल
285,Kuckuck::N,وقواق,कोकिल
286,Schwan::N,إوز عراقي,हंस
287,Schwan::N,إوز عراقي,मराल
288,Fisch::N,سمك,मछली
289,Fisch::N,سمك,मत्स्य
290,Barsch::N,فرخ أوربي,पर्च
291,Hecht::N,سمك الكراكي,पाइक
292,Schlange[Tier]::N,حية,सर्प
293,Schlange[Tier]::N,ثعبان,सर्प
294,Wurm::N,دودة,कृमि
295,Wurm::N,دودة,कीड़ा
296,Spinne::N,عنكبوت,लूता
297,Spinne::N,عنكبوت,मकड़ी
298,Ameise::N,نملة,चींटी
299,Laus::N,قملة,जूँ
300,Mücke::N,ناموسة,डाँस
301,Fliege::N,ذبابة,मक्खी
302,Fliege::N,ذبابة,मक्षिका
303,Schmetterling::N,فراشة,तितली
304,Beere::N,حبة,बेरी
305,Apfel::N,تفاح,सेब
306,Pilz::N,فطر,खुंबी
307,Zwiebel::N,بصل,प्याज़
308,Saat::N,زرع,बीज
309,Korn::N,حبة,दाना
310,Heu::N,دريس,मूखी घास
311,Schale::N,قشرة,बकला
312,Schale::N,قشرة,छिलका
313,Grube::N,نقرة,गड्ढा
314,Falle::N,فخ,जाल
315,Falle::N,فخ,फँदा
