,Concept_ID,hu,ce
0,Auge::N,szem,бӏаьрг
1,Ohr::N,fül,лерг
2,Nase::N,orr,мара
3,Mund::N,száj,бага
4,Zahn::N,fog,церг
5,Zunge::N,nyelv,мотт
6,Lippe::N,ajak,балда
7,Wange::N,orca,бесни
8,Gesicht::N,arc,юьхь
9,Stirn::N,homlok,хьаж
10,Haar::N,haj,мас
11,Schnurrbart::N,bajusz,мекх
12,Bart::N,szakáll,маж
13,Kinn::N,áll,чӏениг
14,Kiefer[Anatomie]::N,állkapocs,мочхал
15,Kehle::N,gége,къамкъарг
16,Kehle::N,torok,къамкъарг
17,Hals::N,nyak,ворта
18,Genick::N,tarkó,кӏесаркӏаг
19,Kopf::N,fő,корта
20,Kopf::N,fej,корта
21,Rücken::N,hát,букъ
22,Bauch::N,has,кийра
23,Nabel::N,köldök,цӏонга
24,Busen::N,mell,зударийн накха
25,Busen::N,kebel,зударийн накха
26,Brust::N,mell,накха
27,Schulter::N,váll,белш
28,Arm::N,kar,пхьарс
29,Ellenbogen::N,könyök,пхьаьрсан гола
30,Hand::N,kéz,куьг
31,Handfläche::N,tenyér,кераюкъ
32,Finger::N,ujj,пӏелг
33,Fingernagel::N,köröm,мӏара
34,Nagel[Anatomie]::N,köröm,мӏара
35,Zeh::N,lábujj,кога пӏелг
36,Fuß::N,láb,ког
37,Ferse::N,sarok,кӏажа
38,Knie::N,térd,гола
39,Oberschenkel::N,comb,варе
40,Bein::N,láb,ког
41,Bein::N,lábszár,ког
42,Körper::N,test,хӏума
43,Haut::N,bőr,чкъор
44,Blut::N,vér,цӏий
45,Ader::N,ér,пха
46,Sehne::N,ín,хьорзам
47,Knochen::N,csont,даьӏахк
48,Gehirn::N,agy,хье
49,Gehirn::N,agyvelő,хье
50,Herz::N,szív,дог
51,Magen::N,gyomor,зорх
52,Leber::N,máj,доӏах
53,Atem::N,lehelet,садеӏар
54,Atem::N,lélegzet,садеӏар
55,Hunger::N,éhség,мацалла
56,Träne::N,könny,бӏаьрхи
57,Geschmack::N,íz,чам
58,Geruch::N,szag,хьожа
59,Schlaf::N,álom,наб
60,Schlaf::N,alvás,наб
61,Traum::N,álom,гӏан
62,Himmel::N,ég,стигал
63,Himmel::N,menny,стигал
64,Sonne::N,nap,малх
65,Mond::N,hold,бутт
66,Stern::N,csillag,седа
67,Luft::N,levegő,xӏаваъ
68,Wind::N,szél,мох
69,Welle::N,hullám,тулгӏе
70,Wasser::N,víz,хи
71,Stein::N,kő,тӏулг
72,Boden::N,föld,цӏенкъа
73,Boden::N,talaj,цӏенкъа
74,Erde::N,föld,латта
75,Staub::N,por,чан
76,Rauch::N,füst,кӏур
77,Funke::N,szikra,суй
78,Feuer::N,tűz,цӏе
79,Licht::N,fény,серло
80,Schatten::N,árnyék,ӏиндагӏ
81,Wetter::N,idő,хенан хӏоттам
82,Wetter::N,időjárás,хенан хӏоттам
83,Nebel::N,köd,дохк
84,Wolke::N,felhő,марха
85,Regen::N,eső,догӏа
86,Schnee::N,hó,ло
87,Eis::N,jég,ша
88,Frost::N,fagy,шело
89,Kälte::N,hideg,шело
90,Hitze::N,hő,йовхо
91,Hitze::N,hőség,йовхо
92,Raureif::N,zúzmara,йис
93,Regenbogen::N,szivárvány,стелаӏад
94,Donner::N,dörgés,ткъес
95,Donner::N,mennydörgés,ткъес
96,Strömung::N,áramlat,дӏаэхар
97,Strömung::N,áramlat,дӏасалелар
98,Tropfen::N,csepp,тӏадам
99,Schaum::N,hab,чопа
100,Schaum::N,tajték,чопа
101,Schmutz::N,piszok,хатт
102,See::N,tó,ӏам
103,Sumpf::N,mocsár,уьшал
104,Moor::N,láp,уьшал
105,Wiese::N,rét,бай
106,Wiese::N,mező,бай
107,Wald::N,erdő,хьун
108,Hügel::N,domb,гу
