,Concept_ID,lv,be
0,Auge::N,син,вока
1,Auge::N,acs,вока
2,Ohr::N,пель,вуха
3,Ohr::N,auss,вуха
4,Nase::N,ныр,нос
5,Nase::N,deguns,нос
6,Mund::N,вом,рот
7,Mund::N,mute,рот
8,Zahn::N,пинь,зуб
9,Zahn::N,zobs,зуб
10,Zunge::N,кыв,язык
11,Zunge::N,mēle,язык
12,Lippe::N,вом дор,губа
13,Lippe::N,lūpa,губа
14,Wange::N,бан,шчака
15,Wange::N,vaigs,шчака
16,Gesicht::N,чужӧм,твар
17,Gesicht::N,seja,твар
18,Gesicht::N,ģīmis,твар
19,Stirn::N,плеш,лоб
20,Stirn::N,кымӧс,лоб
21,Stirn::N,piere,лоб
22,Haar::N,си,волас
23,Haar::N,си,валасы
24,Haar::N,юрси,волас
25,Haar::N,юрси,валасы
26,Haar::N,mats,волас
27,Haar::N,mats,валасы
28,Schnurrbart::N,ус,вус
29,Schnurrbart::N,ус,вусы
30,Schnurrbart::N,пыртсим,вус
31,Schnurrbart::N,пыртсим,вусы
32,Schnurrbart::N,ūsas,вус
33,Schnurrbart::N,ūsas,вусы
34,Bart::N,тош,барада
35,Bart::N,bārda,барада
36,Kinn::N,тшӧка,падбародак
37,Kinn::N,zods,падбародак
38,Kinn::N,smakrs,падбародак
39,Kiefer[Anatomie]::N,черлы,сківіца
40,Kiefer[Anatomie]::N,алака лы,сківіца
41,Kiefer[Anatomie]::N,вомкӧтш лы,сківіца
42,Kiefer[Anatomie]::N,žoklis,сківіца
43,Kehle::N,голя,горла
44,Kehle::N,rīkle,горла
45,Hals::N,сьылі,шыя
46,Hals::N,kakls,шыя
47,Genick::N,юрбӧр,патыліца
48,Genick::N,балябӧж,патыліца
49,Genick::N,sprands,патыліца
50,Kopf::N,юр,галава
51,Kopf::N,galva,галава
52,Rücken::N,мыш,спіна
53,Rücken::N,mugura,спіна
54,Bauch::N,рушку,жывот
55,Bauch::N,vēders,жывот
56,Nabel::N,гӧг,пупок
57,Nabel::N,naba,пупок
58,Busen::N,морӧс,грудзі
59,Busen::N,krūts,грудзі
60,Brust::N,морӧс,грудзі
61,Brust::N,krūts,грудзі
62,Schulter::N,пельпом,плячо
63,Schulter::N,plecs,плячо
64,Arm::N,ки,рука
65,Arm::N,roka,рука
66,Arm::N,delms,рука
67,Ellenbogen::N,гырддза,локаць
68,Ellenbogen::N,elkonis,локаць
69,Hand::N,ки,кісць
70,Hand::N,roka,кісць
71,Hand::N,plauksta,кісць
72,Handfläche::N,ки пыдӧс,далонь
73,Handfläche::N,delna,далонь
74,Handfläche::N,plauksta,далонь
75,Finger::N,чунь,палец
76,Finger::N,pirksts,палец
77,Fingernagel::N,гыж,ногаць
78,Fingernagel::N,nags,ногаць
79,Nagel[Anatomie]::N,гыж,ногаць
80,Nagel[Anatomie]::N,nags,ногаць
81,Zeh::N,кок чунь,палец
82,Zeh::N,pirksts,палец
83,Fuß::N,кок,нага
84,Fuß::N,kāja,нага
85,Ferse::N,кокбӧр,пята
86,Ferse::N,кокбӧр,пятка
87,Ferse::N,papēdis,пята
88,Ferse::N,papēdis,пятка
89,Knie::N,пидзӧс,калена
90,Knie::N,celis,калена
91,Oberschenkel::N,лядьвей,бядро
92,Oberschenkel::N,лядьвей,сцягно
93,Oberschenkel::N,бек,бядро
94,Oberschenkel::N,бек,сцягно
95,Oberschenkel::N,ciska,бядро
96,Oberschenkel::N,ciska,сцягно
97,Oberschenkel::N,augšstilbs,бядро
98,Oberschenkel::N,augšstilbs,сцягно
99,Bein::N,кок,нага
100,Bein::N,kāja,нага
101,Körper::N,туша,цела
102,Körper::N,вывтыр,цела
103,Körper::N,miesa,цела
104,Körper::N,ķermenis,цела
105,Haut::N,ку,скура
106,Haut::N,āda,скура
107,Blut::N,вир,кроў
108,Blut::N,asins,кроў
109,Ader::N,сӧн,вена
110,Ader::N,сӧн,сасуд
111,Ader::N,asinsvads,вена
112,Ader::N,asinsvads,сасуд
113,Sehne::N,вез,жыла
114,Sehne::N,вез,цеціва
115,Sehne::N,вез,сухажылле
116,Sehne::N,dzīsla,жыла
117,Sehne::N,dzīsla,цеціва
118,Sehne::N,dzīsla,сухажылле
119,Knochen::N,лы,косць
120,Knochen::N,kauls,косць
121,Gehirn::N,вем,мозг
122,Gehirn::N,smadzenes,мозг
123,Herz::N,сьӧлӧм,сэрца
124,Herz::N,sirds,сэрца
125,Magen::N,кынӧм,страўнік
126,Magen::N,kuņģis,страўнік
127,Leber::N,мус,печань
128,Leber::N,aknas,печань
129,Atem::N,лов,дыханне
130,Atem::N,elpa,дыханне
131,Hunger::N,тшыг,голад
132,Hunger::N,bads,голад
133,Hunger::N,izsalkums,голад
134,Träne::N,синва,сляза
135,Träne::N,asara,сляза
136,Geschmack::N,кӧр,смак
137,Geschmack::N,чӧсмӧс,смак
138,Geschmack::N,garša,смак
139,Geruch::N,зын,пах
140,Geruch::N,дук,пах
141,Geruch::N,smaka,пах
142,Schlaf::N,узьӧм,сон
143,Schlaf::N,miegs,сон
144,Traum::N,вӧт,сон
145,Traum::N,вӧтасьӧм,сон
146,Traum::N,sapnis,сон
147,Himmel::N,енэж,неба
148,Himmel::N,debess,неба
149,Sonne::N,шонді,сонца
150,Sonne::N,saule,сонца
151,Mond::N,тӧлысь,месяц
152,Mond::N,mēness,месяц
153,Stern::N,кодзув,зорка
154,Stern::N,zvaigzne,зорка
155,Luft::N,сынӧд,паветра
156,Luft::N,gaiss,паветра
157,Wind::N,тӧв,вецер
158,Wind::N,vējš,вецер
159,Welle::N,гы,хваля
160,Welle::N,vilnis,хваля
161,Wasser::N,ва,вада
162,Wasser::N,ūdens,вада
163,Stein::N,из,камень
164,Stein::N,akmens,камень
165,Boden::N,му,глеба
166,Boden::N,augsne,глеба
167,Erde::N,му,зямля
168,Erde::N,му-ва,зямля
169,Erde::N,zeme,зямля
170,Staub::N,бус,пыл
171,Staub::N,putekļi,пыл
172,Rauch::N,тшын,дым
173,Rauch::N,dūmi,дым
174,Funke::N,кинь,іскра
175,Funke::N,би кинь,іскра
176,Funke::N,dzirkstele,іскра
177,Feuer::N,би,агонь
178,Feuer::N,uguns,агонь
179,Licht::N,югӧр,святло
180,Licht::N,gaisma,святло
181,Schatten::N,вуджӧр,цень
182,Schatten::N,ēna,цень
183,Wetter::N,поводдя,пагода
184,Wetter::N,поводдя,надворʼе
185,Wetter::N,laiks,пагода
186,Wetter::N,laiks,надворʼе
187,Nebel::N,ру,туман
188,Nebel::N,онь,туман
189,Nebel::N,migla,туман
190,Wolke::N,кымӧр,воблака
191,Wolke::N,mākonis,воблака
192,Regen::N,зэр,дождж
193,Regen::N,lietus,дождж
194,Schnee::N,лым,снег
195,Schnee::N,sniegs,снег
196,Eis::N,йи,лёд
197,Eis::N,ledus,лёд
198,Frost::N,кӧдзыд,мароз
199,Frost::N,sals,мароз
200,Kälte::N,кӧдзыд,холад
201,Kälte::N,saltums,холад
202,Kälte::N,aukstums,холад
203,Hitze::N,пӧсь,спёка
204,Hitze::N,гожӧд,спёка
205,Hitze::N,karstums,спёка
206,Raureif::N,пуж,іней
207,Raureif::N,гыӧр,іней
208,Raureif::N,sarma,іней
209,Regenbogen::N,ӧшкамӧшка,вясёлка
210,Regenbogen::N,varavīksne,вясёлка
211,Donner::N,гым,гром
212,Donner::N,pērkons,гром
213,Strömung::N,ва ныр,цячэнне
214,Strömung::N,визувтӧм,цячэнне
215,Strömung::N,straume,цячэнне
216,Strömung::N,strāvojums,цячэнне
217,Tropfen::N,войт,кропля
218,Tropfen::N,lāse,кропля
219,Schaum::N,быг,пена
220,Schaum::N,быгзьӧм,пена
221,Schaum::N,putas,пена
222,Schmutz::N,няйт,гразь
223,Schmutz::N,dubļi,гразь
224,See::N,ты,возера
225,See::N,ezers,возера
226,Sumpf::N,гыбад,багна
227,Sumpf::N,кад,багна
228,Sumpf::N,dumbrājs,багна
229,Sumpf::N,staignājs,багна
230,Moor::N,нюр,балота
231,Moor::N,purvs,балота
232,Moor::N,muklājs,балота
233,Wiese::N,видз,луг
234,Wiese::N,pļava,луг
235,Wald::N,вӧр,лес
236,Wald::N,mežs,лес
237,Hügel::N,дзиб,узгорак
238,Hügel::N,мыльк,узгорак
239,Hügel::N,нӧрыс,узгорак
240,Hügel::N,paugurs,узгорак
241,Anhöhe::N,мыльк,узвышша
242,Anhöhe::N,нӧрыс,узвышша
243,Anhöhe::N,paugurs,узвышша
244,Berg::N,чой,гара
245,Berg::N,керӧс,гара
246,Berg::N,kalns,гара
247,Gipfel::N,чук,вяршыня
248,Gipfel::N,virsotne,вяршыня
249,Höhle::N,рудӧг,пячора
250,Höhle::N,ala,пячора
251,Abhang::N,ньывк,схіл
252,Abhang::N,бокша,схіл
253,Abhang::N,nogāze,схіл
254,Quelle::N,ӧшмӧс,крыніца
255,Quelle::N,avots,крыніца
256,Bach::N,шор,ручай
257,Bach::N,urga,ручай
258,Bach::N,strauts,ручай
259,Fluss::N,ю,рака
260,Fluss::N,upe,рака
261,Ufer::N,вадор,бераг
262,Ufer::N,krasts,бераг
263,Küste::N,вадор,узбярэжжа
264,Küste::N,piekraste,узбярэжжа
265,Festland::N,му,суша
266,Festland::N,sauszeme,суша
267,Meer::N,саридз,мора
268,Meer::N,jūra,мора
269,Bucht::N,куръя,бухта
270,Bucht::N,līcis,бухта
271,Insel::N,ді,востраў
272,Insel::N,sala,востраў
273,Blume::N,дзоридз,кветка
274,Blume::N,puķe,кветка
275,Blume::N,zieds,кветка
276,Gras::N,турун,трава
277,Gras::N,zāle,трава
278,Wurzel::N,вуж,корань
279,Wurzel::N,sakne,корань
280,Baum::N,пу,дрэва
281,Baum::N,koks,дрэва
282,Stamm::N,пучер,ствол
283,Stamm::N,stumbrs,ствол
284,Rinde::N,кырсь,кара
285,Rinde::N,miza,кара
286,Ast::N,ув,сук
287,Ast::N,zars,сук
288,Zweig::N,вож,галіна
289,Zweig::N,nozare,галіна
290,Blatt::N,кор,ліст
291,Blatt::N,lapa,ліст
292,Birke::N,кыдз,бяроза
293,Birke::N,bērzs,бяроза
294,Kiefer[Baum]::N,пожӧм,хвоя
295,Kiefer[Baum]::N,пожӧм,сасна
296,Kiefer[Baum]::N,priede,хвоя
297,Kiefer[Baum]::N,priede,сасна
298,Weide[Baum]::N,бадь,вярба
299,Weide[Baum]::N,kārkls,вярба
300,Tanne::N,коз,яліна
301,Tanne::N,egle,яліна
302,Horn::N,сюр,рог
303,Horn::N,rags,рог
304,Feder::N,гӧн,пяро
305,Feder::N,тывборд,пяро
306,Feder::N,spalva,пяро
307,Fell::N,ку,шкура
308,Fell::N,āda,шкура
309,Flügel::N,борд,крыло
310,Flügel::N,spārns,крыло
311,Klaue::N,гыж,кіпцюр
312,Klaue::N,nags,кіпцюр
313,Kralle::N,гыж,лапа
314,Kralle::N,nags,лапа
315,Schwanz::N,бӧж,хвост
316,Schwanz::N,ļipa,хвост
317,Ei::N,кольк,яйка
318,Ei::N,ola,яйка
319,Nest::N,поз,гняздо
320,Nest::N,ligzda,гняздо
321,Bau::N,горс,нара
322,Bau::N,пырмӧс,нара
323,Bau::N,гу,нара
324,Bau::N,ala,нара
325,Tier::N,пемӧс,жывёла
326,Tier::N,dzīvnieks,жывёла
327,Herde::N,стада,статак
328,Herde::N,кельӧб,статак
329,Herde::N,ganāmpulks,статак
330,Kuh::N,мӧс,карова
331,Kuh::N,govs,карова
332,Bulle::N,ӧш,бык
333,Bulle::N,bullis,бык
334,Pferd::N,вӧв,конь
335,Pferd::N,zirgs,конь
336,Schaf::N,ыж,авечка
337,Schaf::N,aita,авечка
338,Schwein::N,порсь,свіння
339,Schwein::N,cūka,свіння
340,Hund::N,пон,сабака
341,Hund::N,suns,сабака
342,Katze::N,кань,кошка
343,Katze::N,kaķis,кошка
344,Bär::N,ош,мядзведзь
345,Bär::N,lācis,мядзведзь
346,Eichhörnchen::N,ур,вавёрка
347,Eichhörnchen::N,vāvere,вавёрка
348,Elch::N,йӧра,лось
349,Elch::N,alnis,лось
350,Fuchs::N,руч,ліса
351,Fuchs::N,lapsa,ліса
352,Hase::N,кӧч,заяц
353,Hase::N,zaķis,заяц
354,Maus::N,шыр,мыш
355,Maus::N,pele,мыш
356,Wolf::N,кӧин,воўк
357,Wolf::N,vilks,воўк
358,Vogel::N,кай,птах
359,Vogel::N,кай,птушка
360,Vogel::N,лэбач,птах
361,Vogel::N,лэбач,птушка
362,Vogel::N,putns,птах
363,Vogel::N,putns,птушка
364,Schwarm::N,чукӧр,чарада
365,Schwarm::N,spiets,чарада
366,Huhn::N,курӧг,курыца
367,Huhn::N,vista,курыца
368,Hahn::N,петук,певень
369,Hahn::N,gailis,певень
370,Gans::N,дзодзӧг,гусь
371,Gans::N,zoss,гусь
372,Adler::N,кутш,арол
373,Adler::N,ērglis,арол
374,Ente::N,утка,качка
375,Ente::N,pīle,качка
376,Eule::N,сюзь,сава
377,Eule::N,pūce,сава
378,Kranich::N,тури,жораў
379,Kranich::N,тури,журавель
380,Kranich::N,dzērve,жораў
381,Kranich::N,dzērve,журавель
382,Krähe::N,рака,варона
383,Krähe::N,vārna,варона
384,Kuckuck::N,кӧк,зязюля
385,Kuckuck::N,dzeguze,зязюля
386,Schwan::N,юсь,лебедзь
387,Schwan::N,gulbis,лебедзь
388,Fisch::N,чери,рыба
389,Fisch::N,zivs,рыба
390,Barsch::N,ёкыш,акунь
391,Barsch::N,asaris,акунь
392,Hecht::N,сир,шчупак
393,Hecht::N,līdaka,шчупак
394,Schlange[Tier]::N,кый,змяя
395,Schlange[Tier]::N,čūska,змяя
396,Wurm::N,номыр,чарвяк
397,Wurm::N,tārps,чарвяк
398,Spinne::N,черань,павук
399,Spinne::N,zirneklis,павук
400,Ameise::N,кодзувкот,мурашка
401,Ameise::N,skudra,мурашка
402,Laus::N,той,вош
403,Laus::N,uts,вош
404,Mücke::N,ном,камар
405,Mücke::N,ods,камар
406,Fliege::N,гут,муха
407,Fliege::N,muša,муха
408,Schmetterling::N,бобув,матыль
409,Schmetterling::N,tauriņš,матыль
410,Beere::N,тусь,ягада
411,Beere::N,вотӧс,ягада
412,Beere::N,oga,ягада
413,Apfel::N,яблӧг,яблык
414,Apfel::N,ābols,яблык
415,Pilz::N,тшак,грыб
416,Pilz::N,sēne,грыб
417,Zwiebel::N,луккок,цыбуля
418,Zwiebel::N,йӧнгыль,цыбуля
419,Zwiebel::N,sīpols,цыбуля
420,Saat::N,тусь,семя
421,Saat::N,кӧйдыс,семя
422,Saat::N,sēkla,семя
423,Korn::N,тусь,зерне
424,Korn::N,grauds,зерне
425,Heu::N,турун,сена
426,Heu::N,siens,сена
427,Schale::N,кор,шалупінне
428,Schale::N,čaula,шалупінне
429,Schale::N,čaumala,шалупінне
430,Grube::N,гу,яма
431,Grube::N,bedre,яма
432,Falle::N,лэч,пастка
433,Falle::N,slazds,пастка
434,Falle::N,lamatas,пастка
435,Schlinge::N,лэч,сіло
436,Schlinge::N,cilpa,сіло
437,Spur::N,туй,след
438,Spur::N,pēda,след
439,Asche::N,пӧм,попел
440,Asche::N,pelni,попел
441,Dreck::N,няйт,бруд
442,Dreck::N,dubļi,бруд
443,Eisen::N,кӧрт,жалеза
444,Eisen::N,dzelzs,жалеза
445,Gold::N,зарни,золата
446,Gold::N,zelts,золата
447,Silber::N,эзысь,сребра
448,Silber::N,sudrabs,сребра
449,Kohle::N,шом,вугаль
