,Concept_ID,la,ar
0,Auge::N,oculus,عين
1,Ohr::N,auris,أذن
2,Nase::N,nasus,أنف
3,Mund::N,os,فم
4,Zahn::N,dens,سن
5,Zunge::N,lingua,لسان
6,Lippe::N,labrum,شفة
7,Wange::N,gena,خد
8,Wange::N,gena,وجنة
9,Gesicht::N,vultus,وجه
10,Stirn::N,frons,جبين
11,Haar::N,capillus,شعر
12,Schnurrbart::N,barba labri superioris,شارب
13,Bart::N,barba,لحية
14,Kinn::N,mentum,ذقن
15,Kiefer[Anatomie]::N,mala,فك
16,Kehle::N,iugulums,حلق
17,Hals::N,collum,عنق
18,Hals::N,collum,رقبة
19,Genick::N,cervices,قفا
20,Kopf::N,caput,رأس
21,Rücken::N,tergum,ظهر
22,Bauch::N,venter,بطن
23,Nabel::N,umbilicus,سرة
24,Busen::N,sinus,ثدي
25,Brust::N,pectus,صدر
26,Schulter::N,umerus,كتف
27,Arm::N,bracchium,ذراع
28,Ellenbogen::N,cubitum,كوع
29,Hand::N,manus,يد
30,Handfläche::N,palma,كف
31,Finger::N,digitus,إصبع
32,Fingernagel::N,unguiculus,ظفر
33,Nagel[Anatomie]::N,unguis,ظفر
34,Zeh::N,digitus,إصبع القدم
35,Fuß::N,pes,قدم
36,Ferse::N,calx,كعب
37,Knie::N,genu,ركبة
38,Oberschenkel::N,femur,فخذ
39,Bein::N,crus,ساق
40,Körper::N,corpus,جسم
41,Haut::N,cutis,بشرة
42,Haut::N,pellis,بشرة
43,Blut::N,sanguis,دم
44,Ader::N,vena,عرق
45,Sehne::N,nervus,طنب
46,Knochen::N,os,عظم
47,Gehirn::N,cerebrum,دماغ
48,Herz::N,cor,قلب
49,Herz::N,animus,قلب
50,Magen::N,stomachus,معدة
51,Leber::N,iecur,كبد
52,Atem::N,spiritus,نفس
53,Hunger::N,fames,جوع
54,Träne::N,lacrima,دمعة
55,Geschmack::N,sapor,طعم
56,Geschmack::N,sapor,مذاق
57,Geschmack::N,gustus,طعم
58,Geschmack::N,gustus,مذاق
59,Geruch::N,odor,رائحة
60,Schlaf::N,somnus,نوم
61,Schlaf::N,somnus,منام
62,Traum::N,somnium,حلم
63,Himmel::N,caelum,سماء
64,Sonne::N,sol,شمس
65,Mond::N,luna,قمر
66,Stern::N,sidus,نجم
67,Stern::N,sidus,كوكب
68,Stern::N,stella,نجم
69,Stern::N,stella,كوكب
70,Luft::N,aer,هواء
71,Wind::N,ventus,ريح
72,Welle::N,unda,موجة
73,Wasser::N,aqua,ماء
74,Stein::N,lapis,حجر
75,Boden::N,solum,تراب
76,Erde::N,terra,أرض
77,Staub::N,pulvis,غبار
78,Rauch::N,fumus,دخان
79,Funke::N,scintilla,شرارة
80,Feuer::N,ignis,نار
81,Licht::N,lux,نور
82,Licht::N,lux,ضوء
83,Licht::N,lumen,نور
84,Licht::N,lumen,ضوء
85,Schatten::N,umbra,ظل
86,Schatten::N,umbra,فيء
87,Wetter::N,caelum,جو
88,Wetter::N,caelum,طقس
89,Wetter::N,tempestas,جو
90,Wetter::N,tempestas,طقس
91,Nebel::N,nebula,ضباب
92,Wolke::N,nubes,غيمة
93,Wolke::N,nubes,سحابة
94,Regen::N,imber,مطر
95,Regen::N,pluvia,مطر
96,Schnee::N,nix,ثلج
97,Eis::N,glacies,جليد
98,Frost::N,gelu,صقيع
99,Kälte::N,frigus,برد
100,Hitze::N,calor,حر
101,Hitze::N,calor,حرارة
102,Hitze::N,aestus,حر
103,Hitze::N,aestus,حرارة
104,Raureif::N,pruina,صقيع
105,Regenbogen::N,arcus,قوس قزح
106,Donner::N,tonitrus,رعد
107,Strömung::N,fluctus,تيار
108,Tropfen::N,gutta,قطرة
109,Schaum::N,spuma,زبد
110,Schaum::N,spuma,رغوة
111,Schmutz::N,sordes,وسخ
112,Schmutz::N,squalor,وسخ
113,See::N,lacus,بحيرة
114,Sumpf::N,palus,مستنقع
115,Moor::N,palus,مستنقع
116,Wiese::N,pratum,مرج
117,Wald::N,silva,غابة
118,Hügel::N,collis,تل
119,Anhöhe::N,specula,تل
120,Berg::N,mons,جبل
121,Gipfel::N,vertex,قمة
122,Höhle::N,caverna,كهف
123,Höhle::N,spelunca,كهف
124,Abhang::N,declivum,منحدر
125,Quelle::N,fons,منبع
126,Bach::N,rivus,مجرى
127,Fluss::N,flumen,نهر
