,Concept_ID,sq,cs
0,Auge::N,sy,oko
1,Ohr::N,vesh,ucho
2,Nase::N,hundë,nos
3,Mund::N,gojë,pusa
4,Zahn::N,dhëmb,zub
5,Zunge::N,gjuhë,jazyk
6,Lippe::N,buzë,ret
7,Wange::N,faqe,tvář
8,Wange::N,mollëz,tvář
9,Gesicht::N,fytyrë,obličej
10,Stirn::N,ballë,čelo
11,Haar::N,flokë,vlas
12,Haar::N,flokë,vlasy
13,Schnurrbart::N,mustaqe,kníry
14,Bart::N,mjekër,vousy
15,Kinn::N,mjekër,brada
16,Kiefer[Anatomie]::N,nofull,čelist
17,Kehle::N,fyt,hrdlo
18,Kehle::N,grykë,hrdlo
19,Hals::N,qafë,krk
20,Genick::N,arrëz,týl
21,Kopf::N,kokë,hlava
22,Rücken::N,kurriz,záda
23,Rücken::N,kurriz,hřbet
24,Bauch::N,bark,břicho
25,Nabel::N,kërthizë,pupek
26,Busen::N,gji,ňadra
27,Brust::N,gjoks,prsa
28,Brust::N,kraharor,prsa
29,Schulter::N,sup,plece
30,Schulter::N,sup,rameno
31,Schulter::N,krah,plece
32,Schulter::N,krah,rameno
33,Arm::N,krah,ruka
34,Ellenbogen::N,bërryl,loket
35,Hand::N,dorë,ruka
36,Handfläche::N,pëllëmbë,dlaň
37,Finger::N,gisht,prst
38,Fingernagel::N,thua,nehet
39,Nagel[Anatomie]::N,thua,nehet
40,Zeh::N,gisht i këmbës,prst u nohy
41,Fuß::N,këmbë,noha
42,Ferse::N,thembër,pata
43,Knie::N,gju,koleno
44,Oberschenkel::N,kofshë,stehno
45,Bein::N,këmbë,noha
46,Körper::N,trup,tělo
47,Haut::N,lëkurë,kůže
48,Blut::N,gjak,krev
49,Ader::N,venë,céva
50,Sehne::N,dell,šlacha
51,Knochen::N,asht,kost
52,Knochen::N,kockë,kost
53,Gehirn::N,tru,mozek
54,Herz::N,zemër,srdce
55,Magen::N,stomak,žaludek
56,Leber::N,mëlçi,játra
57,Atem::N,frymë,dech
58,Hunger::N,uri,hlad
59,Träne::N,lot,slza
60,Geschmack::N,shije,vkus
61,Geruch::N,erë,vůně
62,Geruch::N,erë,zápach
63,Schlaf::N,gjumë,spánek
64,Traum::N,ëndërr,sen
65,Himmel::N,qiell,nebe
66,Sonne::N,diell,slunce
67,Mond::N,hënë,měsíc
68,Stern::N,yll,hvězda
69,Luft::N,ajër,vzduch
70,Wind::N,erë,vítr
71,Welle::N,valë,vlna
72,Welle::N,dallgë,vlna
73,Wasser::N,ujë,voda
74,Stein::N,gur,kámen
75,Boden::N,tokë,půda
76,Boden::N,truall,půda
77,Erde::N,dhe,země
78,Erde::N,baltë,země
79,Staub::N,pluhur,prach
80,Rauch::N,tym,dým
81,Rauch::N,tym,kouř
82,Funke::N,xixë,jiskra
83,Funke::N,shkëndijë,jiskra
84,Feuer::N,zjarr,oheň
85,Licht::N,dritë,světlo
86,Schatten::N,hije,stín
87,Wetter::N,mot,počasí
88,Nebel::N,mjegull,mlha
89,Wolke::N,re,mrak
90,Wolke::N,re,oblak
91,Regen::N,shi,déšť
92,Schnee::N,borë,sníh
93,Eis::N,akull,led
94,Frost::N,ngricë,mráz
95,Kälte::N,të ftohtë,chlad
96,Hitze::N,vapë,horko
97,Hitze::N,nxehtësi,horko
98,Raureif::N,cikmë,jinovatka
99,Regenbogen::N,ylber,duha
100,Donner::N,gjëmim,hrom
101,Donner::N,bubullimë,hrom
102,Strömung::N,rrymë,proudění
103,Tropfen::N,pikë,kapka
104,Schaum::N,shkumë,pěna
105,Schmutz::N,baltë,špína
106,See::N,liqen,jezero
107,Sumpf::N,batak,močál
108,Sumpf::N,batak,bažina
109,Moor::N,kënetë,bažina
110,Moor::N,kënetë,slatina
111,Wiese::N,livadh,louka
112,Wald::N,pyll,les
113,Hügel::N,kodër,kopec
114,Anhöhe::N,bregore,pahorek
115,Berg::N,mal,hora
116,Gipfel::N,kulm,vrchol
117,Höhle::N,shpellë,jeskyně
118,Höhle::N,zgafelle,jeskyně
119,Abhang::N,shpat,svah
120,Abhang::N,shpat,stráň
121,Abhang::N,tatëpjetë,svah
122,Abhang::N,tatëpjetë,stráň
123,Quelle::N,krua,pramen
124,Quelle::N,burim,pramen
125,Bach::N,virua,potok
126,Fluss::N,lumë,řeka
127,Ufer::N,breg,břeh
128,Küste::N,anëdet,pobřeží
129,Küste::N,bregdet,pobřeží
130,Festland::N,kontinent,souš
131,Festland::N,kontinent,pevnina
132,Meer::N,det,moře
133,Bucht::N,gji deti,záliv
134,Bucht::N,gji deti,zátoka
135,Insel::N,ishull,ostrov
136,Insel::N,ujdhesë,ostrov
137,Blume::N,lule,květina
138,Gras::N,bar,tráva
139,Wurzel::N,rrënjë,kořen
140,Baum::N,pemë,strom
141,Stamm::N,trung,kmen
142,Rinde::N,lëvore,kůra
143,Ast::N,degë,větev
144,Zweig::N,bisk,větev
145,Blatt::N,fletë,lupen
146,Blatt::N,gjethe,lupen
147,Birke::N,mështekën,bříza
148,Kiefer[Baum]::N,pishë,sosna
149,Kiefer[Baum]::N,pishë,borovice
150,Weide[Baum]::N,shelg,vrba
151,Tanne::N,bredh,jedle
152,Horn::N,bri,roh
153,Feder::N,pupël,pero
154,Fell::N,lëkurë,srst
155,Flügel::N,krah,křídlo
156,Flügel::N,fletë,křídlo
157,Klaue::N,kthetër,dráp
158,Klaue::N,kthetër,pazneht
159,Kralle::N,thua,dráp
160,Kralle::N,kthetër,dráp
161,Schwanz::N,bisht,ocas
162,Ei::N,vezë,vejce
163,Nest::N,fole,hnízdo
164,Bau::N,strofkë,nora
165,Tier::N,kafshë,zvíře
166,Herde::N,kope,stádo
167,Herde::N,grigjë,stádo
168,Kuh::N,lopë,kráva
169,Bulle::N,dem,býk
170,Pferd::N,kalë,kůň
171,Schaf::N,dele,ovce
172,Schwein::N,derr,vepř
173,Schwein::N,derr,prase
174,Hund::N,qen,pes
175,Katze::N,mace,kočka
176,Bär::N,ari,medvěd
177,Eichhörnchen::N,ketër,veverka
178,Elch::N,dre brilopatë,los
179,Fuchs::N,dhelpër,liška
180,Hase::N,lepur,zajíc
181,Maus::N,mi,myš
182,Wolf::N,ujk,vlk
183,Vogel::N,zog,pták
184,Vogel::N,shpend,pták
185,Schwarm::N,luzmë,roj
186,Schwarm::N,luzmë,hejno
187,Huhn::N,pulë,kuře
188,Huhn::N,pulë,slepice
189,Hahn::N,gjel,kohout
190,Hahn::N,këndes,kohout
191,Gans::N,patë,husa
192,Adler::N,shqiponjë,orel
193,Ente::N,rosë,kachna
194,Eule::N,buf,sova
195,Kranich::N,lejlek,jeřáb
196,Kranich::N,kurrillë,jeřáb
197,Krähe::N,sorrë,vrána
198,Kuckuck::N,qyqe,kukačka
199,Schwan::N,mjellmë,labuť
200,Fisch::N,peshk,ryba
201,Barsch::N,purtekë,okoun
202,Hecht::N,mlysh,štika
203,Schlange[Tier]::N,gjarpër,had
204,Wurm::N,krimb,červ
205,Spinne::N,marimangë,pavouk
206,Ameise::N,thnegël,mravenec
207,Ameise::N,milingonë,mravenec
208,Laus::N,morr,veš
209,Mücke::N,kunup,komár
210,Mücke::N,mushkonjë,komár
211,Fliege::N,mizë,moucha
212,Schmetterling::N,flutur,motýl
213,Beere::N,frutë,bobule
214,Beere::N,manaferrë,bobule
215,Apfel::N,mollë,jablko
216,Pilz::N,kërpudhë,houba
217,Zwiebel::N,qepë,cibule
218,Saat::N,farë,osivo
219,Korn::N,grurë,zrno
220,Korn::N,kokërr,zrno
221,Heu::N,sanë,seno
222,Schale::N,lëkurë,slupka
223,Schale::N,lëkurë,skořápka
224,Grube::N,gropë,jáma
225,Falle::N,kurth,past
226,Falle::N,kurth,léčka
227,Falle::N,grackë,past
228,Falle::N,grackë,léčka
229,Schlinge::N,nyjë,smyčka
230,Spur::N,gjurmë,stopa
231,Asche::N,hi,popel
232,Dreck::N,baltë,špína
233,Eisen::N,hekur,železo
234,Gold::N,ar,zlato
235,Gold::N,flori,zlato
236,Silber::N,argjend,stříbro
237,Kohle::N,qymyr,uhlí
238,Glas::N,qelq,sklo
239,Lehm::N,argjilë,jíl
240,Lehm::N,argjilë,hlína
241,Sand::N,rërë,písek
242,Mensch::N,njeri,člověk
243,Mann::N,burrë,muž
244,Mann::N,mashkull,muž
245,Frau::N,grua,žena
246,Frau::N,femër,žena
247,Kind::N,kalama,dítě
248,Junge::N,djalë,hoch
249,Junge::N,djalë,chlapec
250,Mädchen::N,gocë,děvče
251,Mädchen::N,vajzë,děvče
252,Familie::N,familje,rodina
253,Großvater::N,gjysh,děd
254,Großvater::N,gjysh,dědeček
255,Großmutter::N,gjyshe,babička
256,Eltern::N,prindër,rodiče
257,Vater::N,atë,otec
258,Mutter::N,nënë,matka
259,Sohn::N,bir,syn
260,Tochter::N,bijë,dcera
261,Bruder::N,vëlla,bratr
262,Schwester::N,motër,sestra
263,Onkel::N,dajë,strýc
264,Onkel::N,xhaxha,strýc
265,Tante::N,teze,teta
266,Tante::N,hallë,teta
267,Ehemann::N,burrë,choť
268,Ehemann::N,burrë,manžel
269,Ehemann::N,bashkëshort,choť
270,Ehemann::N,bashkëshort,manžel
271,Ehefrau::N,grua,choť
272,Ehefrau::N,grua,manželka
273,Ehefrau::N,bashkëshorte,choť
274,Ehefrau::N,bashkëshorte,manželka
275,Freude::N,gaz,radost
276,Freude::N,gëzim,radost
277,Gelächter::N,qeshje,smích
278,Glück::N,lumturi,štěstí
279,Kummer::N,brengë,žal
280,Kummer::N,brengë,trápení
281,Kummer::N,pikëllim,žal
282,Kummer::N,pikëllim,trápení
283,Wunsch::N,dëshirë,přání
284,Lust::N,epsh,chuť
285,Lust::N,dashuri,chuť
286,Geist::N,frymë,duch
287,Geist::N,shpirt,duch
288,Gedanke::N,ide,myšlenka
289,Gedanke::N,mendim,myšlenka
290,Gedächtnis::N,kujtesë,paměť
291,Verstand::N,mend,rozum
292,Sinn::N,kuptim,smysl
293,Grund::N,arsye,důvod
294,Wahrheit::N,vërtetë,pravda
295,Gespräch::N,bisedim,rozhovor
296,Märchen::N,përrallë,pohádka
297,Erzählung::N,tregim,povídka
298,Nachricht::N,lajm,zpráva
299,Neuigkeit::N,risi,novina
300,Neuigkeit::N,risi,novinka
301,Name::N,emër,jméno
302,Rätsel::N,gjëzë,hádanka
303,Rätsel::N,gjëegjëzë,hádanka
304,Rede::N,fjalim,řeč
305,Rede::N,fjalim,proslov
306,Sprache::N,gjuhë,řeč
307,Sprache::N,gjuhë,jazyk
308,Stimme::N,zë,hlas
309,Wort::N,fjalë,slovo
310,Zeichen::N,shenjë,znamení
311,Ruf::N,thirrmë,zavolání
312,Lärm::N,zhurmë,hluk
313,Laut::N,tingull,zvuk
314,Ton::N,ton,tón
315,Lied::N,këngë,píseň
316,Ruhe::N,qetësi,klid
317,Ruhe::N,qetësi,pokoj
318,Leute::N,botë,lidé
319,Leute::N,njerëz,lidé
320,Volk::N,popull,národ
321,Arbeit::N,punë,práce
322,Gast::N,mik,host
323,Gast::N,mysafir,host
324,Geschenk::N,dhuratë,dar
325,Geschenk::N,peshqesh,dar
326,Spiel::N,lojë,hra
327,Gesellschaft::N,shoqëri,společnost
328,Hilfe::N,ndihmë,pomoc
329,Freund::N,mik,přítel
330,Kamerad::N,shok,kamarád
331,Angelegenheit::N,punë,záležitost
332,Anzahl::N,sasi,počet
333,Art::N,lloj,druh
334,Stück::N,copë,kus
335,Stück::N,copë,kousek
336,Teil::N,pjesë,díl
337,Teil::N,pjesë,část
338,Hälfte::N,gjysmë,půl
339,Kreis::N,qark,kruh
340,Kreis::N,rreth,kruh
341,Kreuz::N,kryq,kříž
342,Linie::N,vijë,linka
343,Strich::N,vizë,čára
344,Strich::N,vizë,čárka
345,Abstand::N,distancë,vzdálenost
346,Entfernung::N,largim,vzdálenost
347,Gegend::N,vise,krajina
348,Gegend::N,krahinë,krajina
349,Platz::N,shesh,prostor
350,Ort::N,vend,místo
351,Seite::N,anë,strana
352,Mitte::N,mes,střed
353,Mitte::N,mes,prostředek
354,Gegenstand::N,send,předmět
355,Sache::N,gjë,věc
356,Sache::N,send,věc
357,Rand::N,qoshe,kraj
358,Rand::N,qoshe,okraj
359,Kante::N,teh,hrana
360,Ecke::N,qoshe,roh
361,Spitze::N,majë,hrot
362,Spitze::N,majë,špička
363,Ende::N,skaj,konec
364,Ende::N,bisht,konec
365,Loch::N,vrimë,díra
366,Winkel::N,kënd,kout
367,Muster::N,mostër,vzor
368,Größe::N,madhësi,velikost
369,Länge::N,gjatësi,délka
370,Höhe::N,lartësi,výška
371,Gewicht::N,peshë,váha
372,Menge::N,sasi,množství
373,Haufen::N,grumbull,kupa
374,Haufen::N,grumbull,hromada
375,Reihe::N,radhë,řada
376,Reihe::N,radhë,řádek
377,Reihe::N,rresht,řada
378,Reihe::N,rresht,řádek
379,Boot::N,barkë,člun
380,Boot::N,lundër,člun
381,Ruder::N,rrem,veslo
382,Schlitten::N,sajë,sáně
383,Ski::N,ski,lyže
384,Lagerfeuer::N,flakadan,táborák
385,Lagerfeuer::N,zjarr i madh,táborák
386,Last::N,barrë,náklad
387,Last::N,barrë,břemeno
388,Gang::N,ecje,chůze
389,Gang::N,ecje,chodba
390,Schritt::N,hap,krok
391,Norden::N,veri,sever
392,Süden::N,jug,jih
393,Westen::N,perëndim,západ
394,Osten::N,lindje,východ
395,Holz::N,dru,dřevo
396,Brett::N,dërrasë,prkno
397,Platte::N,pllakë,deska
398,Stütze::N,shtyllë,opěra
399,Stütze::N,mbështetesë,opěra
400,Stange::N,shufër,tyč
401,Stange::N,shufër,tyčka
402,Stock::N,dajak,hůlka
403,Stab::N,shkop,hůl
404,Rohr::N,tub,trubka
405,Haus::N,shtëpi,dům
406,Heim::N,konak,domov
407,Heim::N,shtëpi,domov
408,Ofen::N,sobë,kamna
409,Ofen::N,stufë,kamna
410,Fußboden::N,dysheme,podlaha
411,Tisch::N,tryezë,stůl
412,Stuhl::N,karrige,židle
413,Wiege::N,djep,kolébka
414,Bett::N,shtrat,postel
415,Regal::N,raft,regál
416,Regal::N,raft,police
417,Kiste::N,kuti,bedna
418,Fenster::N,dritare,okno
419,Tür::N,derë,dveře
420,Tor::N,portë,vrata
421,Zaun::N,gardh,plot
422,Dach::N,çati,střecha
423,Leiter::N,shkallë,žebřík
424,Besen::N,fshesë,koště
425,Besen::N,fshesë,smeták
426,Spaten::N,lopatë,rýč
427,Schaufel::N,qyrek,lopata
428,Gabel::N,pirun,vidlička
429,Löffel::N,lugë,lžíce
430,Messer::N,thikë,nůž
431,Nagel::N,gozhdë,hřebík
432,Netz::N,rrjetë,síť
433,Haken::N,grep,hák
434,Haken::N,grremç,hák
435,Griff::N,dorak,držadlo
436,Griff::N,dorezë,držadlo
437,Schloss::N,bravë,zámek
438,Bild::N,tablo,obraz
439,Bild::N,pikturë,obraz
440,Figur::N,figurë,figura
441,Puppe::N,kukull,panenka
442,Beutel::N,qese,pytlík
443,Beutel::N,trastë,pytlík
444,Bündel::N,deng,svazek
445,Tasche::N,çantë,taška
446,Tasche::N,çantë,brašna
447,Eimer::N,kovë,kýbl
448,Eimer::N,kovë,vědro
449,Deckel::N,kapak,víko
450,Deckel::N,kapak,příklop
451,Deckel::N,mbulesë,víko
452,Deckel::N,mbulesë,příklop
453,Geschirr::N,enë,nádobí
454,Sack::N,thes,pytel
455,Sack::N,torbë,pytel
456,Tasse::N,filxhan,šálek
457,Topf::N,kusi,hrnec
458,Topf::N,tenxhere,hrnec
459,Kessel::N,kazan,kotel
460,Essen::N,ngrënie,jídlo
461,Nahrung::N,ushqim,strava
462,Nahrung::N,ushqim,potrava
463,Speise::N,gatesë,jídlo
464,Fleisch::N,mish,maso
465,Getreide::N,drithë,obilí
466,Brei::N,qull,kaše
467,Brot::N,bukë,chléb
468,Scheibe::N,fetë,krajíc
469,Fett::N,lyrë,tuk
470,Fett::N,lyrë,omastek
471,Fett::N,yndyrë,tuk
472,Fett::N,yndyrë,omastek
473,Butter::N,gjalpë,máslo
474,Öl::N,vaj,olej
475,Salz::N,kripë,sůl
476,Suppe::N,supë,polévka
477,Suppe::N,çorbë,polévka
478,Honig::N,mjaltë,med
479,Milch::N,qumësht,mléko
480,Tee::N,çaj,čaj
481,Leder::N,lëkurë,kůže
482,Wolle::N,lesh,vlna
483,Stoff::N,pëlhurë,látka
484,Nadel::N,gjilpërë,jehla
485,Faden::N,pe,nit
486,Faden::N,fije,nit
487,Knopf::N,kopsë,knoflík
488,Knoten::N,komb,uzel
489,Farbe::N,bojë,barva
490,Kleidung::N,veshje,šaty
491,Kleidung::N,veshje,šatstvo
492,Hemd::N,këmishë,košile
493,Kragen::N,jakë,límec
494,Ärmel::N,mëngë,rukáv
495,Hose::N,brekë,kalhoty
496,Gürtel::N,rrip,pás
497,Gürtel::N,rrip,opasek
498,Mütze::N,kësulë,čepice
499,Schuh::N,këpucë,bota
500,Stiefel::N,çizme,holínka
501,Ring::N,unazë,prsten
502,Band::N,shirit,pásek
503,Kamm::N,krehër,hřeben
504,Spiegel::N,pasqyrë,zrcadlo
505,Riemen::N,rrip,řemen
506,Schnur::N,litar,šňůra
507,Schnur::N,cikomë,šňůra
508,Leine::N,rrip,vodítko
509,Decke::N,batanije,pokrývka
510,Decke::N,batanije,přikrývka
511,Kissen::N,jastëk,polštář
512,Tuch::N,shami,šátek
513,Handtuch::N,peshqir,ručník
514,Kraft::N,forcë,síla
515,Stärke::N,koll,síla
516,Gesundheit::N,shëndet,zdraví
517,Krankheit::N,sëmundje,nemoc
518,Krankheit::N,sëmundje,choroba
519,Schmerz::N,dhimbje,bolest
520,Wunde::N,plagë,rána
521,Fieber::N,ethe,horečka
522,Arznei::N,ilaç,lék
523,Brücke::N,urë,most
524,Brunnen::N,pus,studna
525,Weide::N,kullotë,pastva
526,Weide::N,kullotë,pastvina
527,Pfad::N,ravë,pěšina
528,Pfad::N,shteg,pěšina
529,Weg::N,udhë,cesta
530,Weg::N,shteg,cesta
531,Straße::N,rrugë,silnice
532,Dorf::N,fshat,vesnice
533,Dorf::N,katund,vesnice
534,Stadt::N,qytet,město
535,Brief::N,letër,dopis
536,Buch::N,libër,kniha
537,Buchstabe::N,shkronjë,písmeno
538,Zeitung::N,gazetë,noviny
539,Leben::N,jetë,život
540,Tod::N,mortje,smrt
541,Grab::N,varr,hrob
542,Kirche::N,kishë,kostel
543,Sünde::N,mëkat,hřích
544,Sünde::N,gjynah,hřích
545,Gott::N,hy,bůh
546,Gott::N,zot,bůh
547,Arbeiter::N,punëtor,dělník
548,Arbeiter::N,punëtor,pracovník
549,Chef::N,shef,šéf
550,Chef::N,shef,vedoucí
551,Chef::N,drejtues,šéf
552,Chef::N,drejtues,vedoucí
553,Meister::N,mjeshtër,mistr
554,Arzt::N,mjek,lékař
555,Arzt::N,doktor,lékař
556,Lehrer::N,mësues,učitel
557,Lehrer::N,arsimtar,učitel
558,Geld::N,para,peníze
559,Geld::N,holla,peníze
560,Geschäft::N,ujdi,obchod
561,Geschäft::N,biznes,obchod
562,Laden::N,dyqan,krám
563,Preis::N,çmim,cena
564,Ware::N,mall,zboží
565,Nutzen::N,dobi,užitek
566,Nutzen::N,leverdi,užitek
567,Reichtum::N,kamje,bohatství
568,Reichtum::N,pasuri,bohatství
569,Welt::N,botë,svět
570,Land::N,vend,země
571,Staat::N,shtet,stát
572,König::N,mbret,král
573,Macht::N,fuqi,moc
574,Macht::N,fuqi,mocnost
575,Macht::N,pushtet,moc
576,Macht::N,pushtet,mocnost
577,Grenze::N,kufi,hranice
578,Krieg::N,luftë,válka
579,Feind::N,armik,nepřítel
580,Gewalt::N,dhunë,násilí
581,Kampf::N,luftim,boj
582,Bogen[Waffe]::N,hark,luk
583,Pfeil::N,shigjetë,šíp
584,Gewehr::N,pushkë,puška
585,Gewehr::N,pushkë,ručnice
586,Fehler::N,gafë,chyba
587,Fehler::N,gabim,chyba
588,Lüge::N,gënjeshtër,lež
589,Schaden::N,dëm,škoda
590,Schaden::N,zarar,škoda
591,Unglück::N,fatkeqësi,neštěstí
592,Schuld::N,faj,vina
593,Alter::N,moshë,věk
594,Schluss::N,fund,konec
595,Zeit::N,kohë,čas
596,Tag::N,ditë,den
597,Morgen::N,mëngjes,ráno
598,Morgen::N,mëngjes,jitro
599,Mittag::N,mesditë,poledne
600,Abend::N,mbrëmje,večer
601,Nacht::N,natë,noc
602,Woche::N,javë,týden
603,Monat::N,muaj,měsíc
604,Jahr::N,vit,rok
605,Frühling::N,pranverë,jaro
606,Sommer::N,verë,léto
607,Herbst::N,vjeshtë,podzim
608,Winter::N,dimër,zima
609,Januar::N,janar,leden
610,Februar::N,shkurt,únor
611,März::N,mars,březen
612,April::N,prill,duben
613,Mai::N,maj,květen
614,Juni::N,qershor,červen
615,Juli::N,korrik,červenec
616,August::N,gusht,srpen
617,September::N,shtator,září
618,Oktober::N,tetor,říjen
619,November::N,nëntor,listopad
620,Dezember::N,dhjetor,prosinec
621,Montag::N,hënë,pondělí
622,Montag::N,hënë,pondělek
623,Dienstag::N,martë,úterý
