,Concept_ID,mn,bn
0,Auge::N,нүд,চক্ষু
1,Ohr::N,чих,কর্ণ
2,Nase::N,хамар,নাক
3,Mund::N,ам,মুখ
4,Zahn::N,шүд,দাঁত
5,Zunge::N,хэл,জিহবা
6,Lippe::N,уруул,অধর
7,Wange::N,хацар,গণ্ড
8,Gesicht::N,царай,মুখমণ্ডল
9,Gesicht::N,нүүр,মুখমণ্ডল
10,Stirn::N,дух,কপাল
11,Haar::N,үс,চুল
12,Schnurrbart::N,дээд сахал,গোঁফ
13,Schnurrbart::N,живэр сахал,গোঁফ
14,Bart::N,сахал,শ্মশ্রু
15,Kinn::N,эрүү,চিবুক
16,Kiefer[Anatomie]::N,эрүү,চোয়াল
17,Kehle::N,хоолой,কণ্ঠ
18,Hals::N,хүзүү,গল
19,Genick::N,шил,ঘাড়
20,Genick::N,хүзүү,ঘাড়
21,Kopf::N,толгой,মাথা
22,Rücken::N,ар,পৃষ্ঠ
23,Rücken::N,нуруу,পৃষ্ঠ
24,Bauch::N,хэвлий,উদর
25,Bauch::N,гэдэс,উদর
26,Nabel::N,хүйс,নাভি
27,Busen::N,хөх,স্তন
28,Brust::N,цээж,বুক
29,Schulter::N,мөр,স্কন্ধ
30,Schulter::N,бугалга,স্কন্ধ
31,Arm::N,гар,বাহু
32,Ellenbogen::N,тохой,কনুই
33,Hand::N,гар,হাত
34,Hand::N,алга,হাত
35,Handfläche::N,алга,করতল
36,Finger::N,хуруу,আঙ্গুল
37,Fingernagel::N,хурууны хумс,হাতের নখ
38,Nagel[Anatomie]::N,хумс,নখ
39,Zeh::N,хуруу,আঙ্গুল
40,Fuß::N,хөл,পা
41,Ferse::N,өсгий,গোড়ালি
42,Knie::N,өвдөг,হাঁটু
43,Oberschenkel::N,гуя,ঊরু
44,Bein::N,хөл,পা
45,Körper::N,бие,দেহ
46,Haut::N,арьс,ত্বক
47,Blut::N,цус,রক্ত
48,Ader::N,судас,শিরা
49,Sehne::N,бүлх,কণ্ডরা
50,Sehne::N,шандас,কণ্ডরা
51,Knochen::N,яс,অস্থি
52,Gehirn::N,тархи,মস্তিষ্ক
53,Herz::N,зүрх,হৃৎপিণ্ড
54,Magen::N,ходоод,পাকস্থলী
55,Leber::N,элэг,যকৃৎ
56,Atem::N,амьсгаа,শ্বাস
57,Hunger::N,өлсгөлөн,ক্ষুধা
58,Träne::N,нулимс,অশ্রু
59,Geschmack::N,амт,স্বাদ
60,Geruch::N,үнэр,গন্ধ
61,Schlaf::N,нойр,ঘুম
62,Traum::N,зүүд,স্বপ্ন
63,Himmel::N,тэнгэр,আকাশ
64,Himmel::N,огторгуй,আকাশ
65,Sonne::N,нар,সূর্য
66,Mond::N,сар,চন্দ্র
67,Stern::N,од,নক্ষত্র
68,Luft::N,агаар,বায়ু
69,Wind::N,салхи,বাতাস
70,Welle::N,долгио,ঢেউ
71,Welle::N,долгио,তরঙ্গ
72,Welle::N,давалгаа,ঢেউ
73,Welle::N,давалгаа,তরঙ্গ
74,Wasser::N,ус,জল
75,Stein::N,чулуу,ঢিল
76,Stein::N,чулуу,প্রস্তর
77,Boden::N,хөрс,ভূতল
78,Erde::N,газар,ভূমি
79,Erde::N,шороо,ভূমি
80,Staub::N,тоос,ধুলা
81,Rauch::N,утаа,ধোঁয়া
82,Funke::N,оч,স্ফুলিঙ্গ
83,Feuer::N,гал,অগ্নি
84,Licht::N,гэрэл,আলো
85,Licht::N,гэгээ,আলো
86,Schatten::N,сүүдэр,ছায়া
87,Wetter::N,тэнгэр,আবহাওয়া
88,Wetter::N,цаг уур,আবহাওয়া
89,Nebel::N,будан,কুহেলিকা
90,Wolke::N,үүл,মেঘ
91,Regen::N,бороо,বৃষ্টি
92,Schnee::N,цас,তুষার
93,Eis::N,мөс,বরফ
94,Frost::N,хүйт,তুষার
95,Kälte::N,хүйт,শৈত্য
96,Hitze::N,халуун,তাপ
97,Raureif::N,цан,তুহিন
98,Raureif::N,хяруу,তুহিন
99,Regenbogen::N,солонго,রামধনু
100,Donner::N,тэнгэрийн дуу,বজ্রধ্বনি
101,Strömung::N,урсгал,স্রোত
102,Tropfen::N,дусал,ফোঁটা
103,Schaum::N,хөөс,ফেনা
104,Schmutz::N,хир,ধুলা
105,Schmutz::N,шавхай,ধুলা
106,See::N,нуур,হ্রদ
107,Sumpf::N,намаг,জলা
108,Sumpf::N,балчиг,জলা
109,Moor::N,хүлрийн намаг,মাঠ
110,Wiese::N,нуга,তৃণভূমি
111,Wald::N,ой,বন
112,Hügel::N,болдог,পাহাড়
113,Anhöhe::N,гүвээ,টিলা
114,Berg::N,уул,পর্বত
115,Gipfel::N,орой,শীর্ষ
116,Gipfel::N,оргил,শীর্ষ
117,Höhle::N,агуй,গুহা
118,Abhang::N,хүр,ঢাল
119,Quelle::N,булаг,উৎস
120,Bach::N,горхи,ক্ষুদ্র নদী
121,Fluss::N,гол,নদী
122,Fluss::N,мөрөн,নদী
123,Ufer::N,эрэг,উপকূল
124,Küste::N,эрэг,তীর
125,Festland::N,хуурай газар,ভূমি
126,Meer::N,далай,সমুদ্র
127,Meer::N,тэнгис,সমুদ্র
128,Bucht::N,булан,উপসাগর
129,Bucht::N,далайн тохой,উপসাগর
130,Insel::N,арал,দ্বীপ
131,Blume::N,цэцэг,ফুল
132,Gras::N,өвс,ঘাস
133,Gras::N,ногоо,ঘাস
134,Wurzel::N,үндэс,শিকড়
135,Baum::N,мод,গাছ
136,Stamm::N,иш,স্কন্ধ
137,Stamm::N,гуалин,স্কন্ধ
138,Rinde::N,холтос,বল্কল
139,Ast::N,гишүү,শাখা
140,Zweig::N,салаа,ডাল
141,Blatt::N,навч,পর্ণ
142,Birke::N,хус,ভুর্জ
143,Kiefer[Baum]::N,нарс,পাইন গাছ
144,Weide[Baum]::N,уд,উইলো
145,Weide[Baum]::N,бургас,উইলো
146,Tanne::N,гачуур,দেবদারূ গাছ
147,Horn::N,эвэр,শিং
148,Feder::N,өд,পালক
149,Fell::N,арьс,রোম
150,Flügel::N,жигүүр,ডানা
151,Flügel::N,далавч,ডানা
152,Klaue::N,савар,নখর
153,Klaue::N,хумс,নখর
154,Kralle::N,савар,নখর
155,Schwanz::N,сүүл,লেজ
156,Ei::N,өндөг,ডিম
157,Nest::N,үүр,কুলায়
158,Bau::N,нүх,ডেরা
159,Bau::N,элүү,ডেরা
160,Tier::N,амьтан,জন্তু
161,Tier::N,адгуус,জন্তু
162,Herde::N,сүрэг,ঝাঁক
163,Kuh::N,үнээ,গোরু
164,Bulle::N,бух,বৃষ
165,Pferd::N,морь,ঘোড়া
166,Pferd::N,адуу,ঘোড়া
167,Schaf::N,хонь,ভেড়া
168,Schwein::N,гахай,শূকর
169,Hund::N,нохой,কুকুর
170,Katze::N,муур,বেড়াল
171,Katze::N,мигуй,বেড়াল
172,Bär::N,баавгай,ভল্লুক
173,Eichhörnchen::N,хэрэм,কাঠবিড়াল
174,Elch::N,хандгай,হরিণবিশেষ
175,Fuchs::N,үнэг,পাঁতিশিয়াল
176,Hase::N,туулай,শশক
177,Maus::N,хулгана,নেংটি ইঁদুর
178,Wolf::N,чоно,নেকড়ে
179,Vogel::N,шувуу,পক্ষী
180,Schwarm::N,сүрэг,ঝাঁক
181,Huhn::N,тахиа,মোরগ
182,Hahn::N,эр тахиа,কুক্কুট
183,Gans::N,галуу,হংসী
184,Adler::N,бүргэд,ইগল
185,Ente::N,нугас,হংসী
186,Eule::N,ууль,পেচক
187,Kranich::N,тогоруу,সারস
188,Krähe::N,хэрээ,কাক
189,Kuckuck::N,хөхөө,কোকিল
190,Schwan::N,хун,মরাল
191,Fisch::N,загас,মাছ
192,Barsch::N,алгана,মৎন্যবিশেষ
193,Hecht::N,цурхай,বানমাছ
194,Schlange[Tier]::N,могой,সর্প
195,Wurm::N,өт,কীট
196,Wurm::N,хорхой,কীট
197,Spinne::N,аалз,মাকড়সা
198,Ameise::N,шоргоолж,পিপীলিকা
199,Laus::N,бөөс,উকুন
200,Mücke::N,шумуул,মশা
201,Fliege::N,ялаа,মাছি
202,Schmetterling::N,эрвээхэй,প্রজাপতি
203,Beere::N,жимсгэнэ,বেরি
204,Apfel::N,алим,আপেল
205,Pilz::N,мөөг,ছত্রক
206,Zwiebel::N,сонгино,পিয়াজ
207,Saat::N,тариа,বীজ
208,Korn::N,үр,শস্য
209,Korn::N,мөхлөг,শস্য
210,Heu::N,өвс,খড়
211,Schale::N,хальс,খোসা
212,Grube::N,алам,গর্ত
213,Grube::N,нүх,গর্ত
214,Falle::N,хавх,ফাঁদ
215,Falle::N,занга,ফাঁদ
216,Schlinge::N,урхи,পাশ
217,Spur::N,мөр,চিহ্ন
218,Asche::N,үнс,ভস্ম
219,Dreck::N,хир,ময়লা
220,Eisen::N,төмөр,লোহা
221,Gold::N,алт,স্বর্ণ
222,Silber::N,мөнгө,রৌপ্য
223,Kohle::N,нүүрс,অঙ্গার
224,Glas::N,шил,কাচ
225,Lehm::N,шавар,মৃত্তিকা
226,Sand::N,элс,বালি
227,Mensch::N,хүн,নর
228,Mensch::N,хүн,মানুষ
229,Mann::N,эр,মানুষ
230,Mann::N,эрэгтэй,মানুষ
231,Frau::N,эмэгтэй,নারী
232,Frau::N,хатагтай,নারী
233,Kind::N,хүүхэд,বাচ্চা
234,Junge::N,хүү,ছেলে
235,Mädchen::N,охин,মেয়ে
236,Mädchen::N,бүсгүй,মেয়ে
237,Familie::N,айл,পরিবার
238,Großvater::N,өвгөн аав,মাতামহ
239,Großmutter::N,эмэг эх,মাতামহী
240,Großmutter::N,эмгээ,মাতামহী
241,Eltern::N,эцэг эх,মাতাপিতা
242,Vater::N,аав,পিতা
243,Vater::N,эцэг,পিতা
244,Mutter::N,эх,মাতা
245,Mutter::N,ээж,মাতা
246,Sohn::N,хүү,ছেলে
247,Tochter::N,охин,মেয়ে
248,Bruder::N,ах,দাদা
249,Bruder::N,дүү,দাদা
250,Schwester::N,эгч,বোন
251,Schwester::N,эгч,দিদি
252,Schwester::N,охин дүү,বোন
253,Schwester::N,охин дүү,দিদি
254,Onkel::N,авга ах,মামা
255,Onkel::N,нагац ах,মামা
256,Tante::N,авга эгч,মাসী
257,Tante::N,нагац эгч,মাসী
258,Ehemann::N,нөхөр,স্বামী
259,Ehefrau::N,эхнэр,পত্নী
260,Ehefrau::N,гэргий,পত্নী
261,Freude::N,баяр,উল্লাস
262,Freude::N,баясгалан,উল্লাস
263,Gelächter::N,инээдэм,হাসি
264,Glück::N,жаргалан,সুখ
265,Kummer::N,гаслан,দুঃখ
266,Wunsch::N,ерөөл,আকাঙ্ক্ষা
267,Lust::N,дур,বাসনা
268,Lust::N,хүсэл,বাসনা
269,Geist::N,оюун,আত্না
270,Gedanke::N,сэтгэл,চিন্তা
271,Gedächtnis::N,ой,স্মরণশক্তি
272,Gedächtnis::N,цээж,স্মরণশক্তি
273,Verstand::N,ухаан,মন
274,Sinn::N,утга,পদার্থ
275,Grund::N,учир,কারণ
276,Wahrheit::N,үнэн,সত্য
277,Gespräch::N,яриа,কথাবার্তা
278,Märchen::N,явган үлгэр,রূপকথা
279,Erzählung::N,тууж,গল্প
280,Nachricht::N,мэдээ,তথ্য
281,Neuigkeit::N,сонин,খবরাখবর
282,Name::N,нэр,নাম
283,Rätsel::N,оньсого,ধাঁধা
284,Rede::N,хэлсэн үг,বক্তৃতা
285,Sprache::N,хэл,ভাষা
286,Stimme::N,дуу,স্বর
287,Wort::N,үг,শব্দ
288,Zeichen::N,тамга,প্রতীক
289,Zeichen::N,тэмдэг,প্রতীক
290,Ruf::N,дуудлага,ডাক
291,Lärm::N,шуугиан,হৈচৈ
292,Lärm::N,чимээ,হৈচৈ
293,Laut::N,анир,ধ্বনি
294,Laut::N,дуу,ধ্বনি
295,Ton::N,авиа,স্বর
296,Ton::N,аялгуу,স্বর
297,Lied::N,дуу,গান
298,Ruhe::N,энх,শান্তি
299,Ruhe::N,тайван,শান্তি
300,Leute::N,хүмүүс,প্রজাপুঞ্জ
301,Volk::N,улс,জাতি
302,Arbeit::N,ажил,চাকরি
303,Arbeit::N,хөдөлмөр,চাকরি
304,Gast::N,зочин,অতিথি
305,Gast::N,айлчин,অতিথি
306,Geschenk::N,бэлэг,উপহার
307,Spiel::N,наадам,খেলা
308,Spiel::N,тоглоом,খেলা
309,Gesellschaft::N,хамт байх,সঙ্গিগণ
310,Hilfe::N,тусламж,সাহায্য
311,Freund::N,найз,বন্ধু
