,Concept_ID,fa,sah
0,Auge::N,چشم,харах
1,Ohr::N,گوش,кулгаах
2,Nase::N,بینی,мурун
3,Mund::N,دهان,айах
4,Zahn::N,دندان,тиис
5,Zunge::N,زبان,тыл
6,Lippe::N,لب,уос
7,Wange::N,لپ,иэдэс
8,Gesicht::N,رو,сирэй
9,Gesicht::N,چهره,сирэй
10,Stirn::N,پیشانی,сүүс
11,Haar::N,مو,баттах
12,Schnurrbart::N,سبیل,уос бытыга
13,Bart::N,ریش,сэҥийэ бытыга
14,Kinn::N,چانه,сэҥийэ
15,Kiefer[Anatomie]::N,فک,сыҥаах
16,Kiefer[Anatomie]::N,آرواره,сыҥаах
17,Kehle::N,حلق,тамах
18,Kehle::N,حلق,күөмэй
19,Hals::N,گردن,моой
20,Genick::N,پشت گردن,кэтэх
21,Kopf::N,سر,бас
22,Kopf::N,کله,бас
23,Rücken::N,پشت,көҕүс
24,Bauch::N,شکم,ис
25,Nabel::N,ناف,киин
26,Busen::N,پستان,эмиий
27,Brust::N,سینه,түөс
28,Schulter::N,دوش,сарын
29,Schulter::N,شانه,сарын
30,Arm::N,بازو,илии
31,Ellenbogen::N,آرنج,тоҕонох
32,Hand::N,دست,илии
33,Handfläche::N,کف دست,ытыс
34,Finger::N,انگشت,тарбах
35,Fingernagel::N,ناخن دست,тыҥырах
36,Nagel[Anatomie]::N,ناخن,тыҥырах
37,Zeh::N,انگشت پا,тарбах
38,Fuß::N,پا,уллуҥах
39,Ferse::N,پاشنه,тилэх
40,Knie::N,زانو,тобук
41,Knie::N,زانو,дьилбэк
42,Oberschenkel::N,ران,уллук
43,Oberschenkel::N,ران,өттүк
44,Bein::N,پا,атах
45,Bein::N,لنگ,атах
46,Körper::N,تن,бэйэ
47,Körper::N,بدن,бэйэ
48,Haut::N,پوست,тирии
49,Blut::N,خون,хаан
50,Ader::N,رگ,вена
51,Ader::N,رگ,күөх_тымыр
52,Sehne::N,زردپی,иҥиир
53,Knochen::N,استخوان,уҥуох
54,Knochen::N,استخوان,уҥгуох
55,Gehirn::N,مخ,мэйии
56,Gehirn::N,مغز,мэйии
57,Herz::N,دل,сүрэх
58,Herz::N,قلب,сүрэх
59,Magen::N,معده,куртах
60,Leber::N,کبد,быар
61,Atem::N,نفس,тыын
62,Hunger::N,گرسنگی,аас
63,Träne::N,اشک,харах уута
64,Geschmack::N,مزه,амтан
65,Geruch::N,بو,сыт
66,Schlaf::N,خواب,утуйуу
67,Traum::N,رؤیا,түүл
68,Himmel::N,فلک,халлаан
69,Himmel::N,آسمان,халлаан
70,Sonne::N,آفتاب,күн
71,Sonne::N,خورشید,күн
72,Mond::N,ماه,ый
73,Stern::N,ستاره,сулус
74,Luft::N,هوا,салгын
75,Wind::N,باد,тыал
76,Welle::N,موج,долгун
77,Welle::N,موج,балхаан
78,Wasser::N,آب,уу
79,Stein::N,سنگ,таас
80,Boden::N,زمین,сир
81,Erde::N,خاک,буор
82,Erde::N,زمین,буор
83,Staub::N,گرد,быыл
84,Staub::N,غبار,быыл
85,Rauch::N,دود,буруо
86,Funke::N,جرقه,кыым
87,Feuer::N,آتش,уот
88,Licht::N,نور,уот
89,Licht::N,روشنی,уот
90,Schatten::N,سایه,күлүк
91,Wetter::N,هوا,күн-дьыл
92,Nebel::N,مه,туман
93,Wolke::N,ابر,былыт
94,Regen::N,باران,самыыр
