,Concept_ID,fi,mn
0,Auge::N,silmä,нүд
1,Ohr::N,korva,чих
2,Nase::N,nenä,хамар
3,Mund::N,suu,ам
4,Zahn::N,hammas,шүд
5,Zunge::N,kieli,хэл
6,Lippe::N,huuli,уруул
7,Wange::N,poski,хацар
8,Gesicht::N,naama,царай
9,Gesicht::N,naama,нүүр
10,Gesicht::N,kasvot,царай
11,Gesicht::N,kasvot,нүүр
12,Stirn::N,otsa,дух
13,Haar::N,hius,үс
14,Haar::N,tukka,үс
15,Schnurrbart::N,viikset,дээд сахал
16,Schnurrbart::N,viikset,живэр сахал
17,Bart::N,parta,сахал
18,Kinn::N,leuka,эрүү
19,Kiefer[Anatomie]::N,leukaluu,эрүү
20,Kehle::N,kurkku,хоолой
21,Hals::N,kaula,хүзүү
22,Genick::N,niska,шил
23,Genick::N,niska,хүзүү
24,Kopf::N,pää,толгой
25,Rücken::N,selkä,ар
26,Rücken::N,selkä,нуруу
27,Bauch::N,maha,хэвлий
28,Bauch::N,maha,гэдэс
29,Bauch::N,vatsa,хэвлий
30,Bauch::N,vatsa,гэдэс
31,Nabel::N,napa,хүйс
32,Busen::N,rinta,хөх
33,Brust::N,rinta,цээж
34,Schulter::N,olka,мөр
35,Schulter::N,olka,бугалга
36,Schulter::N,hartia,мөр
37,Schulter::N,hartia,бугалга
38,Schulter::N,olkapää,мөр
39,Schulter::N,olkapää,бугалга
40,Arm::N,käsivarsi,гар
41,Ellenbogen::N,kyynärpää,тохой
42,Hand::N,käsi,гар
43,Hand::N,käsi,алга
44,Handfläche::N,kämmen,алга
45,Finger::N,sormi,хуруу
46,Fingernagel::N,kynsi,хурууны хумс
47,Nagel[Anatomie]::N,kynsi,хумс
48,Zeh::N,varvas,хуруу
49,Fuß::N,jalka,хөл
50,Ferse::N,kantapää,өсгий
51,Knie::N,polvi,өвдөг
52,Oberschenkel::N,reisi,гуя
53,Bein::N,jalka,хөл
54,Körper::N,keho,бие
55,Körper::N,ruumis,бие
56,Haut::N,iho,арьс
57,Blut::N,veri,цус
58,Ader::N,suoni,судас
59,Sehne::N,jänne,бүлх
60,Sehne::N,jänne,шандас
61,Knochen::N,luu,яс
62,Gehirn::N,aivot,тархи
63,Herz::N,sydän,зүрх
64,Magen::N,maha,ходоод
65,Magen::N,vatsa,ходоод
66,Leber::N,maksa,элэг
67,Atem::N,henki,амьсгаа
68,Atem::N,hengitys,амьсгаа
69,Hunger::N,nälkä,өлсгөлөн
70,Träne::N,kyynel,нулимс
71,Geschmack::N,maku,амт
72,Geruch::N,haju,үнэр
73,Schlaf::N,uni,нойр
74,Traum::N,uni,зүүд
75,Himmel::N,taivas,тэнгэр
76,Himmel::N,taivas,огторгуй
77,Sonne::N,aurinko,нар
78,Mond::N,kuu,сар
79,Stern::N,tähti,од
80,Luft::N,ilma,агаар
81,Wind::N,tuuli,салхи
82,Welle::N,aalto,долгио
83,Welle::N,aalto,давалгаа
84,Wasser::N,vesi,ус
85,Stein::N,kivi,чулуу
86,Boden::N,maa,хөрс
87,Boden::N,maaperä,хөрс
88,Erde::N,maa,газар
89,Erde::N,maa,шороо
90,Staub::N,pöly,тоос
91,Rauch::N,savu,утаа
92,Funke::N,kipinä,оч
93,Feuer::N,tuli,гал
94,Licht::N,valo,гэрэл
95,Licht::N,valo,гэгээ
96,Schatten::N,varjo,сүүдэр
97,Wetter::N,sää,тэнгэр
98,Wetter::N,sää,цаг уур
99,Nebel::N,sumu,будан
100,Wolke::N,pilvi,үүл
101,Regen::N,sade,бороо
102,Schnee::N,lumi,цас
103,Eis::N,jää,мөс
104,Frost::N,halla,хүйт
105,Frost::N,pakkanen,хүйт
106,Kälte::N,vilu,хүйт
107,Kälte::N,kylmyys,хүйт
108,Hitze::N,helle,халуун
109,Hitze::N,kuumuus,халуун
110,Raureif::N,huurre,цан
111,Raureif::N,huurre,хяруу
112,Regenbogen::N,sateenkaari,солонго
113,Donner::N,jyrinä,тэнгэрийн дуу
114,Strömung::N,virtaus,урсгал
115,Tropfen::N,tippa,дусал
116,Tropfen::N,pisara,дусал
117,Schaum::N,vaahto,хөөс
118,Schmutz::N,loka,хир
119,Schmutz::N,loka,шавхай
120,See::N,järvi,нуур
121,Sumpf::N,suo,намаг
122,Sumpf::N,suo,балчиг
123,Moor::N,räme,хүлрийн намаг
124,Wiese::N,niitty,нуга
125,Wald::N,metsä,ой
126,Hügel::N,mäki,болдог
127,Hügel::N,kumpu,болдог
128,Hügel::N,kukkula,болдог
129,Anhöhe::N,mäki,гүвээ
130,Anhöhe::N,kumpare,гүвээ
131,Berg::N,mäki,уул
132,Berg::N,vuori,уул
133,Gipfel::N,laki,орой
134,Gipfel::N,laki,оргил
135,Gipfel::N,huippu,орой
136,Gipfel::N,huippu,оргил
137,Höhle::N,luola,агуй
138,Abhang::N,rinne,хүр
139,Quelle::N,lähde,булаг
140,Bach::N,puro,горхи
141,Fluss::N,joki,гол
142,Fluss::N,joki,мөрөн
143,Ufer::N,ranta,эрэг
144,Küste::N,rannikko,эрэг
145,Festland::N,manner,хуурай газар
146,Meer::N,meri,далай
147,Meer::N,meri,тэнгис
148,Bucht::N,lahti,булан
149,Bucht::N,lahti,далайн тохой
150,Insel::N,saari,арал
151,Blume::N,kukka,цэцэг
152,Gras::N,ruoho,өвс
153,Gras::N,ruoho,ногоо
154,Wurzel::N,juuri,үндэс
155,Baum::N,puu,мод
156,Stamm::N,runko,иш
157,Stamm::N,runko,гуалин
158,Rinde::N,kuori,холтос
159,Rinde::N,parkki,холтос
160,Ast::N,oksa,гишүү
161,Zweig::N,haara,салаа
162,Blatt::N,lehti,навч
163,Birke::N,koivu,хус
164,Kiefer[Baum]::N,mänty,нарс
165,Kiefer[Baum]::N,petäjä,нарс
166,Weide[Baum]::N,paju,уд
167,Weide[Baum]::N,paju,бургас
168,Tanne::N,kuusi,гачуур
169,Horn::N,sarvi,эвэр
170,Feder::N,sulka,өд
171,Feder::N,höyhen,өд
172,Fell::N,talja,арьс
173,Flügel::N,siipi,жигүүр
174,Flügel::N,siipi,далавч
175,Klaue::N,kynsi,савар
176,Klaue::N,kynsi,хумс
177,Kralle::N,kynsi,савар
178,Schwanz::N,häntä,сүүл
179,Schwanz::N,pyrstö,сүүл
180,Ei::N,muna,өндөг
181,Nest::N,pesä,үүр
182,Bau::N,pesä,нүх
183,Bau::N,pesä,элүү
184,Tier::N,eläin,амьтан
185,Tier::N,eläin,адгуус
186,Herde::N,lauma,сүрэг
187,Kuh::N,lehmä,үнээ
188,Bulle::N,sonni,бух
189,Pferd::N,hevonen,морь
190,Pferd::N,hevonen,адуу
191,Schaf::N,lammas,хонь
192,Schwein::N,sika,гахай
193,Hund::N,koira,нохой
194,Katze::N,kissa,муур
195,Katze::N,kissa,мигуй
196,Bär::N,karhu,баавгай
197,Eichhörnchen::N,orava,хэрэм
198,Elch::N,hirvi,хандгай
199,Fuchs::N,kettu,үнэг
200,Hase::N,jänis,туулай
201,Maus::N,hiiri,хулгана
202,Wolf::N,susi,чоно
203,Vogel::N,lintu,шувуу
204,Schwarm::N,parvi,сүрэг
205,Huhn::N,kana,тахиа
206,Hahn::N,kukko,эр тахиа
