,Concept_ID,lv,ml
0,Auge::N,син,കണ്ണ്
1,Auge::N,acs,കണ്ണ്
2,Ohr::N,пель,ചെവി
3,Ohr::N,auss,ചെവി
4,Nase::N,ныр,മൂക്ക്
5,Nase::N,deguns,മൂക്ക്
6,Mund::N,вом,വായ
7,Mund::N,mute,വായ
8,Zahn::N,пинь,പല്ല്
9,Zahn::N,zobs,പല്ല്
10,Zunge::N,кыв,നാക്ക്
11,Zunge::N,mēle,നാക്ക്
12,Lippe::N,вом дор,ചുണ്ട്
13,Lippe::N,lūpa,ചുണ്ട്
14,Wange::N,бан,കവിൾത്തടം
15,Wange::N,vaigs,കവിൾത്തടം
16,Gesicht::N,чужӧм,മുഖം
17,Gesicht::N,seja,മുഖം
18,Gesicht::N,ģīmis,മുഖം
19,Stirn::N,плеш,നെറ്റി
20,Stirn::N,кымӧс,നെറ്റി
21,Stirn::N,piere,നെറ്റി
22,Haar::N,си,തലമുടി
23,Haar::N,юрси,തലമുടി
24,Haar::N,mats,തലമുടി
25,Schnurrbart::N,ус,മീശ
26,Schnurrbart::N,пыртсим,മീശ
27,Schnurrbart::N,ūsas,മീശ
28,Bart::N,тош,താടിരോമം
29,Bart::N,bārda,താടിരോമം
30,Kinn::N,тшӧка,താടി
31,Kinn::N,zods,താടി
32,Kinn::N,smakrs,താടി
33,Kiefer[Anatomie]::N,черлы,താടിയെല്ല്
34,Kiefer[Anatomie]::N,алака лы,താടിയെല്ല്
35,Kiefer[Anatomie]::N,вомкӧтш лы,താടിയെല്ല്
36,Kiefer[Anatomie]::N,žoklis,താടിയെല്ല്
37,Kehle::N,голя,കണ്ഠനാളം
38,Kehle::N,rīkle,കണ്ഠനാളം
39,Hals::N,сьылі,കഴുത്ത്
40,Hals::N,kakls,കഴുത്ത്
41,Genick::N,юрбӧр,പിടലി
42,Genick::N,балябӧж,പിടലി
43,Genick::N,sprands,പിടലി
44,Kopf::N,юр,തല
45,Kopf::N,galva,തല
46,Rücken::N,мыш,മുതുക്
47,Rücken::N,mugura,മുതുക്
48,Bauch::N,рушку,നയറ്
49,Bauch::N,vēders,നയറ്
50,Nabel::N,гӧг,നാഭി
51,Nabel::N,naba,നാഭി
52,Busen::N,морӧс,സ്തനം
53,Busen::N,krūts,സ്തനം
54,Brust::N,морӧс,സ്തനം
55,Brust::N,krūts,സ്തനം
56,Schulter::N,пельпом,തോൾ
57,Schulter::N,plecs,തോൾ
58,Arm::N,ки,കൈ
59,Arm::N,roka,കൈ
60,Arm::N,delms,കൈ
61,Ellenbogen::N,гырддза,കൈമുട്ട്
62,Ellenbogen::N,elkonis,കൈമുട്ട്
63,Hand::N,ки,കൈ
64,Hand::N,roka,കൈ
65,Hand::N,plauksta,കൈ
66,Handfläche::N,ки пыдӧс,ഉള്ളം കൈ
67,Handfläche::N,delna,ഉള്ളം കൈ
68,Handfläche::N,plauksta,ഉള്ളം കൈ
69,Finger::N,чунь,വിരൽ
70,Finger::N,pirksts,വിരൽ
71,Fingernagel::N,гыж,നഖം
72,Fingernagel::N,nags,നഖം
73,Nagel[Anatomie]::N,гыж,നഖം
74,Nagel[Anatomie]::N,nags,നഖം
75,Zeh::N,кок чунь,കാൽവിരൽ
76,Zeh::N,pirksts,കാൽവിരൽ
77,Fuß::N,кок,കാൽപ്പാദം
78,Fuß::N,kāja,കാൽപ്പാദം
79,Ferse::N,кокбӧр,ഉപ്പൂറ്റി
80,Ferse::N,papēdis,ഉപ്പൂറ്റി
81,Knie::N,пидзӧс,കാൽമുട്ട്
82,Knie::N,celis,കാൽമുട്ട്
83,Oberschenkel::N,лядьвей,തുട
84,Oberschenkel::N,бек,തുട
85,Oberschenkel::N,ciska,തുട
86,Oberschenkel::N,augšstilbs,തുട
87,Bein::N,кок,കാൽ
88,Bein::N,kāja,കാൽ
89,Körper::N,туша,ശരീരം
90,Körper::N,вывтыр,ശരീരം
91,Körper::N,miesa,ശരീരം
92,Körper::N,ķermenis,ശരീരം
93,Haut::N,ку,ചർമ്മം
94,Haut::N,āda,ചർമ്മം
95,Blut::N,вир,രക്തം
96,Blut::N,asins,രക്തം
97,Ader::N,сӧн,ഞരമ്പ്
98,Ader::N,asinsvads,ഞരമ്പ്
99,Sehne::N,вез,സ്നായു
100,Sehne::N,dzīsla,സ്നായു
101,Knochen::N,лы,അസ്ഥി
102,Knochen::N,kauls,അസ്ഥി
103,Gehirn::N,вем,തലച്ചോറ്
104,Gehirn::N,smadzenes,തലച്ചോറ്
105,Herz::N,сьӧлӧм,ഹൃദയം
106,Herz::N,sirds,ഹൃദയം
107,Magen::N,кынӧм,വയർ
108,Magen::N,kuņģis,വയർ
109,Leber::N,мус,കരൾ
110,Leber::N,aknas,കരൾ
111,Atem::N,лов,ശ്വാസം
112,Atem::N,elpa,ശ്വാസം
113,Hunger::N,тшыг,വിശപ്പ്
114,Hunger::N,bads,വിശപ്പ്
115,Hunger::N,izsalkums,വിശപ്പ്
116,Träne::N,синва,കണ്ണീർ
117,Träne::N,asara,കണ്ണീർ
118,Geschmack::N,кӧр,രുചി
119,Geschmack::N,чӧсмӧс,രുചി
120,Geschmack::N,garša,രുചി
121,Geruch::N,зын,ഗന്ധം
122,Geruch::N,дук,ഗന്ധം
123,Geruch::N,smaka,ഗന്ധം
124,Schlaf::N,узьӧм,ഉറകും
125,Schlaf::N,miegs,ഉറകും
126,Traum::N,вӧт,സ്വപ്നം
127,Traum::N,вӧтасьӧм,സ്വപ്നം
128,Traum::N,sapnis,സ്വപ്നം
129,Himmel::N,енэж,ആകാശം
130,Himmel::N,debess,ആകാശം
131,Sonne::N,шонді,സൂര്യൻ
132,Sonne::N,saule,സൂര്യൻ
133,Mond::N,тӧлысь,ചന്ദ്രൻ
134,Mond::N,mēness,ചന്ദ്രൻ
135,Stern::N,кодзув,നക്ഷത്രം
