,Concept_ID,tr,kl
0,Auge::N,göz,isi
1,Ohr::N,kulak,siut
2,Nase::N,burun,
3,Mund::N,ağız,paaq
4,Mund::N,ağız,qaneq
5,Zahn::N,diş,kigut
6,Zunge::N,dil,oqaq
7,Lippe::N,dudak,qarloq
8,Wange::N,yanak,ersaq
9,Gesicht::N,yüz,kiinaq
10,Stirn::N,alın,qaaq
11,Haar::N,saç,meqqoq
12,Schnurrbart::N,bıyık,
13,Bart::N,sakal,umik
14,Kinn::N,çene,talloq
15,Kiefer[Anatomie]::N,çene,alleroq
16,Kehle::N,boğaz,malaq
17,Hals::N,boyun,qungaseq
18,Hals::N,gerdan,qungaseq
19,Genick::N,ense,pukusuk
20,Kopf::N,baş,niaqoq
21,Kopf::N,kafa,niaqoq
22,Rücken::N,arka,qimerlut
23,Bauch::N,karın,naaq
24,Nabel::N,göbek,qalaseq
25,Busen::N,koyun,iviangeq
26,Brust::N,göğüs,iviangeq
27,Schulter::N,omuz,ersik
28,Schulter::N,omuz,assaqqoq
29,Arm::N,kol,taleq
30,Ellenbogen::N,dirsek,ikusik
31,Hand::N,el,assak
32,Handfläche::N,avuç,itumak
33,Handfläche::N,el ayası,itumak
34,Finger::N,parmak,inuak
35,Fingernagel::N,el tırnağı,kikiak
36,Nagel[Anatomie]::N,tırnak,kukik
37,Zeh::N,ayak parmağı,isigak
38,Fuß::N,ayak,
39,Ferse::N,topuk,kimmik
40,Knie::N,diz,seeqqoq
41,Oberschenkel::N,uyluk,uppat
42,Oberschenkel::N,uyluk,quttoraq
43,Bein::N,bacak,isigak
44,Körper::N,vücut,timi
45,Haut::N,cilt,mattak
46,Blut::N,kan,aak
47,Ader::N,damar,taqaq
48,Sehne::N,kiriş,ujalu
49,Sehne::N,kiriş,ujaloq
50,Knochen::N,kemik,saanikut
51,Gehirn::N,beyin,qarasaq
52,Herz::N,kalp,uummat
53,Herz::N,yürek,uummat
54,Magen::N,mide,aqajaroq
55,Leber::N,karaciğer,tinguk
56,Atem::N,nefes,anerneq
57,Hunger::N,açlık,kaanneq
58,Träne::N,gözyaşı,qia
59,Träne::N,gözyaşı,qiak
60,Geschmack::N,tat,qilanaartuut
61,Geschmack::N,lezzet,qilanaartuut
62,Geruch::N,koku,tipi
63,Geruch::N,koku,tipik
64,Schlaf::N,uyku,
65,Traum::N,düş,sinnattoq
66,Traum::N,düş,sinnattugaq
67,Traum::N,rüya,sinnattoq
68,Traum::N,rüya,sinnattugaq
69,Himmel::N,gök,qilak
70,Sonne::N,güneş,seqineq
71,Mond::N,ay,qaammat
72,Stern::N,yıldız,ulloriaq
73,Luft::N,hava,silaannaq
74,Wind::N,yel,anori
75,Wind::N,yel,anorsarik
76,Wind::N,rüzgâr,anori
77,Wind::N,rüzgâr,anorsarik
78,Welle::N,dalga,aalappaa
79,Wasser::N,su,imeq
80,Stein::N,taş,ujarak
81,Boden::N,yer,nateq
82,Boden::N,zemin,nateq
83,Erde::N,toprak,issoq
84,Staub::N,toz,pujualanerit
85,Staub::N,toz,pujoralanerit
86,Rauch::N,duman,iseq
87,Rauch::N,duman,pujoq
88,Funke::N,kıvılcım,illoorneq
89,Feuer::N,ateş,inneq
90,Licht::N,ışık,qaamaneq
91,Schatten::N,gölge,tarraq
92,Wetter::N,hava,sila
93,Nebel::N,pus,pujoq
94,Wolke::N,bulut,nuia
95,Regen::N,yağmur,sialuk
96,Schnee::N,kar,aput
97,Eis::N,buz,siku
98,Frost::N,don,issi
99,Frost::N,don,issik
100,Kälte::N,soğukluk,issi
101,Hitze::N,sıcaklık,kianneq
102,Hitze::N,sıcaklık,kiassuseq
103,Raureif::N,kırç,kaneq
104,Regenbogen::N,gökkuşağı,neriusaaq
105,Donner::N,gök gürlemesi,kalleq
106,Strömung::N,akıntı,
107,Strömung::N,cereyan,
108,Tropfen::N,damla,kuseriarneq
109,Schaum::N,köpük,qapuk
110,Schmutz::N,çamur,minguk
111,Schmutz::N,pislik,minguk
112,See::N,göl,taseq
113,Sumpf::N,batak,maqulluk
114,Moor::N,cılgıt,
115,Wiese::N,çimen,masarsuk
116,Wald::N,koru,
117,Wald::N,orman,
118,Hügel::N,tepe,qattuneq
119,Hügel::N,tepe,majuariaq
120,Hügel::N,tepe,majorajaaq
121,Hügel::N,tepe,qaqqannguaq
122,Anhöhe::N,tümsek,
123,Anhöhe::N,yükseklik,
124,Berg::N,dağ,qaqqaq
125,Gipfel::N,zirve,
126,Höhle::N,in,qaarusuk
127,Höhle::N,mağara,qaarusuk
128,Abhang::N,bayır,ippik
129,Abhang::N,bayır,sivinganeq
130,Abhang::N,bayır,sivingajaaq
131,Abhang::N,bayır,kussangajaaq
132,Quelle::N,pınar,
133,Quelle::N,kaynak,
134,Bach::N,çay,kuunnguaq
135,Bach::N,dere,kuunnguaq
136,Fluss::N,nehir,kuuk
137,Ufer::N,kıyı,sissap sinaa
138,Ufer::N,sahil,sissap sinaa
139,Küste::N,kıyı,sineriak
140,Küste::N,sahil,sineriak
141,Festland::N,kara,
142,Meer::N,deniz,imaq
143,Bucht::N,koy,ikeq
144,Bucht::N,koy,kangerluk
145,Bucht::N,koy,kangerliumaneq
146,Bucht::N,körfez,ikeq
147,Bucht::N,körfez,kangerluk
148,Bucht::N,körfez,kangerliumaneq
149,Insel::N,ada,qeqertaq
150,Blume::N,çiçek,naasoq
151,Gras::N,ot,ivigaq
152,Gras::N,çim,ivigaq
153,Wurzel::N,kök,niulutaq
