,Concept_ID,kv,cs
0,Auge::N,син,oko
1,Ohr::N,пель,ucho
2,Nase::N,ныр,nos
3,Mund::N,ӧм,pusa
4,Zahn::N,пинь,zub
5,Zunge::N,кыв,jazyk
6,Lippe::N,тырп,ret
7,Wange::N,рожабан,tvář
8,Gesicht::N,бан,obličej
9,Stirn::N,кымӧс,čelo
10,Haar::N,юрси,vlas
11,Haar::N,юрси,vlasy
12,Schnurrbart::N,уссэз,kníry
13,Bart::N,тош,vousy
14,Kinn::N,тшӧка,brada
15,Kiefer[Anatomie]::N,ан,čelist
16,Kehle::N,юан,hrdlo
17,Hals::N,юан,krk
18,Genick::N,юр бӧр,týl
19,Kopf::N,юр,hlava
20,Rücken::N,мышк,záda
21,Rücken::N,мышк,hřbet
22,Bauch::N,кынӧм,břicho
23,Nabel::N,гӧг,pupek
24,Busen::N,морос,ňadra
25,Brust::N,морос,prsa
26,Schulter::N,пельпон,plece
27,Schulter::N,пельпон,rameno
28,Arm::N,ки,ruka
29,Ellenbogen::N,гырдзза,loket
30,Hand::N,кикар,ruka
31,Handfläche::N,ки пыдӧс,dlaň
32,Finger::N,чунь,prst
33,Fingernagel::N,гыж,nehet
34,Nagel[Anatomie]::N,гыж,nehet
35,Zeh::N,чунь,prst u nohy
36,Fuß::N,кокпыдӧс,noha
37,Ferse::N,кокдзир,pata
38,Knie::N,пидзӧс,koleno
39,Oberschenkel::N,лядьбей,stehno
40,Bein::N,кок,noha
41,Körper::N,вывтыр,tělo
42,Haut::N,кучик,kůže
43,Blut::N,вир,krev
44,Ader::N,сӧн,céva
45,Sehne::N,жила,šlacha
46,Knochen::N,коска,kost
47,Gehirn::N,вем,mozek
48,Herz::N,сьӧлӧм,srdce
49,Magen::N,жӧвдӧк,žaludek
50,Leber::N,мус,játra
51,Atem::N,лолалӧм,dech
52,Hunger::N,тшыг,hlad
53,Träne::N,синва,slza
54,Geschmack::N,кӧр,vkus
55,Geruch::N,дук,vůně
56,Geruch::N,дук,zápach
57,Schlaf::N,он,spánek
58,Traum::N,вӧт,sen
59,Himmel::N,небо,nebe
60,Sonne::N,шондi,slunce
61,Mond::N,тӧлiсь,měsíc
62,Stern::N,кӧдзыв,hvězda
63,Luft::N,ру,vzduch
64,Wind::N,тӧв,vítr
65,Welle::N,гы,vlna
66,Wasser::N,ва,voda
67,Stein::N,из,kámen
68,Boden::N,му,půda
69,Erde::N,му,země
70,Staub::N,бус,prach
71,Rauch::N,тшын,dým
72,Rauch::N,тшын,kouř
73,Funke::N,бичир,jiskra
74,Feuer::N,би,oheň
75,Licht::N,би,světlo
76,Schatten::N,вуджӧр,stín
77,Wetter::N,погоддя,počasí
78,Nebel::N,туман,mlha
79,Wolke::N,кымӧр,mrak
80,Wolke::N,кымӧр,oblak
81,Regen::N,зэр,déšť
82,Schnee::N,лым,sníh
83,Eis::N,йы,led
84,Frost::N,мороз,mráz
85,Kälte::N,кӧдзыт,chlad
86,Hitze::N,ӧд,horko
87,Raureif::N,кижа,jinovatka
88,Regenbogen::N,енӧшка,duha
89,Donner::N,гым,hrom
90,Strömung::N,визывтӧм,proudění
91,Tropfen::N,тёп,kapka
92,Schaum::N,быг,pěna
93,Schmutz::N,нять,špína
94,See::N,ты,jezero
95,Sumpf::N,арай,močál
96,Sumpf::N,арай,bažina
97,Moor::N,нюр,bažina
98,Moor::N,нюр,slatina
99,Wiese::N,видз,louka
100,Wald::N,вӧр,les
101,Hügel::N,мыльк,kopec
102,Anhöhe::N,вывтас,pahorek
103,Anhöhe::N,вылынін,pahorek
104,Berg::N,керӧс,hora
105,Gipfel::N,йыв,vrchol
106,Höhle::N,нора,jeskyně
107,Abhang::N,покат,svah
108,Abhang::N,покат,stráň
109,Quelle::N,больган,pramen
110,Bach::N,шор,potok
111,Fluss::N,ю,řeka
112,Ufer::N,берег,břeh
113,Küste::N,берег,pobřeží
114,Festland::N,му,souš
115,Festland::N,му,pevnina
116,Meer::N,море,moře
117,Bucht::N,курья,záliv
118,Bucht::N,курья,zátoka
119,Blume::N,цветок,květina
120,Gras::N,турун,tráva
121,Wurzel::N,вуж,kořen
122,Baum::N,пу,strom
123,Stamm::N,мыр,kmen
124,Stamm::N,кер,kmen
125,Rinde::N,кач,kůra
126,Ast::N,ув,větev
127,Zweig::N,ув,větev
128,Blatt::N,лист,lupen
129,Birke::N,кыдз,bříza
130,Kiefer[Baum]::N,пожум,sosna
131,Kiefer[Baum]::N,пожум,borovice
132,Weide[Baum]::N,бадь,vrba
133,Tanne::N,кӧз,jedle
134,Horn::N,сюр,roh
135,Feder::N,гӧн,pero
136,Fell::N,кучик,srst
137,Flügel::N,борд,křídlo
138,Klaue::N,гыж,dráp
139,Klaue::N,гыж,pazneht
140,Kralle::N,кабыр,dráp
141,Schwanz::N,бӧж,ocas
142,Ei::N,кольть,vejce
143,Nest::N,поз,hnízdo
144,Bau::N,осьта,nora
145,Bau::N,нора,nora
146,Tier::N,зверь,zvíře
147,Herde::N,гурт,stádo
148,Kuh::N,мӧс,kráva
149,Bulle::N,ӧшка,býk
150,Pferd::N,вӧв,kůň
151,Schaf::N,баля,ovce
152,Schwein::N,порсь,vepř
153,Schwein::N,порсь,prase
154,Hund::N,пон,pes
155,Katze::N,кань,kočka
156,Bär::N,ош,medvěd
157,Eichhörnchen::N,ур,veverka
