,Concept_ID,mrj,cv
0,Auge::N,сӹнзӓ,куҫ
1,Ohr::N,пӹлӹш,хӑлха
2,Nase::N,нер,сӑмса
3,Mund::N,ышма,ҫӑвар
4,Zahn::N,пӱ,шӑл
5,Zunge::N,йӹлмӹ,чӗлхе
6,Lippe::N,тӹрвӹ,тута
7,Wange::N,шӹргӹ,пит ҫӑмарти
8,Gesicht::N,лицӓ,пит
9,Gesicht::N,лицӓ,пит-куҫ
10,Stirn::N,лепкӓ,ҫамка
11,Haar::N,ӱп,ҫӳҫ
12,Schnurrbart::N,öрш,усси
13,Bart::N,пандаш,сухал
14,Kinn::N,онгылаш,янах
15,Kiefer[Anatomie]::N,пӱ арата,янах
16,Kehle::N,логер,пыр
17,Kehle::N,логер,карланкӑ
18,Hals::N,шӱ,пыр
19,Genick::N,ланга,ӗнсе
20,Kopf::N,вуй,пуҫ
21,Rücken::N,туп,ҫурӑм
22,Bauch::N,мӹшкӹр,
23,Nabel::N,кӹлӹмдӹ,кӑвапа
24,Busen::N,цӹзӹ,кӑкӑр
25,Brust::N,мел,умӗ
26,Schulter::N,ӹнгӹжӓ,хул пуҫҫи
27,Arm::N,кид,алӑ
28,Ellenbogen::N,кӹнервуй,чавса
29,Hand::N,лапа,алӑ сыппи
30,Handfläche::N,кид лапа,ал лаппи
31,Finger::N,парня,пӳрне
32,Fingernagel::N,кӹч,чӗрне
33,Nagel[Anatomie]::N,кӹч,чӗрне
34,Zeh::N,парня,пӳрне
35,Fuß::N,ял лапа,ура лаппи
36,Ferse::N,ялгавал,кӗле
37,Ferse::N,ял кавал,кӗле
38,Knie::N,пылвуй,чӗркуҫҫи
39,Oberschenkel::N,ӓрдӹ,пӗҫӗ
40,Bein::N,ял,ура
41,Körper::N,монгыр,ӳт
42,Körper::N,монгыр,ӳт-пӳ
43,Haut::N,кавашты,тир
44,Blut::N,вӹр,юн
45,Ader::N,вӹршӓр,вена
46,Sehne::N,кукшышӱн,шӑнӑр
47,Knochen::N,лу,шӑмӑ
48,Gehirn::N,вим,миме
49,Herz::N,шӱм,чӗре
50,Magen::N,шӱм,хырӑмлӑх
51,Leber::N,мокш,пӗвер
52,Atem::N,шӱлӹш,сывлав
53,Hunger::N,шужымаш,выҫлӑх
54,Träne::N,сӹнзӓвӹд,куҫҫуль
55,Geschmack::N,тот,техӗм
56,Geruch::N,пыш,шӑршӑ
57,Schlaf::N,ом,ыйхӑ
58,Traum::N,ом,тӗлӗк
59,Himmel::N,пӹлгом,пӗлӗт
60,Sonne::N,кечӹ,хӗвел
61,Mond::N,тӹлзӹ,уйӑх
62,Stern::N,шӹдӹр,ҫӑлтӑр
63,Luft::N,юж,сывлӑш
64,Luft::N,воздух,сывлӑш
65,Wind::N,мардеж,ҫил
66,Welle::N,ко,хум
67,Welle::N,коэ,хум
68,Wasser::N,вӹд,шыв
69,Wasser::N,вӹд,шыв-шур
70,Stein::N,кӱ,чул
71,Boden::N,рок,тӑпра
72,Erde::N,свет,ҫӗр
73,Staub::N,пырак,тусан
74,Rauch::N,шӹкш,тӗтӗм
75,Funke::N,ип,хӗм
76,Funke::N,тылип,хӗм
77,Feuer::N,тыл,вут
78,Feuer::N,тыл,ҫулӑм
79,Licht::N,соты,ҫутӑ
80,Licht::N,валгыды,ҫутӑ
81,Schatten::N,ӹмӹл,сулхӑн
82,Wetter::N,игечӹ,ҫанталӑк
83,Nebel::N,тӹтӹрӓ,тӗтре
84,Wolke::N,пӹл,пӗлӗт
85,Regen::N,юр,ҫумӑр
86,Schnee::N,лым,юр
87,Eis::N,и,пӑр
88,Frost::N,ӱштӹ,сивӗ
89,Kälte::N,ӱштӹ,сивӗ
90,Hitze::N,шокшы,вӗри
91,Hitze::N,шокшы,шӑрӑх
92,Raureif::N,пöрш,пас
93,Regenbogen::N,шанавӹл,асамат кӗперӗ
94,Donner::N,хӹдӹртӹш,аслати
95,Strömung::N,йогы,юхӑ
96,Tropfen::N,капльы,тумлам
97,Tropfen::N,капльык,тумлам
98,Schaum::N,шонг,кӑпӑк
99,Schmutz::N,лявӹрӓ,пылчӑк
100,See::N,йӓр,кӳлӗ
101,Sumpf::N,лӱкӹ,шур
102,Sumpf::N,лӱкӹ,шурлӑх
103,Moor::N,куп,торфлӑ шурлӑх
104,Wiese::N,алык,улӑх
105,Wiese::N,алык,ҫаран
106,Wald::N,шӹргӹ,вӑрман
107,Hügel::N,пӱгӹрикӓ,сӑрт
108,Hügel::N,пӱгӹрикӓ,тӗмеске
109,Anhöhe::N,кӱкшикӓ,сӑрт
110,Berg::N,кырык,ту
111,Gipfel::N,неркӓ,тӳпе
112,Höhle::N,ы́раж,ҫӗр хӑвӑлӗ
113,Abhang::N,полом,тӑвайкки
114,Quelle::N,вӹдсӹнзӓ,ҫӑл куҫ
115,Bach::N,ӓнгӹр,пӗчӗк шыв
116,Fluss::N,вӹд,юхан шыв
117,Ufer::N,сир,ҫыран
118,Küste::N,сир,тинӗс ҫыранӗ
119,Festland::N,мӱлӓндӹ,тип ҫӗр
120,Meer::N,тангыж,тинӗс
121,Bucht::N,вӹдъял,тинӗс кукӑрӗ
122,Insel::N,острок,утрав
123,Blume::N,пеледӹш,чечек
124,Gras::N,шуды,курӑк
125,Wurzel::N,важ,тымар
126,Baum::N,пушӓнгӹ,йывӑҫ
127,Stamm::N,пушӓнгӹ тӹнг,вулӑ
128,Rinde::N,каргыж,хуйӑр
129,Ast::N,укш,турат
130,Zweig::N,укш,турат
131,Blatt::N,листӹ,ҫулҫӑ
132,Birke::N,куги,хурӑн
133,Kiefer[Baum]::N,йӓктӹ,хыр
134,Weide[Baum]::N,уа,хӑва
135,Tanne::N,кож,чӑрӑш
136,Horn::N,шур,мӑйрака
137,Feder::N,пын,тӗк
138,Fell::N,кавашты,ҫӑм
139,Flügel::N,шылдыр,ҫунат
140,Klaue::N,кӹч,чӗрне
141,Kralle::N,лапа,ура
142,Schwanz::N,пач,хӳре
143,Ei::N,мыны,ҫӑмарта
144,Nest::N,пӹжӓш,йӑва
145,Bau::N,ыраж,йӗнӗ
146,Tier::N,во́льык,выльӑх
147,Herde::N,кӹтö,кӗтӳ
148,Kuh::N,ышкал,ӗне
149,Bulle::N,ӱшкӱж,вӑкӑр
150,Pferd::N,имни,лаша
151,Schaf::N,шарык,сурӑх
152,Schwein::N,сасна,сысна
153,Hund::N,пи,йытӑ
154,Katze::N,коти,кушак
155,Bär::N,мöскӓ,упа
156,Eichhörnchen::N,ур,пакша
157,Elch::N,шарды,пӑши
158,Fuchs::N,рӹвӹж,тилӗ
159,Hase::N,морен,куян
160,Hase::N,морен,мулкач
161,Maus::N,каля,шӑши
162,Wolf::N,пирӹ,кашкӑр
163,Vogel::N,кек,кайӑк
164,Vogel::N,кек,вӗҫен кайӑк
165,Schwarm::N,цуца,ушкӑн
166,Huhn::N,цӹвӹ,чӑх
167,Huhn::N,цӹвӹ,чӑхӑ
168,Hahn::N,ӓптӓн,автан
169,Gans::N,комбы,хур
170,Adler::N,кучкыж,ӑмӑрт кайӑк
171,Ente::N,лыды,кӑвакал
172,Eule::N,тымана,тӑмана
173,Kranich::N,тырня,тӑрна
174,Kranich::N,тыртня,тӑрна
175,Krähe::N,лудыгарак,ула курак
176,Kuckuck::N,куку,куккук
177,Schwan::N,йӱксӹ,акӑш
178,Fisch::N,кол,пулӑ
179,Barsch::N,алангы,уланкӑ
180,Hecht::N,нуж,ҫӑрттан
181,Hecht::N,нужгол,ҫӑрттан
182,Schlange[Tier]::N,кӹшкы,ҫӗлен
183,Wurm::N,шукш,ӑман
184,Spinne::N,ӓнгӹремшӹ,эрешмен
185,Ameise::N,кыткы,кӑткӑ
186,Laus::N,ти,пыйтӑ
187,Mücke::N,кужнер,вӑрӑм туна
188,Mücke::N,кужынер,вӑрӑм туна
189,Fliege::N,шӹнгӓ,шӑна
190,Schmetterling::N,лӹпӹ,лӗпӗш
191,Beere::N,мöр,ҫырла
192,Apfel::N,олма,улма
193,Apfel::N,олма,пан улми
194,Pilz::N,понгы,кӑмпа
195,Zwiebel::N,охыра,сухан
196,Saat::N,нӱшмӹ,вӑрӑ
197,Saat::N,нӱшмӱ,вӑрӑ
198,Korn::N,пӹрцӹ,тӗшӗ
199,Korn::N,пӹрцӹ,пӗрчӗ
200,Heu::N,шуды,утӑ
201,Schale::N,аваха,хупӑ
202,Schale::N,карлангы,хупӑ
203,Grube::N,йӓм,шӑтӑк
204,Falle::N,лӱдӹ,тапӑ
205,Falle::N,лӱдӹ,капкӑн
206,Falle::N,лӱдӹш,тапӑ
207,Falle::N,лӱдӹш,капкӑн
208,Schlinge::N,онгы,йӑлӑ
209,Spur::N,кишӓ,йӗр
210,Asche::N,ломых,кӗл
211,Asche::N,ломпыж,кӗл
212,Dreck::N,лявӹрӓ,пылчӑк
213,Eisen::N,кӹртни,тимӗр
214,Gold::N,шöртни,ылтӑн
215,Gold::N,шöртньӹ,ылтӑн
216,Silber::N,ши,кӗмӗл
217,Kohle::N,шӱ,кӑмрӑк
218,Glas::N,охоница,кӗленче
219,Lehm::N,шун,тӑм
220,Sand::N,ошма,хӑйӑр
221,Mensch::N,эдем,ҫын
222,Mensch::N,эдем,этем
223,Mann::N,пӱэргӹ,ар
224,Frau::N,ӹдӹрӓмӓш,хӗрарӑм
225,Kind::N,ӓзӓ,ача
226,Kind::N,шачшы,ача
227,Junge::N,рвезӹ,ача
228,Junge::N,рвезӹ,ар ҫын ача
229,Junge::N,ӹрвезӹ,ача
230,Junge::N,ӹрвезӹ,ар ҫын ача
231,Mädchen::N,ӹдӹрӓш,хӗр ача
232,Familie::N,йиш,ҫемье
233,Familie::N,йиш,кил-йыш
234,Familie::N,семня,ҫемье
235,Familie::N,семня,кил-йыш
236,Großvater::N,тьоти,кукаҫи
237,Großmutter::N,папа,кукамай
238,Eltern::N,ӓтя-ӓвӓ,аҫа-ама
239,Vater::N,ӓтя,атте
240,Mutter::N,ӓвӓ,анне
241,Sohn::N,эргӹ,ывӑл
242,Tochter::N,ӹдӹр,хӗр
243,Bruder::N,ӹза,ар тӑван
244,Schwester::N,ӓкӓ,аппа
245,Schwester::N,ӓкӓ,йӑмӑк
246,Onkel::N,кугуза,мучи
247,Onkel::N,кугуза,пичче
248,Tante::N,куака,аппа
249,Ehemann::N,мары,упӑшка
250,Ehefrau::N,вӓтӹ,арӑм
251,Freude::N,ӹвӹртӹмӓш,савӑнӑҫ
252,Freude::N,ӹвӹртӹмӓш,хаваслӑх
253,Gelächter::N,ваштылмаш,кулӑ
254,Glück::N,пиӓл,телей
255,Glück::N,пиӓл,ӑраскал
256,Kummer::N,ясы,хурлӑх
257,Wunsch::N,охата,ӗмӗт
258,Wunsch::N,охата,кӑмӑл
259,Wunsch::N,шанымаш,ӗмӗт
260,Wunsch::N,шанымаш,кӑмӑл
261,Lust::N,шӓр,кӑмӑл
262,Lust::N,охата,кӑмӑл
263,Lust::N,шанымаш,кӑмӑл
264,Geist::N,тух,чун-чӗм
265,Geist::N,тух,ыр-усал
266,Geist::N,тух,чун хавалӗ
267,Gedanke::N,шанымаш,шухӑш
268,Gedächtnis::N,ӓш,ас
269,Verstand::N,ыш,ӑс
270,Verstand::N,ыш,ӑс-тӑн
271,Verstand::N,ыш,ӑс-хакӑл
272,Sinn::N,кын,тупсӑм
273,Sinn::N,кын,пӗлтерӗш
274,Grund::N,вир,сӑлтав
275,Wahrheit::N,тöр,чӑнлӑх
276,Gespräch::N,хытырымаш,калаҫу
277,Märchen::N,ямак,юмах
278,Erzählung::N,шайыштмаш,акалав
279,Erzählung::N,шайыштмаш,каласа пани
280,Nachricht::N,увертӓрӹмӓш,хыпар
281,Neuigkeit::N,увер,ҫӗнӗ хыпар
282,Name::N,лӹм,ят
283,Rätsel::N,тышты,сутмалли юмах
284,Rede::N,шая,сӑмах
285,Rede::N,шамак,сӑмах
286,Sprache::N,йӹлмӹ,чӗлхе
287,Stimme::N,юк,сасӑ
288,Wort::N,шамак,сӑмах
289,Zeichen::N,палӹ,паллӑ
290,Ruf::N,сӹгӹрӹмӓш,йыхрав
291,Ruf::N,сӹгӹрӹмӓш,чӗнӳ
292,Lärm::N,юкланымащ,шав
293,Laut::N,юк,сасӑ
294,Ton::N,юк,сасӑ
295,Lied::N,мыры,юрӑ
296,Ruhe::N,тыр,канӑҫлӑх
297,Ruhe::N,тыр,лӑпкӑлӑх
298,Leute::N,эдемвлӓ,ҫамрӑксем
299,Leute::N,эдемвлӓ,ҫамрӑк ҫынсем
300,Volk::N,халык,халӑх
301,Arbeit::N,пӓшӓ,ӗҫхӗл
302,Arbeit::N,пӓшӓ,ӗҫлев
303,Gast::N,хына,хӑна
304,Geschenk::N,подарка,парне
305,Geschenk::N,подарка,кучченеҫ
