,Concept_ID,uk,lv
0,Auge::N,око,син
1,Auge::N,око,acs
2,Ohr::N,вухо,пель
3,Ohr::N,вухо,auss
4,Nase::N,ніс,ныр
5,Nase::N,ніс,deguns
6,Mund::N,рот,вом
7,Mund::N,рот,mute
8,Zahn::N,зуб,пинь
9,Zahn::N,зуб,zobs
10,Zunge::N,язик,кыв
11,Zunge::N,язик,mēle
12,Lippe::N,губа,вом дор
13,Lippe::N,губа,lūpa
14,Wange::N,щока,бан
15,Wange::N,щока,vaigs
16,Gesicht::N,обличчя,чужӧм
17,Gesicht::N,обличчя,seja
18,Gesicht::N,обличчя,ģīmis
19,Stirn::N,лоб,плеш
20,Stirn::N,лоб,кымӧс
21,Stirn::N,лоб,piere
22,Haar::N,волосся,си
23,Haar::N,волосся,юрси
24,Haar::N,волосся,mats
25,Schnurrbart::N,вуса,ус
26,Schnurrbart::N,вуса,пыртсим
27,Schnurrbart::N,вуса,ūsas
28,Bart::N,борода,тош
29,Bart::N,борода,bārda
30,Kinn::N,підборіддя,тшӧка
31,Kinn::N,підборіддя,zods
32,Kinn::N,підборіддя,smakrs
33,Kiefer[Anatomie]::N,щелепа,черлы
34,Kiefer[Anatomie]::N,щелепа,алака лы
35,Kiefer[Anatomie]::N,щелепа,вомкӧтш лы
36,Kiefer[Anatomie]::N,щелепа,žoklis
37,Kehle::N,горло,голя
38,Kehle::N,горло,rīkle
39,Hals::N,шия,сьылі
40,Hals::N,шия,kakls
41,Genick::N,потилиця,юрбӧр
42,Genick::N,потилиця,балябӧж
43,Genick::N,потилиця,sprands
44,Kopf::N,голова,юр
45,Kopf::N,голова,galva
46,Rücken::N,спина,мыш
47,Rücken::N,спина,mugura
48,Bauch::N,живіт,рушку
49,Bauch::N,живіт,vēders
50,Nabel::N,пупок,гӧг
51,Nabel::N,пупок,naba
52,Busen::N,груди,морӧс
53,Busen::N,груди,krūts
54,Brust::N,груди,морӧс
55,Brust::N,груди,krūts
56,Schulter::N,плече,пельпом
57,Schulter::N,плече,plecs
58,Arm::N,рука,ки
59,Arm::N,рука,roka
60,Arm::N,рука,delms
61,Ellenbogen::N,лікоть,гырддза
62,Ellenbogen::N,лікоть,elkonis
63,Hand::N,рука,ки
64,Hand::N,рука,roka
65,Hand::N,рука,plauksta
66,Handfläche::N,долоня,ки пыдӧс
67,Handfläche::N,долоня,delna
68,Handfläche::N,долоня,plauksta
69,Finger::N,палець,чунь
70,Finger::N,палець,pirksts
71,Fingernagel::N,ніготь,гыж
72,Fingernagel::N,ніготь,nags
73,Nagel[Anatomie]::N,ніготь,гыж
74,Nagel[Anatomie]::N,ніготь,nags
75,Zeh::N,палець на нозі,кок чунь
76,Zeh::N,палець на нозі,pirksts
77,Fuß::N,нога,кок
78,Fuß::N,нога,kāja
79,Ferse::N,п’ятка,кокбӧр
80,Ferse::N,п’ятка,papēdis
81,Knie::N,коліно,пидзӧс
82,Knie::N,коліно,celis
83,Oberschenkel::N,стегно,лядьвей
84,Oberschenkel::N,стегно,бек
85,Oberschenkel::N,стегно,ciska
86,Oberschenkel::N,стегно,augšstilbs
87,Bein::N,нога,кок
88,Bein::N,нога,kāja
89,Körper::N,тіло,туша
90,Körper::N,тіло,вывтыр
91,Körper::N,тіло,miesa
92,Körper::N,тіло,ķermenis
93,Haut::N,шкіра,ку
94,Haut::N,шкіра,āda
95,Blut::N,кров,вир
96,Blut::N,кров,asins
97,Ader::N,вена,сӧн
98,Ader::N,вена,asinsvads
99,Sehne::N,сухожилля,вез
100,Sehne::N,сухожилля,dzīsla
101,Knochen::N,кістка,лы
102,Knochen::N,кістка,kauls
103,Gehirn::N,мозок,вем
104,Gehirn::N,мозок,smadzenes
105,Herz::N,серце,сьӧлӧм
106,Herz::N,серце,sirds
107,Magen::N,шлунок,кынӧм
108,Magen::N,шлунок,kuņģis
109,Leber::N,печінка,мус
110,Leber::N,печінка,aknas
111,Atem::N,дихання,лов
112,Atem::N,дихання,elpa
113,Hunger::N,голод,тшыг
114,Hunger::N,голод,bads
115,Hunger::N,голод,izsalkums
116,Träne::N,сльоза,синва
117,Träne::N,сльоза,asara
118,Geschmack::N,смак,кӧр
119,Geschmack::N,смак,чӧсмӧс
120,Geschmack::N,смак,garša
121,Geruch::N,запах,зын
122,Geruch::N,запах,дук
123,Geruch::N,запах,smaka
124,Schlaf::N,сон,узьӧм
125,Schlaf::N,сон,miegs
126,Schlaf::N,сплячка,узьӧм
127,Schlaf::N,сплячка,miegs
128,Traum::N,сон,вӧт
129,Traum::N,сон,вӧтасьӧм
130,Traum::N,сон,sapnis
131,Himmel::N,небо,енэж
132,Himmel::N,небо,debess
133,Sonne::N,сонце,шонді
134,Sonne::N,сонце,saule
135,Mond::N,місяць,тӧлысь
136,Mond::N,місяць,mēness
137,Stern::N,зірка,кодзув
138,Stern::N,зірка,zvaigzne
139,Luft::N,повітря,сынӧд
140,Luft::N,повітря,gaiss
141,Wind::N,вітер,тӧв
142,Wind::N,вітер,vējš
143,Welle::N,хвиля,гы
144,Welle::N,хвиля,vilnis
145,Wasser::N,вода,ва
