,Concept_ID,myv,ru
0,Auge::N,сельме,глаз
1,Ohr::N,пиле,ухо
2,Nase::N,судо,нос
3,Mund::N,курго,рот
4,Zahn::N,пей,зуб
5,Zunge::N,кель,язык
6,Lippe::N,турва,губа
7,Wange::N,чамабока,щека
8,Wange::N,чамаумарь,щека
9,Gesicht::N,чама,лицо
10,Stirn::N,коня,лоб
11,Haar::N,черь,волос
12,Haar::N,черь,волосы
13,Schnurrbart::N,ус,ус
14,Schnurrbart::N,ус,усы
15,Schnurrbart::N,муюк,ус
16,Schnurrbart::N,муюк,усы
17,Bart::N,сакал,борода
18,Kinn::N,уло,подбородок
19,Kiefer[Anatomie]::N,пейпакар,челюсть
20,Kiefer[Anatomie]::N,пейловажа,челюсть
21,Kehle::N,кирьгапарь,горло
22,Hals::N,кирьга,шея
23,Genick::N,човонь,затылок
24,Kopf::N,пря,голова
25,Rücken::N,копорь,спина
26,Bauch::N,пеке,живот
27,Nabel::N,почо,пупок
28,Busen::N,поте,женская грудь
29,Brust::N,меште,грудь
30,Schulter::N,лавтов,плечо
31,Arm::N,кедь,рука
32,Ellenbogen::N,кенерепакарь,локоть
33,Hand::N,кедь,кисть
34,Handfläche::N,кедькуншка,ладонь
35,Handfläche::N,кедьлапушка,ладонь
36,Finger::N,сур,палец
37,Fingernagel::N,кенже,ноготь
38,Nagel[Anatomie]::N,кенже,ноготь
39,Zeh::N,пильге сур,палец
40,Fuß::N,пильге,ступня
41,Ferse::N,кочкаря,пята
42,Ferse::N,кочкаря,пятка
43,Knie::N,эле,колено
44,Knie::N,эзне,колено
45,Knie::N,кумажа,колено
46,Oberschenkel::N,качо,бедро
47,Bein::N,пильге,нога
48,Körper::N,рунго,тело
49,Haut::N,киське,кожа
50,Blut::N,верь,кровь
51,Ader::N,сан,вена
52,Ader::N,сан,сосуд
53,Sehne::N,коське сан,жила
54,Sehne::N,коське сан,тетива
55,Sehne::N,коське сан,сухожилие
56,Knochen::N,пакарь,кость
57,Gehirn::N,удем,мозг
58,Herz::N,седей,сердце
59,Magen::N,пеке,желудок
60,Leber::N,максо,печень
61,Atem::N,лексема,дух
62,Atem::N,лексема,дыхание
63,Atem::N,оймень таргсема,дух
64,Atem::N,оймень таргсема,дыхание
65,Hunger::N,вачочи,голод
66,Träne::N,селведь,слеза
67,Geschmack::N,тансть,вкус
68,Geruch::N,чине,запах
69,Schlaf::N,удома,сон
70,Traum::N,он,сновидение
71,Himmel::N,менель,небо
72,Sonne::N,чи,солнце
73,Mond::N,ков,луна
74,Stern::N,теште,звезда
75,Luft::N,кошт,воздух
76,Wind::N,варма,ветер
77,Welle::N,толкун,волна
78,Wasser::N,ведь,вода
79,Stein::N,кев,камень
80,Boden::N,мода,почва
81,Erde::N,мастор,земля
82,Staub::N,пуль,пыль
83,Rauch::N,качамо,дым
84,Funke::N,сятко,искра
85,Feuer::N,тол,огонь
86,Licht::N,валдо,свет
87,Schatten::N,сулей,тень
88,Schatten::N,сулейкс,тень
89,Wetter::N,ушо,погода
90,Nebel::N,сув,туман
91,Wolke::N,пель,облако
92,Regen::N,пиземс,дождь
93,Schnee::N,лов,снег
94,Eis::N,эй,лед
95,Frost::N,кельме,мороз
96,Kälte::N,якшамо,холод
97,Hitze::N,пси,жара
98,Raureif::N,лекш,иней
99,Regenbogen::N,пурьгинечирьке,радуга
100,Regenbogen::N,пурьгинеёнкс,радуга
101,Donner::N,пурьгине,гром
102,Strömung::N,чудема,течение
103,Strömung::N,чудевкс,течение
104,Tropfen::N,петнявкс,капля
