,Concept_ID,xal,is
0,Auge::N,нүдн,auga
1,Ohr::N,чикн,eyra
2,Nase::N,хамр,nef
3,Mund::N,амн,munnur
4,Zahn::N,шүдн,tönn
5,Zunge::N,келн,tunga
6,Lippe::N,урл,vör
7,Wange::N,халх,kinn
8,Wange::N,халх,vangi
9,Gesicht::N,нүр,andlit
10,Stirn::N,маңна,enni
11,Haar::N,үсн,hár
12,Schnurrbart::N,сахл,yfirskegg
13,Bart::N,сахл,skegg
14,Bart::N,өргнә сахл,skegg
15,Kinn::N,өргн,haka
16,Kiefer[Anatomie]::N,өргн,kjálki
17,Kiefer[Anatomie]::N,өргн,skoltur
18,Kehle::N,хол,kverk
19,Hals::N,күзүн,háls
20,Genick::N,гиҗг,hnakki
21,Kopf::N,толһа,höfuð
22,Rücken::N,нурһн,hryggur
23,Bauch::N,гесн,kviður
24,Nabel::N,киисн,nafli
25,Busen::N,көкн,barmur
26,Brust::N,чееҗ,brjóst
27,Schulter::N,ээм,öxl
28,Arm::N,һар,armur
29,Ellenbogen::N,тоха,olnbogi
30,Hand::N,баһлцг,hönd
31,Handfläche::N,альхн,lófi
32,Finger::N,хурһн,fingur
33,Finger::N,һарин хурһн,fingur
34,Fingernagel::N,хумсн,fingurnögl
35,Nagel[Anatomie]::N,хумсн,nögl
36,Zeh::N,хурһн,tá
37,Zeh::N,көлин хурһн,tá
38,Fuß::N,тавг,fótur
39,Ferse::N,өскә,hæll
40,Knie::N,өвдг,kné
41,Oberschenkel::N,һуй,læri
42,Bein::N,көл,fótleggur
43,Körper::N,махмуд,búkur
44,Körper::N,махмуд,líkami
45,Haut::N,арсн,húð
46,Haut::N,арсн,skinn
47,Blut::N,цусн,blóð
48,Ader::N,судцн,æð
49,Sehne::N,шүрүсн,sin
50,Knochen::N,ясн,bein
51,Gehirn::N,экн,heili
52,Herz::N,зүркн,hjarta
53,Magen::N,гесн,magi
54,Leber::N,элкн,lifur
55,Atem::N,әмсхл,andi
56,Atem::N,әмсхл,andardráttur
57,Hunger::N,харһнлһн,hungur
58,Träne::N,нульмсн,tár
59,Geschmack::N,амтн,smekkur
60,Geruch::N,үнр,lykt
61,Schlaf::N,нөр,svefn
62,Traum::N,зүүдн,draumur
63,Himmel::N,теңгр,himinn
64,Sonne::N,нарн,sól
65,Mond::N,сар,tungl
66,Stern::N,одн,stjarna
67,Luft::N,аһар,loft
68,Wind::N,салькн,vindur
69,Welle::N,дольган,alda
70,Welle::N,дольган,bylgja
71,Wasser::N,усн,vatn
72,Stein::N,чолун,steinn
73,Boden::N,Һазр,botn
74,Erde::N,Һазр,jörð
75,Staub::N,тоосн,ryk
76,Staub::N,тоосн,duft
77,Rauch::N,утан,reykur
78,Funke::N,очн,neisti
79,Feuer::N,һал,eldur
80,Licht::N,герл,ljós
81,Schatten::N,сүүдр,skuggi
82,Wetter::N,теңгр,veður
83,Nebel::N,будн,þoka
84,Wolke::N,үүлн,ský
85,Regen::N,хур,regn
86,Schnee::N,цасн,snjór
87,Eis::N,мөсн,ís
88,Frost::N,киитн,frost
89,Kälte::N,киитн,kuldi
90,Hitze::N,халун,hiti
91,Raureif::N,цаң,hrím
92,Raureif::N,кирү,hrím
93,Regenbogen::N,солңһ,regnbogi
94,Donner::N,оһтрһун дун,þruma
95,Strömung::N,урсхл,straumur
96,Tropfen::N,дусал,dropi
97,Schaum::N,көөсн,froða
98,Schmutz::N,кир,óhreinindi
99,See::N,нур,stöðuvatn
100,Sumpf::N,унул,fen
101,Moor::N,улм,mýri
102,Wiese::N,хадлһн,engi
103,Wald::N,ө-модн,skógur
104,Hügel::N,толһа,hæð
105,Hügel::N,толһа,hóll
106,Anhöhe::N,хамр,hæð
