,Concept_ID,kl,zh
0,Auge::N,isi,眼睛
1,Ohr::N,siut,耳朵
2,Mund::N,paaq,嘴
3,Mund::N,qaneq,嘴
4,Zahn::N,kigut,牙齿
5,Zunge::N,oqaq,舌头
6,Lippe::N,qarloq,嘴唇
7,Wange::N,ersaq,面颊
8,Gesicht::N,kiinaq,脸
9,Stirn::N,qaaq,额
10,Haar::N,meqqoq,头发
11,Bart::N,umik,胡子
12,Kinn::N,talloq,下巴
13,Kiefer[Anatomie]::N,alleroq,颌
14,Kehle::N,malaq,嗓子
15,Hals::N,qungaseq,颈
16,Genick::N,pukusuk,后颈
17,Kopf::N,niaqoq,头
18,Rücken::N,qimerlut,背
19,Bauch::N,naaq,肚子
20,Nabel::N,qalaseq,肚脐
21,Busen::N,iviangeq,胸脯
22,Brust::N,iviangeq,胸
23,Schulter::N,ersik,肩膀
24,Schulter::N,assaqqoq,肩膀
25,Arm::N,taleq,臂膀
26,Ellenbogen::N,ikusik,肘
27,Hand::N,assak,手
28,Handfläche::N,itumak,手掌
29,Finger::N,inuak,手指
30,Fingernagel::N,kikiak,指甲
31,Nagel[Anatomie]::N,kukik,指甲
32,Zeh::N,isigak,脚趾
33,Ferse::N,kimmik,后跟
34,Knie::N,seeqqoq,膝
35,Oberschenkel::N,uppat,大腿
36,Oberschenkel::N,quttoraq,大腿
37,Bein::N,isigak,腿
38,Körper::N,timi,身体
39,Haut::N,mattak,皮肤
40,Blut::N,aak,血
41,Ader::N,taqaq,血管
42,Sehne::N,ujalu,腱
43,Sehne::N,ujaloq,腱
44,Knochen::N,saanikut,骨
45,Gehirn::N,qarasaq,脑
46,Herz::N,uummat,心
47,Magen::N,aqajaroq,胃
48,Leber::N,tinguk,肝
49,Atem::N,anerneq,呼吸
50,Hunger::N,kaanneq,饿
51,Träne::N,qia,眼泪
52,Träne::N,qiak,眼泪
53,Geschmack::N,qilanaartuut,味道
54,Geruch::N,tipi,气味
55,Geruch::N,tipik,气味
56,Traum::N,sinnattoq,梦
57,Traum::N,sinnattugaq,梦
58,Himmel::N,qilak,天空
59,Sonne::N,seqineq,太阳
60,Mond::N,qaammat,月亮
61,Stern::N,ulloriaq,星
62,Luft::N,silaannaq,空气
63,Wind::N,anori,风
64,Wind::N,anorsarik,风
65,Welle::N,aalappaa,波
66,Wasser::N,imeq,水
67,Stein::N,ujarak,石头
68,Boden::N,nateq,地面
69,Erde::N,issoq,地
70,Staub::N,pujualanerit,灰尘
71,Staub::N,pujoralanerit,灰尘
72,Rauch::N,iseq,烟
73,Rauch::N,pujoq,烟
74,Funke::N,illoorneq,火花
75,Feuer::N,inneq,火
76,Licht::N,qaamaneq,光
77,Schatten::N,tarraq,影子
78,Wetter::N,sila,天气
79,Nebel::N,pujoq,雾
80,Wolke::N,nuia,云
81,Regen::N,sialuk,雨
82,Schnee::N,aput,雪
83,Eis::N,siku,冰
84,Frost::N,issi,霜冻
85,Frost::N,issik,霜冻
86,Kälte::N,issi,寒冷
87,Hitze::N,kianneq,炎热
88,Hitze::N,kiassuseq,炎热
89,Raureif::N,kaneq,霜
90,Regenbogen::N,neriusaaq,虹
91,Donner::N,kalleq,雷
92,Tropfen::N,kuseriarneq,滴
93,Schaum::N,qapuk,泡沫
94,Schmutz::N,minguk,赃物
95,See::N,taseq,湖
96,Sumpf::N,maqulluk,沼泽
97,Wiese::N,masarsuk,草地
98,Hügel::N,qattuneq,丘陵
99,Hügel::N,majuariaq,丘陵
100,Hügel::N,majorajaaq,丘陵
101,Hügel::N,qaqqannguaq,丘陵
102,Berg::N,qaqqaq,山
103,Höhle::N,qaarusuk,洞穴
104,Abhang::N,ippik,斜坡
105,Abhang::N,sivinganeq,斜坡
106,Abhang::N,sivingajaaq,斜坡
107,Abhang::N,kussangajaaq,斜坡
108,Bach::N,kuunnguaq,溪
109,Fluss::N,kuuk,河流
110,Ufer::N,sissap sinaa,岸
111,Küste::N,sineriak,海岸
112,Meer::N,imaq,海
113,Bucht::N,ikeq,海湾
114,Bucht::N,kangerluk,海湾
115,Bucht::N,kangerliumaneq,海湾
116,Insel::N,qeqertaq,岛
117,Blume::N,naasoq,花
118,Gras::N,ivigaq,草
119,Wurzel::N,niulutaq,根
120,Baum::N,orpik,树
121,Stamm::N,kanaartaq,树干
122,Rinde::N,ameraq,树皮
123,Ast::N,avalequt,树枝
124,Zweig::N,avalequt,树枝
125,Blatt::N,pilutaq,叶子
126,Birke::N,patitsit,桦木
127,Weide[Baum]::N,palleq,柳树
128,Tanne::N,orsuerneq,冷杉
129,Horn::N,nassuk,角
130,Feder::N,suluk,羽毛
131,Fell::N,ameq,皮毛
132,Flügel::N,suluk,翅膀
133,Flügel::N,isaroq,翅膀
134,Klaue::N,kukik,爪子
135,Kralle::N,kukik,爪子
136,Schwanz::N,pamioq,尾巴
137,Schwanz::N,paperuusaq,尾巴
138,Ei::N,mannik,蛋
139,Nest::N,ullut,巢
140,Bau::N,ini,穴
141,Tier::N,uumasoq,动物
142,Herde::N,unguukkat,群
143,Kuh::N,ussik,母牛
144,Bulle::N,angukulak,公牛
145,Bulle::N,anguteralak,公牛
146,Bulle::N,angutikulooq,公牛
147,Schaf::N,sava,羊
148,Schwein::N,puuluki,猪
149,Hund::N,qimmeq,狗
150,Katze::N,puisaaq,猫
